Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2014,3,3/3/14,1:48 AM,3/3/14,1:49 AM,"0 Hours,",1 Minutes,Public Utility District #1 of Chelan County (CHPD),WECC,Washington,Fuel Supply Emergency - Hydro,630,Unknown,
2014,3,3/3/14,6:40 AM,3/3/14,3:28 PM,"8 Hours, 48 Minutes",,Tennessee Valley Authority,SERC,Tennessee,Severe Weather - Winter Storm,Unknown,65904,
2014,3,3/4/14,9:06 AM,3/17/14,9:06 AM,"312 Hours,",0 Minutes,Wisconsin Public Service Corp,MRO,"Weston, Wisconsin",Fuel Supply Emergency - Coal,Unknown,Unknown,
2014,3,3/7/14,3:30 AM,3/7/14,9:00 PM,"17 Hours, 30 Minutes",,Duke Energy Carolinas,SERC,"Triad, North Carolina",Severe Weather - Winter Storm,1500,370900,
2014,3,3/12/14,7:35 PM,3/13/14 12:00,,"16 Hours, 25 Minutes",,Duke Energy Carolinas,SERC,North Carolina,Severe Weather - High Winds,250,61377,
,,,,,,,,,,,Electrical System Separation,,,
2014,3,3/26/14,1:37 PM,3/26/14,2:33 PM,"0 Hours, 56 Minutes",,Peak Reliability,WECC,Montana,(Islanding),Unknown,Unknown,
,,,,,,,,,,,System Wide Voltage,,,
2014,3,3/31/14,3:41 PM,3/31/14,8:08 PM,"4 Hours, 27 Minutes",,Puerto Rico Electric Power Authority,N/A,Puerto Rico,Reduction,Unknown,Unknown,
2014,4,4/3/14 0:00,,,ongoing,,ongoing,City of Garland / Texas Municipal Power Agency,TRE,Texas,Fuel Supply Emergency - Coal,Unknown,Unknown,
2014,4,4/3/14,2:45 PM,4/9/14 11:53,,"141 Hours,",8 Minutes,We Energies,MRO,Wisconsin,Fuel Supply Emergency - Coal,Unknown,Unknown,
2014,4,4/4/14,3:30 AM,4/4/14,8:15 AM,"4 Hours, 45 Minutes",,"Entergy Services, Inc.",SERC,Central Arkansas,Severe Weather - Wind,Unknown,57200,
2014,4,4/8/14 11:09,,4/8/14 11:20,,"0 Hours, 11 Minutes",,Puerto Rico Electric Power Authority,N/A,Puerto Rico,Voltage Reduction,Unknown,Unknown,
,,,,,,,,,,,Severe Weather -,,,
2014,4,4/12/14,6:15 PM,4/14/14,9:00 AM,"38 Hours, 45 Minutes",,Consumers Energy,RFC,Western and Central Michigan,Thunderstorms,Unknown,50000,
2014,4,4/12/14,8:00 PM,4/15/14,7:30 PM,"71 Hours, 30 Minutes",,Detroit Edison Company,RFC,Michigan,Severe Weather,Unknown,164000,
,,,,,,,,,,,Load shedding of 100,,,
2014,4,4/23/14,7:45 PM,4/23/14,8:37 PM,"0 Hours, 52 Minutes",,MISO / Entergy Transmission,SERC,"Baton Rouge, Louisiana",Megawatts,163,28000,
,,,,,,,,,,,Electrical System Separation,,,
2014,4,4/24/14,3:02 PM,4/24/14,5:13 PM,"2 Hours, 11 Minutes",,Peak Reliability,WECC,"Alberta, Canada",(Islanding),Unknown,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
2014,4,4/27/14,9:15 AM,,ongoing,,ongoing,Peak Reliability,WECC,"Alberta, Canada",(Islanding),9750,4000000,
,,,,,,,,,,"Northeastern Mississippi,",Severe Weather -,,,
2014,4,4/29/14,9:37 AM,5/1/14,9:00 AM,"47 Hours, 23 Minutes",,Tennessee Valley Authority,SERC,Northern Alabama,Thunderstorms,Unknown,57000,
,,,,,,,,,,,Severe Weather -,,,
2014,4,4/29/14 23:30,,4/29/14 12:30,,"-11 Hours,",0 Minutes,Southern Company,SERC,"Mississippi, Alabama",Thunderstorms,355,106648,
,,,,,,,,,,,Severe Weather -,,,
2014,4,4/30/14,3:50 AM,4/30/14,2:00 PM,"10 Hours, 10 Minutes",,Southern Company,SERC,"Alabama, Florida, Georgia",Thunderstorms,296,89000,
"Table B.2 Major Disturbances and Unusual Occurrences, 2014",,,,,,,,,,,,,,
,,,,,,,,,,,,,Number of,
,,,,Restoration Date and,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,,,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
2014,5,5/9/14,6:00 PM,5/11/14,1:00 PM,"43 Hours,",0 Minutes,Vectren Energy Delivery of Indiana,RFC,Indiana,Severe Weather - Heavy Winds,Unknown,56000,
,,,,,,,,,,"San Diego & Orange Counties,",Public Appeal to Reduce,,,
2014,5,5/14/14,3:34 PM,,ongoing,,ongoing,San Diego Gas & Electric Company,WECC,California,Electricity Usage - Wild Fires,N/A,N/A,
,,,,,,,,,,"San Diego & Orange Counties,",Public Appeal to Reduce,,,
2014,5,5/15/14 10:43,,,ongoing,,ongoing,San Diego Gas & Electric Co,WECC,California,Electricity Usage - Wild Fires,3300,1400000,
,,,,,,,,,,"San Diego & Orange Counties,",Public Appeal to Reduce,,,
