Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
June,2014-06-12,09:10:00,2014-06-12,09:11:00,"Somervell County, Texas",ERCOT,Suspected Physical Attack,Unknown,Unknown
June,2014-06-15,00:00:00,2014-06-15,01:00:00,Central Minnesota,MRO,Severe Weather - Thunderstorms,Unknown,55951
June,2014-06-18,09:52:00,2014-06-18,19:00:00,Washington,WECC,Physical Attack - Vandalism,Unknown,Unknown
June,2014-06-18,17:00:00,2014-06-20,15:00:00,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,138802
June,2014-06-19,08:47:00,2014-06-19,08:48:00,"Nashville, Tennessee",SERC,Physical Attack - Vandalism,Unknown,Unknown
June,2014-06-24,14:54:00,2014-06-24,14:55:00,"Nashville, Tennessee",SERC,Physical Attack - Vandalism,Unknown,Unknown
June,2014-06-27,13:21:00,Unknown,Unknown,Wisconsin,MRO,Fuel Supply Emergency - Coal,Unknown,Unknown
June,2014-06-30,17:55:00,2014-07-01,02:53:00,Southeast  Wisconsin,MRO,Severe Weather - Thunderstorms,424,120000
June,2014-06-30,20:00:00,2014-07-02,18:30:00,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,420000
June,2014-06-30,23:20:00,2014-07-01,17:00:00,North Central Indiana,RFC,Severe Weather - Thunderstorms,Unknown,127000
July,2014-07-01,05:00:00,2014-07-02,02:00:00,"Indiana, Michigan",RFC,Severe Weather - Thunderstorms,Unknown,57237
July,2014-07-02,08:39:00,2014-07-28,15:13:00,Wisconsin,MRO,Fuel Supply Emergency - Coal,Unknown,Unknown
July,2014-07-01,03:30:00,Unknown,Unknown,Southwest Michigan,RFC,Severe Weather - Thunderstorms,Unknown,51000
July,2014-07-01,04:00:00,2014-07-03,23:30:00,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,140000
July,2014-07-03,18:00:00,2014-07-06,12:00:00,Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,298165
July,2014-07-03,22:55:00,2014-07-04,01:50:00,"Vermont, New Hampshire, Maine, Rhode Island, Massachusetts, Connecticut",NPCC,Severe Weather - Thunderstorms,Unknown,64000
July,2014-07-08,20:30:00,2014-07-11,23:00:00,Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,260000
July,2014-07-08,21:31:00,Unknown,Unknown,Maryland,RFC,Severe Weather - Thunderstorms,Unknown,56600
July,2014-07-08,18:00:00,2014-07-11,17:53:00,Eastern Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,69000
July,2014-07-08,17:30:00,2014-07-12,23:20:00,"Maryland, West Virginia",RFC,Severe Weather - Thunderstorms,Unknown,96000
July,2014-07-08,17:30:00,2014-07-12,23:30:00,West Virginia,RFC,Severe Weather - Thunderstorms,Unknown,71000
July,2014-07-08,19:21:00,2014-07-11,07:00:00,Upstate New York,NPCC,Severe Weather - Thunderstorms,Unknown,65000
July,2014-07-08,17:30:00,2014-07-10,15:00:00,Central and Northeastern Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,66000
July,2014-07-14,16:00:00,2014-07-14,16:15:00,Washington,WECC,Suspected Physical Attack,Unknown,Unknown
July,2014-07-23,19:14:00,2014-07-24,00:23:00,"Arkansas, Louisiana",SERC,Severe Weather - Thunderstorms,Unknown,57299
July,2014-07-24,16:29:00,2014-07-24,23:32:00,California,WECC,Load shedding of 100 Megawatts,126,26856
July,2014-07-27,17:00:00,2014-07-28,23:00:00,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,156611
July,2014-07-27,23:00:00,2014-07-28,04:00:00,Central California,WECC,Uncontrolled Loss of 300 Megawatts,480,1
August,2014-08-01,15:03:00,2014-08-01,15:04:00,Utah,WECC,Physical Attack,Unknown,Unknown
August,2014-08-13,06:08:00,2014-08-13,06:34:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),370,Unknown
August,2014-08-20,01:21:00,2014-08-20,01:41:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown
August,2014-08-23,16:39:00,2014-08-24,01:46:00,"City of Highland, Illinois",RFC,Operational Failure of Electrical System,31,6549
August,2014-08-24,03:20:00,2014-08-25,07:05:00,"North of San Francisco, California",WECC,Earthquake,95,70000
August,2014-08-26,15:30:00,Unknown,Unknown,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,Unknown
August,2014-08-27,12:49:00,2014-08-27,13:30:00,Delaware,RFC,Suspected Physical Attack,Unknown,Unknown
August,2014-08-30,15:30:00,2014-09-01,14:30:00,"Luzerne County, Pennsylvania",RFC,Suspected Physical Attack,Unknown,Unknown
September,2014-09-05,20:00:00,Unknown,Unknown,Michigan,RFC,Severe Weather - Thunderstorms,Unknown,324000
September,2014-09-05,16:30:00,2014-09-06,14:00:00,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,180400
September,2014-09-05,19:14:00,2014-09-06,13:00:00,Lower Peninsula of Michigan,RFC,Severe Weather - Thunderstorms,50,60000
September,2014-09-09,08:18:00,2014-09-09,23:59:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown
September,2014-09-11,04:56:00,2014-09-11,05:37:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown
September,2014-09-14,21:50:00,2014-09-17,15:08:00,Oregon,WECC,Electrical System Separation (Islanding),1,123
September,2014-09-16,11:56:00,2014-09-16,11:57:00,California,WECC,Physical Attack - Vandalism,Unknown,Unknown
