Data Year,Utility Number,Utility Name,Short Form,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,590,City of Anaheim - (CA),,CA,0,0,0,.,0,8505,504,231,.,9240,.,.,.,.,.,89969,16332,125,.,106426,98474,16836,356,.,115666,48643,202148,1034647,.,1285438,.,.,.,.,.,.,.,.,.,.
2014,599,Anchorage Municipal Light and Power,,AK,24429,5738,.,.,30167,.,.,.,.,0,.,.,.,.,0,.,622,.,.,622,24429,6360,0,0,30789,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0
2014,636,City of Anderson - (IN),,IN,.,.,.,.,.,30000,3793,189,.,33982,.,.,.,.,0,.,.,.,.,.,30000,3793,189,.,33982,310587,307342,215148,.,833077,.,.,.,.,.,.,.,.,.,.
2014,691,City of Anoka,,MN,10558,1319,18,.,11895,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10558,1319,18,.,11895,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,719,Town of Apex- (NC),,NC,13605,1523,.,.,15128,0,0,.,.,0,.,.,.,.,.,1224,0,.,.,1224,14829,1523,.,.,16352,0,0,.,.,0,0,0,.,.,0,0,0,.,.,0
2014,727,Appalachian Electric Coop,,TN,0,0,0,0,0,39074,6147,5,0,45226,0,0,0,0,0,0,0,0,0,0,39074,6147,5,0,45226,635270.87,226711.75,79134,0,941116.62,0,0,0,0,0,9,0,0,0,9
2014,733,Appalachian Power Co,,VA,448666,74647,1886,.,525199,157,0,0,.,157,0,0,0,.,0,12,93,58,.,163,448835,74740,1944,.,525519,1087,0,0,.,1087,0,0,0,.,0,0,0,0,.,0
2014,733,Appalachian Power Co,,WV,366902,66554,2304,.,435760,444,2,0,.,446,0,0,0,.,0,33,177,112,.,322,367379,66733,2416,.,436528,3092,13,0,.,3105,0,0,0,.,0,0,0,0,.,0
2014,750,Arab Electric Coop Inc,,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12388,2715,1,0,15104,12388,2715,1,0,15104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,752,City of Arapahoe - (NE),Y,NE,491,212,.,.,703,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,768,City of Arcanum - (OH),Y,OH,1415,130,22,.,1567,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,789,Town of Argos,Y,IN,735,106,.,.,841,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,792,City of Argyle - (WI),Y,WI,439,89,.,.,528,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,803,Arizona Public Service Co,,AZ,331,39,0,.,370,1043324,120059,3300,.,1166683,0,0,0,.,0,0,0,0,.,0,1043655,120098,3300,.,1167053,12631539,9764562,572714,.,22968815,.,.,.,.,.,.,.,.,.,.
2014,814,Entergy Arkansas Inc,,AR,15764,639,187,.,16590,.,.,809,.,809,.,.,.,.,.,585660,91725,28622,.,706007,601424,92364,29618,.,723406,0,0,21450,.,21450,.,.,.,.,.,0,0,1049,.,1049
2014,817,Arkansas Valley Elec Coop Corp,,AR,.,.,.,.,.,49494,3581,22,.,53097,.,.,.,.,.,.,.,.,.,.,49494,3581,22,.,53097,738355,162883,277979,.,1179217,.,.,.,.,.,.,.,.,.,.
2014,817,Arkansas Valley Elec Coop Corp,,OK,.,.,.,.,.,4010,485,.,.,4495,.,.,.,.,.,.,.,.,.,.,4010,485,.,.,4495,58570,28958,.,.,87528,.,.,.,.,.,.,.,.,.,.
2014,828,City of Arlington - (MN),,MN,935,98,.,.,1033,0,0,.,.,0,0,0,.,.,0,38,96,.,.,134,973,194,.,.,1167,0,0,.,.,0,0,0,.,.,0,0,0,.,.,0
2014,887,"Arrowhead Electric Coop, Inc",,MN,4650,500,.,.,5150,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4650,500,.,.,5150,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,902,Town of Ashburnham - (MA),Y,MA,2184,180,39,.,2403,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,918,City of Aspen- (CO),,CO,0,0,.,.,0,269,136,.,.,405,0,0,.,.,0,1697,890,.,.,2587,1966,1026,.,.,2992,4,16,.,.,20,0,0,.,.,0,0,0,.,.,0
2014,942,Atchison-Holt Electric Coop,,IA,.,.,.,.,.,1016,83,56,.,1155,.,.,.,.,.,.,.,.,.,.,1016,83,56,.,1155,10682,5457,500,.,16639,.,.,.,.,.,.,.,.,.,.
2014,942,Atchison-Holt Electric Coop,,MO,.,.,.,.,.,2302,188,132,.,2622,.,.,.,.,.,.,.,.,.,.,2302,188,132,.,2622,26500,13545,27680,.,67725,.,.,.,.,.,.,.,.,.,.
2014,944,City of Athens - (AL),,AL,9450,1128,0,0,10578,0,0,1,0,1,0,0,0,0,0,27499,5372,8,0,32879,36949,6500,9,0,43458,0,0,40864.33,0,40864.33,0,0,1,0,1,0,0,0,0,0
2014,947,Athens Utility Board,,TN,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,10885,2198,4,0,13087,10885,2198,9,0,13092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,963,Atlantic City Electric Co,,NJ,637,.,582,.,1219,.,.,.,.,.,.,.,.,.,.,403707,43621,.,.,447328,404344,43621,582,.,448547,.,.,.,.,.,.,.,.,.,.,44859,.,.,.,44859
