Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,,,"Washington: King County,",Loss of electric service to more,,,
,,,,,,,,,,"Whatcom County, Kitsap","than 50,000 customers for 1",,,
2016,3,03/01/2016,3:00 PM,.,.,". Hours,",. Minutes,Puget Sound Energy,WECC,"County, Skagit County;",,hour or more-Weather,Unknown,56000
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,California: San Bernardino,system adequacy or reliability-,,,
2016,3,03/03/2016 11:00 AM,04/16/2016,7:47 PM,,"1,064 Hours, 47 Minutes",,California Department of Water Resources,WECC,County;,,Fuel Supply Deficiency,0,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Colorado: Denver, City and","than 50,000 customers for 1",,,
2016,3,03/23/2016,5:00 AM,03/25/2016 11:59 PM,,"66 Hours, 59 Minutes",,Xcel Energy/Public Service Company of Colorado,WECC,County of[12];,,hour or more-Weather,0,0
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident-,,,
2016,4,04/02/2016 11:08 AM,04/02/2016 11:33 AM,,,"0 Hours, 25 Minutes",,California Department of Water Resources,WECC,California,,System Operations,360,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,4,04/18/2016,5:05 AM,04/20/2016,7:55 AM,"50 Hours, 50 Minutes",,CenterPoint Energy,TRE,Texas: Harris County,,hour or more-Weather,Unknown,415103
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,4,04/27/2016,5:50 AM,04/28/2016,1:35 AM,"19 Hours, 45 Minutes",,CenterPoint Energy,TRE,Texas: Harris County,,hour or more-Weather,Unknown,214864
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,,,partial failure of an integrated,,,
2016,5,05/08/2016,9:12 AM,.,.,". Hours,",. Minutes,Peak Reliability,WECC,Washington: Clark County;,electrical system-Islanding,,Unknown,Unknown
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,"Texas: Dallas County, Tarrant",hour or more-Distribution,,,
2016,5,05/10/2016,8:45 PM,05/13/2016,3:00 AM,"54 Hours, 15 Minutes",,Oncor Electric Delivery Company LLC,TRE,"County, Parker County;",,Interruption,Unknown,85000
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident-,,,
2016,5,05/19/2016,9:36 PM,05/20/2016,1:00 AM,"3 Hours, 24 Minutes",,Pacificorp,WECC,Utah:,,System Operations,461,85179
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more-Distribution,,,
2016,5,05/20/2016 12:00 AM,05/22/2016,5:00 AM,,"53 Hours,",0 Minutes,"Entergy Services, Inc.",SERC,Louisiana:,,Interruption,Unknown,85000
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,5,05/20/2016,1:15 AM,.,.,". Hours,",. Minutes,Entergy Transmission - SOC,SERC,Louisiana:,,hour or more-Weather,Unknown,57184
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,,system adequacy or reliability-,,,
2016,5,05/31/2016,7:30 AM,06/13/2016,7:27 AM,"311 Hours, 57 Minutes",,Upstate New York Power Producers,NPCC,New York: Tompkins County;,,Fuel Supply Deficiency,150,Unknown
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Georgia, Alabama, Mississippi,","than 50,000 customers for 1",,,
2016,6,06/17/2016,3:40 PM,06/18/2016,8:34 AM,"16 Hours, 54 Minutes",,Southern Company,SERC,Florida,,hour or more-Weather,304,91260
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Texas: Dallas County, Tarrant","than 50,000 customers for 1",,,
2016,7,07/05/2016,2:45 AM,07/06/2016,3:00 AM,"24 Hours, 15 Minutes",,Oncor Electric Delivery Company LLC,TRE,County,hour or more-Severe Weather,,Unknown,52000
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,7,07/05/2016,5:30 PM,07/06/2016,4:00 PM,"22 Hours, 30 Minutes",,Northern States Power Co,MRO,"Minnesota, Wisconsin",hour or more-Severe Weather,,Unknown,250000
,,,,,,,,,,Kansas: Johnson County;,,,,
,,,,,,,,,,"Missouri: Jackson County,",,,,
,,,,,,,,,,"Platte County, Cass County,",,,,
,,,,,,,,,,"Buchanan County, Atchison",Loss of electric service to more,,,
,,,,,,,,,,"County, Andrew County, Clay","than 50,000 customers for 1",,,
2016,7,07/07/2016,4:20 AM,07/07/2016,8:00 AM,"3 Hours, 40 Minutes",,Kansas City Power & Light Co,SERC,"County, Nodaway County",hour or more-Severe Weather,,Unknown,58500
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,American Electric Power - (RFC Reliability Region),,,"than 50,000 customers for 1",,,
2016,7,07/08/2016,6:00 PM,.,.,". Hours,",. Minutes,"(8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,West Virginia: Virginia,hour or more-Severe Weather,,Unknown,62961
,,,,,,,,,,"Michigan: Wayne County,",,,,
,,,,,,,,,,"Oakland County, Macomb",,,,
,,,,,,,,,,"County, St. Clair County,",,,,
,,,,,,,,,,"Lapeer County, Tuscola",Loss of electric service to more,,,
,,,,,,,,,,"County, Sanilac County, Huron","than 50,000 customers for 1",,,
2016,7,07/08/2016,7:00 PM,07/09/2016 12:00 AM,,"5 Hours,",0 Minutes,Detroit Edison Co,RFC,County,hour or more-Severe Weather,,Unknown,160895
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,7,07/08/2016,8:50 PM,07/09/2016,7:25 PM,"22 Hours, 35 Minutes",,Duke Energy Carolinas,SERC,North Carolina,hour or more-Severe Weather,,600,203345
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,7,07/09/2016,5:45 PM,07/11/2016,2:00 PM,"44 Hours, 15 Minutes",,Oncor Electric Delivery Company LLC,TRE,Texas: Dallas County,hour or more-Severe Weather,,Unknown,62000
"Table B.2 Major Disturbances and Unusual Occurrences, 2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/12/2016,2:10 PM,07/12/2016,8:33 PM,"6 Hours, 23 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,,Operations,450,218000
,,,,,,,,,,,Public Appeal-System,,,
2016,7,07/13/2016,3:00 PM,.,.,". Hours,",. Minutes,Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County,,Operations,Unknown,Unknown
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,7,07/14/2016,2:44 PM,07/15/2016,4:00 AM,"13 Hours, 16 Minutes",,American Electric Power - (SPP Reliability Region),SPP,Oklahoma,hour or more-Severe Weather,,Unknown,96966
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"SPP,",Arkansas: Louisiana:,"than 50,000 customers for 1",,,
2016,7,07/14/2016,4:30 PM,07/16/2016 12:00 AM,,"31 Hours, 30 Minutes",,"Entergy Services, Inc.","SERC,",Mississippi: Texas,hour or more-Severe Weather,,Unknown,170244
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,7,07/14/2016,5:30 PM,07/16/2016,8:00 PM,"50 Hours, 30 Minutes",,Oklahoma Gas & Electric Co,SPP,Oklahoma: Arkansas,hour or more-Severe Weather,,Unknown,7300
,,,,,,,,,,,"Islanding, Uncontrolled Loss",,,
2016,7,07/19/2016,3:45 PM,07/19/2016,7:25 PM,"3 Hours, 40 Minutes",,Pacificorp,WECC,Idaho,300+ MW-System Operations,,485,Unknown
,,,,,,,,,,,"Islanding, Uncontrolled Loss",,,
2016,7,07/19/2016,3:45 PM,07/19/2016,7:29 PM,"3 Hours, 44 Minutes",,Bonneville Power Administration,WECC,Idaho,300+ MW-System Operations,,290,Unknown
,,,,,,,,,,,"Load Shed 100+ MW, Voltage",,,
2016,7,07/21/2016,7:21 PM,07/22/2016 12:09 AM,,"4 Hours, 48 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,Reduction-System Operations,,200,266000
,,,,,,,,,,Massachusetts: Connecticut:,Loss of electric service to more,,,
,,,,,,,,,,Rhode Island: New Hampshire:,"than 50,000 customers for 1",,,
2016,7,07/22/2016 11:50 PM,07/23/2016,9:10 AM,,"9 Hours, 20 Minutes",,ISO New England,NPCC,Vermont: Maine,hour or more-Severe Weather,,Unknown,57058
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/23/2016,3:15 PM,07/23/2016,7:53 PM,"4 Hours, 38 Minutes",,CAmbria Cogen Company,RFC,Pennsylvania: Cambria County,,Operations,87,Unknown
,,,,,,,,,,Connecticut: Massachusetts:,Loss of electric service to more,,,
,,,,,,,,,,New Hampshire: Vermont:,"than 50,000 customers for 1",,,
2016,7,07/23/2016,7:30 PM,07/24/2016,7:30 AM,"12 Hours,",0 Minutes,ISO New England,NPCC,Rhode Island,hour or more-Severe Weather,,Unknown,101073
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/25/2016,6:51 PM,07/26/2016,2:19 AM,"7 Hours, 28 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,,Operations,0,0
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/26/2016,6:51 PM,07/27/2016,1:45 AM,"6 Hours, 54 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,,Operations,25,37100
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/27/2016,6:50 PM,07/28/2016,1:38 AM,"6 Hours, 48 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,,Operations,80,106300
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/28/2016,6:51 PM,07/29/2016,2:02 AM,"7 Hours, 11 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,,Operations,22,21600
,,,,,,,,,,,Voltage Reduction-System,,,
2016,7,07/29/2016,7:09 PM,07/29/2016,7:57 PM,"0 Hours, 48 Minutes",,Puerto Rico Electric Power Authority,PR,Puerto Rico,,Operations,0,0
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident-,,,
2016,8,08/07/2016,6:39 PM,08/07/2016,8:27 PM,"1 Hours, 48 Minutes",,Peak Reliability,WECC,New Mexico: Bernalillo County;,,System Operations,Unknown,Unknown
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,,system adequacy or reliability-,,,
2016,8,08/10/2016,6:00 AM,.,.,". Hours,",. Minutes,California Department of Water Resources,WECC,California: Butte County;,Fuel Supply Deficiency,,0,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,8,08/11/2016,4:30 PM,08/11/2016,7:15 PM,"2 Hours, 45 Minutes",,FirstEnergy Corp,RFC,Ohio:,hour or more-Severe Weather,,Unknown,62140
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident-,,,
2016,8,08/13/2016 11:42 AM,08/13/2016,2:07 PM,,"2 Hours, 25 Minutes",,"Broad River Energy, LLC",SERC,South Carolina:,,System Operations,506,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,8,08/23/2016,5:00 PM,08/24/2016 12:05 AM,,"7 Hours,",5 Minutes,CenterPoint Energy,TRE,Texas: Harris County;,hour or more-Severe Weather,,Unknown,72200
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident-,,,
2016,8,08/24/2016,6:13 PM,08/24/2016,7:14 PM,"1 Hours,",1 Minutes,Puerto Rico Electric Power Authority,PR,Puerto Rico:,,System Operations,600,400000
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,,,partial failure of an integrated,,,
2016,8,08/24/2016,7:18 PM,08/24/2016,7:47 PM,"0 Hours, 29 Minutes",,Peak Reliability,WECC,Washington: King County;,electrical system-Islanding,,9232,Unknown
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,,,electrical system-Transmission,,,
2016,8,08/31/2016,9:45 AM,08/31/2016,9:55 AM,"0 Hours, 10 Minutes",,Peak Reliability,WECC,Colorado:,,Interruption,0,0
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,,,partial failure of an integrated,,,
2016,8,08/31/2016,2:52 PM,.,.,". Hours,",. Minutes,Peak Reliability,WECC,Washington: Clark County;,electrical system-Islanding,,0,0
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,9,09/01/2016 10:00 PM,.,.,,". Hours,",. Minutes,Seminole Electric Cooperative Inc,FRCC,Florida:,hour or more-Severe Weather,,100,Unknown
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Florida: Leon County, Wakulla","than 50,000 customers for 1",,,
2016,9,09/02/2016 12:40 AM,09/04/2016,8:00 PM,,"67 Hours, 20 Minutes",,City of Tallahassee - (FL),FRCC,County;,hour or more-Severe Weather,,450,75000
,,,,,,,,,,"Florida: Alachua County, Bay",,,,
,,,,,,,,,,"County, Citrus County,",,,,
,,,,,,,,,,"Columbia County, Dixie",,,,
,,,,,,,,,,"County, Franklin County,",,,,
,,,,,,,,,,"Gilchrist County, Gulf County,",,,,
,,,,,,,,,,"Hamilton County, Hardee",,,,
,,,,,,,,,,"County, Hernando County,",,,,
,,,,,,,,,,"Highlands County, Jefferson",,,,
,,,,,,,,,,"County, Lafayette County, Lake",,,,
,,,,,,,,,,"County, Levy County, Madison",,,,
,,,,,,,,,,"County, Marion County, Orange",,,,
,,,,,,,,,,"County, Osceola County,",,,,
,,,,,,,,,,"Pasco County, Pinellas County,",Loss of electric service to more,,,
,,,,,,,,,,"Polk County, Seminole County,","than 50,000 customers for 1",,,
2016,9,09/02/2016,4:00 AM,09/02/2016,4:00 PM,"12 Hours,",0 Minutes,Duke Energy Florida,FRCC,"Sumter County, Su",hour or more-Severe Weather,,225,90000
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2016,9,09/02/2016,5:45 AM,09/03/2016 12:30 AM,,"18 Hours, 45 Minutes",,Southern Company,SERC,Georgia:,hour or more-Severe Weather,,Unknown,57000
"Table B.2 Major Disturbances and Unusual Occurrences, 2016",,,,,,,,,,,,,
,,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,,,,Electrical System Separation,,
,,,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,,,of a power grid remain(s),,
,,,,,,,,,,,operational in an otherwise,,
,,,,,,,,,,,blacked out area or within the,,
,,,,,,,,,,,partial failure of an integrated,,
2016,9,09/06/2016,6:12 PM,09/06/2016,9:24 PM,"3 Hours, 12 Minutes",,Peak Reliability,WECC,Washington: Clark County;,electrical system-Islanding,300,Unknown
,,,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,,,could impact electric power,,
,,,,,,,,,,,system adequacy or reliability-,,
2016,9,09/08/2016,8:30 AM,09/25/2016 12:00 AM,,"399 Hours, 30 Minutes",,Upstate New York Power Producers,NPCC,New York: Tompkins County;,Fuel Supply Deficiency,210,Unknown
,,,,,,,,,,,Electrical System Separation,,
,,,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,,,of a power grid remain(s),,
,,,,,,,,,,,operational in an otherwise,,
,,,,,,,,,,,blacked out area or within the,,
,,,,,,,,,,,partial failure of an integrated,,
2016,9,09/08/2016,2:49 PM,09/08/2016,3:03 PM,"0 Hours, 14 Minutes",,Peak Reliability,WECC,Washington:,electrical system-Islanding,0,0
,,,,,,,,,,,Load shedding of 100,,
,,,,,,,,,,,Megawatts or more,,
,,,,,,,,,,,implemented under emergency,,
,,,,,,,,,,,operational policy-Generation,,
2016,9,09/10/2016,9:42 AM,09/10/2016,9:57 AM,"0 Hours, 15 Minutes",,Peak Reliability,WECC,Washington: Clark County;,Inadequacy,135,Unknown
,,,,,,,,,,Connecticut: Massachusetts:,Loss of electric service to more,,
,,,,,,,,,,New Hampshire: Rhode Island:,"than 50,000 customers for 1",,
2016,9,09/11/2016 12:05 PM,09/11/2016,3:10 PM,,"3 Hours,",5 Minutes,ISO New England,NPCC,Vermont: Maine:,hour or more-Severe Weather,Unknown,57960
,,,,,,,,,,,Load shedding of 100,,
,,,,,,,,,,,Megawatts or more,,
,,,,,,,,,,"New Mexico: Bernalillo County,",implemented under emergency,,
,,,,,,,,,,"Sandoval County, Santa Fe",operational policy-Generation,,
2016,9,09/12/2016 12:30 PM,09/12/2016,5:56 PM,,"5 Hours, 26 Minutes",,Public Service Company of New Mexico,WECC,"County, Valencia County;",Inadequacy,110,53753
,,,,,,,,,,,Complete operational failure or,,
,,,,,,,,,,,shut-down of the transmission,,
,,,,,,,,,,,and/or distribution electrical,,
2016,9,09/21/2016,2:30 PM,09/24/2016,2:30 AM,"60 Hours,",0 Minutes,Puerto Rico Electric Power Authority,,Puerto Rico:,system-System Operations,2750,1475000
,,,,,,,,,,,Complete operational failure or,,
,,,,,,,,,,,shut-down of the transmission,,
,,,,,,,,,,,and/or distribution electrical,,
2016,9,09/22/2016 10:56 AM,09/22/2016 11:41 AM,,,"0 Hours, 45 Minutes",,Cedar Falls Utilities,MRO,Iowa: Black Hawk County;,system-System Operations,69,19124
,,,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,,,electric power system-,,
2016,10,10/02/2016 11:30 PM,10/05/2016,8:00 AM,,"56 Hours, 30 Minutes",,Pacificorp,WECC,Utah:,Transmission Interruption,50,4000
,,,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,,,electric power system-Public,,
2016,10,10/03/2016,3:09 PM,10/04/2016,7:00 PM,"27 Hours, 51 Minutes",,ERCOT,TRE,Texas:,Appeal,Unknown,Unknown
,,,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,,,electric power system-Public,,
2016,10,10/05/2016 11:32 AM,10/05/2016,7:00 PM,,"7 Hours, 28 Minutes",,ERCOT,TRE,Texas:,Appeal,Unknown,Unknown
,,,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,,,electric power system-Public,,
2016,10,10/06/2016,9:50 AM,10/06/2016,7:00 PM,"9 Hours, 10 Minutes",,ERCOT,TRE,Texas:,Appeal,Unknown,Unknown
,,,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,,,"than 50,000 customers for 1",,
2016,10,10/06/2016,7:30 PM,10/08/2016,6:00 PM,"46 Hours, 30 Minutes",,Florida Power & Light,FRCC,Florida:,hour or more-Severe Weather,5600,1200000
,,,,,,,,,,"Florida: Alachua County, Bay",,,
,,,,,,,,,,"County, Citrus County,",,,
,,,,,,,,,,"Columbia County, Dixie",,,
,,,,,,,,,,"County, Franklin County,",,,
,,,,,,,,,,"Gilchrist County, Gulf County,",,,
,,,,,,,,,,"Hamilton County, Hardee",,,
,,,,,,,,,,"County, Hernando County,",,,
,,,,,,,,,,"Highlands County, Jefferson",,,
,,,,,,,,,,"County, Lafayette County, Lake",,,
,,,,,,,,,,"County, Levy County, Madison",,,
,,,,,,,,,,"County, Marion County, Orange",,,
,,,,,,,,,,"County, Osceola County,",,,
,,,,,,,,,,"Pasco County, Pinellas County,",Loss of electric service to more,,
,,,,,,,,,,"Polk County, Seminole County,","than 50,000 customers for 1",,
2016,10,10/07/2016,8:00 AM,10/09/2016,1:00 PM,"53 Hours,",0 Minutes,Duke Energy Florida,FRCC,"Sumter County, Su",hour or more-Severe Weather,413,165000
,,,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,,,electric power system-,,
2016,10,10/07/2016 11:08 AM,10/07/2016,7:00 PM,,"7 Hours, 52 Minutes",,ERCOT,TRE,Texas:,Generation Inadequacy,Unknown,Unknown
,,,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,,,"than 50,000 customers for 1",,
2016,10,10/07/2016,4:22 PM,10/12/2016 11:00 AM,,"114 Hours, 38 Minutes",,Southern Company,SERC,Georgia:,hour or more-Severe Weather,122,36384
,,,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,,,"than 50,000 customers for 1",,
2016,10,10/07/2016 10:45 PM,.,.,,". Hours,",. Minutes,Seminole Electric Cooperative Inc,FRCC,Florida:,hour or more-Severe Weather,Unknown,Unknown
,,,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,,,"than 50,000 customers for 1",,
2016,10,10/08/2016,1:10 AM,.,.,". Hours,",. Minutes,South Carolina Electric and Gas,SERC,South Carolina:,hour or more-Severe Weather,1050,290824
,,,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,,,"than 50,000 customers for 1",,
2016,10,10/08/2016,8:21 AM,10/13/2016,5:30 PM,"129 Hours,",9 Minutes,Duke Energy Progress,SERC,North Carolina: South Carolina:,hour or more-Severe Weather,Unknown,Unknown
,,,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,,,electric power system-,,
2016,10,10/10/2016,1:15 PM,10/10/2016,7:00 PM,"5 Hours, 45 Minutes",,ERCOT,TRE,Texas:,Generation Inadequacy,Unknown,Unknown
,,,,,,,,,,,Electrical System Separation,,
,,,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,,,of a power grid remain(s),,
,,,,,,,,,,,operational in an otherwise,,
,,,,,,,,,,,blacked out area or within the,,
,,,,,,,,,,,partial failure of an integrated,,
