"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM"
"99725599999","2020-11-02T15:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0015,1","-0078,1","10270,1","6,1,006,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2109 10015 21078 40270 56006 91500 333 91212 555 11009 22010="
"99725599999","2020-11-02T16:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0038,1","-0087,1","10261,1","8,1,012,1,+999,9","5,99,0067,1,999","SYN074CMTI2 46/// /2208 10038 21087 40261 58012 91600 333 91213 555 11008 22009="
"99725599999","2020-11-02T17:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0052,1","-0085,1","10247,1","8,1,025,1,+999,9","5,99,0072,1,999","SYN074CMTI2 46/// /2111 10052 21085 40247 58025 91700 333 91214 555 11011 22011="
"99725599999","2020-11-02T18:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0051,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10235,1",,"5,99,0082,1,999","SYN062CMTI2 46/// /2110 1//// 40235 91742 333 91216 555 11010 22010="
"99725599999","2020-11-02T19:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0082,1","-0084,1","10217,1","7,1,044,1,+999,9","5,99,0103,1,999","SYN074CMTI2 46/// /2212 10082 21084 40217 57044 91900 333 91220 555 11011 22012="
"99725599999","2020-11-02T20:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0096,1","-0076,1","10208,1","7,1,039,1,+999,9","5,99,0093,1,999","SYN074CMTI2 46/// /2212 10096 21076 40208 57039 92000 333 91218 555 11012 22013="
"99725599999","2020-11-02T21:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0096,1","-0069,1","10201,1",,"5,99,0113,1,999","SYN068CMTI2 46/// /2211 10096 21069 40201 92036 333 91222 555 11011 22012="
"99725599999","2020-11-02T22:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0097,1","-0064,1","10193,1","6,1,024,1,+999,9","5,99,0057,1,999","SYN074CMTI2 46/// /2207 10097 21064 40193 56024 92200 333 91211 555 11007 22008="
"99725599999","2020-11-02T23:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0089,1","-0059,1","10190,1",,"5,99,0067,1,999","SYN068CMTI2 46/// /2208 10089 21059 40190 92312 333 91213 555 11008 22009="
"99725599999","2020-11-03T00:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0085,1","-0052,1","10190,1","6,1,007,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2108 10085 21052 40190 56007 90000 333 91212 555 11008 22008="
"99725599999","2020-11-03T01:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0082,1","-0040,1","10191,1","5,1,000,1,+999,9","5,99,0057,1,999","SYN074CMTI2 46/// /2106 10082 21040 40191 55000 90100 333 91211 555 11006 22006="
"99725599999","2020-11-03T02:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0077,1","-0037,1","10186,1","9,9,000,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2109 10077 21037 40186 50000 90200 333 91212 555 11009 22010="
"99725599999","2020-11-03T03:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0071,1","-0037,1","10188,1","4,1,000,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2107 10071 21037 40188 54000 90300 333 91212 555 11007 22008="
"99725599999","2020-11-03T04:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0067,1","-0033,1","10183,1","7,1,008,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2107 10067 21033 40183 57008 90400 333 91210 555 11007 22008="
"99725599999","2020-11-03T05:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0066,1","-0035,1","10184,1","4,1,000,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /2307 10066 21035 40184 54000 90500 333 91209 555 11007 22007="
"99725599999","2020-11-03T06:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0061,1","-0031,1","10183,1","6,1,005,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2308 10061 21031 40183 56005 90600 333 91212 555 11008 22009="
"99725599999","2020-11-03T07:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0054,1","-0028,1","10184,1","4,1,000,1,+999,9","5,99,0057,1,999","SYN074CMTI2 46/// /2307 10054 21028 40184 54000 90700 333 91211 555 11007 22008="
"99725599999","2020-11-03T08:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0049,1","-0023,1","10186,1","4,1,000,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /2205 10049 21023 40186 54000 90800 333 91208 555 11005 22005="
"99725599999","2020-11-03T09:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0048,1","-0019,1","10183,1","9,9,000,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2206 10048 21019 40183 50000 90900 333 91210 555 11006 22006="
"99725599999","2020-11-03T10:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0046,1","-0017,1","10183,1","4,1,000,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /2205 10046 21017 40183 54000 91000 333 91209 555 11005 22006="
"99725599999","2020-11-03T11:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0046,1","-0013,1","10184,1","5,1,000,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /2205 10046 21013 40184 55000 91100 333 91208 555 11005 22006="
"99725599999","2020-11-03T12:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0044,1","-0010,1","10184,1","4,1,000,1,+999,9","5,99,0046,1,999","SYN074CMTI2 46/// /2107 10044 21010 40184 54000 91200 333 91209 555 11007 22008="
"99725599999","2020-11-03T13:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0050,1","-0002,1","10181,1","9,9,000,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /2204 10050 21002 40181 50000 91300 333 91206 555 11004 22004="
"99725599999","2020-11-03T14:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0081,1","+0003,1","10188,1","3,1,004,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /2305 10081 20003 40188 53004 91400 333 91208 555 11005 22005="
"99725599999","2020-11-03T15:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","220,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0103,1","+0007,1","10192,1","3,1,008,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2207 10103 20007 40192 53008 91500 333 91212 555 11007 22008="
"99725599999","2020-11-03T16:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","230,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0138,1","+0014,1","10192,1","1,1,011,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2306 10138 20014 40192 51011 91600 333 91210 555 11006 22007="
"99725599999","2020-11-03T17:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0155,1","+0015,1","10184,1","8,1,004,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /2009 10155 20015 40184 58004 91700 333 91212 555 11009 22010="
"99725599999","2020-11-03T18:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0177,1","+0011,1","10178,1","8,1,014,1,+999,9","5,99,0067,1,999","SYN074CMTI2 46/// /2109 10177 20011 40178 58014 91800 333 91213 555 11009 22010="
"99725599999","2020-11-03T19:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0191,1","+0020,1","10171,1","6,1,021,1,+999,9","5,99,0082,1,999","SYN074CMTI2 46/// /2008 10191 20020 40171 56021 91900 333 91216 555 11008 22008="
"99725599999","2020-11-03T20:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0198,1","+0024,1","10164,1","8,1,020,1,+999,9","5,99,0072,1,999","SYN074CMTI2 46/// /2011 10198 20024 40164 58020 92000 333 91214 555 11011 22012="
"99725599999","2020-11-03T21:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","210,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0200,1","+0023,1","10160,1","6,1,018,1,+999,9","5,99,0072,1,999","SYN074CMTI2 46/// /2111 10200 20023 40160 56018 92100 333 91214 555 11011 22011="
"99725599999","2020-11-03T22:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0200,1","+0024,1","10160,1","6,1,011,1,+999,9","5,99,0077,1,999","SYN074CMTI2 46/// /2011 10200 20024 40160 56011 92200 333 91215 555 11011 22012="
"99725599999","2020-11-03T23:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0184,1","+0030,1","10163,1","5,1,000,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /1905 10184 20030 40163 55000 92300 333 91208 555 11005 22006="
"99725599999","2020-11-04T00:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0171,1","+0034,1","10165,1","2,1,005,1,+999,9","5,99,0051,1,999","SYN074CMTI2 46/// /2007 10171 20034 40165 52005 90000 333 91210 555 11007 22008="
"99725599999","2020-11-04T01:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0164,1","+0039,1","10169,1","3,1,009,1,+999,9","5,99,0062,1,999","SYN074CMTI2 46/// /1909 10164 20039 40169 53009 90100 333 91212 555 11009 22010="
"99725599999","2020-11-04T02:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0155,1","+0039,1","10169,1","2,1,006,1,+999,9","5,99,0077,1,999","SYN074CMTI2 46/// /1911 10155 20039 40169 52006 90200 333 91215 555 11011 22011="
"99725599999","2020-11-04T03:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0147,1","+0043,1","10171,1","1,1,006,1,+999,9","5,99,0077,1,999","SYN074CMTI2 46/// /2010 10147 20043 40171 51006 90300 333 91215 555 11010 22011="
"99725599999","2020-11-04T04:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0137,1","+0046,1","10172,1","2,1,003,1,+999,9","5,99,0067,1,999","SYN074CMTI2 46/// /2010 10137 20046 40172 52003 90400 333 91213 555 11010 22010="
