"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM","EQD"
"99849999999","2020-06-09T08:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0198,1","+0141,1","99999,9",,,"5,99,0021,1,999","SYN062CNII2 46/// /1504 10198 20141 90745 333 91204 555 11004 22004=",
"99849999999","2020-06-09T09:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0195,1","+0146,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0000 10195 20146 90845 333 91205 555 11000 22000=",
"99849999999","2020-06-09T10:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0189,1","+0150,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0000 10189 20150 90945 333 91205 555 11000 22000=",
"99849999999","2020-06-09T11:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","070,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0200,1","+0153,1","99999,9",,,"5,99,0015,1,999","SYN062CNII2 46/// /0701 10200 20153 91100 333 91203 555 11001 22001=",
"99849999999","2020-06-09T12:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","080,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0204,1","+0162,1","99999,9",,,"5,99,0015,1,999","SYN062CNII2 46/// /0801 10204 20162 91145 333 91203 555 11001 22002=",
"99849999999","2020-06-09T13:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0212,1","+0159,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0505 10212 20159 91300 333 91206 555 11005 22006=",
"99849999999","2020-06-09T14:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0218,1","+0155,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0302 10218 20155 91345 333 91206 555 11002 22002=",
"99849999999","2020-06-09T15:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0236,1","+0166,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0000 10236 20166 91445 333 91206 555 11001 22001=",
"99849999999","2020-06-09T16:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","080,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0234,1","+0170,1","99999,9",,,"5,99,0026,1,999","SYN062CNII2 46/// /0803 10234 20170 91545 333 91205 555 11003 22003=",
"99849999999","2020-06-09T17:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0235,1","+0177,1","99999,9",,,"5,99,0031,1,999","SYN062CNII2 46/// /0401 10235 20177 91645 333 91206 555 11001 22001=",
"99849999999","2020-06-09T18:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","070,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0229,1","+0184,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /0710 10229 20184 91800 333 91212 555 11010 22010=",
