"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99773599999","2018-10-03T23:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0289,1","+9999,9","99999,9","5,99,0139,1,999","SYN056WHRI2 46/// /2118 10289 92240 333 91227 555 11018 22019="
"99773599999","2018-10-04T00:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0282,1","+9999,9","99999,9","5,99,0108,1,999","SYN056WHRI2 46/// /2117 10282 92340 333 91221 555 11018 22019="
"99773599999","2018-10-04T01:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","210,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0283,1","+9999,9","99999,9","5,99,0124,1,999","SYN056WHRI2 46/// /2121 10283 90040 333 91224 555 11021 22022="
"99773599999","2018-10-04T02:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","220,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0279,1","+9999,9","99999,9","5,99,0129,1,999","SYN056WHRI2 46/// /2219 10279 90140 333 91225 555 11020 22021="
"99773599999","2018-10-04T03:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","220,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0278,1","+9999,9","99999,9","5,99,0170,1,999","SYN056WHRI2 46/// /2221 10278 90240 333 91233 555 11021 22022="
"99773599999","2018-10-04T04:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","220,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0274,1","+9999,9","99999,9","5,99,0139,1,999","SYN056WHRI2 46/// /2220 10274 90351 333 91227 555 11020 22021="
"99773599999","2018-10-04T05:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","230,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0267,1","+9999,9","99999,9","5,99,0139,1,999","SYN056WHRI2 46/// /2321 10267 90440 333 91227 555 11021 22022="
"99773599999","2018-10-04T06:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","240,1,N,0118,1","99999,9,9,N","999999,9,9,9","+0259,1","+9999,9","99999,9","5,99,0160,1,999","SYN056WHRI2 46/// /2423 10259 90540 333 91231 555 11023 22025="
"99773599999","2018-10-04T07:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","270,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0221,1","+9999,9","99999,9","5,99,0077,1,999","SYN056WHRI2 46/// /2711 10221 90640 333 91215 555 11011 22012="
"99773599999","2018-10-04T08:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","290,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0220,1","+9999,9","99999,9","5,99,0082,1,999","SYN056WHRI2 46/// /2910 10220 90740 333 91216 555 11010 22011="
"99773599999","2018-10-04T09:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","310,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0198,1","+9999,9","99999,9","5,99,0124,1,999","SYN056WHRI2 46/// /3115 10198 90840 333 91224 555 11015 22016="
"99773599999","2018-10-04T10:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","330,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0179,1","+9999,9","99999,9","5,99,0118,1,999","SYN056WHRI2 46/// /3316 10179 90940 333 91223 555 11017 22018="
"99773599999","2018-10-04T11:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","330,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0164,1","+9999,9","99999,9","5,99,0124,1,999","SYN056WHRI2 46/// /3316 10164 91040 333 91224 555 11016 22017="
"99773599999","2018-10-04T12:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","330,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0132,1","+9999,9","99999,9","5,99,0129,1,999","SYN056WHRI2 46/// /3316 10132 91140 333 91225 555 11016 22017="
"99773599999","2018-10-04T13:00:00","4","42.35","-87.82","188.0","WAUKEGAN HARBOR, IL US","FM-13","99999","V020","340,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0116,1","+9999,9","99999,9","5,99,0103,1,999","SYN056WHRI2 46/// /3413 10116 91240 333 91220 555 11013 22014="
