"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM","EQD"
"99849799999","2018-11-26T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","020,1,N,0160,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9","SYN046FSTI2 46/// /0231 10020 90100 555 11031 22034=",
"99849799999","2018-11-26T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0304,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","SYN046FSTI2 46/// /0359 10015 90200 555 11060 22065=",
"99849799999","2018-11-26T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","020,1,N,0309,1","99999,9,9,N","999999,9,9,9","+0017,1","+9999,9","99999,9","SYN046FSTI2 46/// /0260 10017 90300 555 11061 22066=",
"99849799999","2018-11-26T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","030,1,N,0190,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9","SYN046FSTI2 46/// /0337 10014 90400 555 11037 22041=",
"99849799999","2018-11-26T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","020,1,N,0221,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9","SYN046FSTI2 46/// /0243 10014 90500 555 11043 22047=",
"99849799999","2018-11-26T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0247,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9","SYN046FSTI2 46/// /0148 10015 90600 555 11048 22052=",
"99849799999","2018-11-26T07:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0247,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9","SYN046FSTI2 46/// /0148 10010 90700 555 11049 22053=",
"99849799999","2018-11-26T08:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","360,1,N,0396,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9","SYN046FSTI2 46/// /3677 10009 90800 555 11077 22084=",
"99849799999","2018-11-26T09:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","010,1,N,0350,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9","SYN046FSTI2 46/// /0168 10010 90900 555 11069 22075=",
"99849799999","2018-11-26T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","350,1,N,0216,1","99999,9,9,N","999999,9,9,9","+0006,1","+9999,9","99999,9","SYN046FSTI2 46/// /3542 10006 91000 555 11042 22046=",
