Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,RESIDENTIAL,Unnamed: 10,Unnamed: 11,COMMERCIAL,Unnamed: 13,Unnamed: 14,INDUSTRIAL,Unnamed: 16,Unnamed: 17,TRANSPORTATION,Unnamed: 19,Unnamed: 20,TOTAL,Unnamed: 22,Unnamed: 23
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2015,10000,Kansas City Power & Light Co,A,Bundled,O,MO,Investor Owned,SWPP,310481.8,2474013,243292,443168.1,4435405,31517,112813.6,1522742,996,.,.,.,866463.5,8432160,275805
2015,10005,Kansas Gas & Electric Co,A,Bundled,O,KS,Investor Owned,SWPP,367815.4,3055399,283822,304376.6,3168482,36603,238504.6,3433439,3456,0,0,0,910696.6,9657320,323881
2015,10009,Karnes Electric Coop Inc,A,Bundled,O,TX,Cooperative,ERCO,21349,218885,15577,39488,406801,3885,11438,186635,19,0,0,0,72275,812321,19481
2015,10012,Kay Electric Coop,A,Bundled,O,OK,Cooperative,SWPP,6314.6,51927,4280,18373.8,175866,1600,14173.1,247768,33,0,0,0,38861.5,475561,5913
2015,10019,Kaw Valley Electric Coop Inc,A,Bundled,O,KS,Cooperative,SWPP,15724.6,110257,8692,3504.3,25202,726,542.8,5914,4,0,0,0,19771.7,141373,9422
2015,10056,City of Kaukauna,A,Bundled,O,WI,Municipal,MISO,13607,115427,13166,15147.9,143868,1757,29493.5,428056,9,0,0,0,58248.4,687351,14932
2015,10057,City of Lamar - (MO),A,Bundled,O,MO,Municipal,AECI,2161,20859,2039,4176,39750,442,.,.,.,.,.,.,6337,60609,2481
2015,10063,Kaysville City Corporation,A,Bundled,O,UT,Municipal,PACE,8513,90845,8413,3846,47335,734,156,2395,1,.,.,.,12515,140575,9148
2015,10065,KBR Rural Public Power District,A,Bundled,O,NE,Political Subdivision,SWPP,4765,35811,3345,2461,19964,673,5631,34562,779,.,.,.,12857,90337,4797
2015,10066,K C Electric Association,A,Bundled,O,CO,Cooperative,WACM,5088,37958,3279,9500,86324,2455,6872,67204,732,0,0,0,21460,191486,6466
