Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Also operating in other NERC Regions,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Operating in these RTOs,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Other Activities,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2015,970,Homefield Energy,IL,Retail Power Marketer,RFC,,,,,Y,,,,,,,,,,,,,,,,,Y,Y,,,
2015,993,Auburn Board of Public Works,NE,Municipal,MRO,,,N,,,,Y,,,,,,,,,,Y,N,Y,Y,,,,Y,,
2015,994,City of Auburn - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,N,,Y,,,,,,
2015,998,City of Augusta - (KS),KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,,Y,Y,,,,Y,,
2015,1009,City of Austin - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,N,,Y,Y,,Y,Y,,
2015,1015,Austin Energy,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,N,Y,,Y,Y,,Y,Y
2015,1024,City of Ava - (MO),MO,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1036,Town of Ayden - (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,N,,
2015,1050,City of Azusa,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,N,,Y,,Y,N,Y,Y,Y
2015,1062,BARC Electric Coop Inc,VA,Cooperative,SERC,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,,
2015,1101,Bagley Public Utilities Comm,MN,Municipal,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2015,1148,City of Baldwin City- (KS),KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,N,Y,Y,,N,,,,
2015,1149,Baldwin County El Member Corp,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2015,1167,Baltimore Gas & Electric Co,MD,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,Y,Y
2015,1169,Bailey County Elec Coop Assn,TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2015,1175,"Bandera Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2015,1176,City of Bandon - (OR),OR,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2015,1179,Emera Maine,ME,Investor Owned,NPCC,,,,Y,,,,,,,,,,,Y,,N,Y,,Y,,,,,Y,Y
2015,1181,Village of Bangor - (WI),WI,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,N,Y,,,,Y,,
2015,1192,City of Banning - (CA),CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,N,Y,,Y,N,,Y,Y
2015,1196,Village of Baraga - (MI),MI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2015,1201,Barbourville Utility Comm,KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,N,,Y,,,,,N,
2015,1233,City of Barnesville - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,,,,,,
2015,1251,Barron Electric Coop,WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2015,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2015,1276,"Barrow Utils & Elec Coop, Inc",AK,Cooperative,AK,,,,,,,,,,,,,,,,,Y,N,,Y,,,,Y,Y,Y
2015,1279,Barry Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,N,,,,Y,,,,,N,
2015,1283,Bartholomew County Rural E M C,IN,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,N,
2015,1300,City of Bartow - (FL),FL,Municipal,FRCC,N,Y,,,,,,,,,,,,,,,,,,Y,,,,,,
2015,1301,"Barton County Elec Coop, Inc",MO,Cooperative,SERC,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,
2015,1307,Basin Electric Power Coop,ND,Cooperative,MRO,,,Y,,,,Y,Y,,,,,Y,Y,,,Y,Y,Y,Y,,Y,,Y,Y,Y
2015,1325,City of Batavia - (IL),IL,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,N,,Y,,,,,,
2015,1366,City of Bay City - (MI),MI,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,N,,,,
2015,1367,"Bayfield Electric Coop, Inc",WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2015,1417,"Beartooth Electric Coop, Inc",MT,Cooperative,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
2015,1427,City of Beatrice - (NE),NE,Municipal,SPP,,,N,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2015,1456,Town of Bedford - (VA),VA,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,Y,,Y,Y,,,,,,
2015,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,N,,N,
2015,1523,Town of Belmont - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,Y,Y
2015,1525,City of Beloit - (KS),KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,,
2015,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2015,1566,City of Bennettsville - (SC),SC,Municipal,SERC,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2015,1572,Badger Power Marketing Authority,WI,Wholesale Power Marketer,RFC,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2015,1573,City of Benson - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,
2015,1578,Benton County,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1579,PUD No 1 of Benton County,WA,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
2015,1581,City of Benton - (AR),AR,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2015,1582,City of Benton - (KY),KY,Municipal,SERC,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1586,City of Bentonville - (AR),AR,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,,N,N,Y,,,,,,
2015,1591,"Big Country Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,Y,,N,Y,,,Y,,,Y,,N,,Y,,,,,N,N
2015,1601,City of Beresford,SD,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2015,1611,"Linde Energy Services, Inc.",NJ,Retail Power Marketer,RFC,,,,Y,Y,Y,,,,,Y,Y,,Y,Y,,,,,,,,Y,,,
2015,1613,Berkeley Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1625,Benton Rural Electric Assn,WA,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,N,,Y,,,,,,
2015,1640,City of Bessemer Utilities,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1675,Big Horn Rural Electric Co,WY,Cooperative,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
2015,1683,"Big Horn County Elec Coop, Inc",MT,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,,
2015,1692,Big Rivers Electric Corp,KY,Cooperative,SERC,N,,,,N,Y,,,,,,,,Y,,,,Y,Y,,,Y,,,,
2015,1708,Big Sandy Rural Elec Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2015,1723,"Big Bend Electric Coop, Inc",WA,Cooperative,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
2015,1736,Blachly-Lane County Coop El Assn,OR,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,,
2015,1738,Bonneville Power Administration,OR,Federal,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,N,,Y,,,Y,Y
2015,1763,"Black River Electric Coop, Inc - (SC)",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2015,1764,Black Diamond Power Co,WV,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,
2015,1769,"Black Hills Electric Coop, Inc",SD,Cooperative,WECC,,,,,,,,Y,,,,,,,,,,N,Y,Y,,,,,,
2015,1775,Black River Electric Coop - (MO),MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1776,City of Black River Falls,WI,Municipal,MISO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,,Y,Y
2015,1780,Black Warrior Elec Member Corp,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,N,Y,,,,,,
2015,1818,City of Blaine - (WA),WA,Municipal,,,,,,,,,Y,,,,,,,,Y,,,Y,Y,,,,Y,,
2015,1857,Block Island Power Co,RI,Investor Owned,NPCC,,,,Y,,,,,,,,,,,,Y,Y,N,,Y,,,,,N,
2015,1869,City of Bloomfield - (IA),IA,Municipal,SERC,,,,,,Y,,,,,,,,,,,Y,,,Y,,,N,N,,
2015,1883,Blue Earth Light & Water,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,,Y,Y,,
2015,1884,BENCO Electric Cooperative,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2015,1886,Blue Grass Energy Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2015,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,,
2015,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1891,Blue Ridge Mountain EMC - (GA),GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,,Y,Y
2015,1896,City of Bluffton - (IN),IN,Municipal,RFC,,,,,Y,,,,,,,,,,,Y,N,,,Y,,,,,,
2015,1898,"Bon Homme Yankton El Assn, Inc",SD,Cooperative,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2015,1913,City of Boerne,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,N,,,,N,,,,Y,,
2015,1936,Bolivar Energy Authority,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,1997,City of Boscobel - (WI),WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2015,2001,Boone Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,2008,City of Boulder City - (NV),NV,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,Y,Y,Y
2015,2010,City of Bountiful,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,
2015,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,Y,,Y,Y,,Y,,,
2015,2054,City of Bowling Green - (OH),OH,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,Y,Y
2015,2056,City of Bowling Green - (KY),KY,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,2089,Bozrah Light & Power Company,CT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,,Y,,,,,Y,Y
2015,2138,Brainerd Public Utilities,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2015,2144,Town of Braintree - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,N,N,Y,,
2015,2152,Powerex Corporation,CN,Wholesale Power Marketer,WECC,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,
2015,2172,Brazos Electric Power Coop Inc,TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,,,,,,,
2015,2182,City of Breckenridge- (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,N,,,,Y,,,,Y,,
2015,2192,Bremen Electric Light & Power Co,IN,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
2015,2194,City of Brenham - (TX),TX,Municipal,TRE,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,
2015,2206,City of Brewster - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2015,2212,"Broad River Electric Coop, Inc",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,N,,,Y,,,,,,
2015,2215,"Bridger Valley Elec Assn, Inc",WY,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2015,2220,Brigham City Corporation,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,N,,Y,,,,,,
2015,2247,City of Bristol - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,2248,Bristol Virginia Utilities,VA,Municipal,SERC,,,,,N,Y,,,,,,,,,,,,,,Y,,,,Y,N,N
2015,2273,Brodhead Water & Lighting Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2015,2277,City of Broken Bow - (NE),NE,Municipal,MRO,,,Y,,,,,,,,,,,,,,Y,,,Y,,,,,,
2015,2285,City of Brookings - (SD),SD,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2015,2316,Brown County Rural Elec Assn,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2015,2354,Brown-Atchison E C A Inc,KS,Cooperative,SPP,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2015,2394,Burke-Divide Electric Coop Inc,ND,Cooperative,MRO,,,Y,,,,,,,,,,,,,N,,,,Y,,,,,,
2015,2409,Brownsville Public Utilities Board,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,Y,,Y,,
2015,2411,City of Brownsville,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2015,2439,City of Bryan - (OH),OH,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,,Y,,,,,Y,Y
2015,2442,City of Bryan - (TX),TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,Y,,,,
2015,2481,Cargill Power Markets LLC,MN,Retail Power Marketer,MRO,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,
2015,2485,City of Buffalo - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,N,,,,,Y,,Y,Y
2015,2487,City of Buford,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,N,,
2015,2502,"Buckeye Rural Elec Coop, Inc",OH,Cooperative,RFC,N,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,
2015,2507,City of Burbank Water and Power,CA,Municipal,WECC,,,,,,,,Y,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2015,2545,City of Burley - (ID),ID,Municipal,WECC,Y,,,,,,,Y,,,,,,,,Y,,N,N,Y,,,N,Y,N,
2015,2548,City of Burlington Electric - (VT),VT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,,,Y,Y
