,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
10,2020,IL,13292.0,Norris Electric Coop,MISO,DC,1.647,0.380,.,.,2.027,95,5,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.022,.,.,.,0.022,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.669,0.380,0.000,0.000,2.049,97,5,0,0,102,0.000,0.000,0.000,0.000,0.000
11,2020,IL,14840.0,City of Peru - (IL),MISO,AC,0.001,0.321,.,.,0.322,1,3,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.001,0.321,0.000,0.000,0.322,1,3,0,0,4,0.000,0.000,0.000,0.000,0.000
12,2020,IL,16179.0,Rochelle Municipal Utilities,PJM,AC,0.040,0.010,.,.,0.050,4,1,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.040,0.010,0.000,0.000,0.050,4,1,0,0,5,0.000,0.000,0.000,0.000,0.000
13,2020,IL,16196.0,Rock Energy Cooperative,MISO,AC,0.106,.,.,.,0.106,16,.,.,.,16,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.106,0.000,0.000,0.000,0.106,16,0,0,0,16,0.000,0.000,0.000,0.000,0.000
14,2020,IL,16740.0,Scenic Rivers Energy Coop,MISO,AC,0.019,.,.,.,0.019,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.009,.,.,.,0.009,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.019,0.000,0.000,0.000,0.019,1,0,0,0,1,0.009,0.000,0.000,0.000,0.009
15,2020,IL,17040.0,"Shelby Electric Coop, Inc",MISO,DC,0.828,.,.,.,0.828,79,.,.,.,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,395.500,.,.,.,395.500,0.013,.,.,.,0.013,2,.,.,.,2,6.000,.,.,.,6.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.841,0.000,0.000,0.000,0.841,81,0,0,0,81,401.500,0.000,0.000,0.000,401.500
16,2020,IL,17585.0,"Southeastern IL Elec Coop, Inc",MISO,AC,1.133,0.092,.,.,1.225,107,7,.,.,114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.133,0.092,0.000,0.000,1.225,107,7,0,0,114,0.000,0.000,0.000,0.000,0.000
17,2020,IL,17828.0,City of Springfield - (IL),MISO,AC,0.641,1.584,.,.,2.225,90,48,.,.,138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.010,.,.,0.010,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.641,1.594,0.000,0.000,2.235,90,49,0,0,139,0.000,0.000,0.000,0.000,0.000
18,2020,IL,17860.0,City of St Charles - (IL),PJM,AC,0.096,0.119,0.000,0.000,0.215,15,1,0,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48.425,8.497,0.000,0.000,56.922,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.096,0.119,0.000,0.000,0.215,15,1,0,0,16,48.425,8.497,0.000,0.000,56.922
19,2020,IL,18955.0,"Tri-County Electric Coop, Inc (IL)",MISO,AC,0.855,.,.,.,0.855,98,.,.,.,98,0.007,.,.,.,0.007,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.855,0.000,0.000,0.000,0.855,98,0,0,0,98,0.000,0.000,0.000,0.000,0.000
20,2020,IL,20222.0,Wayne-White Counties Elec Coop,MISO,AC,0.768,.,.,.,0.768,51,.,.,.,51,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,446.064,.,.,.,446.064,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.768,0.000,0.000,0.000,0.768,51,0,0,0,51,446.064,0.000,0.000,0.000,446.064
21,2020,IL,56697.0,Ameren Illinois Company,MISO,DC,41.159,89.216,.,.,130.375,"4,255",972,.,.,"5,227",.,.,.,.,0.000,.,.,.,.,0,5.875,.,.,.,5.875,"1,052",.,.,.,"1,052",.,.,.,.,0.000,0.355,0.135,.,.,0.490,73,22,.,.,95,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,47.389,89.351,0.000,0.000,136.740,"5,380",994,0,0,"6,374",0.000,0.000,0.000,0.000,0.000
22,2020,IL,99999.0,Adjustment 2020,MISO,,-7.821,-15.683,.,.,-23.504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.025,.,.,.,-1.025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-8.845,-15.683,.,.,-24.528,.,.,.,.,.,.,.,.,.,.
