Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,3704,City of Clarksville - (TN),TN,10,0.12,0,0,A,0,0,0,0,0,0.12,0,0,0.12,A
2014,3758,City of Cleveland - (TN),TN,6,0.42,0,0,A,0,0,0,0,0,0.42,0,0,0.42,A
2014,3812,City of Clinton - (TN),TN,10,0.07,0,0,A,0,0,0,0,0,0.07,0,0,0.07,A
2014,3841,Coast Electric Power Assn,MS,11,0.853,0,0,A,.,.,0.7,.,.,0.153,.,.,0.853,A
2014,3855,Columbia Power System,TN,3,0.07,0,0,A,0,0,0,0,0,0.07,0,0,0.07,A
2014,3989,City of Colorado Springs - (CO),CO,3,1.4,0,0,A,0,0,0,0,0,1.4,0,0,1.4,A
2014,4005,"Columbia Basin Elec Cooperative, Inc",OR,2,0.1,0,0,,.,.,.,.,.,0.1,.,.,0.1,E
2014,4063,Co-Mo Electric Coop Inc,MO,3,0.8,0.8,0.8,A,0.8,.,.,.,.,.,.,.,0.8,A
2014,4073,City of Columbus - (WI),WI,2,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,4110,Commonwealth Edison Co,IL,488,6.4,0.2,0,E,0.7,0,0,0,1,4.6,0.1,0,6.4,E
2014,4176,Connecticut Light & Power Co,CT,80,18.1,5.3,0,A,11.4,1.6,0.1,4.4,0,0.6,0,0,18.1,A
2014,4226,Consolidated Edison Co-NY Inc,NY,339,155.178,0,0,A,100.705,40.125,2.95,0.185,0,2.162,0.477,8.574,155.178,A
2014,4254,Consumers Energy Co,MI,11,7.5,5.8,2,E,.,1.9,5.3,0.3,.,.,.,.,7.5,E
2014,4294,City of Cookeville - (TN),TN,8,0.16,0,0,A,0,0,0,0,0,0.16,0,0,0.16,A
2014,4604,City of Crystal Falls,MI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,4607,City of Cuba City,WI,1,0.1,.,0.1,A,.,0,0,0,0,0.1,0,.,0.1,A
