Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Demand,Unnamed: 7,Energy Sources (Megawatthours),Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Disposition,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Electric Revenues,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2014,392,Alpena Power Co,MI,Investor Owned,RFC,61,53,.,368135,.,.,0,.,.,0,.,368135,350739,.,.,201,17195,368135,34845,.,.,.,.,70,34915,O
2014,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,89.1,117.7,.,439055,.,.,0,.,.,0,.,439055,411676,.,.,.,27379,439055,48692,.,.,.,.,287,48979,O
2014,416,City of Altus - (OK),OK,Municipal,SPP,56,33.6,.,220543,.,.,0,.,.,0,.,220543,203290,.,6490,.,10763,220543,21684,.,.,.,.,.,21684,O
2014,471,Amana Society Service Co,IA,Investor Owned,MRO,17,15,1010,89771,.,.,0,.,.,0,.,90781,89208,.,.,.,1573,90781,7972,.,.,.,.,75,8047,O
2014,540,BP Energy Company,TX,Retail Power Marketer,TRE,13,13,.,1143678,.,.,0,.,.,0,.,1143678,1143678,.,.,.,.,1143678,41916,.,.,.,.,.,41916,O
2014,554,City of Ames - (IA),IA,Municipal,MRO,150.3,113.5,281072,450433,.,.,0,.,.,0,.,731505,626940,79612,0,482,24471,731505,56159.2,0,2972,0,0,3029.8,62161,O
2014,560,City of Amherst- (OH),OH,Municipal,RFC,27,20,.,112392,.,.,0,.,.,0,.,112392,103778,.,.,.,8614,112392,10466,.,.,.,.,.,10466,O
2014,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,159.6,253.9,.,766146,.,.,0,.,.,0,.,766146,733538,.,.,1085,31523,766146,82450.4,.,.,.,.,3449.4,85899.8,O
2014,571,City of Amory,MS,Municipal,SERC,28.8,27,0,144860,0,.,0,0,0,0,0,144860,140802,0,0,0,4058,144860,13807,.,0,0,0,461,14268,O
2014,577,City of Alcoa Utilities,TN,Municipal,SERC,126.7,185.9,0,647039,0,.,0,0,0,0,0,647039,619301,0,0,21,27717,647039,63188,.,0,0,0,1783,64971,O
2014,590,City of Anaheim - (CA),CA,Municipal,WECC,578,402,484994,3270770,.,.,0,.,.,0,.,3755764,2466538,1022824,.,.,266402,3755764,338178,.,41867,.,37863,5448,423356,O
2014,599,Anchorage Municipal Light and Power,AK,Municipal,AK,152,170,1002616,127651,.,.,0,.,.,0,.,1130267,1012784,94720,.,.,22763,1130267,134950.6,.,7391.9,-3655.4,.,972.4,139659.5,O
2014,604,City of Andalusia,AL,Municipal,SERC,64,45,.,392791,.,.,0,.,.,0,.,392791,388204,.,.,.,4587,392791,31917,.,.,.,.,.,31917,O
2014,636,City of Anderson - (IN),IN,Municipal,RFC,167.4,142.8,.,864574,.,.,0,.,.,0,.,864574,853462,.,.,.,11112,864574,79425,.,.,.,.,641,80066,O
2014,689,Connexus Energy,MN,Cooperative,MRO,504.9,384.1,.,2349589,.,.,0,.,.,0,.,2349589,1979438,288321,.,.,81830,2349589,230168.7,0,21994.6,.,.,.,252163.3,O
2014,690,City of Bardstown - (KY),KY,Municipal,RFC,36.8,34.4,.,202364,.,.,0,.,.,0,.,202364,196392,.,.,782,5190,202364,14644,.,.,.,.,.,14644,O
2014,691,City of Anoka,MN,Municipal,MRO,60.9,42.5,.,282311,.,.,0,.,.,0,.,282311,273799,.,.,.,8512,282311,26614.3,.,.,.,.,874.3,27488.6,O
2014,694,Anza Electric Coop Inc,CA,Cooperative,WECC,12,10.2,0,53232,.,.,0,.,.,0,.,53232,47862,.,.,96,5274,53232,8606.7,.,.,.,.,.,8606.7,O
2014,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,61,41,10097,273059,.,.,0,.,.,0,.,283156,.,270122,.,.,13034,283156,.,.,28152.5,.,.,.,28152.5,O
2014,719,Town of Apex- (NC),NC,Municipal,SERC,77.4,48.9,.,292421,.,.,0,.,.,0,.,292421,266566,.,1734,11609,12512,292421,28973.4,.,.,.,.,.,28973.4,O
2014,727,Appalachian Electric Coop,TN,Cooperative,SERC,181.7,333.2,0,994189,0,.,0,0,0,0,0,994189,952654,0,0,1740,39795,994189,102687,.,0,0,0,3953,106640,O
2014,733,Appalachian Power Co,OH,Investor Owned,RFC,5642,8460,29428638,8924903,.,.,0,.,.,0,.,38353541,30139546,5586347,457,.,2627191,38353541,2615858,323,371206,-6085,74975,69746,3126023,O
2014,750,Arab Electric Coop Inc,AL,Cooperative,SERC,68.8,99.1,0,341414,0,.,0,0,0,0,0,341414,319070,0,0,793,21551,341414,34209,.,0,0,0,1716,35925,O
2014,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,676,333,2637118,633500,202342,200522,1820,0,0,0,.,3272438,0,3192218,0,.,80220,3272438,0,.,171563.2,.,.,9960.9,181524.1,O
2014,798,Arizona Power Authority,AZ,State,WECC,328.8,283.3,.,702042,.,.,0,.,.,0,.,702042,.,680981,.,.,21061,702042,.,.,28482.4,.,.,.,28482.4,O
2014,803,Arizona Public Service Co,AZ,Investor Owned,WECC,7188,4084,26987843,7239997,823724,945331,-121607,36600168,36479125,121043,-373,34226903,27584533,5366855,.,55761,1219754,34226903,3198580,.,258830,.,.,64813,3522223,O
2014,807,Arkansas Electric Coop Corp,AR,Cooperative,SPP,2964,2995,11029056,4012892,152184,145837,6347,.,.,0,.,15048295,.,14914839,.,.,133456,15048295,.,.,769984.3,.,689.2,697.1,771370.6,O
2014,814,Entergy Arkansas Inc,AR,Investor Owned,SERC,4333,5347,25879393,6642409,356694,224750,131944,.,.,0,.,32653746,21049306,10301475,.,21305,1281660,32653746,1642896.4,.,412805,1395.1,79600.3,20619.6,2157316.4,O
2014,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,SERC,295.9,330.8,.,1324190,.,.,0,.,.,0,.,1324190,1266746,.,.,391,57053,1324190,116320,.,.,.,.,2475,118795,O
2014,828,City of Arlington - (MN),MN,Municipal,MRO,18.5,12.4,0,19696,0,0,0,0,0,0,0,19696,18520,0,0,0,1176,19696,1755.2,0,0,0,0,30.9,1786.1,O
2014,887,"Arrowhead Electric Coop, Inc",MN,Cooperative,MRO,7.8,18.7,.,76961,.,.,0,.,.,0,.,76961,73755,.,.,.,3206,76961,9194,.,.,.,.,.,9194,O
2014,907,City of Ashland - (OR),OR,Municipal,WECC,1.6,1.2,1412,183565,.,.,0,.,.,0,.,184977,166504,.,.,.,18473,184977,13410,.,.,.,.,.,13410,O
2014,918,City of Aspen- (CO),CO,Municipal,WECC,11.1,15.5,22257,54719,4498,8313,-3815,.,.,0,.,73161,67166,.,33,.,5962,73161,6564,.,.,.,.,380,6944,O
2014,924,"Associated Electric Coop, Inc",MO,Cooperative,SERC,3862,4598,15091426,8595468,.,.,0,.,.,0,.,23686894,.,22794455,0,4463,887976,23686894,.,.,1112830,30621,.,.,1143451,O
2014,942,Atchison-Holt Electric Coop,MO,Cooperative,SERC,16.4,16.8,.,90395,.,.,0,.,.,0,.,90395,84364,.,.,251,5780,90395,8832,.,.,.,.,.,8832,O
2014,944,City of Athens - (AL),AL,Municipal,SERC,227.3,350.9,0,1149005,0,.,0,0,0,0,0,1149005,1090378,0,0,0,58627,1149005,104620,.,0,0,0,3457,108077,O
2014,947,Athens Utility Board,TN,Municipal,SERC,103.1,120.5,0,610036,0,.,0,0,0,0,0,610036,593026,0,0,749,16261,610036,49977,.,0,0,0,1319,51296,O
2014,963,Atlantic City Electric Co,NJ,Investor Owned,RFC,2427,1790,.,7499789,.,.,0,294424,.,294424,.,7794213,4455820,2607616,.,19322,711455,7794213,659472.2,276257.8,195245.5,.,90949.7,12501.2,1234426.4,O
2014,965,Atlantic Municipal Utilities,IA,Municipal,MRO,23.6,22.7,120619,39205,.,.,0,.,.,0,-1704,158120,109960,44435,733,.,2992,158120,8185,.,1227,.,1009,112,10533,O
2014,970,Homefield Energy,IL,Retail Power Marketer,RFC,.,.,.,14539682,.,.,0,.,.,0,.,14539682,14539682,.,.,.,.,14539682,835576,.,.,.,.,.,835576,O
2014,993,Auburn Board of Public Works,NE,Municipal,MRO,13.1,14.6,.,64498,.,.,0,.,.,0,.,64498,60255,.,263,.,3980,64498,5113,.,.,.,.,.,5113,O
2014,994,City of Auburn - (IN),IN,Municipal,RFC,73.4,66.5,.,448323,.,.,0,.,.,0,.,448323,442118,.,1592,.,4613,448323,33527.3,.,.,.,.,1025.9,34553.2,O
2014,998,City of Augusta - (KS),KS,Municipal,SPP,21.7,12.4,-828,82653,.,.,0,.,.,0,-2462,79363,65255,0,3615,1246,9247,79363,7146.4,0,0,1939.4,0,388,9473.8,O
2014,1009,City of Austin - (MN),MN,Municipal,MRO,64.3,49.7,.,342249,.,.,0,.,.,0,.,342249,332307,.,.,.,9942,342249,33379.6,.,.,.,.,973.4,34353,O
2014,1015,Austin Energy,TX,Municipal,TRE,2578,2105,8323796,2853967,2134933,268731,1866202,.,.,0,.,13043965,12502512,467708,.,.,73745,13043965,1244785.1,.,21659.3,.,72001.4,.,1338445.8,O
2014,1024,City of Ava - (MO),MO,Municipal,SERC,12,13,.,63601,.,.,0,.,.,0,.,63601,59373,.,1300,.,2928,63601,2894,.,.,.,.,.,2894,O
2014,1036,Town of Ayden - (NC),NC,Municipal,SERC,20.1,25,.,110204,.,.,0,.,.,0,.,110204,106141,.,2123,.,1940,110204,12853.7,.,.,.,.,416.9,13270.6,O
2014,1050,City of Azusa,CA,Municipal,WECC,65.7,36.4,.,418755,.,.,0,.,.,0,-24495,394260,250280,131985,.,.,11995,394260,36461,.,8472,.,.,315,45248,O
2014,1062,BARC Electric Coop Inc,VA,Cooperative,SERC,33.2,52.2,.,195904,.,.,0,.,.,0,.,195904,181239,.,.,404,14261,195904,22200,.,.,.,.,585,22785,O
2014,1101,Bagley Public Utilities Comm,MN,Municipal,MRO,4.4,5.5,.,27690,.,.,0,.,.,0,.,27690,25256,.,200,276,1958,27690,2506.3,.,0,.,.,25.6,2531.9,O
2014,1148,City of Baldwin City- (KS),KS,Municipal,SPP,9.5,5.5,152,34337,.,.,0,.,.,0,.,34489,33005,289,266,.,929,34489,4481.5,.,12.1,.,.,.,4493.6,O
2014,1149,Baldwin County El Member Corp,AL,Cooperative,SERC,295,375,.,1405381,.,.,0,.,.,0,.,1405381,1361550,.,.,.,43831,1405381,152798,.,.,.,.,.,152798,O
2014,1167,Baltimore Gas & Electric Co,MD,Investor Owned,RFC,6665,6526,.,14339112,.,.,0,.,.,0,.,14339112,12270475,.,.,31428,2037209,14339112,1644690,553252,.,.,.,262276,2460218,O
2014,1169,Bailey County Elec Coop Assn,TX,Cooperative,SPP,95.6,59.2,.,336638,.,.,0,.,.,0,.,336638,296066,.,.,76,40496,336638,34158,.,.,.,.,201,34359,O
2014,1175,"Bandera Electric Coop, Inc",TX,Cooperative,TRE,138.7,197.1,.,627421,.,.,0,.,.,0,.,627421,577303,.,.,1070,49048,627421,69659,.,.,.,.,4606,74265,O
2014,1176,City of Bandon - (OR),OR,Municipal,WECC,7.7,16.7,.,63283,.,.,0,.,.,0,.,63283,60200,.,.,190,2893,63283,4845.6,.,.,.,.,.,4845.6,O
2014,1179,Emera Maine,ME,Investor Owned,NPCC,266,282,.,407321,.,.,0,1535205,1524212,10993,-10993,407321,.,313121,.,2547,91653,407321,.,149981,13293,-1460,6507,1689,170010,O
2014,1181,City of Bangor - (WI),WI,Municipal,MRO,5.7,6.2,.,28911,.,.,0,.,.,0,.,28911,27338,.,.,.,1573,28911,3196,.,.,.,.,.,3196,O
2014,1192,City of Banning - (CA),CA,Municipal,WECC,42.4,21.2,182635,38115,.,.,0,.,.,0,.,220750,143501,67606,.,.,9643,220750,27479.2,.,1991.5,.,.,2268.5,31739.2,O
2014,1196,Village of Baraga - (MI),MI,Municipal,MISO,4,3.8,0,21961,0,0,.,0,0,.,.,21961,18747,0,.,0,3214,21961,2280,.,0,0,0,0,2280,O
2014,1201,Barbourville Utility Comm,KY,Municipal,RFC,18.8,22.7,.,95496,.,.,0,.,.,0,.,95496,95496,.,.,.,.,95496,8086.5,.,.,.,.,.,8086.5,O
2014,1233,City of Barnesville - (MN),MN,Municipal,MRO,4,5.7,.,27019,.,.,0,.,.,0,-617,26402,23346,.,1067,234,1755,26402,2243,.,.,.,.,.,2243,O
2014,1251,Barron Electric Coop,WI,Cooperative,MRO,57.9,58.1,28,365382,.,.,0,.,.,0,.,365410,345269,.,.,834,19307,365410,36080.3,.,.,.,.,165.2,36245.5,O
2014,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,TRE,46.3,68.9,.,211808,.,.,0,.,.,0,.,211808,199543,0,.,.,12265,211808,23006,.,0,.,.,351.1,23357.1,O
2014,1276,"Barrow Utils & Elec Coop, Inc",AK,Cooperative,AK,5.5,7.8,53017,.,.,.,0,.,.,0,.,53017,51344,.,.,.,1673,53017,5555.2,.,.,.,.,.,5555.2,O
2014,1279,Barry Electric Coop,MO,Cooperative,SERC,42.9,44.4,.,192616,.,.,0,.,.,0,.,192616,181534,.,.,297,10785,192616,16654.1,.,.,.,.,328,16982.1,O
2014,1283,Bartholomew County Rural E M C,IN,Cooperative,RFC,80.1,88.6,.,427251,.,.,0,.,.,0,.,427251,415714,.,.,420,11117,427251,41436.8,.,.,.,.,400.8,41837.6,O
2014,1300,City of Bartow - (FL),FL,Municipal,FRCC,59,59,.,278861,.,.,0,.,.,0,.,278861,262689,.,.,.,16172,278861,35063,.,.,.,.,.,35063,O
2014,1301,"Barton County Elec Coop, Inc",MO,Cooperative,SERC,38.7,35.2,.,157687,.,.,0,.,.,0,.,157687,147501,.,.,422,9764,157687,16262,.,.,.,.,182,16444,O
2014,1307,Basin Electric Power Coop,ND,Cooperative,MRO&WECC,3029,3558,16964866,11704655,55908,383,55525,50142,50142,0,.,28725046,1148049,27177593,.,.,399404,28725046,85868,.,1373286,.,.,.,1459154,O
2014,1325,City of Batavia - (IL),IL,Municipal,RFC,92,73.8,.,490693,.,.,0,.,.,0,.,490693,473484,.,.,.,17209,490693,47750,.,.,.,.,2166,49916,O
2014,1366,City of Bay City - (MI),MI,Municipal,RFC,65.9,48.3,930,338916,.,.,0,.,.,0,.,339846,310080,.,.,.,29766,339846,34503.2,.,.,.,.,1818.3,36321.5,O
2014,1367,"Bayfield Electric Coop, Inc",WI,Cooperative,MRO,13.9,19.7,.,91277,.,.,0,.,.,0,.,91277,82385,.,.,.,8892,91277,12643,.,.,.,.,173,12816,O
2014,1417,"Beartooth Electric Coop, Inc",MT,Cooperative,WECC,14.1,16.9,.,73223,.,.,0,.,.,0,.,73223,63316,.,.,343,9564,73223,10476,.,.,.,.,.,10476,O
2014,1427,City of Beatrice - (NE),NE,Municipal,SPP,36.4,35.3,0,179945,0,0,0,5742,5742,0,0,179945,172156,0,1685,0,6104,179945,14824,0,0,0,269.7,0,15093.7,O
2014,1456,Town of Bedford - (VA),VA,Municipal,RFO,44.2,56.2,19491,242827,0,0,0,0,0,0,0,262318,226562,.,.,.,35756,262318,20440,0,0,0,0,0,20440,O
2014,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,SERC,208,294,.,1081699,.,.,0,.,.,0,.,1081699,1043382,.,.,1178,37139,1081699,86687,.,.,.,.,.,86687,O
2014,1523,Town of Belmont - (MA),MA,Municipal,NPCC,29.5,26,.,131172,.,.,0,.,.,0,.,131172,125032,.,384,.,5756,131172,23582,.,.,.,.,222,23804,O
2014,1525,City of Beloit - (KS),KS,Municipal,SPP,13.8,8.4,1147,51635,.,.,0,.,.,0,.,52782,46952,.,706,.,5124,52782,5438,.,.,.,.,560,5998,O
2014,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,MRO,74.9,121.9,.,497514,.,.,0,.,.,0,.,497514,399769,78877,.,1902,16966,497514,44989.4,.,4536,.,.,470,49995.4,O
2014,1566,City of Bennettsville - (SC),SC,Municipal,SERC,21.6,20.1,.,103308,.,.,0,.,.,0,.,103308,89818,.,.,6198,7292,103308,10656,.,.,.,.,.,10656,O
2014,1572,Badger Power Marketing Authority,WI,Wholesale Power Marketer,RFC,63.4,60.2,.,407611,.,.,0,.,.,0,.,407611,.,407292,.,.,319,407611,.,.,28482,.,.,.,28482,O
2014,1573,City of Benson - (MN),MN,Municipal,MRO,7.4,7.1,71,38416,.,.,0,.,.,0,-336,38151,35544,44,.,.,2563,38151,3089,.,0.7,.,5.6,1088.3,4183.6,O
2014,1578,Benton County,TN,Municipal,SERC,44.5,52.5,0,219790,0,.,0,0,0,0,0,219790,208294,0,0,564,10932,219790,23665,.,0,0,0,760,24425,O
2014,1579,PUD No 1 of Benton County,WA,Political Subdivision,WECC,430,338,.,2579070,.,.,0,.,.,0,-32167,2546903,1781322,717847,.,2636,45098,2546903,113351,.,23326,.,633,8654,145964,O
2014,1581,City of Benton - (AR),AR,Municipal,SERC,69.3,36.4,.,256316,.,.,0,.,.,0,.,256316,239993,.,14030,.,2293,256316,22274.3,.,.,.,.,525.1,22799.4,O
2014,1582,City of Benton - (KY),KY,Municipal,SERC,16.6,13.1,0,73065,0,.,0,0,0,0,0,73065,70624,0,0,87,2354,73065,7650,.,0,0,0,155,7805,O
2014,1586,City of Bentonville - (AR),AR,Municipal,SPP,147,109,.,647048,.,.,0,.,.,0,.,647048,620462,.,.,.,26586,647048,53152,.,.,2403,.,471,56026,O
2014,1591,"Big Country Electric Coop, Inc",TX,Cooperative,TRE,56,59,.,260937,.,.,0,.,.,0,.,260937,260937,.,.,.,.,260937,30632,.,.,.,.,.,30632,O
2014,1601,City of Beresford,SD,Municipal,MRO,6,6,.,29999,.,.,0,.,.,0,.,29999,28784,.,.,.,1215,29999,2884,.,.,.,.,.,2884,O
2014,1611,"Linde Energy Services, Inc.",NJ,Retail Power Marketer,RFC,.,.,.,1432447,0,0,0,.,.,0,.,1432447,1401573,.,.,.,30874,1432447,77985,.,.,.,.,.,77985,O
2014,1613,Berkeley Electric Coop Inc,SC,Cooperative,SERC,400,475,.,2182632,.,.,0,.,.,0,.,2182632,2095651,.,.,3493,83488,2182632,234139,.,.,.,1459,.,235598,O
2014,1625,Benton Rural Electric Assn,WA,Cooperative,WECC,132.2,114.5,.,610839,.,.,0,.,.,0,.,610839,580532,2030,.,83,28194,610839,39728,.,101,.,.,351,40180,O
