Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Yearly Energy and Demand Savings,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Program Costs,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,DSM Program
,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2014,1251,Barron Electric Coop,WI,6986,143,0,0,7129,0,0,0,0,0,7.3,4.2,0,0,11.5,3.8,2.2,0,0,6,33,0,0,0,33,464,9,0,0,473,.
2014,1283,Bartholomew County Rural E M C,IN,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1367,"Bayfield Electric Coop, Inc",WI,1763,6,.,.,1769,176,0,.,.,176,37,6,.,.,43,.,.,.,.,.,12,.,.,.,12,.,.,.,.,.,.
2014,1529,"Beltrami Electric Coop, Inc",MN,7611,28,.,.,7639,4742,0,.,.,4742,216.7,3.9,.,.,220.6,39.9,3.9,.,.,43.8,23,.,.,.,23,249,.,.,.,249,.
2014,1573,City of Benson - (MN),MN,951,33,.,.,984,.,.,.,.,.,3.3,0.4,.,.,3.7,2.6,0.4,.,.,3,2,.,.,.,2,12,.,.,.,12,.
2014,1611,"Linde Energy Services, Inc.",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.
2014,1611,"Linde Energy Services, Inc.",PA,0,0,3,0,3,0,0,3070,0,3070,0,0,29,0,29,0,0,27,0,27,0,0,815,0,815,0,0,0,0,0,.
2014,1613,Berkeley Electric Coop Inc,SC,.,.,.,.,.,.,.,.,.,.,109,.,.,.,109,20,.,.,.,20,94,.,.,.,94,266,.,.,.,266,.
2014,1763,"Black River Electric Coop, Inc - (SC)",SC,419,.,.,.,419,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,34,.,.,.,34,.
2014,1769,"Black Hills Electric Coop, Inc",SD,192,2,0,0,194,.,.,.,.,.,0.1,0.1,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,1776,City of Black River Falls,WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,1889,Blue Ridge Elec Member Corp - (NC),NC,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,0
2014,1997,City of Boscobel - (WI),WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,2172,Brazos Electric Power Coop Inc,TX,.,.,1,.,1,.,.,0,.,0,.,.,1,.,1,.,.,1,.,1,.,.,19,.,19,.,.,22,.,22,.
2014,2182,City of Breckenridge- (MN),MN,647,96,.,.,743,1,1,.,.,2,1,1,.,.,2,1,1,.,.,2,184,91,.,.,275,6,2,.,.,8,.
2014,2192,Bremen Electric Light & Power Co,IN,.,.,1,.,1,.,.,.,.,.,.,.,3.4,.,3.4,.,.,3.3,.,3.3,.,.,40,.,40,.,.,.,.,.,.
2014,2273,Brodhead Water & Lighting Comm,WI,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2014,2502,"Buckeye Rural Elec Coop, Inc",OH,2515,.,.,.,2515,.,.,.,.,.,11.8,.,.,.,11.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,2548,City of Burlington Electric - (VT),VT,514,.,.,.,514,.,.,.,.,.,0.5,.,.,.,0.5,0.5,.,.,.,0.5,8,.,.,.,8,.,.,.,.,.,.
2014,2599,Burt County Public Power Dist,NE,10,.,334,.,344,29,.,220,.,249,0,.,14,.,14,0,.,11,.,11,8,.,80,.,88,.,.,.,.,.,0
2014,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,6470,736,4,.,7210,.,.,.,.,.,2.6,0.4,1,.,4,1.8,0.2,0.5,.,2.5,.,.,.,.,.,.,.,.,.,.,.
2014,2655,"Butte Electric Coop, Inc",SD,1262,.,.,.,1262,978,.,.,.,978,8,.,.,.,8,3,.,.,.,3,3,.,.,.,3,8,.,.,.,8,.
2014,2678,C & L Electric Coop Corp,AR,.,78,.,.,78,.,.,.,.,.,.,2,.,.,2,.,1,.,.,1,.,25,.,.,25,.,2,.,.,2,.
2014,2961,"Caney Valley El Coop Assn, Inc",KS,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2014,2985,"Capital Electric Coop, Inc",ND,962,25,.,.,987,.,.,.,.,.,1,2,.,.,3,1,2,.,.,3,44,.,.,.,44,22,3,.,.,25,6
2014,3046,Duke Energy Progress - (NC),NC,102724,24,23,.,102771,.,243,110,.,353,205.4,11.4,5.7,.,222.5,90.2,12.7,5.5,.,108.4,1072,868,.,.,1940,7413,321,.,.,7734,.
2014,3046,Duke Energy Progress - (NC),SC,17098,1,0,.,17099,.,5,.,.,5,34.1,0.2,.,.,34.3,15,0.2,.,.,15.2,178,144,.,.,322,1233,53,.,.,1286,.
