Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number of,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Types of Program,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2014,5487,Duquesne Light Co,PA,0,50,22,0,72,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5509,City of Dyersburg,TN,0,0,2,0,2,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5551,City of Eagle River - (WI),WI,2,9,0,0,11,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5578,East Mississippi Elec Pwr Assn,MS,0,90,0,0,90,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5598,East Central Oklahoma Elec Coop Inc,OK,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5605,Eastern Iowa Light & Power Coop,IA,112,27,10,.,149,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5609,Eastern Maine Electric Coop,ME,.,.,.,.,.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5632,Eau Claire Electric Coop,WI,6,10,8,0,24,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2014,5701,El Paso Electric Co,NM,25,40,8,.,73,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2014,5701,El Paso Electric Co,TX,22,321,38,.,381,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
