,Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential.1,Commercial.1,Industrial.1,Transportation.1,Total.1,Residential.2,Commercial.2,Industrial.2,Transportation.2,Total.2,Residential.3,Commercial.3,Industrial.3,Transportation.3,Total.3,Residential.4,Commercial.4,Industrial.4,Transportation.4,Total.4,Residential.5,Commercial.5,Industrial.5,Transportation.5,Total.5,Residential.6,Commercial.6,Industrial.6,Transportation.6,Total.6,Residential.7,Commercial.7,Industrial.7,Transportation.7,Total.7
10,2021,3806.0,"Clinton County Elec Coop, Inc",Cooperative,Y,IL,MISO,0,0,.,.,0,"5,242",917,.,.,"6,159",.,.,.,.,.,.,.,.,.,.,"5,242",917,0,0.0,"6,159","76,502","64,499",.,.,"141,001",.,.,.,.,.,.,.,.,.,.
11,2021,3931.0,Coles-Moultrie Electric Coop,Cooperative,,IL,MISO,.,.,.,.,.,"12,963","1,149",9,.,"14,121",.,.,.,.,.,28,3,1,.,32,"12,991","1,152",10,0.0,"14,153","119,209","51,293","30,749",.,"201,251",.,.,.,.,.,0,0,0,.,0
12,2021,4110.0,Commonwealth Edison Co,Investor Owned,,IL,PJM,0,2,8,0,10,"3,718,436","460,183","14,422",160,"4,193,201","3,718,436","460,183","14,422",160,"4,193,201","4,983",520,363,1,"5,867","3,723,419","460,705","14,793",161.0,"4,199,078","28,407,900","29,854,631","25,773,304","437,991","84,473,826",.,.,.,.,.,"386,800",.,.,.,"386,800"
13,2021,4362.0,Corn Belt Energy Corporation,Cooperative,,IL,MISO,"34,192","2,381",3,.,"36,576",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"34,192","2,381",3,0.0,"36,576",.,.,.,.,.,.,.,.,.,.,"1,849",.,.,.,"1,849"
14,2021,5531.0,Enerstar Power Corp,Cooperative,Y,IL,MISO,"5,148",91,.,.,"5,239",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,148",91,0,0.0,"5,239",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
15,2021,5535.0,Egyptian Electric Coop Assn,Cooperative,,IL,MISO,"13,651","1,736",.,.,"15,387",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,651","1,736",0,0.0,"15,387",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,2021,5585.0,Eastern Illinois Elec Coop,Cooperative,,IL,MISO,"11,198","2,330",15,.,"13,543",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,198","2,330",15,0.0,"13,543",.,.,.,.,.,"11,198","2,330",15,.,"13,543",.,.,.,.,.
17,2021,6192.0,City of Farmer City - (IL),Municipal,Y,IL,MISO,"1,101",60,11,.,"1,172",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,101",60,11,0.0,"1,172",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,2021,6417.0,City of Flora - (IL),Municipal,Y,IL,MISO,.,.,.,.,0,"2,227",436,20,.,"2,683",.,.,.,.,.,.,.,.,.,.,"2,227",436,20,0.0,"2,683","21,704","18,160","62,312",.,"102,176",.,.,.,.,.,.,.,.,.,.
19,2021,6764.0,Village of Freeburg - (IL),Municipal,Y,IL,MISO,"2,035",197,28,.,"2,260",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,035",197,28,0.0,"2,260",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,2021,7095.0,City of Geneseo - (IL),Municipal,Y,IL,MISO,"3,214",557,9,.,"3,780",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,"3,214",557,9,0.0,"3,780",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
21,2021,7096.0,City of Geneva- (IL),Municipal,,IL,PJM,"8,801","1,374",11,.,"10,186",.,.,.,.,0,.,.,.,.,.,.,273,9,.,282,"8,801","1,647",20,0.0,"10,468",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
22,2021,8573.0,City of Highland,Municipal,Y,IL,MISO,"1,439",217,24,.,"1,680","4,627",451,120,.,"5,198",.,.,.,.,.,.,.,.,.,.,"6,066",668,144,0.0,"6,878","52,285","5,953","37,464",.,"95,702",.,.,.,.,.,.,.,.,.,.
23,2021,8824.0,M J M Electric Cooperative Inc,Cooperative,Y,IL,MISO,.,.,.,.,0,"9,175",150,.,.,"9,325",.,.,.,.,.,.,.,.,.,.,"9,175",150,0,0.0,"9,325","114,022","20,024",.,.,"134,046",.,.,.,.,.,.,.,.,.,.
24,2021,9209.0,Illinois Rural Electric Coop,Cooperative,Y,IL,MISO,"1,903",0,.,.,"1,903","8,110",284,.,.,"8,394",.,.,.,.,.,.,.,.,.,.,"10,013",284,0,0.0,"10,297","94,267","61,357",.,.,"155,624",.,.,.,.,.,.,.,.,.,.
