Data Year,Utility Number,Utility Name,Short Form,State,Distribution Circuits,Circuits with Voltage Optimization
2019,1004,City of Aurora - (SD),Y,SD,2,2
2019,1009,City of Austin - (MN),,MN,26,0
2019,1015,Austin Energy,,TX,404,75
2019,1024,City of Ava - (MO),,MO,4,0
2019,1028,Town of Avilla - (IN),Y,IN,2,2
2019,1033,City of Axtell - (KS),Y,KS,3,0
2019,1036,Town of Ayden - (NC),,NC,8,0
2019,1046,City of Aztec - (NM),Y,NM,5,5
2019,1050,City of Azusa,,CA,20,0
2019,1062,BARC Electric Coop Inc,,VA,43,0
2019,1080,City of Badger - (SD),Y,SD,3,0
2019,1101,Bagley Public Utilities Comm,,MN,2,0
2019,1119,Town of Bainbridge - (IN),Y,IN,1,1
2019,1148,City of Baldwin City- (KS),,KS,9,0
2019,1149,Baldwin County El Member Corp,,AL,97,97
2019,1167,Baltimore Gas & Electric Co,,MD,"1,566",628
2019,1169,Bailey County Elec Coop Assn,,TX,88,88
2019,1170,Bamberg Board of Public Works,Y,SC,6,0
2019,1172,Bancroft Municipal Utilities,Y,IA,45,0
2019,1175,"Bandera Electric Coop, Inc",,TX,54,2
2019,1176,City of Bandon - (OR),,OR,6,0
2019,1179,Versant Power,,ME,242,242
2019,1181,Village of Bangor - (WI),,WI,5,0
2019,1192,City of Banning - (CA),,CA,21,11
2019,1196,Village of Baraga - (MI),,MI,2,0
2019,1201,Barbourville Utility Comm,,KY,4,0
2019,1205,City of Bardwell - (KY),Y,KY,1,0
2019,1208,Town of Bargersville - (IN),Y,IN,4,4
2019,1232,City of Barnesville - (GA),Y,GA,4,0
2019,1233,City of Barnesville - (MN),,MN,7,5
2019,1251,Barron Electric Coop,,WI,37,0
2019,1273,"Bartlett Electric Coop, Inc",,TX,30,0
2019,1276,"Barrow Utils & Elec Coop, Inc",,AK,6,0
2019,1278,City of Barron - (WI),Y,WI,8,0
2019,1279,Barry Electric Coop,,MO,26,0
2019,1283,Bartholomew County Rural E M C,,IN,37,0
2019,1299,"Barton Village, Inc",Y,VT,2,0
2019,1300,City of Bartow - (FL),,FL,17,0
2019,1301,"Barton County Elec Coop, Inc",,MO,7,0
2019,1307,Basin Electric Power Coop,,ND,1,1
2019,1307,Basin Electric Power Coop,,WY,1,1
2019,1324,City of Bastrop - (TX),Y,TX,3,0
2019,1325,City of Batavia - (IL),,IL,22,0
2019,1326,Village of Bartley - (NE),Y,NE,1,0
2019,1343,Bath Electric Gas & Water,Y,NY,4,4
2019,1346,City of Battle Creek- (NE),Y,NE,4,4
2019,1353,City of Baudette - (MN),Y,MN,5,0
2019,1366,City of Bay City - (MI),,MI,33,0
2019,1367,"Bayfield Electric Coop, Inc",,MI,1,0
2019,1367,"Bayfield Electric Coop, Inc",,WI,28,0
2019,1374,City of Bayard - (NE),Y,NE,1,0
2019,1386,Village of Beach City - (OH),Y,OH,2,0
2019,1417,"Beartooth Electric Coop, Inc",,MT,53,0
2019,1427,City of Beatrice - (NE),,NE,42,42
2019,1434,Beaver City Corporation,Y,UT,2,0
2019,1435,City of Beaver City - (NE),Y,NE,1,0
2019,1456,Town of Bedford - (VA),,VA,23,0
2019,1458,"Beauregard Electric Coop, Inc",,LA,61,61
2019,1494,Town of Belhaven - (NC),Y,NC,4,0
2019,1512,City of Belleville - (KS),Y,KS,4,4
2019,1515,City of Bellevue - (IA),Y,IA,5,5
2019,1519,City of Bellville - (TX),Y,TX,3,0
2019,1522,Village of Belmont - (WI),Y,WI,3,0
2019,1523,Town of Belmont - (MA),,MA,30,15
2019,1525,City of Beloit - (KS),,KS,12,0
2019,1529,"Beltrami Electric Coop, Inc",,MN,75,0
2019,1554,City of Benkelman - (NE),Y,NE,1,0
2019,1566,City of Bennettsville - (SC),,SC,4,0
2019,1571,Town of Benson - (NC),Y,NC,2,0
2019,1572,Badger Power Marketing Authority,,WI,2,0
2019,1573,City of Benson - (MN),,MN,5,0
2019,1578,Benton County,,TN,14,0
2019,1579,PUD No 1 of Benton County,,WA,141,0
