Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2019,221,"Alaska Village Elec Coop, Inc",,C,Cooperative,X,X,,X,,,,,X,X,,X,X,X
2019,228,City of Albany - (MO),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,229,City of Albany - (IL),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,230,Albany Utility Board,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,232,City of Albemarle - (NC),,M,Municipal,,X,,X,,,,,X,X,X,X,X,X
2019,240,Albemarle Electric Member Corp,,C,Cooperative,,X,,X,X,,,X,X,X,X,X,X,X
2019,241,Albertville Municipal Utilities Board,,M,Municipal,,X,,X,X,,,,X,X,X,X,X,X
2019,244,City of Albion - (ID),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,261,AGC Division of APG Inc,,I,Investor Owned,X,X,,X,,,,,,X,,X,X,X
2019,266,City of Alpha - (MN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,276,Alcorn County Elec Power Assn,,C,Cooperative,,X,,X,X,,,,X,X,X,X,X,X
2019,282,Village of Arcadia - (OH),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,289,City of Alexander City,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,295,City of Alexandria - (MN),,M,Municipal,,X,X,X,,X,,X,,X,X,X,X,X
2019,296,"Alfalfa Electric Coop, Inc",,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,298,City of Alexandria - (LA),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,305,Alger-Delta Coop Electric Assn,,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,307,Algoma Utility Comm,,M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2019,308,City of Acworth - (GA),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,309,City of Algona - (IA),,M,Municipal,,X,,X,,X,,,X,X,,X,X,X
2019,329,"Allamakee-Clayton El Coop, Inc",,C,Cooperative,,X,X,X,,X,,X,X,X,X,X,X,X
2019,332,Allegheny Electric Coop Inc,,C,Cooperative,,,X,,,,,,,X,,,,X
2019,343,AEP Generating Company,,I,Investor Owned,,,,,,,,,,X,,,,X
2019,366,City of Allendale- (IL),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,367,City of Alliance- (NE),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,385,City of Alma - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,392,Alpena Power Co,,I,Investor Owned,X,X,,X,,,,X,X,X,X,X,X,X
2019,405,City of Alta - (IA),Y,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,406,City of Altamont - (IL),Y,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,407,Altamaha Electric Member Corp,,C,Cooperative,,X,X,X,X,,,X,,X,X,X,X,X
2019,408,City of Altamont - (KS),Y,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,416,City of Altus - (OK),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,432,City of Alta Vista- (IA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,471,Amana Society Service Co,,I,Investor Owned,X,X,,X,,,,,,X,,X,X,X
2019,482,City of Alvarado - (MN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,540,BP Energy Company,,R,Retail Power Marketer,X,,,,,,,,,X,,X,,X
2019,554,City of Ames - (IA),,M,Municipal,,X,X,X,X,X,,X,,X,X,X,X,X
2019,560,City of Amherst- (OH),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,562,Amicalola Electric Member Corp,,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,571,City of Amory,,M,Municipal,,X,,X,X,,,,,X,,X,X,X
2019,577,City of Alcoa Utilities,,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2019,588,Anadarko Public Works Authority,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,590,City of Anaheim - (CA),,M,Municipal,,X,X,X,X,X,,X,,X,X,X,X,X
2019,599,Anchorage Municipal Light and Power,,M,Municipal,X,X,,X,,,,X,,X,X,X,X,X
2019,604,City of Andalusia,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,636,City of Anderson - (IN),,M,Municipal,,X,,X,X,,,X,,X,X,X,X,X
2019,659,American Transmission Co,,T,Transmission,,,,,,,,,,X,,,,X
2019,661,Village of Andover - (NY),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,669,Village of Angelica - (NY),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,682,City of Anita - (IA),Y,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,689,Connexus Energy,,C,Cooperative,X,X,,X,,,,X,,X,X,X,X,X
2019,690,City of Bardstown - (KY),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,691,City of Anoka,,M,Municipal,,X,,X,X,X,,X,,X,,X,X,X
2019,694,Anza Electric Coop Inc,,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,695,City of Ansley - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,700,City of Anthon - (IA),Y,M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2019,701,City of Anthony - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,712,Arkansas River Power Authority,,P,Political Subdivision,,,,,,,,,,X,,,,X
2019,719,Town of Apex- (NC),,M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2019,723,City of Aplington,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,727,Appalachian Electric Coop,,C,Cooperative,X,X,,X,X,,,,X,X,X,X,X,X
2019,733,Appalachian Power Co,,I,Investor Owned,X,X,X,X,X,X,,X,X,X,X,X,X,X
2019,737,Aguila Irrigation District,Y,P,Political Subdivision,,X,,,,X,,,,X,,X,,X
2019,750,Arab Electric Coop Inc,,C,Cooperative,,X,,X,,,,,X,X,,X,X,X
2019,752,City of Arapahoe - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,765,City of Arcadia - (WI),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,768,City of Arcanum - (OH),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,789,Town of Argos,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,792,City of Argyle - (WI),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,796,Arizona Electric Pwr Coop Inc,,C,Cooperative,,,,,,,,,,X,,,,X
2019,798,Arizona Power Authority,,S,State,,,,,,,,,,X,,,,X
2019,803,Arizona Public Service Co,,I,Investor Owned,X,X,X,X,X,X,,X,,X,X,X,X,X
2019,807,Arkansas Electric Coop Corp,,C,Cooperative,,,X,,,,,,,X,,,,X
2019,814,Entergy Arkansas LLC,,I,Investor Owned,X,X,X,X,X,X,,X,,X,X,X,X,X
2019,817,Arkansas Valley Elec Coop Corp,,C,Cooperative,X,X,,X,,,,X,,X,X,X,X,X
2019,828,City of Arlington - (MN),,M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2019,831,City of Arlington - (SD),Y,M,Municipal,,X,X,X,,,,,,X,,X,X,X
2019,832,City of Arma - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,871,Village of Arnold - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,887,"Arrowhead Electric Coop, Inc",,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2019,902,Town of Ashburnham - (MA),Y,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2019,906,Town of Ashland,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,907,City of Ashland - (OR),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,911,City of Ashland - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,918,City of Aspen- (CO),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,924,"Associated Electric Coop, Inc",,T,Transmission,,,,,,X,,,,X,,,,X
2019,925,"Ashley Chicot Elec Coop, Inc",Y,C,Cooperative,,X,,X,,,,,,X,X,X,X,X
2019,942,Atchison-Holt Electric Coop,,C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2019,944,City of Athens - (AL),,M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2019,947,Athens Utility Board,,M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2019,963,Atlantic City Electric Co,,I,Investor Owned,X,X,X,X,,X,,X,,X,X,X,X,X
2019,965,Atlantic Municipal Utilities,,M,Municipal,,X,,X,,X,,X,,X,,X,X,X
2019,970,Homefield Energy,,R,Retail Power Marketer,X,,,,X,,,,,X,,X,,X
2019,989,City of Attica - (KS),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,993,Auburn Board of Public Works,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,994,City of Auburn - (IN),,M,Municipal,,X,,X,X,,,,,X,,X,X,X
2019,995,City of Auburn - (IA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,998,City of Augusta - (KS),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1000,City of Augusta - (AR),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1002,City of Aurelia - (IA),Y,M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2019,1004,City of Aurora - (SD),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1009,City of Austin - (MN),,M,Municipal,,X,X,X,X,X,,X,X,X,X,X,X,X
2019,1015,Austin Energy,,M,Municipal,,X,X,X,X,X,X,X,X,X,X,X,X,X
2019,1024,City of Ava - (MO),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,1028,Town of Avilla - (IN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1033,City of Axtell - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1036,Town of Ayden - (NC),,M,Municipal,,X,,X,X,,,,,X,,X,X,X
2019,1046,City of Aztec - (NM),Y,M,Municipal,,X,,X,,,,X,X,X,,X,X,X
2019,1050,City of Azusa,,M,Municipal,,X,,X,X,X,,X,X,X,X,X,X,X
2019,1062,BARC Electric Coop Inc,,C,Cooperative,,X,X,X,,,,X,,X,X,X,X,X
2019,1080,City of Badger - (SD),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1101,Bagley Public Utilities Comm,,M,Municipal,,X,,X,,X,,,X,X,,X,X,X
2019,1119,Town of Bainbridge - (IN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1148,City of Baldwin City- (KS),,M,Municipal,,X,,X,,,,X,X,X,,X,X,X
2019,1149,Baldwin County El Member Corp,,C,Cooperative,,X,,X,,,,,,X,X,X,X,X
2019,1167,Baltimore Gas & Electric Co,,I,Investor Owned,X,X,X,X,X,X,,X,,X,X,X,X,X
2019,1169,Bailey County Elec Coop Assn,,C,Cooperative,,X,,X,,,,X,X,X,,X,X,X
2019,1170,Bamberg Board of Public Works,Y,M,Municipal,,X,,X,,,,,,X,X,X,X,X
2019,1172,Bancroft Municipal Utilities,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1175,"Bandera Electric Coop, Inc",,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2019,1176,City of Bandon - (OR),,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,1179,Versant Power,,I,Investor Owned,X,X,,X,,,,X,,X,X,X,X,X
2019,1181,Village of Bangor - (WI),,M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2019,1192,City of Banning - (CA),,M,Municipal,,X,,X,X,,,X,X,X,,X,X,X
2019,1196,Village of Baraga - (MI),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,1201,Barbourville Utility Comm,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1205,City of Bardwell - (KY),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1208,Town of Bargersville - (IN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1232,City of Barnesville - (GA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1233,City of Barnesville - (MN),,M,Municipal,,X,X,X,,X,,,,X,X,X,X,X
2019,1251,Barron Electric Coop,,C,Cooperative,,X,X,X,,X,,X,,X,X,X,X,X
2019,1273,"Bartlett Electric Coop, Inc",,C,Cooperative,,X,,X,,X,,X,X,X,X,X,X,X
2019,1276,"Barrow Utils & Elec Coop, Inc",,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,1278,City of Barron - (WI),Y,M,Municipal,,X,,X,X,,,,,X,,X,X,X
2019,1279,Barry Electric Coop,,C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2019,1283,Bartholomew County Rural E M C,,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2019,1299,"Barton Village, Inc",Y,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2019,1300,City of Bartow - (FL),,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2019,1301,"Barton County Elec Coop, Inc",,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,1307,Basin Electric Power Coop,,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,1324,City of Bastrop - (TX),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1325,City of Batavia - (IL),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1326,Village of Bartley - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1343,Bath Electric Gas & Water,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1346,City of Battle Creek- (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1353,City of Baudette - (MN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1366,City of Bay City - (MI),,M,Municipal,,X,,X,X,X,,,,X,X,X,X,X
2019,1367,"Bayfield Electric Coop, Inc",,C,Cooperative,,X,X,X,,X,,X,,X,,X,X,X
2019,1374,City of Bayard - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1386,Village of Beach City - (OH),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1387,City of Benham,Y,M,Municipal,,X,,,,,,,,X,,X,X,X
2019,1417,"Beartooth Electric Coop, Inc",,C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2019,1427,City of Beatrice - (NE),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1434,Beaver City Corporation,Y,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2019,1435,City of Beaver City - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1456,Town of Bedford - (VA),,M,Municipal,,X,,X,,,,,X,X,X,X,X,X
2019,1458,"Beauregard Electric Coop, Inc",,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,1494,Town of Belhaven - (NC),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1512,City of Belleville - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1515,City of Bellevue - (IA),Y,M,Municipal,,X,,X,,,,X,X,X,,X,X,X
2019,1519,City of Bellville - (TX),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1522,Village of Belmont - (WI),Y,M,Municipal,,X,,X,X,,,,,X,,X,X,X
2019,1523,Town of Belmont - (MA),,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2019,1525,City of Beloit - (KS),,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2019,1529,"Beltrami Electric Coop, Inc",,C,Cooperative,,X,X,X,X,X,,X,X,X,X,X,X,X
2019,1554,City of Benkelman - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1566,City of Bennettsville - (SC),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1571,Town of Benson - (NC),Y,M,Municipal,,X,,X,,,,,,X,X,X,X,X
2019,1572,Badger Power Marketing Authority,,W,Wholesale Power Marketer,,,,X,,,,,,X,,,X,X
2019,1573,City of Benson - (MN),,M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2019,1578,Benton County,,M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2019,1579,PUD No 1 of Benton County,,P,Political Subdivision,,X,,X,,X,,X,,X,X,X,X,X
2019,1581,City of Benton - (AR),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1582,City of Benton - (KY),,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2019,1585,Village of Benton - (WI),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1586,City of Bentonville - (AR),,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,1591,"Big Country Electric Coop, Inc",,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2019,1601,City of Beresford,,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,1604,Village of Bergen - (NY),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1611,"Messer Energy Services, Inc.",,R,Retail Power Marketer,X,,,,,,,,,X,,X,,X
2019,1613,Berkeley Electric Coop Inc,,C,Cooperative,X,X,X,X,X,X,,X,,X,X,X,X,X
2019,1615,Town of Berlin - (MD),Y,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2019,1618,Borough of Berlin - (PA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1625,Benton Rural Electric Assn,,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,1640,City of Bessemer Utilities,,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2019,1647,City of Bethany - (MO),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1648,Village of Bethany - (IL),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1650,Village of Bethel - (OH),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1671,Big Flat Electric Coop Inc,Y,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,1675,Big Horn Rural Electric Co,,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2019,1677,Village of Bloomdale - (OH),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1683,"Big Horn County Elec Coop, Inc",,C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2019,1692,Big Rivers Electric Corp,,C,Cooperative,,,,,,X,,,,X,,,,X
2019,1698,City of Big Stone City - (SD),Y,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2019,1702,City of Biggs - (CA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1708,Big Sandy Rural Elec Coop Corp,,C,Cooperative,,X,,X,,,,,,X,X,X,X,X
2019,1723,"Big Bend Electric Coop, Inc",,C,Cooperative,,X,,X,,X,,X,,X,X,X,X,X
2019,1726,City of Blue Mound - (KS),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1736,Blachly-Lane County Coop El Assn,,C,Cooperative,,X,,X,,X,,X,,X,X,X,X,X
2019,1738,Bonneville Power Administration,,F,Federal,X,X,,,,,,,,X,,X,X,X
2019,1763,"Black River Electric Coop, Inc - (SC)",,C,Cooperative,,X,,X,,X,,X,,X,X,X,X,X
2019,1764,Black Diamond Power Co,,I,Investor Owned,X,X,,X,,,,,,X,,X,X,X
2019,1765,Village of Black Earth - (WI),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1769,"Black Hills Electric Coop, Inc",,C,Cooperative,X,X,X,X,X,,,X,,X,X,X,X,X
2019,1775,Black River Electric Coop - (MO),,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,1776,City of Black River Falls,,M,Municipal,,X,,X,X,,,X,X,X,,X,X,X
2019,1779,Town of Basin - (WY),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1780,Black Warrior Elec Member Corp,,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,1795,Town of Blackstone - (VA),Y,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,1800,City of Blackwell - (OK),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1818,City of Blaine - (WA),,M,Municipal,,,,X,,X,,,,X,,X,X,X
2019,1823,Borough of Blakely - (PA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1824,City of Bigelow - (MN),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1826,City of Blakely - (GA),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1839,City of Blanding - (UT),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1857,Block Island Utility District,,P,Political Subdivision,X,X,,X,,,,X,,X,,X,X,X
2019,1866,Bloomer Electric & Water Co,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1871,City of Blooming Prairie - (MN),Y,M,Municipal,,X,,X,,,,,,X,X,X,X,X
2019,1876,City of Blountstown - (FL),Y,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,1883,Blue Earth Light & Water,,M,Municipal,,X,X,X,,,,,,X,X,X,X,X
2019,1884,BENCO Electric Cooperative,,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2019,1886,Blue Grass Energy Coop Corp,,C,Cooperative,,X,,X,X,,,X,X,X,X,X,X,X
2019,1889,Blue Ridge Elec Member Corp - (NC),,C,Cooperative,,X,X,X,X,X,,X,X,X,X,X,X,X
2019,1890,Blue Ridge Electric Coop Inc - (SC),,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,1891,Blue Ridge Mountain EMC - (GA),,C,Cooperative,,X,,X,,,,,X,X,,X,X,X
2019,1892,"Bluebonnet Electric Coop, Inc",,C,Cooperative,,X,,X,,,,X,X,X,X,X,X,X
2019,1896,City of Bluffton - (IN),,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1898,"Bon Homme Yankton El Assn, Inc",,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,1913,City of Boerne,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1936,Bolivar Energy Authority,,M,Municipal,,X,,X,,,,,X,X,X,X,X,X
2019,1955,City of Bridgeport Utilities - (NE),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1956,City of Bonners Ferry,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1968,Boone Valley Electric Coop,Y,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2019,1970,Village of Boonville - (NY),Y,M,Municipal,,X,,X,,,,X,X,X,,X,X,X
2019,1987,Town of Bostic - (NC),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,1997,City of Boscobel - (WI),,M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2019,2001,Boone Electric Coop,,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2019,2008,City of Boulder City - (NV),,M,Municipal,X,X,,X,X,X,,X,,X,,X,X,X
2019,2010,City of Bountiful,,M,Municipal,X,X,,X,,,,X,X,X,,X,X,X
2019,2049,"Bowie-Cass Electric Coop, Inc",,C,Cooperative,,X,,X,,,,X,X,X,X,X,X,X
2019,2050,City of Bowie - (TX),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,2054,City of Bowling Green - (OH),,M,Municipal,,X,,X,,,,,,X,X,X,X,X
2019,2056,City of Bowling Green - (KY),,M,Municipal,,X,,X,X,,,,X,X,X,X,X,X
2019,2064,Town of Boyce,Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,2086,Town of Boylston - (MA),Y,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,2089,Bozrah Light & Power Company,,M,Municipal,,X,,X,,X,,,,X,X,X,X,X
2019,2120,Village of Brainard - (NE),Y,M,Municipal,,X,X,X,,,,,,X,,X,X,X
2019,2128,Village of Bradner - (OH),Y,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,2135,City of Brady - (TX),Y,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2019,2138,Brainerd Public Utilities,,M,Municipal,,X,,X,,,,,,X,,X,X,X
2019,2144,Town of Braintree - (MA),,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2019,2152,Powerex Corporation,,W,Wholesale Power Marketer,,,,,,,,,,X,,,,X
2019,2172,Brazos Electric Power Coop Inc,,C,Cooperative,,,,,,,,,,X,,,,X
2019,2182,City of Breckenridge- (MN),,M,Municipal,,X,X,X,,X,,,,X,,X,X,X
