|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2019,61893,BNB Camden Solar,61508,BNB Camden Solar LLC,NJ,PJM,0.0,0,0,"1,769.0","5,527",1,0.0,0,0,0.0,0,0,"1,769.0","5,527",1
2019,60067,BWC Swan Pond River CSG,59805,"BWC Swan Pond River, LLC",MA,ISNE,0.0,0,0,351.0,"2,919",1,0.0,0,0,0.0,0,0,351.0,"2,919",1
2019,61118,Bakersfield Industrial PV 1,60730,"Bakersfield Industrial PV 1, LLC",CA,CISO,0.0,0,0,200.0,"2,139",1,0.0,0,0,0.0,0,0,200.0,"2,139",1
2019,61117,Bakersfield PV 1,60729,"Bakersfield PV 1, LLC",CA,CISO,0.0,0,0,784.0,"10,134",1,0.0,0,0,0.0,0,0,784.0,"10,134",1
2019,60664,Baltimore City B,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,258.0,"3,170",1,0.0,0,0,0.0,0,0,258.0,"3,170",1
2019,60665,Baltimore City D,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,250.0,"3,075",1,0.0,0,0,0.0,0,0,250.0,"3,075",1
2019,60666,Baltimore City F,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,259.0,"3,189",1,0.0,0,0,0.0,0,0,259.0,"3,189",1
2019,60667,Baltimore City G,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,260.0,"3,205",1,0.0,0,0,0.0,0,0,260.0,"3,205",1
2019,62138,Barone CSG,63249,Terraform Arcadia,MN,MISO,0.0,0,0,180.0,"1,590",1,0.0,0,0,0.0,0,0,180.0,"1,590",1
2019,63298,"Barrette Outdoor Living, Inc.",62994,"Dynamic Energy Solutions, LLC",NJ,PJM,0.0,0,0,53.0,"2,105",1,0.0,0,0,0.0,0,0,53.0,"2,105",1
