,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
16,2014,1,1/8/14,5:00 AM,1/8/14,6:30 AM,"1 Hours, 30 Minutes",American Electric Power,RFC,"Unknown,nan","Severe Weather - Cold,Voltage Reduction due to",576,Unknown,
17,2014,1,1/8/14,6:00 AM,1/8/14,9:00 AM,"3 Hours,0 Minutes",South Carolina Electric and Gas,SERC,"South Carolina,nan,nan","due to Severe Weather - Cold,Appeal; Load Shed 100+MW,Voltage Reduction; Public",4545,677858,
18,2014,1,1/17/14 10:30,,1/28/14,9:00 AM,"262 Hours, 30 Minutes","Prairie Power, Inc.",RFC,"Illinois,nan","Natural Gas,Fuel Supply Emergency -",Unknown,Unknown,
19,2014,1,1/18/14,9:00 AM,1/18/14,9:45 AM,"0 Hours, 45 Minutes",ERCOT,TRE,"Texas,nan","Electricity Usage,Public Appeal to Reduce",Unknown,Unknown,
20,2014,1,1/18/14,5:39 PM,,ongoing,nanongoing,First Energy Solutions Corp.,RFC,Unknown,Electrical System Islanding,Unknown,Unknown,
21,2014,1,1/23/14,4:00 AM,1/24/14 12:00,,"32 Hours,0 Minutes",Memphis Light Gas and Water Division,SERC,"Tennessee,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
22,2014,1,1/23/14,1:04 PM,1/24/14,9:00 AM,"19 Hours, 56 Minutes",PJM Interconnection,RFC,"Maryland,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
23,2014,1,1/23/14,4:00 PM,1/24/14 12:00,,"20 Hours,0 Minutes",Tennessee Valley Authority,SERC,"Tennessee,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
24,2014,1,1/24/14 0:00,,,ongoing,nanongoing,We Energies,RFC,Wisconsin,Fuel Supply Emergency - Coal,Unknown,,
25,2014,1,1/27/14,2:20 PM,1/28/14,9:00 PM,"30 Hours, 40 Minutes",PJM Interconnection,RFC,"Maryland,nan","Weather - Cold,Public Appeal due to Severe",Unknown,Unknown,
26,2014,2,2/5/14 0:00,,2/9/14,6:00 PM,"114 Hours,0 Minutes",FirstEnergy Corp: Potomac Edison,RFC,"Maryland, West Virginia",Severe Weather - Snow/Ice,Unknown,101580,
27,2014,2,2/5/14,1:00 AM,2/9/14,8:40 PM,"115 Hours, 40 Minutes",FirstEnergy Corp: Met-Ed,RFC,Pennsylvania,Severe Weather - Snow/Ice,Unknown,144000,
28,2014,2,2/5/14,5:00 AM,2/5/14,5:01 AM,"0 Hours,1 Minutes",Exelon Corporation/PECO,RFC,Pennsylvania,Severe Weather - Snow/Ice,Unknown,715000,
29,2014,2,2/5/14,7:00 AM,2/23/14,7:00 AM,"432 Hours,0 Minutes",Upstate New York Power Producers,NPCC,New York,Fuel Supply Emergency - Coal,300,Unknown,
30,2014,2,2/5/14,7:35 AM,2/7/14,4:03 AM,"44 Hours, 28 Minutes",PPL Electric Utilities Corp,RFC,"Pennsylvania,Lancaster Region,","Severe Weather - Snow/Ice,nan",Unknown,62159,
31,2014,2,2/5/14,8:05 AM,2/5/14,8:06 AM,"0 Hours,1 Minutes",Baltimore Gas & Electric Company,RFC,"Baltimore, Maryland",Severe Weather - Ice,800,181000,
32,2014,2,2/6/14,1:00 PM,2/6/14 22:00,,"9 Hours,0 Minutes",California ISO,WECC,"California,nan","Natural Gas,Fuel Supply Emergency -",4000,Unknown,
33,2014,2,2/6/14,1:05 PM,2/6/14,7:15 PM,"6 Hours, 10 Minutes",Pacific Gas & Electric Co,WECC,"Northern California,nan","Natural Gas,Fuel Supply Emergency -",160,Unknown,
34,2014,2,2/6/14,1:58 PM,2/6/14,8:40 PM,"6 Hours, 42 Minutes",American Electric Power,TRE,"Rio Grande Valley Texas,nan","Electricity Usage,Public Appeal to Reduce",Unknown,Unknown,
35,2014,2,2/6/14,2:15 PM,2/6/14,7:39 PM,"5 Hours, 24 Minutes",Southern California Edison,WECC,"California,nan","Natural Gas,Fuel Supply Emergency -",611,Unknown,
36,2014,2,2/6/14,3:35 PM,2/7/14 11:30,,"19 Hours, 55 Minutes",ERCOT,TRE,"ERCOT Region Texas,nan","Electricity Usage,Public Appeal to Reduce",Unknown,Unknown,
37,2014,2,2/7/14,7:00 AM,3/21/14,8:00 AM,"1,009 Hours,0 Minutes","Somerset Operating Company, LLC",NPCC,Niagara County New York,Fuel Supply Emergency - Coal,675,Unknown,
38,2014,2,2/7/14,4:30 PM,2/8/14,9:00 AM,"16 Hours, 30 Minutes",ERCOT,TRE,"ERCOT Region Texas,nan","Electricity Usage,Public Appeal to Reduce",Unknown,Unknown,
39,2014,2,2/7/14,4:50 PM,2/7/14,8:30 PM,"3 Hours, 40 Minutes",American Electric Power,TRE,"Texas,nan","Electricity Usage,Public Appeal to Reduce",Unknown,Unknown,
40,2014,2,2/12/14,7:48 AM,2/15/14,4:30 AM,"68 Hours, 42 Minutes",Southern Company,SERC,Northern/Northeastern Georgia,Severe Weather - Snow/Ice,1246,373835,
41,2014,2,2/12/14 11:03,,2/15/14,8:40 AM,"69 Hours, 37 Minutes",South Carolina Electric and Gas,SERC,South Carolina,Severe Weather - Snow/Ice,700,120124,
42,2014,2,2/12/14 12:10,,2/15/14,3:20 PM,"75 Hours, 10 Minutes",Duke Energy Progress,SERC,North Carolina,Severe Weather - Snow/Ice,Unknown,200000,
43,2014,2,2/20/14,4:40 PM,2/21/14 23:59,,"31 Hours, 19 Minutes",Ameren Missouri,SERC,"Missouri, Illinois",Severe Weather - Snow/Ice,Unknown,66000,
44,2014,2,2/21/14,2:53 AM,2/21/14,9:00 PM,"18 Hours,7 Minutes",Southern Company,SERC,"Northern/Northeastern Georgia,nan","Thunderstorms/High Winds,Severe Weather -",221,66445,
45,2014,3,3/2/14,7:00 PM,3/4/14,9:00 AM,"38 Hours,0 Minutes",ERCOT,TRE,"ERCOT Region Texas,nan","Weather - Cold,Public Appeal due to Severe",,,
46,2014,3,3/3/14,1:48 AM,3/3/14,1:49 AM,"0 Hours,1 Minutes",Public Utility District #1 of Chelan County (CHPD),WECC,"Washington,Mid-Columbia River Generation,","Fuel Supply Emergency - Hydro,nan",630,Unknown,
47,2014,3,3/3/14,6:40 AM,3/3/14,3:28 PM,"8 Hours, 48 Minutes",Tennessee Valley Authority,SERC,Tennessee,Severe Weather - Winter Storm,Unknown,65904,
48,2014,3,3/4/14,9:06 AM,3/17/14,9:06 AM,"312 Hours,0 Minutes",Wisconsin Public Service Corp,MRO,"Weston, Wisconsin",Fuel Supply Emergency - Coal,Unknown,Unknown,
49,2014,3,3/7/14,3:30 AM,3/7/14,9:00 PM,"17 Hours, 30 Minutes",Duke Energy Carolinas,SERC,"Triad, North Carolina",Severe Weather - Winter Storm,1500,370900,
50,2014,3,3/12/14,7:35 PM,3/13/14 12:00,,"16 Hours, 25 Minutes",Duke Energy Carolinas,SERC,North Carolina,Severe Weather - High Winds,250,61377,
51,2014,3,3/26/14,1:37 PM,3/26/14,2:33 PM,"0 Hours, 56 Minutes",Peak Reliability,WECC,"Montana,nan","(Islanding),Electrical System Separation",Unknown,Unknown,
52,2014,3,3/31/14,3:41 PM,3/31/14,8:08 PM,"4 Hours, 27 Minutes",Puerto Rico Electric Power Authority,,"Puerto Rico,nan","Reduction,System Wide Voltage",Unknown,Unknown,
53,2014,4,4/3/14 0:00,,,ongoing,nanongoing,City of Garland / Texas Municipal Power Agency,TRE,Texas,Fuel Supply Emergency - Coal,Unknown,Unknown,
