Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2017,12909,City of Moran - (KS),M,Municipal,,X,,,,,,,,,,,,X,
2017,12915,Moreau-Grand Electric Coop Inc,C,Cooperative,,,X,X,X,,,,,,X,,X,X,X
2017,12917,Morgan Stanley Capital Grp Inc,W,Wholesale Power Marketer,,,,,,,,,,,X,,,,X
2017,12919,Morenci Water and Electric Co,I,Investor Owned,X,,X,,X,,,,X,,X,,X,X,X
2017,12927,Morgan City - (LA),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,12928,Morgan City - (UT),M,Municipal,,X,X,,,,,,,,,,,X,
2017,12929,South Central Indiana REMC,C,Cooperative,,,X,,X,X,,,X,,X,X,X,X,X
2017,12944,City of Morganton - (NC),M,Municipal,,,X,,X,,,,,X,X,X,X,X,X
2017,12952,Village of Morrill - (NE),M,Municipal,,X,,,,,,,,,,,,X,
2017,12988,City of Morristown - (TN),M,Municipal,,,X,,X,X,,,,X,X,X,X,X,X
2017,12989,Village of Morrisville - (VT),M,Municipal,,,X,,X,,,,X,X,X,X,X,X,X
2017,12990,Consolidated Electric Coop Inc,C,Cooperative,,,X,,X,X,,,X,X,X,X,X,X,X
2017,13025,City of Moulton - (TX),M,Municipal,,X,,,,,,,,,,,,X,
2017,13026,City of Moultrie - (GA),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13027,"Mountain Electric Coop, Inc",C,Cooperative,,,X,,X,X,,,,X,X,X,X,X,X
2017,13029,City of Moundridge - (KS),M,Municipal,,,X,,X,,,,,,X,X,X,X,X
2017,13032,Mt Carmel Public Utility Co,I,Investor Owned,X,,X,,X,,,,X,,X,X,X,X,X
2017,13033,City of Mount Dora - (FL),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13035,City of Mount Hope - (KS),M,Municipal,,X,,,,,,,,,,,,X,
2017,13036,Village of Mt. Horeb - (WI),M,Municipal,,,X,,X,X,,,X,X,X,,X,X,X
