,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
10,3040,City of Carmi - (IL),Y,IL,Municipal,RFC,13.8,9.3,43,"56,456",0,0,0,0,0,0,0,"56,499","49,052",0,0,3,"7,444","56,499","7,521.6",0.0,0.0,0.0,0.0,80.0,"7,601.6",O
11,3153,City of Casey - (IL),Y,IL,Municipal,RFC,7.7,5.0,44,"32,157",0,0,0,0,0,0,0,"32,201","28,885",0,0,812,"2,504","32,201","3,102.0",0.0,0.0,89.0,0.0,0.0,"3,191.0",O
12,3405,Village of Chatham - (IL),Y,IL,Municipal,MRO,24.0,12.5,0,"83,101",0,0,0,0,0,0,0,"83,101","77,725",0,"5,376",0,0,"83,101","8,655.0",0.0,0.0,0.0,0.0,0.0,"8,655.0",O
13,3726,Clay Electric Coop Inc,Y,IL,Cooperative,RFC,11.0,10.0,0,"54,660",0,0,0,0,0,0,0,"54,660","50,953",0,0,62,"3,645","54,660","7,636.0",0.0,0.0,0.0,0.0,0.0,"7,636.0",O
14,3806,"Clinton County Elec Coop, Inc",,IL,Cooperative,RFC,32.0,30.0,0,"150,928",0,0,0,0,0,0,0,"150,928","144,617",0,0,0,"6,311","150,928","17,109.0",0.0,0.0,0.0,0.0,102.0,"17,211.0",O
15,3931,Coles-Moultrie Electric Coop,,IL,Cooperative,SERC,42.0,50.7,0,"217,718",0,0,0,0,0,0,0,"217,718","205,659",0,0,546,"11,513","217,718","27,707.0",0.0,0.0,0.0,0.0,262.0,"27,969.0",O
16,4110,Commonwealth Edison Co,,IL,Investor Owned,RFC,"15,583.6","20,948.7",0,"30,230,565",0,0,0,0,0,0,0,"30,230,565","26,854,515","1,509,436","435,833","74,509","1,356,272","30,230,565","3,235,757.2","1,730,211.8","34,987.5",0.0,"742,394.7","142,651.3","5,886,002.5",O
17,4362,Corn Belt Energy Corporation,,IL,Cooperative,RFC,148.6,125.7,0,"673,963",0,0,0,0,0,0,0,"673,963","649,196",0,0,"1,507","23,260","673,963","78,954.6",0.0,0.0,0.0,0.0,263.6,"79,218.2",O
18,5531,Enerstar Power Corp,Y,IL,Cooperative,RFC,19.0,18.4,0,"91,493",0,0,0,0,0,0,0,"91,493","85,281",0,0,198,"6,014","91,493","12,459.8",0.0,0.0,0.0,0.0,85.7,"12,545.5",O
19,5535,Egyptian Electric Coop Assn,,IL,Cooperative,RFC,71.4,89.0,0,"346,352",0,0,0,0,0,0,0,"346,352","330,825",0,0,0,"15,527","346,352","42,266.0",0.0,0.0,0.0,0.0,0.0,"42,266.0",O
20,5585,Eastern Illinois Elec Coop,,IL,Cooperative,RFC,48.6,57.0,0,"267,552",0,0,0,0,0,0,0,"267,552","247,708",0,0,104,"19,740","267,552","35,526.0",0.0,0.0,-22.0,0.0,54.0,"35,558.0",O
21,5748,Electric Energy Inc,,IL,Investor Owned,SERC,0.0,0.0,"4,412,710",0,0,0,0,0,0,0,0,"4,412,710",0,"4,412,710",0,0,0,"4,412,710",0.0,0.0,"120,409.0",0.0,0.0,0.0,"120,409.0",O
22,6141,City of Fairfield- (IL),Y,IL,Municipal,RFC,15.2,10.6,"17,000","62,000",0,0,0,0,0,0,0,"79,000","79,000",0,0,0,0,"79,000","7,732.0",0.0,0.0,0.0,0.0,0.0,"7,732.0",O
23,6192,City of Farmer City - (IL),Y,IL,Municipal,RFC,4.6,3.5,41,"19,007",0,0,0,0,0,0,0,"19,048","17,083",0,0,"1,088",877,"19,048","2,273.0",0.0,0.0,0.0,0.0,5.0,"2,278.0",O
24,6417,City of Flora - (IL),,IL,Municipal,,24.3,19.2,44,"120,137",0,0,0,0,0,0,0,"120,181","112,184",0,0,"1,619","6,378","120,181","12,962.0",0.0,0.0,0.0,0.0,151.0,"13,113.0",O
25,6764,Village of Freeburg - (IL),Y,IL,Municipal,RFC,11.2,7.7,29,"43,884",0,0,0,0,0,0,0,"43,913","39,595",0,0,192,"4,126","43,913","5,448.0",0.0,0.0,0.0,0.0,103.0,"5,551.0",O
26,7095,City of Geneseo - (IL),Y,IL,Municipal,RFC,18.0,12.0,"7,787","58,828",0,0,0,0,0,0,-894,"65,721","62,883",0,0,807,"2,031","65,721","6,748.0",0.0,0.0,0.0,0.0,11.0,"6,759.0",O
27,7096,City of Geneva- (IL),,IL,Municipal,RFC,81.4,69.7,"4,140","390,947",0,0,0,0,0,0,"-13,101","381,986","374,831",0,0,0,"7,155","381,986","35,714.0",0.0,0.0,0.0,0.0,751.3,"36,465.3",O
28,7633,Village of Greenup - (IL),Y,IL,Municipal,RFC,4.0,2.0,0,"18,912",0,0,0,0,0,0,0,"18,912","17,847",0,0,0,"1,065","18,912","2,251.4",0.0,0.0,0.0,0.0,0.0,"2,251.4",O
29,8573,City of Highland,,IL,Municipal,SERC,33.3,22.1,203,"134,420",0,0,0,0,0,0,0,"134,623","126,356",0,"1,044",591,"6,632","134,623","14,118.5",0.0,0.0,0.0,0.0,495.0,"14,613.5",O
30,8824,M J M Electric Cooperative Inc,,IL,Cooperative,RFC,33.0,28.8,0,"144,289",0,0,0,0,0,0,0,"144,289","134,905",0,0,0,"9,384","144,289","20,236.0",0.0,0.0,0.0,0.0,0.0,"20,236.0",O
31,9209,Illinois Rural Electric Coop,,IL,Cooperative,RFC,42.3,39.3,"2,666","192,200",0,0,0,0,0,0,0,"194,866","181,513",0,0,0,"13,353","194,866","31,352.0",0.0,0.0,0.0,0.0,235.0,"31,587.0",O
32,9286,Illinois Municipal Elec Agency,,IL,Municipal Mktg Authority,SERC,915.1,622.2,"2,715,081","1,164,458",0,0,0,0,0,0,0,"3,879,539",0,"3,879,539",0,0,0,"3,879,539",0.0,0.0,"306,441.0",0.0,0.0,"2,482.0","308,923.0",O
33,9750,"Jo-Carroll Energy, Inc",,IL,Cooperative,MRO,90.5,95.2,45,"439,292",0,0,0,0,0,0,0,"439,337","426,380","2,032",0,716,"10,209","439,337","52,683.0",0.0,165.9,0.0,0.0,0.0,"52,848.9",O
34,11736,City of Marshall - (IL),Y,IL,Municipal,RFC,14.5,10.2,115,"67,998",0,0,0,0,0,0,0,"68,113","63,785",0,0,0,"4,328","68,113","7,079.0",0.0,0.0,0.0,0.0,12.0,"7,091.0",O
35,11790,City of Mascoutah - (IL),Y,IL,Municipal,RFC,15.9,14.6,0,"59,950",0,0,0,0,0,0,0,"59,950","56,607",0,0,0,"3,343","59,950","8,001.0",0.0,0.0,0.0,0.0,0.0,"8,001.0",O
36,12070,McDonough Power Coop,Y,IL,Cooperative,RFC,16.1,16.9,0,"80,897",0,0,0,0,0,0,0,"80,897","75,231",0,0,0,"5,666","80,897","11,189.3",0.0,0.0,0.0,0.0,67.1,"11,256.4",O
37,12167,City of McLeansboro - (IL),Y,IL,Municipal,RFC,7.0,4.0,78,"26,254",0,0,0,0,0,0,0,"26,332","23,120",0,0,534,"2,678","26,332","3,316.0",0.0,0.0,0.0,0.0,724.0,"4,040.0",O
38,12388,City of Metropolis - (IL),Y,IL,Municipal,,18.0,17.0,0,"74,740",0,0,0,0,0,0,0,"74,740","74,740",0,0,0,0,"74,740","9,010.0",0.0,0.0,0.0,0.0,0.0,"9,010.0",O
39,12395,Menard Electric Coop,,IL,Cooperative,RFC,64.6,38.3,0,"225,659",0,0,0,0,0,0,0,"225,659","208,596",0,0,224,"16,839","225,659","29,908.1",0.0,0.0,0.0,0.0,164.5,"30,072.6",O
40,12803,"Monroe County Elec Coop, Inc",,IL,Cooperative,RFC,31.0,26.0,0,"127,617",0,0,0,0,0,0,0,"127,617","120,131",0,0,333,"7,153","127,617","17,370.0",0.0,0.0,0.0,0.0,201.0,"17,571.0",O
41,13032,Mt Carmel Public Utility Co,,IL,Investor Owned,SERC,24.4,17.6,0,"105,207",0,0,0,0,0,0,0,"105,207","94,376","3,547",241,380,"6,663","105,207","13,638.0",0.0,269.0,0.0,0.0,92.0,"13,999.0",O
42,13208,City of Naperville - (IL),,IL,Municipal,RFC,341.9,224.2,0,"1,351,197",0,0,0,0,0,0,0,"1,351,197","1,275,478",0,"3,897",0,"71,822","1,351,197","150,612.7",0.0,0.0,0.0,0.0,284.0,"150,896.7",O
43,13292,Norris Electric Coop,,IL,Cooperative,RFC,82.5,71.4,0,"396,163",0,0,0,0,0,0,0,"396,163","366,454",0,0,510,"29,199","396,163","40,964.0",0.0,0.0,0.0,0.0,-33.0,"40,931.0",O
44,13560,City of Newton - (IL),Y,IL,Municipal,RFC,11.0,8.0,0,"27,030",0,0,0,0,0,0,0,"27,030","25,572",0,0,0,"1,458","27,030","2,610.0",0.0,0.0,0.0,0.0,0.0,"2,610.0",O
45,13993,City of Oglesby - (IL),Y,IL,Municipal,RFC,9.6,6.3,0,"36,329",0,0,0,0,0,0,0,"36,329","30,995",0,8,0,"5,326","36,329","4,188.0",0.0,0.0,0.0,0.0,34.0,"4,222.0",O
46,14840,City of Peru - (IL),,IL,Municipal,RFC,51.0,39.0,"53,263","209,475",0,0,0,0,0,0,0,"262,738","250,767",0,0,0,"11,971","262,738","25,221.0",0.0,0.0,0.0,0.0,87.0,"25,308.0",O
47,15388,City of Princeton - (IL),,IL,Municipal,SERC,24.8,16.8,529,"106,187",0,0,0,0,0,0,0,"106,716","96,242",0,0,"7,510","2,964","106,716","10,200.0",0.0,0.0,0.0,0.0,109.0,"10,309.0",O
48,15686,Village of Rantoul - (IL),,IL,Municipal,RFC,36.0,25.0,136,"164,202",0,0,0,0,0,0,0,"164,338","145,828",0,"9,277",430,"8,803","164,338","16,782.0",0.0,0.0,0.0,0.0,0.0,"16,782.0",O
49,15772,City of Red Bud - (IL),Y,IL,Municipal,RFC,12.9,9.6,143,"50,351",0,0,0,0,0,0,0,"50,494","43,326",0,0,0,"7,168","50,494","5,230.0",0.0,0.0,0.0,0.0,160.0,"5,390.0",O
50,16092,Village of Riverton - (IL),Y,IL,Municipal,,7.1,4.3,0,"27,351",0,0,0,0,0,0,0,"27,351","26,640",0,711,0,0,"27,351","3,284.4",0.0,0.0,0.0,0.0,0.0,"3,284.4",O
51,16179,Rochelle Municipal Utilities,,IL,Municipal,RFC,56.6,56.0,"2,728","361,438",0,0,0,0,0,0,0,"364,166","354,770",0,300,0,"9,096","364,166","34,407.0",0.0,0.0,0.0,"2,362.0",264.0,"37,033.0",O
52,16198,City of Rock Falls - (IL),Y,IL,Municipal,RFC,19.3,13.0,481,"69,212",0,0,0,0,0,0,0,"69,693","63,236",0,0,"6,104",353,"69,693","8,723.0",0.0,0.0,0.0,0.0,94.0,"8,817.0",O
53,16269,City of Roodhouse - (IL),Y,IL,Municipal,RFC,3.0,2.0,0,"12,146",0,0,0,0,0,0,0,"12,146","10,917",0,0,108,"1,121","12,146","1,420.0",0.0,0.0,0.0,0.0,843.0,"2,263.0",O
54,16420,Rural Electric Conven Coop,,IL,Cooperative,RFC,23.7,26.2,"1,946","121,885",0,0,0,0,0,0,0,"123,831","114,013",0,0,210,"9,608","123,831","13,837.0",0.0,0.0,0.0,0.0,169.7,"14,006.7",O
55,17040,"Shelby Electric Coop, Inc",,IL,Cooperative,RFC,48.7,44.5,0,"266,607",0,0,0,0,0,0,0,"266,607","249,734",0,0,349,"16,524","266,607","34,174.6",0.0,0.0,0.0,0.0,213.3,"34,387.9",O
56,17585,"Southeastern IL Elec Coop, Inc",,IL,Cooperative,RFC,186.1,218.1,0,"930,677",0,0,0,0,0,0,0,"930,677","903,727",0,891,0,"26,059","930,677","101,560.0",0.0,0.0,-461.0,0.0,0.0,"101,099.0",O
57,17631,Southern Illinois Elec Coop,,IL,Cooperative,RFC,41.9,47.8,0,"197,630",0,0,0,0,0,0,0,"197,630","187,053",0,0,429,"10,148","197,630","28,770.0",0.0,0.0,0.0,0.0,280.0,"29,050.0",O
58,17632,Southern Illinois Power Coop,,IL,Cooperative,SERC,424.8,477.5,"2,591,380","190,616",0,0,0,0,0,0,0,"2,781,996",0,"2,745,559",0,402,"36,035","2,781,996",0.0,0.0,"188,773.1",0.0,0.0,"1,182.8","189,955.9",O
59,17697,Southwestern Electric Coop Inc - (IL),,IL,Cooperative,SERC,113.1,84.5,156,"472,690",0,0,0,0,0,0,0,"472,846","444,918",0,156,0,"27,772","472,846","59,113.1",0.0,0.0,0.0,0.0,0.0,"59,113.1",O
60,17828,City of Springfield - (IL),,IL,Municipal,SERC,377.0,265.0,"2,377,897","443,064",0,0,0,0,0,0,0,"2,820,961","1,671,540","1,066,435","18,210","4,544","60,232","2,820,961","211,851.3",0.0,"32,044.1","-7,969.9",0.0,"3,974.9","239,900.4",O
61,17838,"Spoon River Electric Coop, Inc",Y,IL,Cooperative,RFC,14.3,13.9,0,"71,493",0,0,0,0,0,0,0,"71,493","66,777",0,0,0,"4,716","71,493","10,583.0",0.0,0.0,0.0,0.0,0.0,"10,583.0",O
62,17860,City of St Charles - (IL),,IL,Municipal,RFC,114.4,79.0,0,"525,338",0,0,0,0,0,0,0,"525,338","511,263",0,0,0,"14,075","525,338","64,884.5",0.0,0.0,0.0,0.0,0.0,"64,884.5",O
63,18277,City of Sullivan - (IL),Y,IL,Municipal,RFC,15.5,12.1,169,"72,433",0,0,0,0,0,0,0,"72,602","68,606",0,0,0,"3,996","72,602","7,244.0",0.0,0.0,0.0,0.0,199.0,"7,443.0",O
64,18955,"Tri-County Electric Coop, Inc (IL)",,IL,Cooperative,RFC,83.9,81.8,41,"429,367",0,0,0,0,0,0,0,"429,408","411,509",0,0,174,"17,725","429,408","50,353.3",0.0,0.0,"-1,202.5",162.0,299.7,"49,612.5",O
65,20180,City of Waterloo - (IL),Y,IL,Municipal,RFC,23.4,14.9,493,"90,573",0,0,0,0,0,0,0,"91,066","85,257",0,0,0,"5,809","91,066","10,862.0",0.0,0.0,0.0,0.0,29.9,"10,891.9",O
66,20222,Wayne-White Counties Elec Coop,,IL,Cooperative,RFC,81.5,74.8,0,"404,377",0,0,0,0,0,0,0,"404,377","389,360",0,0,243,"14,774","404,377","43,594.5",0.0,0.0,0.0,0.0,238.1,"43,832.6",O
67,20824,Village of Winnetka - (IL),,IL,Municipal,RFC,35.0,23.9,0,"126,408",0,0,0,0,0,0,0,"126,408","120,948",0,"2,480",0,"2,980","126,408","14,429.0",0.0,0.0,0.0,0.0,0.0,"14,429.0",O
68,29296,Western Illinois Elec Coop,Y,IL,Cooperative,RFC,15.8,14.6,0,"76,075",0,0,0,0,0,0,0,"76,075","71,410",0,0,119,"4,546","76,075","9,569.0",0.0,0.0,0.0,0.0,0.0,"9,569.0",O
69,40307,"Prairie Power, Inc",,IL,Cooperative,SERC,318.9,319.2,"1,004,720","618,986",0,0,0,"19,061","18,872",189,0,"1,623,895",0,"1,603,927",0,0,"19,968","1,623,895",0.0,0.0,"109,281.0","3,021.0","23,766.0","10,305.0","146,373.0",O
70,40367,Village of Ladd - (IL),Y,IL,Municipal,RFC,2.9,2.0,0,"12,396",0,0,0,0,0,0,0,"12,396","11,163",0,469,0,764,"12,396","1,295.5",0.0,0.0,0.0,0.0,0.0,"1,295.5",O
71,55722,AEP Energy,,IL,Retail Power Marketer,RFC,"3,652.2","3,642.4",0,"17,536,656",0,0,0,0,0,0,0,"17,536,656","17,536,656",0,0,0,0,"17,536,656","967,106.0",0.0,0.0,0.0,0.0,0.0,"967,106.0",O
72,56379,"MC Squared Energy Services, LLC",,IL,Retail Power Marketer,,0.0,0.0,0,"1,475,425",0,0,0,0,0,0,0,"1,475,425","1,390,553",0,0,0,"84,872","1,475,425","94,654.0",0.0,0.0,0.0,0.0,0.0,"94,654.0",O
73,57459,"Wolverine Alternative Investments, LLC",,IL,Retail Power Marketer,,3.8,1.1,0,"13,990",0,0,0,0,0,0,0,"13,990","13,990",0,0,0,0,"13,990",760.1,0.0,0.0,0.0,0.0,0.0,760.1,O
74,59054,"Eligo Energy, LLC",,IL,Retail Power Marketer,,0.0,0.0,0,"1,044,669",0,0,0,0,0,0,0,"1,044,669","1,044,669",0,0,0,0,"1,044,669","89,328.3",0.0,0.0,0.0,0.0,0.0,"89,328.3",O
75,59088,"Nordic Energy Services, LLC",,IL,Retail Power Marketer,,369.0,276.0,0,"1,230,614",0,0,0,0,0,0,0,"1,230,614","1,230,614",0,0,0,0,"1,230,614","82,082.3",0.0,0.0,0.0,0.0,0.0,"82,082.3",O
76,59848,"ResCom Energy, LLC",,IL,Retail Power Marketer,,0.4,0.3,0,914,0,0,0,0,0,0,0,914,852,0,0,0,62,914,127.9,0.0,0.0,0.0,0.0,0.0,127.9,O
