"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM"
"99849999999","2021-03-05T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","SHEF ","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0006,1","+9999,9","99999,9","240,M,+0017,1","240,N,-0011,1",,
"99849999999","2021-03-05T01:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","350,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0010,1","-0052,1","99999,9",,,"5,99,0082,1,999","SYN062CNII2 46/// /3513 11010 21052 90045 333 91216 555 11013 22014="
"99849999999","2021-03-05T02:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0010,1","-0052,1","99999,9",,,"5,99,0082,1,999","SYN062CNII2 46/// /3612 11010 21052 90145 333 91216 555 11012 22013="
"99849999999","2021-03-05T03:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0010,1","-0051,1","99999,9",,,"5,99,0077,1,999","SYN062CNII2 46/// /0211 11010 21051 90245 333 91215 555 11011 22012="
"99849999999","2021-03-05T04:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0010,1","-0049,1","99999,9",,,"5,99,0077,1,999","SYN062CNII2 46/// /3609 11010 21049 90345 333 91215 555 11009 22010="
"99849999999","2021-03-05T05:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0007,1","-0057,1","99999,9",,,"5,99,0077,1,999","SYN062CNII2 46/// /3608 11007 21057 90445 333 91215 555 11008 22009="
"99849999999","2021-03-05T06:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0004,1","-0053,1","99999,9",,,"5,99,0072,1,999","SYN062CNII2 46/// /0410 11004 21053 90545 333 91214 555 11010 22011="
"99849999999","2021-03-05T07:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0002,1","-0047,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0209 11002 21047 90645 333 91213 555 11009 22010="
"99849999999","2021-03-05T08:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0002,1","-0052,1","99999,9",,,"5,99,0067,1,999","SYN062CNII2 46/// /0408 11002 21052 90745 333 91213 555 11008 22009="
"99849999999","2021-03-05T09:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","030,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0000,1","-0054,1","99999,9",,,"5,99,0062,1,999","SYN062CNII2 46/// /0305 10000 21054 90845 333 91212 555 11005 22006="
