ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,GeoLevel,Comparison,STATE_NAME,STATE_ABBR,COUNTY_FIPS,COUNTY_NAME
17,Illinois,IL,17083,Jersey,17083,"Jersey County, Illinois",369.659929728032,21776,0,10160,81,8158,283,3029,422,472,184,1616,284,1052,224,825,235,4213,75,4414,66,3070,311,335,127,49,93,989,139,164,77,619,156,44,31,235,89,997,197,14.6,2.0,4.3,1.6,19.8,3.4,6.9,1.5,3.9,1.1,19.3,0.3,20.3,0.3,14.3,1.4,4.1,1.6,0.2,0.4,4.5,0.6,1.6,0.8,6.1,1.6,0.5,0.4,2.9,1.1,4.6,0.9,0.1025,0.3765,0.323,0.1614,0.0659,1.0293,0.0917,0.5407,0.2724,0.3835,0.2002,0.1604,1.5572,0.0528,0.0643,0.0643,0.0643,0.2909,0.3062,0.0551,0.1028,0.7928,1.5478,0.1069,4.1986,0.0341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15586,3094,566,98,55,319,0,74,68,16,25,0,22,475,103,7,14,14.9,0.1,0.5,0.3,1.5,0.0,0.3,0.3,0.1,0.1,0.0,0.1,2.2,0.5,0.0,0.1,County,National,Illinois,IL,17083,Jersey County
17,Illinois,IL,17085,Jo Daviess,17085,"Jo Daviess County, Illinois",600.92349447519,21429,0,13723,43,10069,237,3618,439,258,101,2133,259,1223,202,1091,235,5999,35,4065,0,3047,296,475,128,121,113,1174,59,354,132,402,113,161,79,539,156,203,77,17.0,2.1,2.4,0.9,21.2,2.5,7.6,1.3,5.1,1.1,28.0,0.2,19.0,0.0,14.3,1.4,4.7,1.3,0.6,0.6,5.5,0.3,2.6,1.0,2.9,0.8,1.6,0.8,5.4,1.5,0.9,0.4,0.183,0.092,0.4328,0.2174,0.1741,1.0993,0.1031,0.9513,0.1604,0.3835,0.3049,0.4297,2.2298,0.3348,0.1181,0.1181,0.1181,0.4545,0.1251,0.4023,0.4764,0.126,1.5843,0.1197,5.0315,0.0894,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17708,2374,315,119,22,662,0,123,18,65,26,7,9,182,39,16,20,11.2,0.0,0.6,0.1,3.1,0.0,0.6,0.1,0.3,0.1,0.0,0.1,0.8,0.2,0.1,0.1,County,National,Illinois,IL,17085,Jo Daviess County
17,Illinois,IL,17087,Johnson,17087,"Johnson County, Illinois",343.734830241878,12391,0,5625,99,4174,206,2040,297,147,60,742,133,1624,190,404,96,2655,23,2253,39,1562,187,278,89,21,70,1794,196,70,32,1217,175,32,21,185,62,2237,235,20.2,2.9,3.7,1.5,17.8,3.1,17.7,2.1,4.0,0.9,21.4,0.2,18.2,0.3,15.4,1.8,6.7,2.1,0.2,0.6,14.5,1.6,1.2,0.6,21.6,3.1,0.8,0.5,4.4,1.5,18.1,1.9,0.3316,0.2543,0.1757,0.8192,0.0719,1.6527,0.2295,0.7263,0.113,0.485,0.6862,0.1604,2.1709,0.3049,0.4443,0.4443,0.4443,0.2218,0.8307,0.1111,0.3055,0.9799,2.449,0.4647,6.7169,0.2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10632,2155,460,1277,189,382,0,43,13,10,14,0,19,64,45,18,15,21.2,0.5,10.3,1.5,3.1,0.0,0.3,0.1,0.1,0.1,0.0,0.3,0.5,0.4,0.1,0.1,County,National,Illinois,IL,17087,Johnson County
17,Illinois,IL,17089,Kane,17089,"Kane County, Illinois",519.365062442678,531756,0,189301,188,181845,967,79751,4310,14283,1123,46380,1981,49927,1406,43277,2432,72886,80,135653,53,45228,1798,10453,741,30484,1518,230250,1874,14473,935,1424,505,5991,615,7895,719,5435,480,15.2,0.8,5.0,0.4,25.5,1.1,14.3,0.4,8.2,0.5,13.7,0.1,25.5,0.0,8.6,0.3,5.7,0.4,6.1,0.3,43.3,0.4,7.6,0.5,0.8,0.3,3.3,0.3,4.3,0.4,1.0,0.1,0.1165,0.5172,0.7473,0.6782,0.4752,2.5344,0.5099,0.1031,0.8714,0.0255,0.5124,0.9465,2.4589,0.4971,0.8224,0.8224,0.8224,0.81,0.0274,0.8113,0.2909,0.1569,2.0965,0.289,7.9122,0.494,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,497385,42072,2629,27625,820,169901,0,20878,936,381,115,202,30,9808,1266,1455,590,8.0,0.0,5.2,0.2,32.0,0.0,3.9,0.2,0.1,0.1,0.0,0.1,1.8,0.2,0.3,0.1,County,National,Illinois,IL,17089,Kane County
17,Illinois,IL,17091,Kankakee,17091,"Kankakee County, Illinois",676.489836209904,109924,0,45626,157,40297,604,23544,1560,2932,395,11518,758,8545,570,5884,580,18357,68,25096,0,14519,674,3303,411,1241,261,31480,707,2724,361,2852,339,708,210,2906,327,5503,509,22.3,1.5,5.4,0.7,28.6,1.8,11.7,0.8,5.4,0.5,16.7,0.1,22.8,0.0,13.4,0.6,8.2,1.0,1.2,0.3,28.6,0.6,6.0,0.8,6.3,0.7,1.8,0.5,7.2,0.8,5.0,0.5,0.4338,0.5971,0.8787,0.5347,0.2031,2.6474,0.5458,0.2868,0.5974,0.2874,0.8542,0.6413,2.6671,0.64,0.663,0.663,0.663,0.7467,0.3183,0.4742,0.7292,0.8103,3.0787,0.803,9.0562,0.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103642,15782,1420,16291,412,11681,0,898,116,180,77,0,28,2291,549,139,94,15.1,0.1,14.8,0.4,10.6,0.0,0.8,0.1,0.2,0.1,0.0,0.1,2.1,0.5,0.1,0.1,County,National,Illinois,IL,17091,Kankakee County
17,Illinois,IL,17093,Kendall,17093,"Kendall County, Illinois",320.237931639152,127583,0,42378,47,41398,354,8585,1455,2816,651,9021,1034,6245,932,5520,1213,13242,275,36354,0,9880,1109,2633,503,3225,810,40628,949,1768,414,1,5,613,205,1016,412,336,96,6.7,1.1,4.1,0.9,21.8,2.5,7.7,1.2,4.3,1.0,10.4,0.2,28.5,0.0,7.8,0.9,6.4,1.2,2.7,0.7,31.8,0.7,4.2,1.0,0.0,0.1,1.5,0.5,2.5,1.0,0.3,0.1,0.0025,0.3323,0.4831,0.2266,0.0974,1.1419,0.1108,0.0162,0.958,0.0134,0.641,0.8367,2.4653,0.5038,0.7027,0.7027,0.7027,0.633,0.0,0.36,0.0643,0.028,1.0853,0.0293,5.3952,0.1222,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,97083,5468,1109,9529,467,24737,0,4211,397,75,85,0,28,2034,718,42,55,4.3,0.9,7.5,0.4,19.4,0.0,3.3,0.3,0.1,0.1,0.0,0.1,1.6,0.6,0.0,0.1,County,National,Illinois,IL,17093,Kendall County
17,Illinois,IL,17095,Knox,17095,"Knox County, Illinois",716.384350844726,50052,0,23890,178,20428,399,13291,822,1152,216,4999,445,3957,432,2437,367,10689,82,9930,21,7256,572,1144,234,340,157,8826,320,1817,296,995,187,278,111,1983,314,4366,383,29.0,1.8,5.2,1.0,24.5,2.1,11.3,1.2,5.2,0.8,21.4,0.2,19.8,0.0,15.4,1.2,5.6,1.1,0.7,0.3,17.6,0.6,7.6,1.2,4.2,0.8,1.4,0.5,9.7,1.5,8.7,0.8,0.7288,0.5586,0.6967,0.508,0.1824,2.6745,0.5544,0.7263,0.2279,0.485,0.4914,0.4736,2.4042,0.4564,0.5115,0.5115,0.5115,0.81,0.197,0.3183,0.901,0.9131,3.1394,0.8304,8.7296,0.6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,47176,8136,904,4369,201,2993,0,540,69,133,58,0,28,734,224,57,59,17.8,0.2,8.7,0.4,6.0,0.0,1.1,0.1,0.3,0.1,0.0,0.1,1.5,0.4,0.1,0.1,County,National,Illinois,IL,17095,Knox County
17,Illinois,IL,17097,Lake,17097,"Lake County, Illinois",443.61369213532,699682,0,264681,366,248684,1072,92749,4103,19795,1289,59010,1885,42227,1495,43987,2064,99767,6,169210,0,63645,2170,13856,916,29909,1480,274004,1781,31426,1183,4462,508,5630,597,12402,834,18632,1010,13.6,0.6,5.3,0.3,23.7,0.8,9.2,0.3,6.4,0.3,14.3,0.1,24.2,0.0,9.3,0.3,5.6,0.4,4.5,0.2,39.2,0.3,11.9,0.4,1.7,0.2,2.3,0.2,5.0,0.3,2.7,0.1,0.0777,0.5792,0.6356,0.3453,0.3138,1.9516,0.316,0.1334,0.7769,0.0404,0.4914,0.9118,2.3539,0.4188,0.7855,0.7855,0.7855,0.9083,0.0691,0.6241,0.4102,0.6283,2.64,0.5742,7.731,0.4663,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,701994,39184,2918,45535,962,153498,0,55733,732,1006,223,260,99,15939,1150,2033,576,5.8,0.0,6.5,0.1,21.9,0.0,8.0,0.1,0.1,0.1,0.0,0.1,2.3,0.2,0.3,0.1,County,National,Illinois,IL,17097,Lake County
17,Illinois,IL,17099,LaSalle,17099,"LaSalle County, Illinois",1135.163005193188,108998,0,50120,166,45089,525,21429,1534,3312,431,9641,682,8000,616,4237,524,20533,82,23387,0,14167,823,2695,330,1561,322,16366,407,2026,328,1763,267,670,195,2501,289,3338,371,20.3,1.5,6.0,0.8,21.4,1.5,10.4,0.8,4.0,0.5,18.8,0.1,21.5,0.0,13.4,0.8,6.0,0.7,1.5,0.3,15.0,0.4,4.0,0.7,3.5,0.5,1.5,0.4,5.5,0.6,3.1,0.3,0.3377,0.7015,0.4516,0.4408,0.0719,2.0035,0.3304,0.4933,0.4077,0.2874,0.5726,0.6986,2.4596,0.4978,0.4574,0.4574,0.4574,0.6149,0.1598,0.36,0.4924,0.6805,2.3076,0.395,7.2281,0.3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99469,11629,946,2858,201,10751,0,894,175,87,59,16,27,1713,299,47,35,11.0,0.0,2.6,0.2,9.9,0.0,0.8,0.2,0.1,0.1,0.0,0.1,1.6,0.3,0.0,0.1,County,National,Illinois,IL,17099,Lasalle County
17,Illinois,IL,17101,Lawrence,17101,"Lawrence County, Illinois",372.178438324852,15830,0,7175,194,6166,330,3269,501,307,96,1041,208,1741,217,1048,250,2772,43,2985,0,2520,310,300,87,166,93,2432,419,366,247,1078,217,92,63,233,80,2373,425,24.3,3.6,4.6,1.5,16.9,3.2,15.0,1.8,7.8,1.8,17.5,0.3,18.9,0.0,18.7,2.3,4.9,1.4,1.1,0.6,15.4,2.6,5.1,3.4,15.0,3.0,1.5,1.0,3.8,1.3,15.0,2.7,0.5267,0.4386,0.1292,0.712,0.4398,2.2463,0.4087,0.3577,0.155,0.7508,0.3485,0.6104,2.2224,0.3291,0.4656,0.4656,0.4656,0.6941,0.662,0.36,0.2132,0.9714,2.9007,0.7136,7.835,0.4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14591,1946,658,1514,269,446,127,20,22,28,37,0,19,409,291,15,24,14.5,0.5,9.6,1.7,2.8,0.8,0.1,0.1,0.2,0.2,0.0,0.2,2.6,1.8,0.1,0.2,County,National,Illinois,IL,17101,Lawrence County
