Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2023,14328,Pacific Gas & Electric Co.,CA,Investor Owned,711.7,2.222,320.29703,255.9,1.558,164.24904,664.9,2.031,327.37568,5750834,34,Y,.,.,.,.,.,.,.,,,.,
2023,14354,PacifiCorp,CA,Investor Owned,2381.13,3.87,615.27907,177.23,1.56,113.60897,2381.13,3.87,615.27907,46669,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14354,PacifiCorp,ID,Investor Owned,127.06,1.23,103.30081,127.06,1.23,103.30081,126.51,1.22,103.69672,86783,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14354,PacifiCorp,OR,Investor Owned,136.61,1.041,131.22959,103.06,0.91,113.25275,136.52,1.04,131.26923,629398,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14354,PacifiCorp,UT,Investor Owned,129.76,0.97,133.7732,109.95,0.91,120.82418,129.76,0.97,133.7732,1009615,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14354,PacifiCorp,WA,Investor Owned,66.98,0.58,115.48276,66.98,0.58,115.48276,66.98,0.58,115.48276,136387,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14354,PacifiCorp,WY,Investor Owned,103.34,0.83,124.50602,84.26,0.76,110.86842,100.15,0.8,125.1875,145381,34.5,Y,.,.,.,.,.,.,.,,,.,
2023,14371,City of Paducah - (KY),KY,Municipal,61.83,1.13,54.716814,61.83,1.13,54.716814,61.83,1.13,54.716814,22241,15,Y,.,.,.,.,.,.,.,,,.,
2023,14381,City of Painesville,OH,Municipal,68.151,0.483,141.09938,60.645,0.428,141.69393,.,.,.,12651,13.8,N,.,.,.,.,.,.,.,,,.,
2023,14398,Palmetto Electric Coop Inc,SC,Cooperative,170.591,2.313,73.753134,35.281,0.602,58.606312,48.824,0.83,58.824096,77623,12.5,Y,.,.,.,.,.,.,.,,,.,
