Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2020,1884,BENCO Electric Cooperative,,MN,MISO,16,.,2,.,18,Y,,Y,,,,,,,,,,,,,,,,,
2020,1886,Blue Grass Energy Coop Corp,,KY,PJM,23,44,.,.,67,Y,Y,,,,,,,,,,,,,,,,,,
2020,1889,Blue Ridge Elec Member Corp - (NC),,NC,DUK,41,11,.,.,52,Y,Y,,,,,,,,,,,,,,,,,,
2020,1891,Blue Ridge Mountain EMC - (GA),,GA,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1891,Blue Ridge Mountain EMC - (GA),,NC,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1936,Bolivar Energy Authority,,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,1997,City of Boscobel - (WI),,WI,MISO,0,8,0,0,8,,Y,,,,,,,,,,,,,,,,,,
2020,2001,Boone Electric Coop,,MO,AECI,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,2008,City of Boulder City - (NV),,NV,WALC,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2020,2056,City of Bowling Green - (KY),,KY,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2020,2192,Bremen Electric Light & Power Co,Y,IN,MISO,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2020,2212,"Broad River Electric Coop, Inc",,NC,DUK,4,.,.,.,4,Y,,,,,,,,,,,,,,,,,,,
2020,2247,City of Bristol - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2020,2248,Bristol Virginia Utilities,,VA,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,2273,Brodhead Water & Lighting Comm,,WI,MISO,1,16,2,0,19,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,2409,Brownsville Public Utilities Board,,TX,ERCO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,2411,City of Brownsville,,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2020,2439,City of Bryan - (OH),Y,OH,PJM,.,5,6,.,11,,,,,,,,,,,,,,,,,,,,
2020,2442,City of Bryan - (TX),,TX,ERCO,.,22,.,.,22,,Y,,,,,,,,,,,,,,,,,,
2020,2507,City of Burbank Water and Power,,CA,LDWP,302,"6,844",.,.,"7,146",Y,Y,,,,,,,,,,,,,,,,,,
2020,2548,City of Burlington Electric - (VT),,VT,ISNE,40,16,9,0,65,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,2641,"Butler Rural El Coop Assn, Inc - (KS)",Y,KS,SWPP,"6,716",855,9,.,"7,580",,,,,,,,,,,,,,,,,,,,
2020,2651,Butler Rural Electric Coop Inc - (OH),,OH,PJM,.,8,2,.,10,,,,,,,,,,,,,,,Y,,,Y,Y,
2020,2652,Butler County Rural Elec Coop - (IA),,IA,SWPP,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,2655,"Butte Electric Coop, Inc",Y,SD,WACM,1,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,2830,Calpine Power America LLC,,ME,ISNE,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2020,2830,Calpine Power America LLC,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2020,2849,Central Electric Power Assn - (MS),,MS,TVA,0,1,5,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2020,2960,"Caney Fork Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,2998,"Carbon Power & Light, Inc",Y,WY,WACM,459,66,4,.,529,,,,,,,,,,,,,,,,,,,,
2020,3046,Duke Energy Progress - (NC),,NC,CPLE,"22,171","31,081","1,411",0,"54,663",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2020,3046,Duke Energy Progress - (NC),,SC,CPLE,"1,625","3,992",231,0,"5,848",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2020,3075,Carroll County - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,3107,Carteret-Craven El Member Corp,,NC,CPLE,51,.,.,.,51,Y,,,,,,,,,,,,,,,,,,,
2020,3108,City of Cartersville - (GA),,GA,SOCO,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,3208,Cedarburg Light & Water Comm,,WI,MISO,36,29,1,0,66,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,3222,Central Alabama Electric Coop,,AL,AEC,.,.,2,.,2,,,,,,,,,,,,,,,Y,,,,,
2020,3226,"Central Rural Electric Cooperative, Inc",,OK,AECI,.,5,.,.,5,,Y,,,,,,,,,,,,,,,,,,
2020,3245,"Central Florida Elec Coop, Inc",,FL,SEC,2,3,329,0,334,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,3248,Central Georgia El Member Corp,,GA,SOCO,5,.,4,.,9,Y,,,,,,Y,,,,,,,,,,,,,
2020,3249,Central Hudson Gas & Elec Corp,,NY,NYIS,"1,040",57,251,.,"1,348",Y,,,,,Y,Y,,,,,,,,,,,,,
2020,3250,Central Electric Membership Corp. - (NC),,NC,CPLE,3,.,.,.,3,Y,,,,,,,,,,,,,,,,,,,
2020,3266,Central Maine Power Co,,ME,ISNE,"5,226",853,141,0,"6,220",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,3273,"Central New Mexico El Coop, Inc",,NM,PNM,"2,077",11,.,.,"2,088",Y,Y,,,,,,,,,,,,,,,,,,
2020,3287,"Central Valley Elec Coop, Inc",,NM,SWPP,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,3293,Central Wisconsin Elec Coop,Y,WI,MISO,81,47,0,.,128,,,,,,,,,,,,,,,,,,,,
2020,3400,City of Chaska - (MN),,MN,MISO,9,.,.,.,9,Y,,,,,,,,,,,,,,,,,,,
2020,3408,City of Chattanooga - (TN),,GA,TVA,5,0,1,0,6,Y,,Y,,,,,,,,,,,,,,,,,
2020,3408,City of Chattanooga - (TN),,TN,TVA,76,21,61,0,158,Y,Y,Y,,,,Y,,,,,,,,,,,,,
2020,3413,PUD No 1 of Chelan County,,WA,CHPD,.,.,26,.,26,,,Y,,,,,,,,,,,,,,,,,
2020,3426,Cherokee Electric Coop,,AL,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2020,3447,Town of Chester,Y,MA,ISNE,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,3475,City of Chickamauga,,GA,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,3498,Chippewa Valley Electric Coop,Y,WI,MISO,0,14,24,0,38,,,,,,,,,,,,,,,,,,,,
2020,3502,"Choctawhatche Elec Coop, Inc",,FL,AEC,159,0,0,0,159,Y,Y,,,,,,,,,,,,,,,,,,
2020,3503,"Choptank Electric Cooperative, Inc",,MD,PJM,0,190,8,0,198,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2020,3542,Duke Energy Ohio Inc,,OH,PJM,15,"1,135",109,.,"1,259",Y,Y,Y,,,Y,Y,,,Y,Y,,,,,,,,,
2020,3701,Clark Electric Coop - (WI),Y,WI,MISO,221,.,.,.,221,,,,,,,,,,,,,,,,,,,,
2020,3704,City of Clarksville - (TN),,TN,TVA,0,2,2,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2020,3722,Clarke Electric Coop Inc - (IA),Y,IA,MISO,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2020,3755,Cleveland Electric Illum Co,,OH,PJM,4,0,0,0,4,,,,,,,,,,,,,Y,,,,,,,
2020,3758,City of Cleveland - (TN),,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2020,3812,City of Clinton - (TN),,TN,TVA,0,0,10,0,10,,,Y,,,,,,,,,,,,,,,,,
2020,3814,City of Clintonville - (WI),Y,WI,MISO,10,3,12,0,25,,,,,,,,,,,,,,,,,,,,
2020,3841,Coast Electric Power Assn,,MS,SOCO,"25,675",125,7,.,"25,807",Y,Y,Y,,,,,,,,,,Y,Y,Y,,,,,
2020,3843,Coastal Electric Member Corp,,GA,SOCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2020,3855,Columbia Power System,,TN,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,3915,Coldwater Board of Public Util,,MI,MISO,.,176,64,.,240,,Y,Y,,,,,,,,,,,,,,,,,
2020,3916,Cobb Electric Membership Corp,,GA,SOCO,870,"2,707",.,.,"3,577",Y,Y,,,,,,,,,,,,,,,,,,
2020,3989,City of Colorado Springs - (CO),,CO,PSCO,34,"1,767",154,0,"1,955",Y,Y,Y,,,,,,,,,,,,,,,,,
2020,4003,City of Colton - (CA),,CA,CISO,.,.,101,.,101,,,Y,,,,,,,,,,,,,,,,,
2020,4045,City of Columbia - (MO),,MO,MISO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,4068,City of Columbus - (MS),,MS,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,4073,City of Columbus - (WI),,WI,MISO,4,27,3,.,34,Y,Y,Y,,,,,,,,,,,,,,,,,
2020,4110,Commonwealth Edison Co,,IL,PJM,"326,396","9,296",156,.,"335,848",Y,,,,Y,Y,Y,,,,,,,,,,Y,,,
2020,4147,Town of Concord - (MA),Y,MA,ISNE,46,.,.,.,46,,,,,,,,,,,,,,,,,,,,
2020,4176,Connecticut Light & Power Co,,CT,ISNE,506,"2,305",623,2,"3,436",Y,Y,Y,Y,,,,,Y,,,,,,,,,,,
2020,4226,Consolidated Edison Co-NY Inc,,NY,NYIS,.,.,.,.,.,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,,
2020,4254,Consumers Energy Co,,MI,MISO,"44,372",582,509,.,"45,463",Y,Y,Y,,,,,,,,,,Y,,Y,,Y,,,
2020,4294,City of Cookeville - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2020,4295,Comanche County Elec Coop Assn,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2020,4327,Coosa Valley Electric Coop Inc,,AL,AEC,.,.,2,.,2,,,Y,,,,,,,,,,,,,,,,,
2020,4362,Corn Belt Energy Corporation,,IL,MISO,45,.,.,.,45,Y,,,,,,,,,,,,,,,,,,,
2020,4365,Town of Cornelius - (NC),Y,NC,DUK,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,
2020,4430,"Covington Electric Coop, Inc",,AL,AEC,.,5,.,.,5,,Y,,,,,,,,,,,,,,,,,,
2020,4432,Coweta-Fayette El Member Corp,,GA,SOCO,34,3,.,.,37,Y,Y,,,,,,,,,,,,,,,,,,
2020,4433,City of Covington - (GA),,GA,SOCO,.,2,.,.,2,,Y,,,,,,,,,,,,,,,,,,
2020,4437,City of Covington - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2020,4471,Craig-Botetourt Electric Coop,Y,VA,PJM,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,
2020,4538,Crisp County Power Comm,,GA,SOCO,15,.,2,.,17,Y,,,,,,Y,,,,,,,,,,,,,
2020,4577,Crow Wing Cooperative Power & Light Comp,,MN,MISO,1,3,.,.,4,Y,Y,,,,,,,,,,,,,,,,,,
2020,4604,City of Crystal Falls,,MI,MISO,0,5,0,0,5,,Y,,,,,,,,,,,,,,,,,,
2020,4607,City of Cuba City,,WI,MISO,.,6,.,.,6,,Y,,,,,,,,,,,,,,,,,,
2020,4617,Cullman Power Board,,AL,TVA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020,4618,"Cullman Electric Coop, Inc",,AL,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2020,4622,"Cumberland Valley Electric, Inc.",,KY,PJM,11,.,.,.,11,Y,,,,,,,,,,,,,,,,,,,
2020,4624,Cumberland Elec Member Corp,,TN,TVA,0,0,13,0,13,,,Y,,,,Y,,,,,,,,,,,,,
2020,4675,Cuivre River Electric Coop Inc,,MO,AECI,.,24,.,.,24,,,,,,,,,,,,,,Y,,,,,,
2020,4704,"DS&O Electric Cooperative, Inc.",Y,KS,SWPP,"7,176",131,4,.,"7,311",,,,,,,,,,,,,,,,,,,,
2020,4848,Daviess Martin County R E M C,,IN,MISO,32,.,.,.,32,Y,,,,,,,,,,,,,,,,,,,
2020,4920,City of Dayton - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2020,4958,Decatur Utilities,,AL,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2020,4960,Decatur County Rural E M C,,IN,MISO,1,.,.,.,1,Y,,,,,,,,,,,,,,,,,,,
2020,5027,Delmarva Power,,DE,PJM,"250,930","22,544",0,0,"273,474",,,,,,,,,,,,,,,,,Y,Y,,
