Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,MN,689,Connexus Energy,MISO,AC,2.264,1.101,.,.,3.365,249,16,.,.,265,.,.,.,.,0.000,.,.,.,.,0,0.232,0.008,.,.,0.240,125,4,.,.,129,.,.,.,.,0.000,0.059,0.010,.,.,0.069,5,1,.,.,6,.,.,.,.,0.000,0.015,.,0.160,.,0.175,3,.,1,.,4,.,.,.,.,0.000,2.570,1.119,0.160,0.000,3.849,382,21,1,0,404,0.000,0.000,0.000,0.000,0.000
2020,MN,691,City of Anoka,MISO,AC,0.035,.,.,.,0.035,5,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.360,.,.,.,20.360,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.000,0.000,0.000,0.035,5,0,0,0,5,20.360,0.000,0.000,0.000,20.360
2020,MN,1009,City of Austin - (MN),MISO,AC,0.115,0.142,.,.,0.257,14,10,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.700,67.200,.,.,77.900,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.115,0.142,0.000,0.000,0.257,14,10,0,0,24,10.700,67.200,0.000,0.000,77.900
2020,MN,1529,"Beltrami Electric Coop, Inc",MISO,AC,0.436,0.238,.,.,0.674,48,7,.,.,55,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.200,0.044,.,.,0.244,0.013,0.000,.,.,0.013,2,.,.,.,2,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.449,0.238,0.000,0.000,0.687,50,7,0,0,57,0.200,0.044,0.000,0.000,0.244
2020,MN,1884,BENCO Electric Cooperative,MISO,AC,0.767,.,.,.,0.767,49,.,.,.,49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.329,0.200,.,.,0.529,9,5,.,.,14,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.096,0.200,0.000,0.000,1.296,58,5,0,0,63,0.000,0.000,0.000,0.000,0.000
2020,MN,3400,City of Chaska - (MN),MISO,AC,0.169,0.045,.,.,0.214,22,2,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68.000,27.000,.,.,95.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.169,0.045,0.000,0.000,0.214,22,2,0,0,24,68.000,27.000,0.000,0.000,95.000
2020,MN,4577,Crow Wing Cooperative Power & Light Comp,MISO,AC,0.585,0.293,.,.,0.878,65,15,.,.,80,.,.,.,.,0.000,.,.,.,.,0,0.081,.,.,.,0.081,67,.,.,.,67,455.882,297.277,.,.,753.159,0.028,0.010,.,.,0.038,2,1,.,.,3,4.561,3.400,.,.,7.961,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.694,0.303,0.000,0.000,0.997,134,16,0,0,150,460.443,300.677,0.000,0.000,761.120
2020,MN,5574,East Central Energy,MISO,AC,2.030,0.370,0.000,0.000,2.400,180,20,0,0,200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,946.861,127.769,0.000,0.000,"1,074.630",0.135,0.042,0.000,0.000,0.177,7,3,0,0,10,6.508,5.819,0.000,0.000,12.327,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.165,0.412,0.000,0.000,2.577,187,23,0,0,210,953.369,133.588,0.000,0.000,"1,086.957"
2020,MN,5773,City of Elk River,MISO,AC,0.160,0.017,.,.,0.177,17,2,.,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.030,.,.,.,0.030,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.190,0.017,0.000,0.000,0.207,20,2,0,0,22,0.000,0.000,0.000,0.000,0.000
2020,MN,6258,Federated Rural Electric Assn,MISO,AC,0.022,0.511,.,.,0.533,3,12,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.150,.,.,0.150,.,4,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.022,0.661,0.000,0.000,0.683,3,16,0,0,19,0.000,0.000,0.000,0.000,0.000
2020,MN,6782,Freeborn-Mower Electric Cooperative,MISO,AC,1.200,0.915,.,.,2.115,52,27,.,.,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,134.034",747.884,.,.,"1,881.918",0.188,0.117,.,.,0.305,7,3,.,.,10,101.837,188.392,.,.,290.229,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.388,1.032,0.000,0.000,2.420,59,30,0,0,89,"1,235.871",936.276,0.000,0.000,"2,172.147"
2020,MN,8319,Heartland Power Coop,MISO,DC,0.008,.,.,.,0.008,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.400,.,.,.,5.400,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,0.000,0.000,0.000,0.008,1,0,0,0,1,5.400,0.000,0.000,0.000,5.400
2020,MN,9475,Itasca-Mantrap Co-op Electrical Assn,MISO,AC,0.231,0.044,.,.,0.275,23,2,.,.,25,.,.,.,.,0.000,.,.,.,.,0,0.046,0.020,.,.,0.066,46,1,.,.,47,.,.,.,.,0.000,0.040,0.020,.,.,0.060,2,1,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.317,0.084,0.000,0.000,0.401,71,4,0,0,75,0.000,0.000,0.000,0.000,0.000
2020,MN,10596,City of Lake Crystal - (MN),MISO,AC,0.013,.,.,.,0.013,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.013,0.000,0.000,0.000,0.013,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2020,MN,10618,Lake Region Electric Cooperative - (MN),MISO,AC,0.543,0.034,.,.,0.577,37,1,.,.,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,536.581,1.058,.,.,537.639,0.186,0.040,.,.,0.226,17,1,.,.,18,35.544,47.382,.,.,82.926,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.729,0.074,0.000,0.000,0.803,54,2,0,0,56,572.125,48.440,0.000,0.000,620.565
2020,MN,10697,Lake Country Power,MISO,AC,0.772,0.204,.,.,0.976,111,14,.,.,125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.038,0.000,.,.,0.038,10,0,.,.,10,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.810,0.204,0.000,0.000,1.014,121,14,0,0,135,0.000,0.000,0.000,0.000,0.000
2020,MN,11731,City of Marshall - (MN),MISO,AC,0.016,0.179,0.000,0.000,0.195,5,3,0,0,8,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,53.760,0.000,0.000,53.760,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.016,0.179,0.000,0.000,0.195,5,3,0,0,8,0.000,53.760,0.000,0.000,53.760
2020,MN,12227,Meeker Coop Light & Power Assn,MISO,DC,0.923,.,.,.,0.923,33,.,.,.,33,.,.,.,.,0.000,.,.,.,.,0,0.039,.,.,.,0.039,38,.,.,.,38,823.350,.,.,.,823.350,0.030,.,.,.,0.030,2,.,.,.,2,1.540,.,.,.,1.540,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.992,0.000,0.000,0.000,0.992,73,0,0,0,73,824.890,0.000,0.000,0.000,824.890
2020,MN,12546,Mille Lacs Energy Cooperative,MISO,AC,0.178,0.014,.,.,0.192,20,3,.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.494,.,.,.,97.494,.,0.001,.,.,0.001,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.178,0.015,0.000,0.000,0.193,20,4,0,0,24,97.494,0.000,0.000,0.000,97.494
2020,MN,12647,"ALLETE, Inc.",MISO,AC,2.890,5.234,0.022,.,8.146,363,112,2,.,477,.,.,.,.,0.000,.,.,.,.,0,0.520,0.520,.,.,1.040,97,2,.,.,99,738.281,445.018,.,.,"1,183.299",0.082,0.093,.,.,0.175,8,7,.,.,15,.,0.388,.,.,0.388,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.492,5.847,0.022,0.000,9.361,468,121,2,0,591,738.281,445.406,0.000,0.000,"1,183.687"
2020,MN,12651,Minnesota Valley Electric Coop,MISO,AC,1.205,0.059,.,.,1.264,97,4,.,.,101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,434.982",48.443,.,.,"1,483.425",0.173,0.140,.,.,0.313,8,4,.,.,12,77.876,59.562,.,.,137.438,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.378,0.199,0.000,0.000,1.577,105,8,0,0,113,"1,512.858",108.005,0.000,0.000,"1,620.863"
2020,MN,12894,City of Moorhead - (MN),SWPP,AC,0.044,0.026,0.180,.,0.250,7,3,1,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.044,0.026,0.180,0.000,0.250,7,3,1,0,11,0.000,0.000,0.000,0.000,0.000
2020,MN,13781,Northern States Power Co - Minnesota,MISO,DC,33.712,21.707,14.976,.,70.395,"4,426",774,226,.,"5,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,33.712,21.707,14.976,0.000,70.395,"4,426",774,226,0,"5,426",0.000,0.000,0.000,0.000,0.000
2020,MN,14232,Otter Tail Power Co,MISO,AC,0.168,0.919,0.000,0.000,1.087,21,21,0,0,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123.026,160.531,0.000,0.000,283.557,0.044,0.214,0.000,0.000,0.258,3,9,0,0,12,0.228,4.614,0.000,0.000,4.842,0.000,0.035,0.000,0.000,0.035,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.212,1.168,0.000,0.000,1.380,24,31,0,0,55,123.254,165.145,0.000,0.000,288.399
2020,MN,14246,City of Owatonna - (MN),MISO,AC,0.090,0.038,0.000,0.000,0.128,12,1,0,0,13,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.090,0.038,0.000,0.000,0.128,12,1,0,0,13,0.000,0.000,0.000,0.000,0.000
2020,MN,14468,People's Cooperative Services,MISO,AC,1.452,0.826,0.000,0.000,2.278,102,32,0,0,134,.,.,.,.,0.000,.,.,.,.,0,0.250,.,.,.,0.250,135,.,.,.,135,954.028,730.887,0.000,0.000,"1,684.915",0.055,0.099,0.000,0.000,0.154,3,4,0,0,7,18.016,85.956,0.000,0.000,103.972,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.757,0.925,0.000,0.000,2.682,240,36,0,0,276,972.044,816.843,0.000,0.000,"1,788.887"
2020,MN,16181,Rochester Public Utilities,MISO,AC,0.846,0.221,.,.,1.067,116,10,.,.,126,.,.,.,.,0.000,.,.,.,.,0,0.268,.,.,.,0.268,208,.,.,.,208,"1,065.014",54.964,.,.,"1,119.978",0.003,.,.,.,0.003,1,.,.,.,1,0.126,.,.,.,0.126,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.117,0.221,0.000,0.000,1.338,325,10,0,0,335,"1,065.140",54.964,0.000,0.000,"1,120.104"
2020,MN,16368,Runestone Electric Assn,MISO,DC,0.408,0.080,.,.,0.488,32,2,.,.,34,0.000,0.000,.,.,0.000,0,0,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.107,0.080,.,.,0.187,7,2,.,.,9,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.515,0.160,0.000,0.000,0.675,39,4,0,0,43,0.000,0.000,0.000,0.000,0.000
2020,MN,16971,Shakopee Public Utilities Comm,MISO,AC,0.617,0.128,0.000,.,0.745,86,9,0,.,95,0.000,0.000,0.000,.,0.000,0,0,0,.,0,0.000,0.000,0.000,.,0.000,0,0,0,.,0,0.000,0.000,0.000,.,0.000,0.000,0.000,0.000,.,0.000,0,0,0,.,0,0.000,0.000,0.000,.,0.000,0.000,0.000,0.000,.,0.000,0,0,0,.,0,0.000,0.000,0.000,.,0.000,0.617,0.128,0.000,0.000,0.745,86,9,0,0,95,0.000,0.000,0.000,0.000,0.000
2020,MN,17267,Sioux Valley SW Elec Coop,SWPP,DC,0.114,0.028,.,.,0.142,7,2,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.938,10.165,.,.,92.103,0.012,.,.,.,0.012,2,.,.,.,2,17.462,.,.,.,17.462,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.126,0.028,0.000,0.000,0.154,9,2,0,0,11,99.400,10.165,0.000,0.000,109.565
2020,MN,17550,South Central Electric Assn,MISO,AC,0.518,0.149,.,.,0.667,23,4,.,.,27,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,499.811,120.534,.,.,620.345,0.183,0.191,.,.,0.374,6,7,.,.,13,176.930,151.558,.,.,328.488,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.701,0.340,0.000,0.000,1.041,29,11,0,0,40,676.741,272.092,0.000,0.000,948.833
2020,MN,18019,Stearns Cooperative Elec Assn,MISO,AC,0.970,0.167,0.040,.,1.177,66,6,1,.,73,.,.,.,.,0.000,.,.,.,.,0,0.016,.,.,.,0.016,25,.,.,.,25,891.863,94.377,66.417,.,"1,052.657",0.298,0.020,.,.,0.318,12,1,0,.,13,169.133,0.000,.,.,169.133,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.284,0.187,0.040,0.000,1.511,103,7,1,0,111,"1,060.996",94.377,66.417,0.000,"1,221.790"
2020,MN,18047,Steele-Waseca Cooperative Electric,MISO,AC,1.433,0.040,.,.,1.473,94,1,.,.,95,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,"2,146.000",60.000,.,.,"2,206.000",0.792,0.012,.,.,0.804,23,1,.,.,24,670.000,21.000,.,.,691.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.225,0.052,0.000,0.000,2.277,117,2,0,0,119,"2,816.000",81.000,0.000,0.000,"2,897.000"
2020,MN,19157,MiEnergy Cooperative,MISO,AC,4.269,1.247,.,.,5.516,214,46,.,.,260,0.008,.,.,.,0.008,1,.,.,.,1,0.074,.,.,.,0.074,96,.,.,.,96,"4,681.778","1,240.290",.,.,"5,922.068",0.186,0.035,.,.,0.221,11,1,.,.,12,237.589,30.588,.,.,268.177,0.036,.,.,.,0.036,1,.,.,.,1,0.000,.,.,.,0.000,4.565,1.282,0.000,0.000,5.847,322,47,0,0,369,"4,919.367","1,270.878",0.000,0.000,"6,190.245"
2020,MN,20639,"Wild Rice Electric Coop, Inc",MISO,AC,0.329,0.268,.,.,0.597,21,11,.,.,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,365.305,332.858,.,.,698.163,0.006,0.050,.,.,0.056,2,1,.,.,3,1.360,63.518,.,.,64.878,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.335,0.318,0.000,0.000,0.653,23,12,0,0,35,366.665,396.376,0.000,0.000,763.041
2020,MN,20737,Willmar Municipal Utilities,MISO,AC,0.039,.,.,.,0.039,3,.,.,.,3,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,21.905,.,.,.,21.905,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.039,0.000,0.000,0.000,0.039,3,0,0,0,3,21.905,0.000,0.000,0.000,21.905
2020,MN,20996,Wright-Hennepin Coop Elec Assn,MISO,AC,1.192,0.079,.,.,1.271,91,2,.,.,93,.,.,.,.,0.000,.,.,.,.,0,0.080,.,.,.,0.080,41,.,.,.,41,436.638,16.954,.,.,453.592,0.100,.,.,.,0.100,6,.,.,.,6,10.573,.,.,.,10.573,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.372,0.079,0.000,0.000,1.451,138,2,0,0,140,447.211,16.954,0.000,0.000,464.165
2020,MN,21013,City of Worthington - (MN),MISO,AC,0.007,.,.,.,0.007,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.007,0.000,0.000,0.000,0.007,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2020,MN,25177,Dakota Electric Association,MISO,AC,3.404,0.467,0.000,.,3.871,362,16,0,.,378,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.110,0.095,0.000,.,0.205,6,4,0,.,10,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.514,0.562,0.000,0.000,4.076,368,20,0,0,388,0.000,0.000,0.000,0.000,0.000
2020,MN,40304,Minnesota Valley Coop L&P Assn,MISO,AC,0.228,.,.,.,0.228,16,.,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,183.851,.,.,.,183.851,0.185,.,.,.,0.185,6,.,.,.,6,94.199,.,.,.,94.199,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.413,0.000,0.000,0.000,0.413,22,0,0,0,22,278.050,0.000,0.000,0.000,278.050
2020,MN,99999,Adjustment 2020,MISO,,-6.113,-3.800,-2.612,.,-12.524,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.007,.,.,.,-0.007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-6.120,-3.800,-2.612,.,-12.531,.,.,.,.,.,.,.,.,.,.
2020,MN,99999,Adjustment 2020,SWPP,,-0.020,-0.005,.,.,-0.025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.020,-0.005,.,.,-0.025,.,.,.,.,.,.,.,.,.,.
2020,MO,1775,Black River Electric Coop - (MO),AECI,AC,0.360,.,.,.,0.360,25,.,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.013,.,.,.,0.013,6,.,.,.,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.373,0.000,0.000,0.000,0.373,31,0,0,0,31,0.000,0.000,0.000,0.000,0.000
2020,MO,2001,Boone Electric Coop,AECI,AC,1.085,.,.,.,1.085,143,.,.,.,143,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,675.802,.,.,.,675.802,0.002,.,.,.,0.002,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.087,0.000,0.000,0.000,1.087,144,0,0,0,144,675.802,0.000,0.000,0.000,675.802
2020,MO,3113,City of Carthage - (MO),SWPP,AC,0.205,0.606,.,.,0.811,19,5,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.205,0.606,0.000,0.000,0.811,19,5,0,0,24,0.000,0.000,0.000,0.000,0.000
2020,MO,3268,Central Missouri Elec Coop Inc,AECI,AC,0.591,0.084,.,.,0.675,43,1,.,.,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.593,0.084,0.000,0.000,0.677,44,1,0,0,45,0.000,0.000,0.000,0.000,0.000
2020,MO,3600,Citizens Electric Corporation - (MO),MISO,DC,0.501,0.100,.,.,0.601,64,4,.,.,68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,225.025,48.434,.,.,273.459,0.015,.,.,.,0.015,3,.,.,.,3,3.143,.,.,.,3.143,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.516,0.100,0.000,0.000,0.616,67,4,0,0,71,228.168,48.434,0.000,0.000,276.602
2020,MO,4045,City of Columbia - (MO),MISO,DC,1.740,0.900,0.300,.,2.940,242,30,1,.,273,0.000,0.000,0.000,.,0.000,0,0,0,.,0,.,.,.,.,0.000,.,.,.,.,0,826.000,340.000,0.000,.,"1,166.000",0.000,0.001,0.000,.,0.001,0,1,0,.,1,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.740,0.901,0.300,0.000,2.941,242,31,1,0,274,826.000,340.000,0.000,0.000,"1,166.000"
2020,MO,4063,Co-Mo Electric Coop Inc,AECI,AC,1.090,0.138,.,.,1.228,93,7,.,.,100,0.045,.,.,.,0.045,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0,75.200,5.752,.,.,80.952,0.002,0.004,.,.,0.006,1,2,.,.,3,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.092,0.142,0.000,0.000,1.234,94,9,0,0,103,75.200,5.752,0.000,0.000,80.952
2020,MO,4160,Callaway Electric Cooperative,AECI,AC,0.592,0.202,.,.,0.794,62,6,.,.,68,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.595,0.202,0.000,0.000,0.797,63,6,0,0,69,0.000,0.000,0.000,0.000,0.000
2020,MO,4237,Consolidated Electric Coop,AECI,AC,0.202,0.285,.,.,0.487,21,6,.,.,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.929,20.440,.,.,30.369,0.032,.,.,.,0.032,9,.,.,.,9,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.234,0.285,0.000,0.000,0.519,30,6,0,0,36,9.929,20.440,0.000,0.000,30.369
2020,MO,4524,"Crawford Electric Coop, Inc",AECI,AC,0.368,0.020,.,.,0.388,44,3,.,.,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27.001,5.249,.,.,32.250,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.368,0.020,0.000,0.000,0.388,44,3,0,0,47,27.001,5.249,0.000,0.000,32.250
2020,MO,4675,Cuivre River Electric Coop Inc,AECI,AC,0.453,.,.,.,0.453,55,.,.,.,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251.944,.,.,.,251.944,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.453,0.000,0.000,0.000,0.453,55,0,0,0,55,251.944,0.000,0.000,0.000,251.944
2020,MO,5860,Empire District Electric Co,SWPP,DC,29.660,10.690,0.730,.,41.080,"2,288",329,6,.,"2,623",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,012.020","2,392.830",0.000,.,"8,404.850",0.030,0.067,0.010,.,0.107,6,2,1,.,9,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,0.000,0.000,0.000,.,0.000,29.690,10.757,0.740,0.000,41.187,"2,294",331,7,0,"2,632","6,012.020","2,392.830",0.000,0.000,"8,404.850"
2020,MO,6181,"Farmers Electric Coop, Inc - (MO)",AECI,AC,0.613,0.035,.,.,0.648,67,1,.,.,68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,397.794,23.216,.,.,421.010,0.012,.,.,.,0.012,2,.,.,.,2,1.710,.,.,.,1.710,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.625,0.035,0.000,0.000,0.660,69,1,0,0,70,399.504,23.216,0.000,0.000,422.720
