Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,AR,8840,City of Hope,MISO,AC,0.036,.,.,.,0.036,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.036,0.000,0.000,0.000,0.036,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2020,AR,9879,City Water and Light Plant,MISO,AC,0.014,0.008,0.133,.,0.155,3,1,1,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.014,0.008,0.133,0.000,0.155,3,1,1,0,5,0.000,0.000,0.000,0.000,0.000
2020,AR,13676,"North Arkansas Elec Coop, Inc",MISO,DC,0.618,.,.,.,0.618,73,.,.,.,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.013,.,.,.,0.013,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.631,0.000,0.000,0.000,0.631,78,0,0,0,78,0.000,0.000,0.000,0.000,0.000
2020,AR,13718,City of North Little Rock - (AR),MISO,AC,0.249,1.200,.,.,1.449,37,5,.,.,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.249,1.200,0.000,0.000,1.449,37,5,0,0,42,0.000,0.000,0.000,0.000,0.000
2020,AR,14063,Oklahoma Gas & Electric Co,SWPP,AC,0.973,0.062,0.000,0.000,1.035,122,7,0,0,129,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.005,2,1,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.977,0.063,0.000,0.000,1.040,124,8,0,0,132,0.000,0.000,0.000,0.000,0.000
2020,AR,14289,Ozarks Electric Coop Corp - (AR),SWPP,AC,3.982,0.680,10.000,.,14.662,492,7,2,.,501,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.982,0.680,10.000,0.000,14.662,492,7,2,0,501,0.000,0.000,0.000,0.000,0.000
2020,AR,14864,Petit Jean Electric Coop Corp,MISO,AC,0.591,0.450,.,.,1.041,40,1,.,.,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.594,0.450,0.000,0.000,1.044,41,1,0,0,42,0.000,0.000,0.000,0.000,0.000
2020,AR,17184,City of Siloam Springs - (AR),SWPP,AC,0.274,.,.,.,0.274,28,.,.,.,28,.,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.274,0.000,0.000,0.000,0.274,28,0,0,0,28,0.000,0.000,0.000,0.000,0.000
2020,AR,17671,Southwest Arkansas E C C,MISO,AC,0.274,.,.,.,0.274,28,.,.,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.274,0.000,0.000,0.000,0.274,28,0,0,0,28,0.000,0.000,0.000,0.000,0.000
2020,AR,17698,Southwestern Electric Power Co,SWPP,AC,1.916,2.816,0.700,0.000,5.432,302,36,1,0,339,0.427,0.000,0.000,0.000,0.427,4,0,0,0,4,0.052,0.463,0.000,0.000,0.515,6,5,0,0,11,"1,345.343","2,817.887",39.300,0.000,"4,202.530",0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.655,0.000,0.000,0.655,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.968,3.284,0.700,0.000,5.952,308,43,1,0,352,"1,345.343","2,818.542",39.300,0.000,"4,203.185"
