Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2020,3268,Central Missouri Elec Coop Inc,MO,44,.
2020,3273,"Central New Mexico El Coop, Inc",NM,35,.
2020,3278,AEP Texas Central Company,TX,961,0
2020,3282,"Central Texas Elec Coop, Inc",TX,62,0
2020,3287,"Central Valley Elec Coop, Inc",NM,96,96
2020,3291,Central Virginia Electric Coop,VA,85,0
2020,3295,City of Centralia - (WA),WA,30,30
2020,3329,Borough of Chambersburg,PA,34,6
2020,3355,City of Chanute,KS,7,7
2020,3400,City of Chaska - (MN),MN,21,.
2020,3408,City of Chattanooga - (TN),GA,1,0
2020,3408,City of Chattanooga - (TN),TN,295,294
2020,3413,PUD No 1 of Chelan County,WA,117,.
2020,3426,Cherokee Electric Coop,AL,28,0
2020,3436,Cherryland Electric Coop Inc,MI,54,0
2020,3461,Cheyenne Light Fuel & Power d/b/a Black,WY,50,0
2020,3470,Cherokee County Elec Coop Assn,TX,35,0
2020,3475,City of Chickamauga,GA,1,0
2020,3477,City of Chicopee - (MA),MA,16,16
2020,3478,Cimarron Electric Coop,OK,69,46
2020,3502,"Choctawhatche Elec Coop, Inc",FL,80,73
2020,3503,"Choptank Electric Cooperative, Inc",MD,116,116
2020,3522,Chugach Electric Assn Inc,AK,160,.
2020,3527,Choctaw Electric Coop Inc,OK,55,55
2020,3542,Duke Energy Ohio Inc,OH,778,519
2020,3597,Citizens Electric Co - (PA),PA,9,9
2020,3600,Citizens Electric Corporation - (MO),MO,103,0
2020,3641,"Claiborne Electric Coop, Inc",LA,66,.
2020,3644,PUD No 1 of Clallam County,WA,72,15
2020,3647,City of Claremore,OK,28,.
2020,3660,PUD No 1 of Clark County - (WA),WA,202,19
2020,3687,Clark Energy Coop Inc - (KY),KY,76,0
2020,3704,City of Clarksville - (TN),TN,77,77
2020,3705,Clarksville Light & Water Co,AR,24,14
2020,3712,Clay County Electric Coop Corp,AR,32,0
2020,3712,Clay County Electric Coop Corp,MO,1,0
2020,3755,Cleveland Electric Illum Co,OH,"1,088",998
2020,3757,"Clay Electric Cooperative, Inc",FL,182,0
2020,3758,City of Cleveland - (TN),TN,50,50
2020,3762,City of Cleveland - (OH),OH,276,.
2020,3812,City of Clinton - (TN),TN,48,42
2020,3824,Clyde Light & Power,OH,4,.
2020,3828,Cloverland Electric Co-op,MI,101,0
2020,3841,Coast Electric Power Assn,MS,124,0
2020,3843,Coastal Electric Member Corp,GA,35,35
2020,3855,Columbia Power System,TN,26,0
2020,3892,City of Coffeyville - (KS),KS,24,0
2020,3915,Coldwater Board of Public Util,MI,35,35
2020,3916,Cobb Electric Membership Corp,GA,199,192
2020,3931,Coles-Moultrie Electric Coop,IL,50,0
2020,3939,City of College Park - (GA),GA,27,0
2020,3940,City of College Station - (TX),TX,58,58
2020,3989,City of Colorado Springs - (CO),CO,236,189
2020,4003,City of Colton - (CA),CA,30,.
2020,4041,"Columbia Rural Elec Assn, Inc",OR,2,0
2020,4041,"Columbia Rural Elec Assn, Inc",WA,35,0
2020,4045,City of Columbia - (MO),MO,61,34
2020,4063,Co-Mo Electric Coop Inc,MO,69,69
2020,4065,City of Columbus - (OH),OH,60,0
2020,4068,City of Columbus - (MS),MS,29,0
2020,4073,City of Columbus - (WI),WI,13,0
2020,4110,Commonwealth Edison Co,IL,"5,629",373
2020,4146,Concho Valley Elec Coop Inc,TX,56,0
2020,4150,City of Concord - (NC),NC,66,0
2020,4153,"Concordia Electric Coop, Inc",LA,28,28
2020,4160,Callaway Electric Cooperative,MO,37,.
2020,4176,Connecticut Light & Power Co,CT,"1,027",0
2020,4226,Consolidated Edison Co-NY Inc,NY,"2,206",.
2020,4237,Consolidated Electric Coop,MO,44,0
2020,4247,Consolidated Water Power Co,WI,28,28
2020,4254,Consumers Energy Co,MI,"2,304",744
2020,4262,Cooke County Elec Coop Assn,TX,55,0
2020,4265,Continental Divide El Coop Inc,NM,31,.
2020,4280,Conway Corporation,AR,44,0
2020,4294,City of Cookeville - (TN),TN,24,0
2020,4295,Comanche County Elec Coop Assn,TX,49,.
2020,4296,"Cookson Hills Elec Coop, Inc",OK,45,.
2020,4317,"Coos-Curry Electric Coop, Inc",OR,42,.
2020,4327,Coosa Valley Electric Coop Inc,AL,36,.
2020,4356,Colorado River Comm of Nevada,NV,38,0
2020,4362,Corn Belt Energy Corporation,IL,144,81
2020,4373,Cornhusker Public Power Dist,NE,113,0
2020,4390,City of Corona - (CA),CA,11,0
2020,4401,"Cotton Electric Coop, Inc",OK,79,0
2020,4430,"Covington Electric Coop, Inc",AL,57,0
2020,4432,Coweta-Fayette El Member Corp,GA,87,0
2020,4433,City of Covington - (GA),GA,21,1
2020,4437,City of Covington - (TN),TN,15,0
2020,4442,PUD No 1 of Cowlitz County,WA,114,0
2020,4508,"Crawfordsville Elec, Lgt & Pwr",IN,24,0
2020,4509,Craighead Electric Coop Corp,AR,82,.
2020,4524,"Crawford Electric Coop, Inc",MO,43,0
2020,4538,Crisp County Power Comm,GA,27,27
2020,4577,Crow Wing Cooperative Power & Light Comp,MN,92,0
2020,4604,City of Crystal Falls,MI,8,0
2020,4607,City of Cuba City,WI,8,0
2020,4617,Cullman Power Board,AL,15,0
2020,4618,"Cullman Electric Coop, Inc",AL,77,0
2020,4622,"Cumberland Valley Electric, Inc.",KY,55,.
2020,4622,"Cumberland Valley Electric, Inc.",TN,2,.
2020,4624,Cumberland Elec Member Corp,TN,122,90
2020,4675,Cuivre River Electric Coop Inc,MO,118,70
2020,4683,City of Cuyahoga Falls - (OH),OH,37,2
2020,4715,Dahlberg Light & Power Co,WI,36,.
2020,4717,Dakota Valley Elec Coop Inc,ND,83,0
2020,4720,Dakota Energy Coop Inc,SD,12,.
2020,4743,"Consumers Power, Inc",OR,75,75
2020,4744,Dalton Utilities,GA,78,.
2020,4794,City of Danville - (VA),VA,69,0
2020,4848,Daviess Martin County R E M C,IN,22,12
2020,4911,Dawson Power District,NE,182,0
2020,4920,City of Dayton - (TN),TN,14,0
2020,4922,Dayton Power & Light Co,OH,491,.
2020,4939,"Deaf Smith Electric Coop, Inc",TX,97,15
2020,4958,Decatur Utilities,AL,59,34
2020,4960,Decatur County Rural E M C,IN,27,.
2020,4975,Deep East Texas Elec Coop Inc,TX,111,0
2020,5027,Delmarva Power,DE,271,.
2020,5027,Delmarva Power,MD,193,.
2020,5063,City of Denton - (TX),TX,119,0
2020,5070,Delaware Electric Cooperative,DE,89,45
2020,5078,"Denton County Elec Coop, Inc",TX,167,167
2020,5086,Delta Montrose Electric Assn,CO,51,51
2020,5109,DTE Electric Company,MI,"3,483",6
2020,5148,City of Dickson,TN,45,37
2020,5175,Dixie Electric Power Assn,MS,93,0
2020,5202,Dixie Electric Membership Corp,LA,138,130
2020,5204,Dixie Electric Coop,AL,61,.
2020,5309,City of Dothan - (AL),AL,44,42
2020,5325,City of Douglas,GA,15,0
2020,5326,PUD No 1 of Douglas County,WA,63,.
2020,5335,City of Dover - (DE),DE,51,46
2020,5336,City of Dover - (OH),OH,13,13
2020,5394,Dubois Rural Electric Coop Inc,IN,37,17
2020,5399,Duck River Elec Member Corp,TN,103,71
2020,5416,"Duke Energy Carolinas, LLC",NC,"2,125",0
2020,5416,"Duke Energy Carolinas, LLC",SC,719,0
2020,5417,Dunn County Electric Coop,WI,40,0
2020,5480,Town of Danvers,MA,36,0
2020,5487,Duquesne Light Co,PA,626,579
2020,5509,City of Dyersburg,TN,36,34
2020,5535,Egyptian Electric Coop Assn,IL,68,64
2020,5551,City of Eagle River - (WI),WI,10,5
2020,5574,East Central Energy,MN,110,81
2020,5574,East Central Energy,WI,17,0
2020,5578,East Mississippi Elec Pwr Assn,MS,37,0
2020,5582,City of East Point - (GA),GA,20,.
2020,5585,Eastern Illinois Elec Coop,IL,76,76
2020,5588,East-Central Iowa Rural Elec Coop,IA,72,72
2020,5598,East Central Oklahoma Elec Coop Inc,OK,79,.
2020,5605,Eastern Iowa Light & Power Coop,IA,177,23
2020,5609,Eastern Maine Electric Coop,ME,20,0
2020,5625,Easton Utilities Comm,MD,15,15
2020,5644,"Edisto Electric Coop, Inc",SC,68,0
2020,5656,Edgecombe-Martin County E M C,NC,36,18
2020,5661,City of Edmond - (OK),OK,32,.
2020,5701,El Paso Electric Co,NM,57,55
2020,5701,El Paso Electric Co,TX,289,256
2020,5760,City of Elizabeth City - (NC),NC,22,.
2020,5763,City of Elizabethton - (TN),TN,35,35
2020,5773,City of Elk River,MN,33,0
2020,5780,Elkhorn Rural Public Pwr Dist,NE,83,75
2020,5832,Elmhurst Mutual Power & Light Co,WA,19,12
2020,5860,Empire District Electric Co,AR,10,0
2020,5860,Empire District Electric Co,KS,23,0
2020,5860,Empire District Electric Co,MO,269,0
2020,5860,Empire District Electric Co,OK,13,0
2020,5862,"Empire Electric Assn, Inc",CO,71,63
2020,5862,"Empire Electric Assn, Inc",UT,3,3
2020,5905,Excelsior Electric Member Corp,GA,37,0
2020,5929,"Fairfield Electric Coop, Inc",SC,65,0
2020,5930,Village of Fairport - (NY),NY,30,.
2020,5961,Town of Erwin - (TN),TN,9,9
2020,6008,City of Etowah,TN,9,0
2020,6022,City of Eugene - (OR),OR,163,0
2020,6043,City of Evansville,WI,9,0
2020,6149,City of Ellensburg - (WA),WA,18,0
2020,6169,Fall River Rural Elec Coop Inc,ID,64,0
2020,6169,Fall River Rural Elec Coop Inc,MT,10,0
2020,6169,Fall River Rural Elec Coop Inc,WY,5,0
2020,6181,"Farmers Electric Coop, Inc - (MO)",MO,66,0
2020,6182,"Farmers Electric Coop, Inc - (TX)",TX,71,0
2020,6183,"Fayette Electric Coop, Inc",TX,27,0
2020,6194,Farmers Rural Electric Coop Corp - (KY),KY,68,.
2020,6198,"Farmers Electric Coop, Inc - (NM)",NM,45,45
2020,6204,City of Farmington - (NM),NM,65,.
2020,6205,City of Farmington - (MO),MO,24,0
2020,6207,Farmington River Power Company,CT,1,.
2020,6234,City of Fayetteville,TN,38,0
2020,6235,Fayetteville Public Works Commission,NC,153,128
2020,6258,Federated Rural Electric Assn,IA,6,0
2020,6258,Federated Rural Electric Assn,MN,65,0
2020,6342,First Electric Coop Corp,AR,152,152
2020,6369,Fishers Island Utility Co Inc,NY,3,0
2020,6374,Fitchburg Gas & Elec Light Co,MA,39,0
2020,6395,Flathead Electric Coop Inc,MT,87,0
2020,6411,Flint Electric Membership Corp,GA,170,0
2020,6422,City of Florence - (AL),AL,137,0
2020,6424,Florence Utility Comm,WI,6,0
2020,6427,City of Floresville,TX,19,19
2020,6442,Fleming-Mason Energy Coop Inc,KY,45,0
2020,6443,"Florida Keys El Coop Assn, Inc",FL,25,23
2020,6452,Florida Power & Light Co,FL,"3,470","2,850"
2020,6455,"Duke Energy Florida, LLC",FL,"1,395","1,164"
2020,6457,Florida Public Utilities Co,FL,29,0
2020,6491,Foley Board of Utilities,AL,68,68
2020,6582,City of Forest Grove,OR,16,0
2020,6604,City of Fort Collins - (CO),CO,86,0
2020,6608,Fort Loudoun Electric Coop,TN,47,46
2020,6610,City of Fort Morgan,CO,19,19
2020,6612,Fort Payne Improvement Authority,AL,30,30
2020,6616,Fort Pierce Utilities Authority,FL,36,15
2020,6638,City of Fountain,CO,10,10
2020,6640,Four County Elec Member Corp,NC,102,0
2020,6641,4-County Electric Power Assn,MS,108,0
2020,6707,City of Frankfort - (IN),IN,10,6
2020,6708,City of Frankfort - (KY),KY,52,.
2020,6709,Easley Combined Utility System,SC,25,0
2020,6716,PUD No 1 of Franklin County,WA,88,0
2020,6717,Franklin Electric Coop - (AL),AL,12,0
2020,6718,City of Franklin - (KY),KY,12,0
2020,6775,Village of Freeport - (NY),NY,25,.
2020,6779,City of Fremont - (NE),NE,27,0
2020,6782,Freeborn-Mower Electric Cooperative,IA,1,0
2020,6782,Freeborn-Mower Electric Cooperative,MN,83,32
2020,6784,French Broad Elec Member Corp,NC,79,.
2020,6784,French Broad Elec Member Corp,TN,2,.
2020,6840,City of Fulton - (KY),KY,7,7
2020,6894,City of Gaffney - (SC),SC,14,0
2020,6909,Gainesville Regional Utilities,FL,70,59
2020,6923,City of Gallatin - (TN),TN,22,0
2020,6941,City of Garden City,KS,39,0
2020,6957,"Garkane Energy Coop, Inc",AZ,8,.
2020,6957,"Garkane Energy Coop, Inc",UT,48,.
2020,6958,City of Garland - (TX),TX,98,98
2020,7024,Gascosage Electric Coop,MO,35,.
2020,7027,City of Gastonia - (NC),NC,58,.
2020,7090,GreyStone Power Corporation,GA,137,0
2020,7096,City of Geneva- (IL),IL,33,0
2020,7129,City of Georgetown - (TX),TX,40,24
2020,7140,Georgia Power Co,GA,"2,500","2,000"
2020,7174,Gibson Electric Members Corp,KY,6,0
2020,7174,Gibson Electric Members Corp,TN,76,0
2020,7222,City of Gillette - (WY),WY,29,0
2020,7264,"Glades Electric Coop, Inc",FL,42,0
2020,7265,City of Gladstone,MI,5,0
2020,7270,City of Glasgow - (KY),KY,23,14
2020,7294,City of Glendale - (CA),CA,107,35
2020,7353,Golden Valley Elec Assn Inc,AK,72,0
2020,7450,Grady Electric Membership Corp,GA,44,.
2020,7483,City of Grand Haven - (MI),MI,13,13
2020,7490,Grand River Dam Authority,OK,23,0
2020,7548,PUD No 1 of Grays Harbor County,WA,87,0
2020,7558,Grayson Rural Electric Coop Corp,KY,42,.
2020,7559,"Grayson-Collin Elec Coop, Inc",TX,81,.
2020,7561,"Greenbelt Electric Coop, Inc",TX,28,26
2020,7563,Grand Valley Power,CO,29,0
2020,7601,Green Mountain Power Corp,VT,293,0
2020,7625,City of Greeneville - (TN),TN,74,0
2020,7627,City of Greenfield - (IN),IN,21,21
2020,7634,City of Greenville - (TX),TX,40,40
2020,7639,Greenville Utilities Comm,NC,114,87
2020,7646,Greenwood CPW,SC,24,0
2020,7651,Greenwood Utilities Comm,MS,19,18
2020,7654,Greer Commission of Public Wks,SC,30,0
2020,7679,City of Griffin - (GA),GA,26,0
2020,7716,Groton Dept of Utilities - (CT),CT,27,0
2020,7752,Guadalupe Valley Elec Coop Inc,TX,154,154
2020,7785,"Gulf Coast Electric Coop, Inc",FL,37,.
2020,7801,Gulf Power Co,FL,296,0
2020,7827,Guntersville Electric Board,AL,17,0
2020,7887,Habersham Electric Membership Corp,GA,59,0
2020,7891,Guernsey-Muskingum El Coop Inc,OH,38,0
2020,7908,Hagerstown Light Department,MD,23,.
2020,7977,City of Hamilton - (OH),OH,54,.
2020,7979,Hamilton County Elec Coop Assn,TX,29,.
2020,8000,NineStar Connect,IN,30,0
2020,8034,Hancock-Wood Electric Coop Inc,OH,57,0
2020,8055,City of Hannibal - (MO),MO,17,0
2020,8147,City of Harriman - (TN),TN,16,0
2020,8179,Harrison County Rural E M C,IN,47,47
2020,8198,City of Harrisonburg - (VA),VA,28,.
2020,8210,Hart Electric Member Corp,GA,77,77
2020,8212,Hartford Electric,WI,25,25
2020,8226,City of Hartselle,AL,12,0
2020,8245,City of Hastings - (NE),NE,42,28
2020,8287,Hawaii Electric Light Co Inc,HI,143,0
2020,8319,Heartland Power Coop,IA,60,1
2020,8319,Heartland Power Coop,MN,7,0
2020,8333,Haywood Electric Member Corp,GA,1,.
2020,8333,Haywood Electric Member Corp,NC,38,.
2020,8333,Haywood Electric Member Corp,SC,1,.
2020,8447,Hendricks County Rural E M C,IN,73,1
2020,8449,Henderson City Utility Comm,KY,38,0
2020,8548,City of Hickman,KY,3,0
2020,8566,High Plains Power Inc,WY,99,.
2020,8570,Highline Electric Assn,CO,67,67
2020,8570,Highline Electric Assn,NE,20,20
2020,8571,Town of High Point,NC,85,85
2020,8620,"HILCO Electric Cooperative, Inc.",TX,44,0
2020,8699,Inland Power & Light Company,ID,3,0
2020,8699,Inland Power & Light Company,WA,99,0
2020,8723,City of Holland,MI,72,0
2020,8748,City of Holly Springs,MS,20,0
2020,8761,Holmes-Wayne Electric Coop Inc,OH,45,31
2020,8764,"Holston Electric Coop, Inc",TN,37,0
2020,8773,"Holy Cross Electric Assn, Inc",CO,52,0
2020,8774,City of Holyoke - (MA),MA,52,0
2020,8786,Horry Electric Coop Inc,SC,125,0
2020,8795,City of Homestead - (FL),FL,19,0
2020,8840,City of Hope,AR,20,0
2020,8846,City of Hopkinsville,KY,26,0
2020,8883,Houlton Water Company,ME,1,.
2020,8884,Terrebonne Parish Consol Gov't,LA,26,4
2020,8898,Houston County Elec Coop Inc,TX,45,45
2020,8901,CenterPoint Energy,TX,"1,769",0
