|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Installations.Residential|,|Photovoltaic.Installations.Commercial|,|Photovoltaic.Installations.Industrial|,|Photovoltaic.Installations.Transportation|,|Photovoltaic.Installations.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Installations.Residential|,|Photovoltaic.Storage Installations.Commercial|,|Photovoltaic.Storage Installations.Industrial|,|Photovoltaic.Storage Installations.Transportation|,|Photovoltaic.Storage Installations.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Installations.Residential|,|Wind.Installations.Commercial|,|Wind.Installations.Industrial|,|Wind.Installations.Transportation|,|Wind.Installations.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Installations.Residential|,|Other.Installations.Commercial|,|Other.Installations.Industrial|,|Other.Installations.Transportation|,|Other.Installations.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Installations.Residential|,|All Technologies.Installations.Commercial|,|All Technologies.Installations.Industrial|,|All Technologies.Installations.Transportation|,|All Technologies.Installations.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
2021,AL,99999,Adjustment 2021,SOCO,,-0.020,.,.,.,-0.020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.020,.,.,.,-0.020,.,.,.,.,.,.,.,.,.,.
2021,AR,814,Entergy Arkansas LLC,MISO,DC,24.173,23.124,3.371,.,50.668,"2,361",149,23,.,"2,533",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.007,0.002,0.006,.,0.015,1,1,2,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,24.180,23.126,3.377,0.000,50.683,"2,362",150,25,0,"2,537",0.000,0.000,0.000,0.000,0.000
2021,AR,817,Arkansas Valley Elec Coop Corp,SWPP,AC,4.046,1.630,.,.,5.676,378,7,.,.,385,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,221.657,116.867,.,.,338.524,0.007,.,.,.,0.007,2,.,.,.,2,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.053,1.630,0.000,0.000,5.683,380,7,0,0,387,221.657,116.867,0.000,0.000,338.524
2021,AR,1586,City of Bentonville - (AR),SWPP,DC,4.800,3.300,.,.,8.100,192,11,.,.,203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.800,3.300,0.000,0.000,8.100,192,11,0,0,203,0.000,0.000,0.000,0.000,0.000
2021,AR,2678,C & L Electric Coop Corp,MISO,DC,1.245,2.656,.,.,3.901,107,16,.,.,123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.245,2.656,0.000,0.000,3.901,107,16,0,0,123,0.000,0.000,0.000,0.000,0.000
2021,AR,3093,Carroll Electric Coop Corp - (AR),SWPP,DC,7.052,.,.,.,7.052,977,.,.,.,977,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.019,.,.,.,0.019,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,7.071,0.000,0.000,0.000,7.071,980,0,0,0,980,0.000,0.000,0.000,0.000,0.000
2021,AR,3712,Clay County Electric Coop Corp,MISO,AC,0.075,0.381,.,.,0.456,10,3,.,.,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.075,0.381,0.000,0.000,0.456,10,3,0,0,13,0.000,0.000,0.000,0.000,0.000
2021,AR,4280,Conway Corporation,MISO,AC,0.195,.,.,.,0.195,35,.,.,.,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.195,0.000,0.000,0.000,0.195,35,0,0,0,35,0.000,0.000,0.000,0.000,0.000
2021,AR,4509,Craighead Electric Coop Corp,MISO,AC,0.350,3.200,.,.,3.550,34,8,.,.,42,.,.,.,.,0.000,1,2,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.350,3.200,0.000,0.000,3.550,34,8,0,0,42,0.000,0.000,0.000,0.000,0.000
2021,AR,5860,Empire District Electric Co,SWPP,DC,0.361,.,.,.,0.361,46,.,.,.,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49.851,.,.,.,49.851,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.361,0.000,0.000,0.000,0.361,46,0,0,0,46,49.851,0.000,0.000,0.000,49.851
2021,AR,6342,First Electric Coop Corp,MISO,AC,6.428,0.412,0.791,.,7.631,682,7,7,.,696,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,6.428,0.412,0.791,0.000,7.631,682,7,7,0,696,0.000,0.000,0.000,0.000,0.000
2021,AR,8840,City of Hope,MISO,AC,0.109,0.106,.,.,0.215,6,2,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.109,0.106,0.000,0.000,0.215,6,2,0,0,8,0.000,0.000,0.000,0.000,0.000
2021,AR,9879,City Water and Light Plant,MISO,AC,0.068,0.008,0.133,.,0.209,10,1,1,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.068,0.008,0.133,0.000,0.209,10,1,1,0,12,0.000,0.000,0.000,0.000,0.000
2021,AR,13676,"North Arkansas Elec Coop, Inc",MISO,DC,0.966,.,.,.,0.966,107,.,.,.,107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.013,.,.,.,0.013,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.979,0.000,0.000,0.000,0.979,112,0,0,0,112,0.000,0.000,0.000,0.000,0.000
2021,AR,13718,City of North Little Rock - (AR),MISO,AC,0.368,1.200,.,.,1.568,51,5,.,.,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.368,1.200,0.000,0.000,1.568,51,5,0,0,56,0.000,0.000,0.000,0.000,0.000
2021,AR,14063,Oklahoma Gas & Electric Co,SWPP,AC,1.523,0.076,0.000,0.000,1.599,194,8,0,0,202,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.005,2,1,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.527,0.077,0.000,0.000,1.604,196,9,0,0,205,0.000,0.000,0.000,0.000,0.000
2021,AR,14289,Ozarks Electric Coop Corp - (AR),SWPP,AC,4.999,0.938,12.773,.,18.710,683,18,9,.,710,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.999,0.938,12.773,0.000,18.710,683,18,9,0,710,0.000,0.000,0.000,0.000,0.000
2021,AR,14864,Petit Jean Electric Coop Corp,MISO,DC,0.861,0.450,.,.,1.311,61,1,.,.,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.861,0.450,0.000,0.000,1.311,61,1,0,0,62,0.000,0.000,0.000,0.000,0.000
2021,AR,17184,City of Siloam Springs - (AR),SWPP,AC,0.331,.,.,.,0.331,49,.,.,.,49,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.331,0.000,0.000,0.000,0.331,49,0,0,0,49,0.000,0.000,0.000,0.000,0.000
2021,AR,17671,Southwest Arkansas E C C,MISO,AC,0.550,0.064,.,.,0.614,56,2,.,.,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.550,0.064,0.000,0.000,0.614,56,2,0,0,58,0.000,0.000,0.000,0.000,0.000
2021,AR,17698,Southwestern Electric Power Co,SWPP,AC,3.267,3.870,0.700,0.000,7.837,507,42,1,0,550,0.427,0.000,0.000,0.000,0.427,4,0,0,0,4,0.052,0.463,0.000,0.000,0.515,6,5,0,0,11,"1,911.608","4,088.493",230.100,0.000,"6,230.201",0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.136,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,3.319,4.338,0.700,0.000,8.357,513,49,1,0,563,"1,911.608","4,088.629",230.100,0.000,"6,230.337"
2021,AR,20963,Woodruff Electric Coop Corp,MISO,AC,0.179,1.838,.,.,2.017,16,6,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.182,1.838,0.000,0.000,2.020,17,6,0,0,23,0.000,0.000,0.000,0.000,0.000
2021,AR,99999,Adjustment 2021,MISO,,-4.752,-4.575,-0.588,.,-9.914,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-4.752,-4.575,-0.588,.,-9.914,.,.,.,.,.,.,.,.,.,.
2021,AR,99999,Adjustment 2021,SWPP,,-2.130,-0.576,.,.,-2.705,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-2.130,-0.576,.,.,-2.705,.,.,.,.,.,.,.,.,.,.
2021,AZ,176,Ajo Improvement Co,AZPS,AC,0.020,0.002,.,.,0.022,7,1,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.600,0.250,.,.,1.850,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.020,0.002,0.000,0.000,0.022,7,1,0,0,8,1.600,0.250,0.000,0.000,1.850
2021,AZ,803,Arizona Public Service Co,AZPS,DC,"1,124.589",310.983,.,.,"1,435.572","133,142","1,896",.,.,"135,038",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.057,0.125,.,.,0.182,24,12,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,"1,124.646",311.108,0.000,0.000,"1,435.754","133,166","1,908",0,0,"135,074",0.000,0.000,0.000,0.000,0.000
2021,AZ,6957,"Garkane Energy Coop, Inc",WALC,DC,0.421,0.063,.,.,0.484,23,2,.,.,25,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.421,0.063,0.000,0.000,0.484,23,2,0,0,25,0.000,0.000,0.000,0.000,0.000
2021,AZ,12351,City of Mesa - (AZ),WALC,DC,0.392,0.820,.,.,1.212,84,27,.,.,111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.392,0.820,0.000,0.000,1.212,84,27,0,0,111,0.000,0.000,0.000,0.000,0.000
2021,AZ,12919,Morenci Water and Electric,WALC,AC,0.008,0.028,.,.,0.036,1,3,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.354,1.450,.,.,1.804,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,0.028,0.000,0.000,0.036,1,3,0,0,4,0.354,1.450,0.000,0.000,1.804
2021,AZ,13318,"Navopache Electric Coop, Inc",TEPC,AC,2.702,0.442,.,.,3.144,352,30,.,.,382,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,130.826",595.454,.,.,"4,726.280",0.006,.,.,.,0.006,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.708,0.442,0.000,0.000,3.150,357,30,0,0,387,"4,130.826",595.454,0.000,0.000,"4,726.280"
2021,AZ,16572,Salt River Project,SRP,AC,236.924,105.596,6.630,.,349.150,"35,748",781,3,.,"36,532",10.019,0.380,0.000,.,10.399,"2,138",8,0,.,"2,146",0.000,0.000,0.000,.,0.000,0,0,0,.,0,"23,402.000","37,009.000",0.000,.,"60,411.000",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,236.924,105.596,6.630,0.000,349.150,"35,748",781,3,0,"36,532","23,402.000","37,009.000",0.000,0.000,"60,411.000"
2021,AZ,18280,Sulphur Springs Valley E C Inc,WALC,AC,8.500,4.000,0.000,0.000,12.500,"1,137",307,0,0,"1,444",0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.100,37,0,0,0,37,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,8.600,4.000,0.000,0.000,12.600,"1,174",307,0,0,"1,481",0.000,0.000,0.000,0.000,0.000
2021,AZ,19189,Trico Electric Cooperative Inc,WALC,DC,26.340,13.810,.,.,40.150,"3,539",63,.,.,"3,602",.,.,.,.,0.000,.,.,.,.,0,0.044,0.183,.,.,0.227,48,1,.,.,49,"22,822.470","7,174.280",.,.,"29,996.750",0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,26.386,13.993,0.000,0.000,40.379,"3,588",64,0,0,"3,652","22,822.470","7,174.280",0.000,0.000,"29,996.750"
2021,AZ,19728,"UNS Electric, Inc",TEPC,AC,35.982,13.098,.,.,49.080,"4,702",201,.,.,"4,903",0.187,.,.,.,0.187,35,.,.,.,35,.,.,.,.,0.000,.,.,.,.,0,"2,660.311",440.914,.,.,"3,101.225",0.300,0.010,.,.,0.310,117,1,.,.,118,7.079,.,.,.,7.079,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,36.282,13.108,0.000,0.000,49.390,"4,819",202,0,0,"5,021","2,667.390",440.914,0.000,0.000,"3,108.304"
