Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2021,407,Altamaha Electric Member Corp,Cooperative,,GA,SOCO,2,.,.,.,2,"19,094","1,925",234,.,"21,253",.,.,.,.,.,.,.,.,.,.,"19,096","1,925",234,0,"21,255","239,669","174,859","6,756",.,"421,284","19,094","1,925",234,.,"21,253",.,.,234,.,234
2021,416,City of Altus - (OK),Municipal,Y,OK,SWPP,.,.,.,.,0,"7,811","1,151",8,.,"8,970",.,.,.,.,.,.,.,.,.,.,"7,811","1,151",8,0,"8,970","93,942","61,901","43,800",.,"199,643",.,.,.,.,.,.,.,.,.,.
2021,471,Amana Society Service Co,Investor Owned,,IA,MISO,709,179,1,.,889,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,709,179,1,0,889,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,554,City of Ames - (IA),Municipal,,IA,MISO,"5,614",889,6,0,"6,509",0,0,0,0,0,0,0,0,0,0,"18,803","2,396",0,0,"21,199","24,417","3,285",6,0,"27,708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,562,Amicalola Electric Member Corp,Cooperative,,GA,SOCO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"47,510","5,357",.,.,"52,867","47,510","5,357",0,0,"52,867",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,571,City of Amory,Municipal,,MS,TVA,"2,884","1,159",2,0,"4,045",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"2,884","1,159",3,0,"4,046",0,0,"14,339",0,"14,339",0,0,0,0,0,0,0,0,0,0
2021,577,City of Alcoa Utilities,Municipal,,TN,TVA,0,0,0,0,0,"26,581","4,007",1,0,"30,589",0,0,0,0,0,0,0,0,0,0,"26,581","4,007",1,0,"30,589","401,347","220,296",920,0,"622,563",0,0,0,0,0,0,0,0,0,0
2021,588,Anadarko Public Works Authority,Municipal,Y,OK,SWPP,.,.,.,.,0,"1,833",489,0,.,"2,322",.,.,.,.,.,.,.,.,.,.,"1,833",489,0,0,"2,322","2,695","1,651",0,.,"4,346",.,.,.,.,.,.,.,.,.,.
2021,590,City of Anaheim - (CA),Municipal,,CA,CISO,.,.,.,.,.,"96,547","12,496",383,.,"109,426",.,.,.,.,.,"30,150","9,363",43,.,"39,556","126,697","21,859",426,0,"148,982","321,695","373,396","795,824",.,"1,490,915",.,.,.,.,.,.,.,.,.,.
2021,604,City of Andalusia,Municipal,,AL,,.,.,.,.,.,"3,654","1,058",2,.,"4,714",.,.,.,.,.,.,.,.,.,.,"3,654","1,058",2,0,"4,714","41,279","56,898","324,571",.,"422,748",.,.,.,.,.,.,.,.,.,.
2021,636,City of Anderson - (IN),Municipal,,IN,PJM,.,.,.,.,.,"29,489","3,880",59,.,"33,428",.,.,.,.,.,.,.,.,.,.,"29,489","3,880",59,0,"33,428","314,117","278,558","274,533",.,"867,208",.,7,15,.,22,.,.,.,.,.
2021,682,City of Anita - (IA),Municipal,Y,IA,MISO,324,73,0,.,397,0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,324,73,0,0,397,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,689,Connexus Energy,Cooperative,,MN,MISO,0,0,0,0,0,"128,503","11,807",420,0,"140,730",0,0,0,0,0,254,1,0,0,255,"128,757","11,808",420,0,"140,985","1,277,535","620,892","177,415",0,"2,075,842","128,757","11,808",420,0,"140,985",0,0,0,0,0
