|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2021,307,Algoma Utility Comm,,WI,MISO,3,25,1,0,29,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,407,Altamaha Electric Member Corp,,GA,SOCO,0,.,234,.,234,,,Y,,,,,,,,,,,,,,,,,
2021,540,BP Energy Company,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2021,554,City of Ames - (IA),,IA,MISO,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,571,City of Amory,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,590,City of Anaheim - (CA),,CA,CISO,979,102,37,.,"1,118",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,636,City of Anderson - (IN),,IN,PJM,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2021,719,Town of Apex- (NC),,NC,CPLE,43,83,.,.,126,Y,Y,,,,,,,,,,,,Y,,,,,,
2021,727,Appalachian Electric Coop,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,733,Appalachian Power Co,,VA,PJM,"1,297",584,21,0,"1,902",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,733,Appalachian Power Co,,WV,PJM,306,721,8,0,"1,035",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,803,Arizona Public Service Co,,AZ,AZPS,"726,134","26,463","1,123",.,"753,720",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,814,Entergy Arkansas LLC,,AR,MISO,146,464,275,.,885,Y,Y,Y,,,,,,,,,,,,,,Y,,,
2021,887,"Arrowhead Electric Coop, Inc",Y,MN,MISO,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2021,944,City of Athens - (AL),,AL,TVA,0,3,5,0,8,,Y,Y,,,,Y,,,,,,,,,,,,,
2021,947,Athens Utility Board,,TN,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2021,970,Homefield Energy,,IL,MISO,.,46,10,.,56,,Y,Y,,,,,,,,,,,,,,,,,
2021,1009,City of Austin - (MN),,MN,MISO,.,9,.,.,9,,Y,,,,,,,,,,,,,,,,,,
2021,1015,Austin Energy,,TX,ERCO,86,8,5,.,99,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,1036,Town of Ayden - (NC),Y,NC,CPLE,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2021,1050,City of Azusa,,CA,CISO,311,4,25,.,340,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,1167,Baltimore Gas & Electric Co,,MD,PJM,"1,150,495",.,.,.,"1,150,495",,,,,,,,,,,,,,,,,Y,,,
2021,1175,"Bandera Electric Coop, Inc",,TX,ERCO,"1,199",.,.,.,"1,199",Y,,,,,,,,,,,,,,,,,,,
2021,1181,Village of Bangor - (WI),Y,WI,MISO,1,.,.,.,1,,,,,,,,,,,,,,,,,,,,
2021,1192,City of Banning - (CA),Y,CA,CISO,.,.,12,.,12,,,,,,,,,,,,,,,,,,,,
2021,1251,Barron Electric Coop,,WI,MISO,.,12,14,.,26,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2021,1278,City of Barron - (WI),Y,WI,MISO,3,0,1,0,4,,,,,,,,,,,,,,,,,,,,
2021,1283,Bartholomew County Rural E M C,,IN,MISO,249,0,8,0,257,Y,,Y,,,,,,,,,,,,,,,,,
2021,1366,City of Bay City - (MI),,MI,MISO,12,21,8,0,41,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,1417,"Beartooth Electric Coop, Inc",Y,MT,NWMT,"5,528",513,1,.,"6,042",,,,,,,,,,,,,,,,,,,,
2021,1417,"Beartooth Electric Coop, Inc",Y,WY,NWMT,439,81,.,.,520,,,,,,,,,,,,,,,,,,,,
2021,1522,Village of Belmont - (WI),Y,WI,MISO,.,.,9,.,9,,,,,,,,,,,,,,,,,,,,
2021,1529,"Beltrami Electric Coop, Inc",,MN,MISO,.,22,.,.,22,,,,,,,,,,,,,,Y,,,,,,
2021,1578,Benton County,,TN,TVA,0,"1,734",1,0,"1,735",,Y,Y,,,,,,,,,,,,,,,,,
2021,1591,"Big Country Electric Coop, Inc",,TX,ERCO,.,.,14,.,14,,,Y,,,,,,,,,,,,,,,,,
2021,1613,Berkeley Electric Coop Inc,,SC,SC,143,157,.,.,300,Y,Y,,,,,,,,,,,,,,,,,,
2021,1675,Big Horn Rural Electric Co,Y,WY,WACM,2,3,.,.,5,,,,,,,,,,,,,,,,,,,,
2021,1769,"Black Hills Electric Coop, Inc",,SD,SWPP,"8,442","1,789",87,.,"10,318",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,1776,City of Black River Falls,,WI,MISO,51,54,0,0,105,Y,Y,,,,,,,,,,,,,,,,,,
2021,1866,Bloomer Electric & Water Co,Y,WI,MISO,.,2,9,.,11,,,,,,,,,,,,,,,,,,,,
2021,1884,BENCO Electric Cooperative,,MN,MISO,16,.,1,.,17,Y,,Y,,,,,,,,,,,,,,,,,
2021,1886,Blue Grass Energy Coop Corp,,KY,PJM,20,46,.,.,66,Y,Y,,,,,,,,,,,,,,,,,,
2021,1889,Blue Ridge Elec Member Corp - (NC),,NC,DUK,35,11,.,.,46,Y,Y,,,,,,,,,,,,,,,,,,
2021,1997,City of Boscobel - (WI),,WI,MISO,0,8,0,0,8,,Y,,,,,,,,,,,,,,,,,,
2021,2008,City of Boulder City - (NV),,NV,WALC,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2021,2056,City of Bowling Green - (KY),,KY,TVA,0,2,2,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2021,2192,Bremen Electric Light & Power Co,Y,IN,MISO,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2021,2212,"Broad River Electric Coop, Inc",,NC,DUK,4,.,.,.,4,Y,,,,,,,,,,,,,,,,,,,
2021,2247,City of Bristol - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2021,2248,Bristol Virginia Utilities,,VA,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,2273,Brodhead Water & Lighting Comm,,WI,MISO,1,18,2,0,21,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,2411,City of Brownsville,,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2021,2439,City of Bryan - (OH),Y,OH,PJM,.,5,6,.,11,,,,,,,,,,,,,,,,,,,,
2021,2442,City of Bryan - (TX),,TX,ERCO,.,23,.,.,23,,Y,,,,,,,,,,,,,,,,,,
2021,2507,City of Burbank Water and Power,,CA,LDWP,394,"5,646",.,.,"6,040",Y,Y,,,,,,,,,,,,,,,,,,
2021,2548,City of Burlington Electric - (VT),,VT,ISNE,40,16,9,0,65,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,2641,"Butler Rural El Coop Assn, Inc - (KS)",Y,KS,SWPP,"6,772",924,.,.,"7,696",,,,,,,,,,,,,,,,,,,,
2021,2651,Butler Rural Electric Coop Inc - (OH),,OH,PJM,.,2,3,.,5,,,,,,,,,,,,,,,Y,,,Y,Y,
2021,2655,"Butte Electric Coop, Inc",Y,SD,WACM,3,1,.,.,4,,,,,,,,,,,,,,,,,,,,
2021,2830,Calpine Power America LLC,,ME,ISNE,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2021,2830,Calpine Power America LLC,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2021,2849,Central Electric Power Assn - (MS),,MS,TVA,0,1,5,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2021,2960,"Caney Fork Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,2985,"Capital Electric Coop, Inc",,ND,SWPP,12,9,.,.,21,Y,,,,,,,,,,,,,Y,,,,,,
2021,2998,"Carbon Power & Light, Inc",Y,WY,WACM,444,66,4,0,514,,,,,,,,,,,,,,,,,,,,
2021,3046,Duke Energy Progress - (NC),,NC,CPLE,"20,500","29,412","1,360",.,"51,272",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2021,3046,Duke Energy Progress - (NC),,SC,CPLE,"1,459","3,929",233,.,"5,621",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2021,3075,Carroll County - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,3107,Carteret-Craven El Member Corp,,NC,CPLE,65,.,.,.,65,Y,,,,,,,,,,,,,,,,,,,
2021,3208,Cedarburg Light & Water Comm,,WI,MISO,31,30,1,0,62,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,3222,Central Alabama Electric Coop,,AL,SOCO,.,.,2,.,2,,,,,,,,,,,,,,,Y,,,,,
2021,3226,"Central Rural Electric Cooperative, Inc",,OK,AECI,.,4,.,.,4,,Y,,,,,,,,,,,,,,,,,,
2021,3245,"Central Florida Elec Coop, Inc",,FL,SEC,2,4,321,0,327,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,3248,Central Georgia El Member Corp,,GA,SOCO,5,.,4,.,9,Y,,,,,,Y,,,,,,,,,,,,,
2021,3249,Central Hudson Gas & Elec Corp,,NY,NYIS,"1,055",227,55,.,"1,337",Y,,,,,Y,Y,,,,,,,,,,,,,
2021,3250,Central Electric Membership Corp. - (NC),,NC,CPLE,3,.,.,.,3,Y,,,,,,,,,,,,,,,,,,,
2021,3266,Central Maine Power Co,,ME,ISNE,"5,309",855,149,0,"6,313",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,3273,"Central New Mexico El Coop, Inc",,NM,PNM,"2,105",11,.,.,"2,116",Y,Y,,,,,,,,,,,,,,,,,,
2021,3293,Central Wisconsin Elec Coop,Y,WI,MISO,79,50,.,.,129,,,,,,,,,,,,,,,,,,,,
2021,3329,Borough of Chambersburg,,PA,PJM,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2021,3400,City of Chaska - (MN),,MN,MISO,9,.,.,.,9,Y,,,,,,,,,,,,,,,,,,,
2021,3408,City of Chattanooga - (TN),,GA,TVA,4,0,1,0,5,Y,,Y,,,,,,,,,,,,,,,,,
2021,3408,City of Chattanooga - (TN),,TN,TVA,75,20,61,0,156,Y,Y,Y,,,,Y,,,,,,,,,,,,,
2021,3413,PUD No 1 of Chelan County,,WA,CHPD,.,.,27,.,27,,,Y,,,,Y,,,,,,,,,,,,,
2021,3426,Cherokee Electric Coop,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,3498,Chippewa Valley Electric Coop,Y,WI,MISO,0,14,24,0,38,,,,,,,,,,,,,,,,,,,,
2021,3502,"Choctawhatche Elec Coop, Inc",,FL,SOCO,254,1,0,0,255,Y,Y,,,,,,,,,,,,,,,,,,
2021,3503,"Choptank Electric Cooperative, Inc",,MD,PJM,.,5,1,.,6,,Y,Y,,,,,,,,,,,,,,,,,
2021,3542,Duke Energy Ohio Inc,,OH,PJM,15,"1,108",106,.,"1,229",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2021,3701,Clark Electric Coop - (WI),Y,WI,MISO,208,.,.,.,208,,,,,,,,,,,,,,,,,,,,
2021,3704,City of Clarksville - (TN),,TN,TVA,0,4,2,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2021,3722,Clarke Electric Coop Inc - (IA),Y,IA,MISO,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2021,3731,Town of Clayton,Y,NC,CPLE,.,3,.,.,3,,,,,,,,,,,,,,,,,,,,
2021,3755,Cleveland Electric Illum Co,,OH,PJM,8,0,0,0,8,,,,,,,,,,,,,Y,,,,,,,
2021,3758,City of Cleveland - (TN),,TN,TVA,0,0,5,0,5,,,Y,,,,Y,,,,,,,,,,,,,
2021,3812,City of Clinton - (TN),,TN,TVA,0,0,10,0,10,,,Y,,,,,,,,,,,,,,,,,
2021,3814,City of Clintonville - (WI),Y,WI,MISO,10,3,12,0,25,,,,,,,,,,,,,,,,,,,,
2021,3841,Coast Electric Power Assn,,MS,SOCO,"29,355",138,2,.,"29,495",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,3843,Coastal Electric Member Corp,,GA,SOCO,2,.,1,.,3,Y,,,,,,Y,,,,,,,,,,,,,
2021,3915,Coldwater Board of Public Util,,MI,MISO,0,176,64,0,240,,Y,Y,,,,,,,,,,,,,,,,,
2021,3916,Cobb Electric Membership Corp,,GA,SOCO,"1,349","1,811",.,.,"3,160",Y,Y,,,,,,,,,,,,,,,,,,
2021,3989,City of Colorado Springs - (CO),,CO,PSCO,44,"1,883",168,0,"2,095",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,4003,City of Colton - (CA),,CA,CISO,.,.,101,.,101,,,Y,,,,,,,,,,,,,,,,,
2021,4045,City of Columbia - (MO),,MO,MISO,.,2,6,.,8,,Y,Y,,,,,,,,,,,,,,,,,
2021,4073,City of Columbus - (WI),,WI,MISO,3,29,3,0,35,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,4110,Commonwealth Edison Co,,IL,PJM,"361,089","9,500",146,0,"370,735",Y,,,,Y,Y,Y,,,,,,,,,,Y,,,
2021,4147,Town of Concord - (MA),Y,MA,ISNE,46,.,.,.,46,,,,,,,,,,,,,,,,,,,,
2021,4176,Connecticut Light & Power Co,,CT,ISNE,515,"2,303",612,2,"3,432",Y,Y,Y,Y,,,,,Y,,,,,,,,,,,
2021,4254,Consumers Energy Co,,MI,MISO,"67,404",636,509,.,"68,549",Y,Y,Y,,,,,,,,,,Y,,Y,,Y,,,
2021,4294,City of Cookeville - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2021,4295,Comanche County Elec Coop Assn,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2021,4327,Coosa Valley Electric Coop Inc,,AL,SOCO,0,0,2,0,2,Y,,Y,,,,,,,,,,,,,,,,,
2021,4362,Corn Belt Energy Corporation,,IL,MISO,70,3,.,.,73,Y,Y,,,,,,,,,,,,,,,,,,
2021,4430,"Covington Electric Coop, Inc",,AL,SOCO,.,5,.,.,5,,Y,,,,,,,,,,,,,,,,,,
2021,4432,Coweta-Fayette El Member Corp,,GA,SOCO,34,3,.,.,37,Y,Y,,,,,,,,,,,,,,,,,,
2021,4433,City of Covington - (GA),,GA,SOCO,.,2,.,.,2,,Y,,,,,,,,,,,,,,,,,,
2021,4437,City of Covington - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2021,4471,Craig-Botetourt Electric Coop,Y,VA,PJM,2,.,.,.,2,,,,,,,,,,,,,,,,,,,,
2021,4538,Crisp County Power Comm,,GA,SOCO,15,.,2,.,17,Y,,,,,,Y,,,,,,,,,,,,,
2021,4577,Crow Wing Cooperative Power & Light Comp,,MN,MISO,1,3,.,.,4,Y,Y,,,,,,,,,,,,,,,,,,
2021,4604,City of Crystal Falls,,MI,MISO,"1,313",244,0,0,"1,557",Y,Y,,,,,,,,,,,,,,,,,,
2021,4607,City of Cuba City,,WI,MISO,0,4,0,0,4,,Y,,,,,,,,,,,,,,,,,,
2021,4618,"Cullman Electric Coop, Inc",,AL,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2021,4622,"Cumberland Valley Electric, Inc.",,KY,PJM,8,.,.,.,8,Y,,,,,,,,,,,,,,,,,,,
2021,4624,Cumberland Elec Member Corp,,TN,TVA,0,0,12,0,12,,,Y,,,,Y,,,,,,,,,,,,,
2021,4675,Cuivre River Electric Coop Inc,,MO,AECI,.,24,.,.,24,,,,,,,,,,,,,,Y,,,,,,
2021,4704,"DS&O Electric Cooperative, Inc.",Y,KS,SWPP,"7,175",131,4,.,"7,310",,,,,,,,,,,,,,,,,,,,
2021,4848,Daviess Martin County R E M C,,IN,MISO,30,.,.,.,30,Y,,,,,,,,,,,,,,,,,,,
2021,4920,City of Dayton - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,4958,Decatur Utilities,,AL,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2021,4960,Decatur County Rural E M C,,IN,MISO,1,.,.,.,1,Y,,,,,,,,,,,,,,,,,,,
2021,5027,Delmarva Power,,DE,PJM,"212,623","15,062",0,0,"227,685",,,,,,,,,,,,,,,,,Y,Y,,
2021,5027,Delmarva Power,,MD,PJM,"147,940",0,0,0,"147,940",,,,,,,,,,,,,,,,,Y,,,
2021,5063,City of Denton - (TX),,TX,ERCO,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2021,5070,Delaware Electric Cooperative,,DE,PJM,.,"1,174",.,.,"1,174",,Y,,,,,,,,,,,,Y,,,,,,
2021,5078,"Denton County Elec Coop, Inc",,TX,ERCO,"1,461",168,66,.,"1,695",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5086,Delta Montrose Electric Assn,,CO,WACM,"1,751",38,.,.,"1,789",Y,Y,,,,,,,,,,,,,,,,,,
2021,5109,DTE Electric Company,,MI,MISO,"21,840",9,.,.,"21,849",Y,Y,Y,,,,,,,,,,Y,Y,,,,,,
2021,5111,City of Detroit Lakes - (MN),Y,MN,MISO,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2021,5148,City of Dickson,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,5325,City of Douglas,,GA,SOCO,.,2,.,.,2,,Y,,,,,,,,,,,,,,,,,,
2021,5327,Douglas Electric Coop - (OR),Y,OR,BPAT,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2021,5399,Duck River Elec Member Corp,,TN,TVA,3,1,4,0,8,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5416,"Duke Energy Carolinas, LLC",,NC,DUK,"2,442","16,045","1,019",.,"19,506",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2021,5416,"Duke Energy Carolinas, LLC",,SC,DUK,317,"4,962",435,.,"5,714",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2021,5438,"Duncan Valley Elec Coop, Inc",Y,AZ,WALC,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2021,5487,Duquesne Light Co,,PA,PJM,153,125,30,.,308,Y,Y,,,,Y,Y,,,,,,,,,,,,,
2021,5509,City of Dyersburg,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,5551,City of Eagle River - (WI),,WI,MISO,1,19,0,0,20,Y,Y,,,,,,,,,,,,,,,,,,
2021,5578,East Mississippi Elec Pwr Assn,,MS,TVA,0,70,0,0,70,,Y,,,,,,,,,,,,,,,,,,
2021,5605,Eastern Iowa Light & Power Coop,,IA,MISO,"21,226","2,602",16,.,"23,844",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5632,Eau Claire Electric Coop,Y,WI,MISO,6,12,8,.,26,,,,,,,,,,,,,,,,,,,,
2021,5661,City of Edmond - (OK),,OK,SWPP,.,17,.,.,17,,Y,,,,,,,,,,,,,,,,,,
2021,5701,El Paso Electric Co,,NM,EPE,42,86,9,0,137,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5701,El Paso Electric Co,,TX,EPE,106,736,36,0,878,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5773,City of Elk River,,MN,MISO,22,4,0,0,26,Y,Y,,,,,,,,,,,,,,,,,,
2021,5860,Empire District Electric Co,,MO,SWPP,.,.,3,.,3,,,Y,,,,,,,,,,,,,,,,Y,
2021,5862,"Empire Electric Assn, Inc",,CO,WACM,"11,705","2,784",92,.,"14,581",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5862,"Empire Electric Assn, Inc",,UT,WACM,882,337,4,.,"1,223",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,5961,Town of Erwin - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,5964,"Escambia River Elec Coop, Inc",Y,FL,SOCO,12,.,.,.,12,,,,,,,,,,,,,,,,,,,,
2021,5997,Town of Estes Park,Y,CO,PSCO,302,31,.,.,333,,,,,,,,,,,,,,,,,,,,
2021,6008,City of Etowah,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2021,6043,City of Evansville,,WI,MISO,78,21,1,0,100,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,6112,"Farmers Electric Coop, Inc - (IA)",Y,IA,MISO,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2021,6182,"Farmers Electric Coop, Inc - (TX)",,TX,ERCO,.,.,6,.,6,,,,,,,Y,,,,,,,,,,,,,
2021,6234,City of Fayetteville,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2021,6235,Fayetteville Public Works Commission,,NC,CPLE,"74,291","9,303",32,0,"83,626",Y,Y,Y,,,,,,,,,,,Y,Y,,,,,
2021,6374,Fitchburg Gas & Elec Light Co,,MA,ISNE,.,.,30,.,30,,,Y,,,,,,,,,,,,,,,,,
2021,6395,Flathead Electric Coop Inc,,MT,BPAT,"58,462",0,96,.,"58,558",Y,,Y,,,,,,,,,,,,,,,,,
2021,6411,Flint Electric Membership Corp,,GA,SOCO,20,262,0,0,282,Y,Y,,,,Y,,,,,,,,Y,,,,,,
2021,6422,City of Florence - (AL),,AL,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2021,6424,Florence Utility Comm,,WI,MISO,0,4,0,0,4,,Y,,,,,,,,,,,,,,,,,,
2021,6431,"Flint Hills Rural E C A, Inc",Y,KS,SWPP,723,26,16,0,765,,,,,,,,,,,,,,,,,,,,
2021,6455,"Duke Energy Florida, LLC",,FL,FPC,36,"16,589",478,.,"17,103",Y,Y,Y,,,,,,,,,,,,,,,,,
2021,6457,Florida Public Utilities Co,,FL,JEA,3,0,0,0,3,Y,,,,,,,,,,,,,,,,,,,
2021,6604,City of Fort Collins - (CO),,CO,PSCO,"68,775",.,.,.,"68,775",Y,,,,,,,,,,,,,,,,,,,
2021,6608,Fort Loudoun Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2021,6638,City of Fountain,,CO,PSCO,.,41,.,.,41,,Y,,,,,,,,,,,,,,,,,,
2021,6640,Four County Elec Member Corp,,NC,CPLE,12,.,.,.,12,Y,,,,,,,,,,,,,,,,,,,
2021,6641,4-County Electric Power Assn,,MS,TVA,0,989,5,0,994,,Y,Y,,,,,,,,,,,,,,,,,
2021,6709,Easley Combined Utility System,,SC,DUK,54,4,1,.,59,Y,Y,Y,,,,,,,,,,,,,,,,,
2021,6717,Franklin Electric Coop - (AL),,AL,TVA,0,1,3,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2021,6718,City of Franklin - (KY),,KY,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2021,6782,Freeborn Mower Electric Cooperative,,MN,MISO,3,37,9,0,49,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2021,6909,Gainesville Regional Utilities,,FL,GVL,.,21,.,.,21,,Y,,,,,,,,,,,,,,,,,,
2021,6923,City of Gallatin - (TN),,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2021,6930,City of Gallup - (NM),Y,NM,PNM,.,1,1,.,2,,,,,,,,,,,,,,,,,,,,
2021,6957,"Garkane Energy Coop, Inc",,AZ,WALC,21,2,.,.,23,Y,Y,,,,,,,,,,,,,,,,,,
2021,6957,"Garkane Energy Coop, Inc",,UT,WACM,455,17,.,.,472,Y,Y,,,,,,,,,,,,,,,,,,
2021,7027,City of Gastonia - (NC),,NC,DUK,.,48,13,.,61,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2021,7096,City of Geneva- (IL),,IL,PJM,.,.,5,.,5,,,Y,,,,,,,,,,,,,,,,,
2021,7140,Georgia Power Co,,GA,SOCO,"40,712","13,706","1,701",1,"56,120",Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,
