,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
63,2017,56286.0,"Frontier Utilities, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,668.1,8046,3406,0,0,0,0,0,0,0,0,0,668.1,8046,3406
64,2017,56379.0,"MC Squared Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,17559,260750,23932,40804,596770,3803,4762,76332,81,0,0,0,63125,933852,27816
65,2017,56504.0,Major Energy Electric Services,B,Energy,O,IL,Retail Power Marketer,PJM,1315,13215,1957,728,7074,1195,0,0,0,0,0,0,2043,20289,3152
66,2017,56697.0,Ameren Illinois Company,A,Bundled,O,IL,Investor Owned,MISO,472386.6,4540928,433310,251999.7,2854128,64162,33994.1,698728,317,0,0,0,758380.4,8093784,497789
67,2017,56697.0,Ameren Illinois Company,C,Delivery,O,IL,Investor Owned,MISO,397728.8,6444531,625990,310258.4,10024873,96671,78781.3,10660040,674,481,18238,1,787249.5,27147682,723336
68,2017,56775.0,Entrust Energy,B,Energy,O,IL,Retail Power Marketer,PJM,883.1,10735,1221,3826.1,58838,504,0,0,0,0,0,0,4709.2,69573,1725
69,2017,57037.0,Reliant Energy Northeast LLC,B,Energy,O,IL,Retail Power Marketer,PJM,41393.9,445458,59700,1005.6,9540,204,1390.6,32644,2,0,0,0,43790.1,487642,59906
70,2017,57067.0,"ENGIE Retail, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,3741.9,48481,9510,994.7,14225,211,.,.,.,.,.,.,4736.6,62706,9721
71,2017,57307.0,"Plymouth Rock Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,765.9,8349,1701,4636.3,83042,761,0,0,0,0,0,0,5402.2,91391,2462
72,2017,57428.0,Source Power & Gas LLC,B,Energy,O,IL,Retail Power Marketer,PJM,11.5,169,17,19671,360673,82,0,0,0,0,0,0,19682.5,360842,99
73,2017,57488.0,"XOOM Energy Illinois, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,15371.2,174444,23531,9907.2,117753,3891,0,0,0,0,0,0,25278.4,292197,27422
74,2017,58119.0,Public Power LLC (CT),B,Energy,O,IL,Retail Power Marketer,PJM,3493.8,32528,4297,14306.9,218290,1528,0,0,0,0,0,0,17800.7,250818,5825
75,2017,58162.0,Viridian Energy PA LLC,B,Energy,O,IL,Retail Power Marketer,PJM,9764.7,105513,12930,4627.2,55853,1808,0,0,0,0,0,0,14391.9,161366,14738
76,2017,58314.0,"Palmco Power IL, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,4798,48809,10509,3.8,36,9,0,0,0,0,0,0,4801.8,48845,10518
77,2017,58667.0,"North American Power and Gas, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,5363.2,41066,5251,257.8,1889,119,0,0,0,0,0,0,5621,42955,5370
78,2017,58683.0,Everyday Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,1005.4,11992,1400,0,0,0,0,0,0,0,0,0,1005.4,11992,1400
79,2017,58806.0,"Mint Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,3086.3,51958,49,0,0,0,0,0,0,3086.3,51958,49
80,2017,58951.0,"CleanChoice Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,9144.5,80631,15044,91.5,760,108,0,0,0,0,0,0,9236,81391,15152
81,2017,58952.0,Sperian Energy Corp,B,Energy,O,IL,Retail Power Marketer,PJM,7267.3,77570,9829,480.6,5391,290,0,0,0,0,0,0,7747.9,82961,10119
82,2017,58953.0,"Star Energy Partners, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,11812.1,129002,17839,0,0,0,0,0,0,0,0,0,11812.1,129002,17839
83,2017,58956.0,"SmartEnergy Holdings, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,7719,100342,17395,0,0,0,0,0,0,0,0,0,7719,100342,17395
84,2017,58957.0,"Interstate Gas Supply, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,25754,303208,37659,14473,217683,1432,0,0,0,0,0,0,40227,520891,39091
85,2017,58965.0,Energy.Me Midwest LLC,B,Energy,O,IL,Retail Power Marketer,PJM,2338,32681,2966,36488,580554,3579,0,0,0,0,0,0,38826,613235,6545
86,2017,58965.0,Energy.Me Midwest LLC,B,Energy,O,IL,Retail Power Marketer,MISO,75,1295,58,13827,259183,2185,0,0,0,0,0,0,13902,260478,2243
87,2017,58972.0,"Realgy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,13183,230384,23476,7002,142538,2635,0,0,0,0,0,0,20185,372922,26111
88,2017,58974.0,Clearview Electric Inc.,B,Energy,O,IL,Retail Power Marketer,MISO,15343,181289,25513,0,0,0,0,0,0,0,0,0,15343,181289,25513
89,2017,59054.0,"Eligo Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,18105.3,244797,30421,2649.9,44349,618,0,0,0,0,0,0,20755.2,289146,31039
90,2017,59088.0,"Nordic Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,10977.4,157126,20547,21282,328903,4079,0,0,0,0,0,0,32259.4,486029,24626
91,2017,59088.0,"Nordic Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,6030.3,91919,9350,8920.6,155236,2230,0,0,0,0,0,0,14950.9,247155,11580
92,2017,59310.0,"Inspire Energy Holdings, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,136.8,1530,777,0,0,0,0,0,0,0,0,0,136.8,1530,777
93,2017,59385.0,"Dynegy Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,147820,2263490,257753,231158.3,3396609,2012,18831.3,296885,23,28797.2,595355,2,426606.8,6552339,259790
94,2017,59472.0,Agera Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,30,443,28,34639,528095,2063,0,0,0,0,0,0,34669,528538,2091
95,2017,59472.0,Agera Energy LLC,B,Energy,O,IL,Retail Power Marketer,MISO,69,1261,62,15375,218904,3322,0,0,0,0,0,0,15444,220165,3384
96,2017,59619.0,"EDF Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,0,0,0,145065.8,3925900,20,0,0,0,145065.8,3925900,20
97,2017,59620.0,Verde Energy USA,B,Energy,O,IL,Retail Power Marketer,PJM,8487.2,91657,13116,0,0,0,0,0,0,0,0,0,8487.2,91657,13116
98,2017,59795.0,"Starion Energy PA, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,12401.4,133655,21358,273,2918,183,0,0,0,0,0,0,12674.4,136573,21541
99,2017,59797.0,Park Power LLC,B,Energy,O,IL,Retail Power Marketer,PJM,115.8,1780,235,0,0,0,0,0,0,0,0,0,115.8,1780,235
100,2017,59799.0,American Power & Gas,B,Energy,O,IL,Retail Power Marketer,PJM,941.7,9729,1595,2151.5,24059,970,0,0,0,0,0,0,3093.2,33788,2565
101,2017,59808.0,MP2 Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0,5118.7,138774,131,13677.5,420566,69,0,0,0,18796.2,559340,200
102,2017,59809.0,"Residents Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,8887.4,100509,11831,5,59,4,0,0,0,0,0,0,8892.4,100568,11835
103,2017,59811.0,Santanna Energy Services,B,Energy,O,IL,Retail Power Marketer,PJM,11246.6,156878,17135,2714.3,37888,522,0,0,0,0,0,0,13960.9,194766,17657
104,2017,59813.0,"Oasis Power, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,3096.6,32189,4601,1001.4,13010,250,0,0,0,0,0,0,4098,45199,4851
105,2017,59815.0,"HIKO Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,697.8,6796,997,0.5,5,1,0,0,0,0,0,0,698.3,6801,998
