,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,"Shelby County, Hendricks",successful automatic,,,
2022,3,03/01/2022 1:43 PM,03/01/2022 1:47 PM,,"0 Hours, 4 Minutes",Duke Energy Midwest,RF,County;,reclosing).-System Operations,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,Exelon Corporation / Commonwealth Edison,,,successful automatic,,,
2022,3,03/05/2022 10:58 PM,03/06/2022 7:38 PM,"20 Hours, 40 Minutes",,Company (ComEd) NCR08013,SERC/RF,Illinois: DuPage County;,reclosing).-System Operations,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
2022,3,03/08/2022 1:50 PM,03/08/2022 2:39 PM,,"0 Hours, 49 Minutes",Southern Company,TRE,Georgia: Terrell County;,reclosing).-System Operations,,48,5855
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,Nebraska: Scotts Bluff,reclosing).-Transmission,,,
2022,3,03/10/2022 8:51 AM,03/10/2022 3:15 PM,,"6 Hours, 24 Minutes",Western Area Power Administration,MRO,County;,,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Alabama: Georgia: Mississippi:,"than 50,000 customers for 1",,,
2022,3,03/12/2022 8:33 AM,.,.,". Hours, . Minutes",Southern Company,SERC,Florida:,hour or more-Severe Weather,139,,19380
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2022,3,03/18/2022 4:32 PM,.,.,". Hours, . Minutes",Florida Power & Light,SERC,Florida: Palm Beach County;,,Interruption,78,20423
,,,,,,,,"Texas: Anderson County, Bell",,,,
,,,,,,,,"County, Bosque County,",,,,
,,,,,,,,"Comanche County, Coryell",,,,
,,,,,,,,"County, Falls County,",,,,
,,,,,,,,"Freestone County, Hamilton",,,,
,,,,,,,,"County, Henderson County,",,,,
,,,,,,,,"Hill County, Lampasas",,,,
,,,,,,,,"County, Leon County,",,,,
,,,,,,,,"Limestone County, McLennan",,,,
,,,,,,,,"County, Milam County, Mills",,,,
,,,,,,,,"County, Robertson County,",,,,
,,,,,,,,"Collin County, Cooke County,",,,,
,,,,,,,,"Dallas County, Denton",,,,
,,,,,,,,"County, Ellis County, Erath",Loss of electric service to more,,,
,,,,,,,,"County, Fannin County,","than 50,000 customers for 1",,,
2022,3,03/21/2022 7:00 PM,03/24/2022 12:00 AM,,"53 Hours, 0 Minutes",Oncor Electric Delivery Company LLC,TRE,"Grayson County, Hood C",hour or more-Severe Weather,Unknown,,170000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
