,Data Year,Utility Number,Utility Name,Short Form,State,County
104,2020,5585,Eastern Illinois Elec Coop,,IL,Moultrie
105,2020,5585,Eastern Illinois Elec Coop,,IL,Piatt
106,2020,5585,Eastern Illinois Elec Coop,,IL,Vermilion
107,2020,5748,Electric Energy Inc,,IL,Massac
108,2020,6141,City of Fairfield- (IL),Y,IL,Wayne
109,2020,6192,City of Farmer City - (IL),Y,IL,DeWitt
110,2020,6417,City of Flora - (IL),Y,IL,Clay
111,2020,6764,Village of Freeburg - (IL),Y,IL,St Clair
112,2020,7095,City of Geneseo - (IL),Y,IL,Henry
113,2020,7096,City of Geneva- (IL),,IL,Kane
114,2020,7633,Village of Greenup - (IL),Y,IL,Cumberland
115,2020,8573,City of Highland,Y,IL,Bond
116,2020,8573,City of Highland,Y,IL,Clinton
117,2020,8573,City of Highland,Y,IL,Madison
118,2020,8573,City of Highland,Y,IL,St Clair
119,2020,8824,M J M Electric Cooperative Inc,Y,IL,Bond
120,2020,8824,M J M Electric Cooperative Inc,Y,IL,Fayette
121,2020,8824,M J M Electric Cooperative Inc,Y,IL,Greene
122,2020,8824,M J M Electric Cooperative Inc,Y,IL,Jersey
123,2020,8824,M J M Electric Cooperative Inc,Y,IL,Macoupin
124,2020,8824,M J M Electric Cooperative Inc,Y,IL,Madison
125,2020,8824,M J M Electric Cooperative Inc,Y,IL,Montgomery
126,2020,9209,Illinois Rural Electric Coop,Y,IL,Adams
127,2020,9209,Illinois Rural Electric Coop,Y,IL,Brown
128,2020,9209,Illinois Rural Electric Coop,Y,IL,Calhoun
129,2020,9209,Illinois Rural Electric Coop,Y,IL,Cass
130,2020,9209,Illinois Rural Electric Coop,Y,IL,Greene
131,2020,9209,Illinois Rural Electric Coop,Y,IL,Jersey
132,2020,9209,Illinois Rural Electric Coop,Y,IL,Macoupin
133,2020,9209,Illinois Rural Electric Coop,Y,IL,Morgan
134,2020,9209,Illinois Rural Electric Coop,Y,IL,Pike
135,2020,9209,Illinois Rural Electric Coop,Y,IL,Scott
136,2020,9750,"Jo-Carroll Energy, Inc",,IL,Carroll
137,2020,9750,"Jo-Carroll Energy, Inc",,IL,Henry
138,2020,9750,"Jo-Carroll Energy, Inc",,IL,Jo Daviess
139,2020,9750,"Jo-Carroll Energy, Inc",,IL,Whiteside
140,2020,11736,City of Marshall - (IL),Y,IL,Clark
