Utility Characteristics,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,
,,,,,All Events (With Major Event Days),,,Without Major Event Days,,,Loss of Supply Removed (With Major Event Days),,,.,,,All Events (With Major Event Days),,,Without Major Event Days,,,.,,,,
Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2021,21244,"Southside Electric Coop, Inc",VA,Cooperative,"5,851.140",3.860,"1,515.839",288.220,2.490,115.751,"5,807.740",3.300,"1,759.921","57,950",25.0,Y,.,.,.,.,.,.,.,,,.,
2021,21513,"Fergus Electric Coop, Inc",MT,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,435.200,.,.,304.100,.,.,"6,687",N,L,7.2,N
2021,21538,"Mohave Electric Cooperative, I",AZ,Cooperative,117.300,.,.,99.000,.,.,99.000,.,.,"42,953",25.0,N,.,.,.,.,.,.,.,,,.,
2021,21567,"Washington-St Tammany E C, Inc",LA,Cooperative,"7,545.840",5.787,"1,303.930",612.950,3.577,171.359,"7,185.380",3.406,"2,109.624","54,701",13.2,Y,.,.,.,.,.,.,.,,,.,
2021,21632,EnergyUnited Elec Member Corp,NC,Cooperative,126.300,1.038,121.676,84.240,0.901,93.496,104.460,0.911,114.665,"132,247",15.0,Y,.,.,.,.,.,.,.,,,.,
2021,22053,Kentucky Power Co,KY,Investor Owned,"2,842.100",2.648,"1,073.301",405.200,1.859,217.967,"2,799.100",2.522,"1,109.873","164,021",35.0,Y,.,.,.,.,.,.,.,,,.,
2021,22500,"Evergy Kansas Central, Inc",KS,Investor Owned,349.870,1.684,207.761,100.740,1.025,98.283,327.730,1.456,225.089,"332,977",34.0,Y,.,.,.,.,.,.,.,,,.,
2021,22815,Delta Electric Power Assn,MS,Cooperative,"3,877.760",4.930,786.564,457.710,4.190,109.239,"3,872.160",4.650,832.723,"28,615",24.9,N,.,.,.,.,.,.,.,,,.,
2021,22822,Clark County Rural E M C - (IN),IN,Cooperative,101.310,1.125,90.053,83.290,1.067,78.060,93.600,0.831,112.635,"26,089",15.0,Y,.,.,.,.,.,.,.,,,.,
2021,24211,Tucson Electric Power Co,AZ,Investor Owned,102.070,0.910,112.165,.,.,.,73.820,0.770,95.870,"444,582",14.0,Y,.,.,.,.,.,.,.,,,.,
2021,24590,Unitil Energy Systems,NH,Investor Owned,140.930,1.326,106.282,102.750,1.041,98.703,140.930,1.326,106.282,"78,935",34.5,Y,.,.,.,.,.,.,.,,,.,
2021,24753,Boone County Rural EMC,IN,Cooperative,103.200,1.307,78.959,103.200,1.307,78.959,103.169,1.276,80.853,"15,910",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,24889,Brunswick Electric Member Corp,NC,Cooperative,163.337,1.381,118.274,31.533,0.704,44.791,154.002,1.217,126.542,"99,853",.,Y,.,.,.,.,.,.,.,,,.,
2021,24949,Cass County Elec Coop Inc,ND,Cooperative,47.060,0.541,86.987,24.280,0.390,62.256,44.260,0.456,97.061,"53,651",23.9,Y,.,.,.,.,.,.,.,,,.,
2021,25177,Dakota Electric Association,MN,Cooperative,57.700,0.680,84.853,21.000,0.330,63.636,55.100,0.490,112.449,"111,103",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,25295,Western Indiana Energy REMC,IN,Cooperative,353.507,2.454,144.053,229.914,2.051,112.098,330.594,1.724,191.760,"16,951",24.9,Y,.,.,.,.,.,.,.,,,.,
2021,26510,Liberty Utilities (Granite State Electri,NH,Investor Owned,165.280,1.040,158.923,108.730,0.855,127.170,154.130,0.906,170.121,"45,468",23.0,Y,.,.,.,.,.,.,.,,,.,
2021,27222,City of Ripley - (TN),TN,Municipal,214.627,1.469,146.104,129.383,1.227,105.447,50.517,0.551,91.682,"6,452",13.2,Y,.,.,.,.,.,.,.,,,.,
2021,27238,"Southwest Electric Coop, Inc",MO,Cooperative,140.000,1.000,140.000,100.000,1.000,100.000,.,.,.,"42,038",7.2,Y,.,.,.,.,.,.,.,,,.,
2021,27599,Carroll-White REMC,IN,Cooperative,"1,125.000",.,.,319.000,.,.,"1,036.000",.,.,"14,908",.,Y,.,.,.,.,.,.,.,,,.,
2021,28541,Clatskanie Peoples Util Dist,OR,Political Subdivision,653.908,4.845,134.966,234.988,2.641,88.977,287.695,1.347,213.582,"4,719",13.8,Y,.,.,.,.,.,.,.,,,.,
2021,28604,Kerrville Public Utility Board,TX,Municipal,"2,076.013",7.123,291.452,27.539,0.672,40.981,"2,076.013",7.123,291.452,"23,614",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,28978,City of San Marcos - (TX),TX,Municipal,269.454,2.244,120.078,.,.,.,.,.,.,"25,482",.,N,.,.,.,.,.,.,.,,,.,
2021,30518,Electrical Dist No3 Pinal County,AZ,Political Subdivision,127.210,1.390,91.518,47.850,0.860,55.640,127.210,1.390,91.518,"29,200",69.0,Y,.,.,.,.,.,.,.,,,.,
2021,31833,Okefenoke Rural El Member Corp,FL,Cooperative,163.447,2.267,72.098,163.447,2.267,72.098,163.447,2.267,72.098,"11,062",25.0,Y,.,.,.,.,.,.,.,,,.,
2021,31833,Okefenoke Rural El Member Corp,GA,Cooperative,190.817,2.460,77.568,190.817,2.460,77.568,185.568,2.335,79.472,"27,230",25.0,Y,.,.,.,.,.,.,.,,,.,
2021,38084,Great Lakes Energy Coop,MI,Cooperative,"1,221.424",3.250,375.823,204.838,1.705,120.140,"1,198.260",2.950,406.190,"128,693",25.0,N,.,.,.,.,.,.,.,,,.,
