Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2021,59129,CSD 2- Freedom High,59622,"Ahana Renewables, LLC",CA,CISO,0.0,0,0,360.0,"1,347",1,0.0,0,0,0.0,0,0,360.0,"1,347",1
2021,56813,CSU Fresno Solar Project,56028,MMA Fresno Power LP,CA,CISO,0.0,0,0,210.0,"1,059",1,0.0,0,0,0.0,0,0,210.0,"1,059",1
2021,62028,CSU Long Beach Lots 7 & 14,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,982.0,"7,288",1,0.0,0,0,0.0,0,0,982.0,"7,288",1
2021,58481,CSU Pueblo,58467,"SSA Solar of CO 1, LLC",CO,WACM,0.0,0,0,263.0,"2,106",1,0.0,0,0,0.0,0,0,263.0,"2,106",1
2021,60979,CSUF Nutwood Solar,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,432.0,"3,373",1,0.0,0,0,0.0,0,0,432.0,"3,373",1
2021,60978,CSUF State College,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,217.0,"1,696",1,0.0,0,0,0.0,0,0,217.0,"1,696",1
2021,58386,CU Solar Plant,58373,CU Solar LLC,OH,PJM,0.0,0,0,353.0,"2,421",1,0.0,0,0,0.0,0,0,353.0,"2,421",1
2021,59283,California PV Energy at ISD WWTP,58540,California PV Energy LLC,CA,CISO,0.0,0,0,0.0,0,0,176.0,"1,298",1,0.0,0,0,176.0,"1,298",1
2021,55308,Calvert City,57295,DTE Calvert City LLC,KY,TVA,0.0,0,0,0.0,0,0,"7,800.0","128,540",3,0.0,0,0,"7,800.0","128,540",3
2021,61604,Camden CSD Solar Array,60571,"AEP Onsite Partners, LLC",NY,NYIS,0.0,0,0,257.0,"2,593",1,0.0,0,0,0.0,0,0,257.0,"2,593",1
2021,60685,Canyon Del Oro High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0.0,0,0,265.0,"2,620",1,0.0,0,0,0.0,0,0,265.0,"2,620",1
2021,63016,Carolina Lily Solar,62872,"Carolina Lily Solar, LLC",NC,DUK,0.0,0,0,474.0,"6,796",1,0.0,0,0,0.0,0,0,474.0,"6,796",1
2021,59297,Carrier Clinic,59100,"Sunlight General Solar Fund II, LLC",NJ,PJM,0.0,0,0,168.0,"1,826",1,0.0,0,0,0.0,0,0,168.0,"1,826",1
2021,63385,Castaic Lake Phase II,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,185.0,"1,606",1,0.0,0,0,0.0,0,0,185.0,"1,606",1
2021,60353,Cecil County CCVT HS,60150,"SunE DB42, LLC",MD,PJM,0.0,0,0,241.0,"2,742",1,0.0,0,0,0.0,0,0,241.0,"2,742",1
2021,65623,Cedar Creek,63466,Conductive Power,NJ,PJM,0.0,0,0,165.0,"1,179",1,0.0,0,0,0.0,0,0,165.0,"1,179",1
2021,59630,CentraState Medical Center PV Facility,62060,CleanCapital,NJ,PJM,0.0,0,0,501.0,"7,183",1,0.0,0,0,0.0,0,0,501.0,"7,183",1
2021,63439,Central CA Fuel Cell 1,61939,"Clearway Energy, Inc",CA,CISO,0.0,0,0,"1,616.0","20,682",1,0.0,0,0,0.0,0,0,"1,616.0","20,682",1
2021,58151,Central Utility Plant - Texas A&M,58113,"Texas A&M, Utilities & Energy Services",TX,ERCO,0.0,0,0,"3,307.0","43,772",28,897.0,"11,501",28,0.0,0,0,"4,204.0","55,273",56
2021,65233,Chambers 3 - Erie County Alden,61944,MN8 Energy LLC,NY,NYIS,0.0,0,0,261.0,"2,894",1,0.0,0,0,0.0,0,0,261.0,"2,894",1
2021,65232,Chambers 3 - Lewis County,61944,MN8 Energy LLC,NY,NYIS,0.0,0,0,203.0,"2,581",1,0.0,0,0,0.0,0,0,203.0,"2,581",1
2021,65255,Chambers 4 - Eastvale DCA2,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,257.0,"1,813",1,0.0,0,0,0.0,0,0,257.0,"1,813",1
2021,65238,Chambers 4 - Eastvale LGB3,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,379.0,"2,913",1,0.0,0,0,0.0,0,0,379.0,"2,913",1
2021,65251,Chambers 4 - Redland LGB4,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,306.0,"2,406",1,0.0,0,0,0.0,0,0,306.0,"2,406",1
2021,65253,Chambers 4 - Rialto LGB8,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,362.0,"2,814",1,0.0,0,0,0.0,0,0,362.0,"2,814",1
2021,65252,Chambers 4 - Riverside LGB6 ,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,364.0,"2,913",1,0.0,0,0,0.0,0,0,364.0,"2,913",1
2021,65254,Chambers 4 - Sacramento SMF1,61944,MN8 Energy LLC,CA,BANC,0.0,0,0,334.0,"2,912",1,0.0,0,0,0.0,0,0,334.0,"2,912",1
2021,65256,Chambers 4 - San Bernardino SNA7,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,323.0,"2,453",1,0.0,0,0,0.0,0,0,323.0,"2,453",1
2021,10566,Chambers Cogeneration LP,14932,US Operating Services Company,NJ,PJM,0.0,0,0,0.0,0,0,"5,825.0","54,655",1,0.0,0,0,"5,825.0","54,655",1
2021,55187,Channelview Cogeneration Plant,56380,EIF Channelview Cogeneration LLC,TX,ERCO,0.0,0,0,0.0,0,0,"124,604.0","2,166,856",1,0.0,0,0,"124,604.0","2,166,856",1
2021,63967,Charter Durabar at Woodstock,63511,"Constellation Solar Illinois 2, LLC",IL,PJM,0.0,0,0,99.0,"3,976",1,0.0,0,0,0.0,0,0,99.0,"3,976",1
2021,60465,Chesapeake College,60947,Tesla Inc.,MD,PJM,0.0,0,0,118.0,"2,508",1,0.0,0,0,0.0,0,0,118.0,"2,508",1
2021,59755,Chester Power Partners,60281,"Altus Power America Management, LLC",VT,ISNE,0.0,0,0,209.0,"2,481",1,0.0,0,0,0.0,0,0,209.0,"2,481",1
2021,63545,Chevron - Lost Hills Hybrid,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,"5,014.0","75,023",1,0.0,0,0,0.0,0,0,"5,014.0","75,023",1
2021,59743,Chimes West Friendship (Nixon Farms),59540,"SunE SEM 1, LLC",MD,PJM,0.0,0,0,179.0,"1,578",1,0.0,0,0,0.0,0,0,179.0,"1,578",1
2021,57011,Chuckawalla Valley State Prison,56302,SunE CPA CDC1 LLC,CA,CISO,0.0,0,0,190.0,"1,479",1,0.0,0,0,0.0,0,0,190.0,"1,479",1
2021,57645,City & County of Denver at Denver Int'l,56974,"Denver Airport Solar, LLC",CO,PSCO,0.0,0,0,0.0,0,0,248.0,"5,260",1,0.0,0,0,248.0,"5,260",1
