Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
2021,1009,City of Austin - (MN),MN,MISO,"6,802",2,.,.,"6,804",148,1,.,.,149,3.9,0.4,.,.,4.3,3.9,0.3,.,.,4.2,0,18,.,.,18,0,0,.,.,0,.
2021,1015,Austin Energy,TX,ERCO,"81,591","4,393","1,464",.,"87,448",621,"1,235",412,.,"2,268",92.9,5.3,1.8,.,99.9,43.8,4.3,1.4,.,49.5,"1,780",712,237,.,"2,729",606,466,155,.,"1,227","1,119"
2021,1167,Baltimore Gas & Electric Co,MD,PJM,"851,307",.,.,.,"851,307",98,.,.,.,98,341.4,.,.,.,341.4,0.0,.,.,.,0.0,"26,095",.,.,.,"26,095","10,031",.,.,.,"10,031",.
2021,1251,Barron Electric Coop,WI,MISO,"6,211",253,0,0,"6,464",0,0,0,0,0,6.7,3.9,0.0,0.0,10.7,4.6,2.6,0.0,0.0,7.2,24,1,0,0,25,85,3,0,0,88,9
2021,1529,"Beltrami Electric Coop, Inc",MN,MISO,"7,376",205,.,0,"7,581",2,61,0,0,63,220.0,6.4,0.0,0.0,226.3,28.6,0.8,0.0,0.0,29.4,61,2,0,0,63,440,13,0,0,452,0
2021,1613,Berkeley Electric Coop Inc,SC,SC,448,.,.,.,448,19,.,.,.,19,0.4,.,.,.,0.4,0.4,.,.,.,0.4,87,.,.,.,87,27,.,.,.,27,205
2021,1769,"Black Hills Electric Coop, Inc",SD,SWPP,495,20,0,0,515,4,1,0,0,5,1.1,0.2,0.0,0.0,1.3,0.6,0.2,0.0,0.0,0.8,0,0,0,0,0,5,1,0,0,6,19
2021,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,"39,416",.,.,.,"39,416",2,.,.,.,2,3.3,.,.,.,3.3,2.6,.,.,.,2.6,24,.,.,.,24,.,.,.,.,.,.
2021,2212,"Broad River Electric Coop, Inc",NC,DUK,15,.,.,.,15,.,.,.,.,.,0.0,.,.,.,0.0,0.0,.,.,.,0.0,1,.,.,.,1,.,.,.,.,.,.
2021,2678,C & L Electric Coop Corp,AR,MISO,.,29,.,.,29,.,.,.,.,.,.,0.9,.,.,0.9,.,0.5,.,.,0.5,.,10,.,.,10,.,.,.,.,.,.
2021,2985,"Capital Electric Coop, Inc",ND,SWPP,"7,557",10,24,.,"7,591",.,.,.,.,.,13.9,5.8,6.1,.,25.9,11.1,5.8,6.1,.,23.0,143,65,72,.,279,165,0,1,.,166,66
2021,3046,Duke Energy Progress - (NC),NC,CPLE,"198,051","2,755",.,.,"200,806",.,.,.,.,.,378.1,148.8,.,.,526.9,.,.,.,.,.,"5,237","1,983",.,.,"7,220","5,856",157,.,.,"6,013",.
2021,3046,Duke Energy Progress - (NC),SC,CPLE,"16,579",282,.,.,"16,861",.,.,.,.,.,32.0,100.9,.,.,132.9,.,.,.,.,.,758,287,.,.,"1,045",847,23,.,.,870,.
2021,3107,Carteret-Craven El Member Corp,NC,CPLE,"1,435",36,.,.,"1,471",820,48,.,.,868,0.0,2.0,.,.,2.1,0.0,2.0,.,.,2.1,0,65,.,.,65,0,3,.,.,3,.
2021,3205,Cedar-Knox Public Power Dist,NE,SWPP,.,.,734,.,734,.,.,.,.,.,.,.,45.1,.,45.1,.,.,23.4,.,23.4,.,.,.,.,.,.,.,122,.,122,.
2021,3222,Central Alabama Electric Coop,AL,SOCO,166,.,.,.,166,137,.,.,.,137,0.3,.,.,.,0.3,0.3,.,.,.,0.3,.,.,.,.,.,17,.,.,.,17,.
2021,3248,Central Georgia El Member Corp,GA,SOCO,"3,339",.,.,.,"3,339",188,.,.,.,188,7.0,.,.,.,7.0,4.0,.,.,.,4.0,73,.,.,.,73,133,.,.,.,133,529
2021,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"3,901",10,4,.,"3,915",17,1,3,.,21,4.3,1.1,3.1,.,8.5,4.3,1.1,3.1,.,8.5,.,.,.,.,.,.,.,.,.,.,.
2021,3278,AEP Texas Central Company,TX,ERCO,0,68,0,0,68,0,19,0,0,19,0.0,28.4,0.0,0.0,28.4,0.0,19.4,0.0,0.0,19.4,0,500,0,0,500,0,54,0,0,54,.
2021,3279,"Central Power Elec Coop, Inc",ND,SWPP,.,.,.,.,.,"2,838",561,.,.,"3,399",13.4,1.4,.,.,14.8,13.4,1.4,.,.,14.8,284,366,29,.,679,.,.,.,.,.,.
2021,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,"52,926","7,662",0,0,"60,588",0,0,0,0,0,40.3,5.9,0.0,0.0,46.1,40.3,5.9,0.0,0.0,46.1,23,0,0,0,23,6,0,0,0,6,.
2021,3503,"Choptank Electric Cooperative, Inc",MD,PJM,0,187,8,0,195,0,0,0,0,0,0.0,3.9,8.8,0.0,12.7,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,.,1,0,.,1,.
2021,3755,Cleveland Electric Illum Co,OH,PJM,0,0,4,0,4,0,0,0,0,0,0.0,0.0,189.7,0.0,189.7,0.0,0.0,189.7,0.0,189.7,0,0,"8,356",0,"8,356",0,0,0,0,0,.
2021,3757,"Clay Electric Cooperative, Inc",FL,SEC,.,7,.,.,7,.,.,.,.,.,.,18.3,.,.,18.3,.,18.3,.,.,18.3,.,200,.,.,200,.,260,.,.,260,.
2021,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,323",146,6,.,"4,475",.,.,.,.,.,3.0,8.0,3.0,.,14.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,3989,City of Colorado Springs - (CO),CO,PSCO,0,0,1,0,1,0,0,0,0,0,0.0,0.0,13.3,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0,0,"1,802",0,"1,802",0,0,0,0,0,.
2021,4065,City of Columbus - (OH),OH,PJM,.,.,11,.,11,.,.,.,.,.,.,.,16.6,.,16.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,4110,Commonwealth Edison Co,IL,PJM,"386,800","2,394",623,0,"389,817","3,249",0,0,0,"3,249",115.0,403.0,522.0,0.0,"1,040.0",115.0,0.0,0.0,0.0,115.0,"5,325",0,0,0,"5,325","4,424",19,24,0,"4,467",0
2021,4176,Connecticut Light & Power Co,CT,ISNE,"15,648",196,88,.,"15,932",.,.,.,.,.,24.1,42.2,48.6,.,115.0,15.0,25.9,35.5,.,76.3,"1,209",991,"1,466",.,"3,666","1,302",382,536,.,"2,220",.
2021,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"31,145","1,985",.,.,"33,130",274,"4,314",.,.,"4,588",24.6,338.5,.,.,363.0,19.4,269.7,.,.,289.0,762,"23,040",.,.,"23,802",731,604,.,.,"1,335",.
2021,4254,Consumers Energy Co,MI,MISO,"191,048",636,18,.,"191,702","2,182",238,69,.,"2,488",104.4,221.1,125.3,.,450.8,80.9,91.8,27.1,.,199.8,"3,143","6,752","9,523",.,"19,418","18,067","10,211",.,.,"28,278",.
2021,4362,Corn Belt Energy Corporation,IL,MISO,.,53,.,.,53,.,.,.,.,.,.,3.0,.,.,3.0,.,3.0,.,.,3.0,.,.,.,.,.,.,.,.,.,.,.
2021,4363,Corn Belt Power Coop,IA,SWPP,"5,279",.,4,.,"5,283",.,.,.,.,.,36.8,.,76.1,.,112.9,34.9,.,33.0,.,68.0,.,.,.,.,.,.,.,.,.,.,814
2021,4432,Coweta-Fayette El Member Corp,GA,SOCO,"11,641",.,.,.,"11,641",120,.,.,.,120,15.0,.,.,.,15.0,8.0,.,.,.,8.0,116,.,.,.,116,0,.,.,.,0,.
2021,4509,Craighead Electric Coop Corp,AR,MISO,.,66,1,.,67,.,23,1,.,24,.,8.0,1.2,.,9.2,.,.,.,.,.,.,.,.,.,.,.,740,31,.,771,.
2021,4538,Crisp County Power Comm,GA,SOCO,.,.,2,.,2,.,.,.,.,.,.,.,12.0,.,12.0,.,.,10.0,.,10.0,.,.,0,.,0,.,.,0,.,0,.
2021,4675,Cuivre River Electric Coop Inc,MO,AECI,425,24,.,.,449,0,0,.,.,0,1.0,8.9,.,.,9.9,1.0,5.9,.,.,6.8,21,0,.,.,21,3,0,.,.,3,.
2021,4911,Dawson Power District,NE,SWPP,.,.,"4,737",.,"4,737",.,.,.,.,.,.,.,101.4,.,101.4,.,.,93.1,.,93.1,.,.,.,.,.,.,.,100,.,100,.
2021,5027,Delmarva Power,DE,PJM,"212,623","15,062",0,0,"227,685","1,088",15,0,0,"1,103",82.4,1.1,0.0,0.0,83.5,82.4,1.1,0.0,0.0,83.5,"1,282",13,0,0,"1,295",161,0,0,0,161,.
2021,5027,Delmarva Power,MD,PJM,"147,940","2,797",0,0,"150,737","1,060",1,0,0,"1,061",91.2,5.6,0.0,0.0,96.8,91.2,5.6,0.0,0.0,96.8,"2,764",214,0,0,"2,978","2,001",135,0,0,"2,136",.
2021,5070,Delaware Electric Cooperative,DE,PJM,"27,685","1,174",.,.,"28,859",1,0,.,.,1,14.0,23.8,.,.,37.8,13.5,18.6,.,.,32.1,559,4,.,.,563,56,2,.,.,58,.
2021,5078,"Denton County Elec Coop, Inc",TX,ERCO,"11,584",.,.,.,"11,584",114,.,.,.,114,26.5,.,.,.,26.5,13.4,.,.,.,13.4,446,.,.,.,446,480,.,.,.,480,.
2021,5109,DTE Electric Company,MI,MISO,"371,000","1,788",378,.,"373,166",493,41,625,.,"1,159",242.0,32.0,494.0,.,768.0,140.0,14.0,217.0,.,371.0,526,.,341,.,867,"10,978",.,.,.,"10,978",.
2021,5202,Dixie Electric Membership Corp,LA,MISO,"10,025",.,.,.,"10,025",.,.,.,.,.,70.2,.,.,.,70.2,.,.,.,.,.,602,.,.,.,602,.,.,.,.,.,.
2021,5335,City of Dover - (DE),DE,PJM,.,2,2,.,4,.,1,4,.,5,.,1.2,3.9,.,5.1,.,.,.,.,.,.,54,45,.,99,.,.,.,.,.,0
2021,5336,City of Dover - (OH),OH,PJM,.,.,5,.,5,.,.,1,.,1,.,.,3.7,.,3.7,.,.,2.3,.,2.3,.,.,14,.,14,.,.,.,.,.,.
2021,5416,"Duke Energy Carolinas, LLC",NC,DUK,"206,893","5,384",.,.,"212,277",.,.,.,.,.,332.4,342.7,.,.,675.0,0.0,0.0,.,.,0.0,"6,941","9,670",.,.,"16,611","5,573",430,.,.,"6,003",.
2021,5416,"Duke Energy Carolinas, LLC",SC,DUK,"66,124","1,506",.,.,"67,630",.,.,.,.,.,97.0,107.0,.,.,204.0,0.0,0.0,.,.,0.0,"2,387","3,325",.,.,"5,712","1,916",148,.,.,"2,064",.
2021,5417,Dunn County Electric Coop,WI,MISO,"3,201",341,0,0,"3,542",0,0,0,0,0,1.7,21.1,0.0,0.0,22.8,0.7,8.5,0.0,0.0,9.1,385,41,0,0,426,160,17,0,0,177,16
2021,5480,Town of Danvers,MA,ISNE,57,9,.,.,66,1,2,.,.,3,0.7,2.8,.,.,3.5,0.2,0.4,.,.,0.6,6,5,.,.,11,9,3,.,.,13,.
2021,5552,"East River Elec Pwr Coop, Inc",SD,SWPP,.,.,.,.,.,.,.,.,.,.,33.0,9.0,34.0,0.0,76.0,33.0,9.0,34.0,0.0,76.0,2,1,0,0,2,534,107,27,0,668,902
2021,5580,"East Kentucky Power Coop, Inc",KY,PJM,"3,103",0,11,0,"3,114",16,0,0,0,16,5.0,0.0,"1,081.0",0.0,"1,086.0",5.0,0.0,"1,081.0",0.0,"1,086.0",714,0,"94,354",0,"95,068",887,0,0,0,887,0
2021,5701,El Paso Electric Co,NM,EPE,"2,710",2,0,0,"2,712",539,10,0,0,549,1.8,1.2,0.0,0.0,3.0,1.8,1.2,0.0,0.0,3.0,91,30,0,0,121,88,125,0,0,213,.
2021,5701,El Paso Electric Co,TX,EPE,"6,922",7,5,0,"6,934","2,640",7,6,0,"2,652",8.7,6.8,5.5,0.0,21.0,8.7,6.8,5.5,0.0,21.0,549,250,204,0,"1,003",13,9,7,0,29,.
2021,5773,City of Elk River,MN,MISO,.,8,.,.,8,.,.,.,.,.,.,19.5,.,.,19.5,.,14.7,.,.,14.7,.,.,.,.,.,.,.,.,.,.,.
2021,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,.,.,"1,558",.,"1,558",.,.,352,.,352,.,.,54.4,.,54.4,.,.,45.2,.,45.2,.,.,.,.,.,.,.,299,.,299,.
2021,5860,Empire District Electric Co,MO,SWPP,.,.,3,.,3,.,.,0,.,0,.,.,8.4,.,8.4,.,.,8.4,.,8.4,.,.,366,.,366,.,.,0,.,0,.
2021,5880,"Energy Coop of New York, Inc",NY,NYIS,.,2,.,.,2,.,.,.,.,.,.,1.9,.,.,1.9,.,1.9,.,.,1.9,.,.,.,.,.,.,.,.,.,.,.
2021,5905,Excelsior Electric Member Corp,GA,SOCO,.,.,230,.,230,.,.,121,.,121,.,.,9.7,.,9.7,.,.,2.4,.,2.4,.,.,0,.,0,.,.,47,.,47,.
2021,6181,"Farmers Electric Coop, Inc - (MO)",MO,AECI,"8,185",34,1,.,"8,220",172,0,0,.,172,0.9,0.0,.,.,0.9,0.7,0.0,.,.,0.7,.,.,.,.,.,9,0,.,.,9,0
2021,6182,"Farmers Electric Coop, Inc - (TX)",TX,ERCO,"1,237",.,.,.,"1,237",31,.,.,.,31,2.5,.,.,.,2.5,1.5,.,.,.,1.5,82,.,.,.,82,92,.,.,.,92,.
2021,6342,First Electric Coop Corp,AR,MISO,"6,025",0,545,0,"6,570",50,0,890,0,940,6.0,0.0,69.1,0.0,75.2,1.0,0.0,13.1,0.0,14.1,169,0,"4,980",.,"5,149",.,.,.,.,.,.
2021,6395,Flathead Electric Coop Inc,MT,BPAT,"2,926",.,.,.,"2,926",.,.,.,.,.,29.4,.,.,.,29.4,22.1,.,.,.,22.1,142,.,.,.,142,12,.,.,.,12,0
2021,6411,Flint Electric Membership Corp,GA,SOCO,"21,585",.,607,0,"22,192",126,.,102,.,228,20.7,.,34.0,.,54.7,1.8,.,5.5,.,7.3,328,.,133,0,461,144,.,6,.,150,.
2021,6452,Florida Power & Light Co,FL,FPL,"690,587","19,882",.,.,"710,469",741,"7,039",.,.,"7,780",.,.,.,.,.,.,.,.,.,.,"28,229","75,109",.,.,"103,338","11,266","1,230",.,.,"12,496",.
2021,6455,"Duke Energy Florida, LLC",FL,FPC,"433,784",738,.,.,"434,522",.,.,.,.,.,667.0,705.0,.,.,"1,372.0",.,.,.,.,.,"25,658","48,617",.,.,"74,274","12,953","2,011",.,.,"14,964",0
2021,6604,City of Fort Collins - (CO),CO,PSCO,"5,615",7,0,0,"5,622",.,.,.,.,.,3.0,1.0,0.0,0.0,4.0,1.8,0.3,0.0,0.0,2.1,52,.,.,.,52,597,.,.,.,597,81
2021,6709,Easley Combined Utility System,SC,DUK,654,.,.,.,654,0,.,.,.,0,0.5,.,.,.,0.5,0.5,.,.,.,0.5,26,.,.,.,26,20,.,.,.,20,.
2021,6782,Freeborn Mower Electric Cooperative,MN,MISO,"1,586",29,0,0,"1,615",0,0,0,0,0,3.4,11.7,0.0,0.0,15.0,1.4,4.9,0.0,0.0,6.3,188,3,0,0,191,82,2,0,0,84,49
2021,7004,"Buckeye Power, Inc",OH,PJM,"121,346",40,0,0,"121,386","2,022",406,0,0,"2,427",34.7,6.0,.,.,40.7,34.7,6.0,.,.,40.7,432,.,.,.,432,219,.,.,.,219,.
2021,7090,GreyStone Power Corporation,GA,SOCO,50,44,.,.,94,0,1,.,.,1,30.1,65.9,.,.,96.1,8.1,12.7,.,.,20.8,0,0,.,.,0,.,.,.,.,.,.
2021,7140,Georgia Power Co,GA,SOCO,"61,952","1,626",823,1,"64,402",.,.,.,.,.,244.9,179.4,415.8,.,840.1,14.5,.,.,.,14.5,382,125,"6,019",.,"6,526","1,696","3,454","2,671",10,"7,831",.
2021,7349,"Golden Spread Electric Cooperative, Inc",OK,SWPP,.,1,.,.,1,.,0,.,.,0,.,2.0,.,.,2.0,.,0.0,.,.,0.0,.,16,.,.,16,.,0,.,.,0,.
2021,7570,Great River Energy,MN,MISO,"283,712","5,492",.,.,"289,204","29,901","8,452",.,.,"38,353",204.0,172.0,.,.,376.0,204.0,172.0,.,.,376.0,"1,505",0,.,.,"1,505","6,810",562,.,.,"7,372","1,219"
2021,7601,Green Mountain Power Corp,VT,ISNE,"17,837",570,6,0,"18,413",0,0,0,0,0,23.2,11.2,11.0,0.0,45.4,8.4,8.9,5.7,0.0,23.0,634,307,180,0,"1,121",0,0,0,0,0,0
2021,7634,City of Greenville - (TX),TX,ERCO,.,1,.,.,1,.,"1,159",.,.,"1,159",.,6.0,.,.,6.0,.,0.0,.,.,0.0,.,0,.,.,0,.,0,.,.,0,.
2021,7752,Guadalupe Valley Elec Coop Inc,TX,ERCO,"2,100",.,.,.,"2,100",74,.,.,.,74,3.7,.,.,.,3.7,3.4,.,.,.,3.4,9,.,.,.,9,8,.,.,.,8,.
2021,7785,"Gulf Coast Electric Coop, Inc",FL,SOCO,750,.,.,.,750,1,.,.,.,1,0.9,.,.,.,0.9,0.9,.,.,.,0.9,2,.,.,.,2,5,.,.,.,5,.
2021,7801,Gulf Power Co,FL,SOCO,.,24,.,.,24,.,0,.,.,0,.,9.9,.,.,9.9,.,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.
2021,7977,City of Hamilton - (OH),OH,PJM,.,.,5,.,5,.,.,8,.,8,.,.,7.9,.,7.9,.,.,7.9,.,7.9,.,.,.,.,.,.,.,.,.,.,.
2021,8179,Harrison County Rural E M C,IN,MISO,"2,627",.,.,.,"2,627",.,.,.,.,.,1.0,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,8210,Hart Electric Member Corp,GA,SOCO,"28,985","8,809",.,.,"37,794",163,42,.,.,205,2.4,0.6,.,.,3.0,2.4,0.6,.,.,3.0,0,0,.,.,0,.,.,.,.,.,.
2021,8287,Hawaii Electric Light Co Inc,HI,NA,5,.,.,.,5,1,.,.,.,1,0.0,.,.,.,0.0,.,.,.,.,.,127,.,.,.,127,.,.,.,.,.,.
2021,8319,Heartland Power Coop,IA,MISO,"2,782",91,1,0,"2,874",0,0,0,0,0,1.2,8.9,0.1,0.0,10.1,1.0,7.8,0.1,0.0,9.0,0,0,0,0,0,68,2,1,0,71,0
2021,8333,Haywood Electric Member Corp,NC,DUK,450,.,.,.,450,1,.,.,.,1,1.0,.,.,.,1.0,1.0,.,.,.,1.0,36,.,.,.,36,.,.,.,.,.,.
2021,8570,Highline Electric Assn,CO,WACM,.,.,373,.,373,.,.,.,.,.,.,.,22.0,.,22.0,.,.,.,.,.,.,.,360,.,360,.,.,35,.,35,.
2021,8570,Highline Electric Assn,NE,WACM,.,.,191,.,191,.,.,.,.,.,.,.,31.5,.,31.5,.,.,.,.,.,.,.,156,.,156,.,.,15,.,15,.
2021,8773,"Holy Cross Electric Assn, Inc",CO,PSCO,"2,181",162,0,0,"2,343",44,58,0,0,102,22.2,35.2,0.0,0.0,57.5,3.8,5.0,0.0,0.0,8.8,25,44,0,0,69,4,5,0,0,9,.
2021,8786,Horry Electric Coop Inc,SC,SC,"6,159",.,.,.,"6,159",0,.,.,.,0,6.3,.,.,.,6.3,6.3,.,.,.,6.3,19,.,.,.,19,81,.,.,.,81,211
2021,8901,CenterPoint Energy,TX,ERCO,"21,492",303,.,.,"21,795",145,786,.,.,930,24.1,131.0,.,.,155.1,24.1,131.0,.,.,155.1,911,"3,295",.,.,"4,205",91,235,.,.,327,.
2021,9191,Idaho Power Co,ID,IPCO,"20,602",130,"2,187",0,"22,919",0,0,0,0,0,26.3,22.6,283.8,0.0,332.7,24.1,21.7,225.3,0.0,271.1,306,226,"6,601",0,"7,133",420,101,245,0,766,0
2021,9191,Idaho Power Co,OR,IPCO,244,9,48,0,301,0,0,0,0,0,0.3,11.1,8.0,0.0,19.4,0.3,5.0,7.9,0.0,13.2,4,170,154,0,328,22,5,13,0,40,0
2021,9267,"Hoosier Energy R E C, Inc",IN,MISO,"17,045",0,0,0,"17,045",0,0,0,0,0,3.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,4,0,0,0,4,0,0,0,0,0,.
2021,9273,Indianapolis Power & Light Co,IN,MISO,"52,441",351,.,.,"52,792","1,791",0,.,.,"1,791",44.9,0.8,.,.,45.7,35.1,0.2,.,.,35.3,"1,299",14,.,.,"1,313","1,481","8,974",.,.,"10,455",.
2021,9286,Illinois Municipal Elec Agency,IL,MISO,.,3,.,.,3,.,0,.,.,0,.,1.3,.,.,1.3,.,0.0,.,.,0.0,.,64,.,.,64,.,0,.,.,0,.
2021,9324,Indiana Michigan Power Co,IN,PJM,"2,760",0,0,0,"2,760",32,0,0,0,32,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,69,0,0,0,69,206,0,0,0,206,.
2021,9324,Indiana Michigan Power Co,MI,PJM,643,0,0,0,643,7,0,0,0,7,0.6,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.5,14,0,0,0,14,178,18,0,0,196,.
2021,9417,Interstate Power and Light Co,IA,MISO,"41,514",69,77,.,"41,660",913,150,597,.,"1,661",33.6,40.8,161.9,.,236.3,.,.,.,.,.,"1,653","3,266","12,960",.,"17,879","1,095",28,31,.,"1,154",0
2021,9431,Irwin Electric Membership Corp,GA,SOCO,.,.,605,.,605,.,.,0,.,0,.,.,45.4,.,45.4,.,.,0.0,.,0.0,.,.,.,.,.,.,.,25,.,25,.
2021,9576,Jackson County Rural E M C - (IN),IN,MISO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,.,.,19,.
2021,9590,"Jackson Electric Coop, Inc - (TX)",TX,ERCO,.,.,10,.,10,.,.,.,.,.,.,.,40.0,.,40.0,.,.,35.0,.,35.0,.,.,"1,723",.,"1,723",.,.,.,.,.,.
2021,9601,Jackson Electric Member Corp - (GA),GA,SOCO,"21,681","2,409",.,.,"24,090",0,0,.,.,0,11.0,1.0,.,.,12.0,11.0,1.0,.,.,12.0,398,44,.,.,442,1,0,.,.,1,507
2021,9617,JEA,FL,JEA,.,.,33,.,33,.,.,.,.,.,.,.,154.4,.,154.4,.,.,142.0,.,142.0,.,.,"9,230",.,"9,230",.,.,.,.,.,.
2021,9750,"Jo-Carroll Energy, Inc",IL,MISO,"1,704",0,7,0,"1,711",0,0,0,0,0,1.5,0.0,2.1,0.0,3.6,1.5,0.0,2.0,0.0,3.5,105,0,38,0,143,31,0,11,0,42,0
2021,9778,Johnson County Rural E M C,IN,MISO,.,.,2,.,2,.,.,28,.,28,.,.,4.6,.,4.6,.,.,4.6,.,4.6,.,.,52,.,52,.,.,2,.,2,.
2021,10000,Evergy Metro,KS,SWPP,"13,755",281,.,.,"14,036",.,.,.,.,.,11.7,0.2,.,.,11.9,11.7,0.2,.,.,11.9,.,.,.,.,.,120,2,.,.,122,0
2021,10000,Evergy Metro,MO,SWPP,"24,284",513,.,.,"24,797",931,19,.,.,950,20.6,23.1,.,.,43.7,20.6,23.1,.,.,43.7,245,663,.,.,909,"2,039",848,.,.,"2,887",0
2021,10005,"Evergy Kansas South, Inc",KS,SWPP,"22,344",708,38,.,"23,090",.,.,.,.,.,9.5,4.9,129.5,.,143.9,9.5,0.3,.,.,9.8,.,.,"3,797",.,"3,797",194,6,.,.,200,0
2021,10171,Kentucky Utilities Co,KY,LGEE,"67,593",781,.,.,"68,374",.,.,.,.,.,72.3,11.2,.,.,83.6,.,.,.,.,.,.,.,.,.,.,1,0,.,.,1,.
2021,10539,"La Plata Electric Assn, Inc",CO,WACM,102,.,.,.,102,0,.,.,.,0,1.2,.,.,.,1.2,0.7,.,.,.,0.7,177,.,.,.,177,153,.,.,.,153,0
