,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
2019,6,06/23/2019 10:00 PM,06/25/2019 11:00 PM,,"49 Hours, 0 Minutes",Oncor Electric Delivery Company LLC,TRE,Kaufman County;,hour or more.-Severe Weather,,265000,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,6,06/24/2019 5:30 AM,06/24/2019 8:45 AM,,"3 Hours, 15 Minutes",Entergy Corp,SPP RE,Arkansas:,hour or more.-Severe Weather,,56451,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,North Dakota: Williams,reclosing).-Transmission,,,
2019,6,06/26/2019 1:58 PM,06/26/2019 2:03 PM,,"0 Hours, 5 Minutes",Montana-Dakota Utilities Co,MRO,County;,,Interruption,53,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,6,06/28/2019 2:25 PM,.,.,". Hours, . Minutes",Bonneville Power Administration,WECC,Idaho: Nez Perce County;,,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"New York: Nassau County,","than 50,000 customers for 1",,,
2019,6,06/30/2019 3:15 PM,06/30/2019 4:15 PM,,"1 Hours, 0 Minutes",Long Island Power Authority,NPCC,Suffolk County;,hour or more.-Severe Weather,3189,52498,
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,"Illinois: Cook County, DeKalb",,,,
,,,,,,,"County, DuPage County,",,,,
,,,,,,,"Grundy County, Iroquois",,,,
,,,,,,,"County, Ford County, Lake",,,,
,,,,,,,"County, Kendall County,",Loss of electric service to more,,,
,,,,,,,"Kankakee County, Kane","than 50,000 customers for 1",,,
2019,6,06/30/2019 3:30 PM,06/30/2019 8:30 PM,"5 Hours, 0 Minutes",ComEd,SERC,"County, Ogle County;",hour or more.-Severe Weather,,100000,
,,,,,,,"Texas: Collin County, Dallas",,,,
,,,,,,,"County, Denton County, Hood",Loss of electric service to more,,,
,,,,,,,"County, Johnson County,","than 50,000 customers for 1",,,
2019,7,07/10/2019 12:10 PM,07/12/2019 12:30 PM,"48 Hours, 20 Minutes",Oncor Electric Delivery Company LLC,TRE,Tarrant County;,hour or more.-Severe Weather,,57000,
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,7,07/11/2019 11:08 AM,07/11/2019 11:13 AM,"0 Hours, 5 Minutes",Southwestern Public Service,TRE,Texas: Lynn County;,,Interruption,26,2043
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,7,07/13/2019 7:15 AM,07/14/2019 5:00 PM,"33 Hours, 45 Minutes",Entergy Corp,SERC,Louisiana:,hour or more.-Severe Weather,,55730,
,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,more from a single incident-,,,
2019,7,07/13/2019 6:47 PM,07/13/2019 11:37 PM,"4 Hours, 50 Minutes",NYISO,NPCC,New York: New York County;,Transmission Interruption,452,72669,
,,,,,,,"Louisiana: Acadia Parish,",,,,
,,,,,,,"Avoyelles Parish, Catahoula",,,,
,,,,,,,"Parish, Evangeline Parish,",,,,
,,,,,,,"Grant Parish, Iberia Parish,",,,,
,,,,,,,"LaSalle Parish, Natchitoches",,,,
,,,,,,,"Parish, Rapides Parish,",,,,
,,,,,,,"Sabine Parish, St. Landry",,,,
,,,,,,,"Parish, St. Martin Parish, St.",,,,
,,,,,,,"Mary Parish, St. Tammany",,,,
,,,,,,,"Parish, Allen Parish,",,,,
,,,,,,,"Beauregard Parish, Calcasieu",,,,
,,,,,,,"Parish, Vermilion Parish, De",,,,
,,,,,,,"Soto Parish, Jefferson Davis",Loss of electric service to more,,,
,,,,,,,"Parish, Red River Parish,","than 50,000 customers for 1",,,
2019,7,07/13/2019 11:55 PM,07/14/2019 1:00 PM,"13 Hours, 5 Minutes",Cleco Power LLC,SERC,"Tangipahoa Parish, V",hour or more.-Severe Weather,,63000,
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,7,07/19/2019 7:00 PM,07/21/2019 8:00 PM,"49 Hours, 0 Minutes",Detroit Edison Co,RF,Michigan:,hour or more.-Severe Weather,,400000,
,,,,,,,"Michigan: Kent County,",,,,
,,,,,,,"Newaygo County, Mecosta",,,,
,,,,,,,"County, Montcalm County,",Loss of electric service to more,,,
,,,,,,,"Isabella County, Ionia County,","than 50,000 customers for 1",,,
2019,7,07/20/2019 3:00 AM,07/22/2019 7:00 AM,"52 Hours, 0 Minutes",Consumers Energy Co,RF,"Allegan County, Barry County;",hour or more.-Severe Weather,,160000,
,,,,,,,,Loss of electric service to more,,,
,,,,,"WEC Energy Group (WEPCO, WPSC, UMERC,",,,"than 50,000 customers for 1",,,
2019,7,07/20/2019 11:55 AM,07/23/2019 12:00 AM,"60 Hours, 5 Minutes",WEP-MIUP),RF,Wisconsin: Michigan:,hour or more.-Severe Weather,200,50000,
,,,,,,,"New York: Kings County, New",,,,
,,,,,,,"York County, Queens County,",Loss of electric service to more,,,
,,,,,,,"Bronx County, Westchester","than 50,000 customers for 1",,,
2019,7,07/21/2019 11:00 PM,07/22/2019 8:54 PM,"21 Hours, 54 Minutes",Consolidated Edison Co-NY Inc,NPCC,"County, Richmond County;",hour or more.-Severe Weather,,60,45000
,,,,,,,,Loss of electric service to more,,,
,,,,,,,"Pennsylvania: Bucks County,","than 50,000 customers for 1",,,
2019,7,07/22/2019 4:00 PM,07/24/2019 11:00 PM,"55 Hours, 0 Minutes",PECO Energy Co,RF,Delaware County;,hour or more.-Severe Weather,,165000,
,,,,,,,,Loss of electric service to more,,,
,,,,,,,New Jersey: Gloucester,"than 50,000 customers for 1",,,
2019,7,07/22/2019 5:50 PM,07/25/2019 1:15 PM,"67 Hours, 25 Minutes",Public Service Electric & Gas,RF,County;,hour or more.-Severe Weather,,49,95600
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,7,07/23/2019 3:39 PM,07/23/2019 7:00 PM,"3 Hours, 21 Minutes",ISO New England,NPCC,Massachusetts:,hour or more.-Severe Weather,,54,54535
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,7,07/23/2019 11:55 PM,07/23/2019 11:56 PM,"0 Hours, 1 Minutes",Nebraska Public Power District,MRO,Nebraska:,,Interruption,0,0
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,Western Area Power Administration - Upper Great,,Nebraska: Scotts Bluff,reclosing).-Transmission,,,
2019,7,07/23/2019 11:55 PM,07/24/2019 5:22 AM,"5 Hours, 27 Minutes",Plains Region,MRO,County;,,Interruption,0,0
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Severe,,,
,,,,,,,,Weather/Transmission,,,
2019,7,07/30/2019 8:45 AM,07/30/2019 9:45 AM,"1 Hours, 0 Minutes",City of Alexandria,SERC,Louisiana:,,Interruption,13720,
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,8,08/02/2019 1:49 AM,08/02/2019 1:55 AM,"0 Hours, 6 Minutes",Northern States Power Co,MRO,Minnesota: Chisago County;,,Interruption,0,0
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2019,8,08/05/2019 5:23 PM,08/06/2019 12:02 AM,,"6 Hours, 39 Minutes",Bonneville Power Administration,WECC,Oregon: Umatilla County;,Interruption,66,
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Severe,,
,,,,,,,,,Weather/Transmission,,
2019,8,08/08/2019 4:16 PM,08/08/2019 10:41 PM,,"6 Hours, 25 Minutes",American Electric Power - (RFC Reliability Region),RF,Ohio:,Interruption,,5600
,,,,,,,,,Uncontrolled loss of 300,,
,,,,,,,,,Megawatts or more of firm,,
,,,,,,,,,system loads for 15 minutes or,,
,,,,,,,,,more from a single incident.-,,
2019,8,08/13/2019 10:00 AM,08/13/2019 11:00 AM,,"1 Hours, 0 Minutes",Rio Bravo Rocklin,WECC,California: Placer County;,Vandalism,0,0
,,,,,,,,,Public appeal to reduce the,,
,,,,,,,,,use of electricity for purposes,,
,,,,,,,,,of maintaining the continuity of,,
,,,,,,,,,the Bulk Electric System.-,,
2019,8,08/13/2019 3:10 PM,08/13/2019 5:30 PM,,"2 Hours, 20 Minutes",ERCOT,TRE,Texas: Williamson County;,Severe Weather,,
,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,could impact electric power,,
,,,,,,,,,system adequacy or reliability.-,,
2019,8,08/15/2019 8:30 AM,.,.,". Hours, . Minutes",Upstate New York Power Producers,NPCC,New York: Tompkins County;,Fuel Supply Deficiency,150,
,,,,,,,,,Public appeal to reduce the,,
,,,,,,,,,use of electricity for purposes,,
,,,,,,,,,of maintaining the continuity of,,
,,,,,,,,,the Bulk Electric System.-,,
2019,8,08/15/2019 3:11 PM,08/15/2019 6:00 PM,,"2 Hours, 49 Minutes",ERCOT,TRE,Texas:,Severe Weather,,
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
,,,,,,,,,hour or more.-Distribution,,
2019,8,08/15/2019 11:03 PM,08/16/2019 12:37 AM,,"1 Hours, 34 Minutes",Pacific Gas & Electric Co,WECC,California: Marin County;,Interruption,80,61318
,,,,,,,,,Firm load shedding of 100,,
,,,,,,,,,Megawatts or more,,
,,,,,,,,,implemented under emergency,,
,,,,,,,,,operational policy.-,,
2019,8,08/18/2019 3:59 PM,08/18/2019 11:00 PM,,"7 Hours, 1 Minutes","Southwest Power Pool, Inc.",SPP RE,Louisiana: Texas:,Transmission Interruption,271,86373
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
,,,,,,,,,hour or more.-Transmission,,
,,,,,,,,,Interruption/Distribution,,
2019,8,08/18/2019 4:30 PM,08/18/2019 10:00 PM,,"5 Hours, 30 Minutes","East Texas Electric Coop, Inc",TRE,Texas:,Interruption,259,61000
,,,,,,,,,Uncontrolled loss of 300,,
,,,,,,,,,Megawatts or more of firm,,
,,,,,,,,,system loads for 15 minutes or,,
,,,,,,,,,more from a single incident-,,
2019,8,08/18/2019 4:47 PM,08/18/2019 11:00 PM,,"6 Hours, 13 Minutes",American Electric Power - (SPP Reliability Region),TRE,Texas:,Distribution Interruption,752,86373
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2019,8,08/26/2019 9:09 AM,08/26/2019 1:34 PM,,"4 Hours, 25 Minutes",Great River Energy,MRO,North Dakota:,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
,,,,,,,,,hour or more.-Severe,,
,,,,,,,,,Weather/Transmission,,
2019,8,08/26/2019 7:00 PM,08/27/2019 3:00 AM,,"8 Hours, 0 Minutes","Southwest Power Pool, Inc.",SPP RE,Oklahoma:,Interruption,,95000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2019,8,08/26/2019 7:00 PM,08/29/2019 1:00 PM,,"66 Hours, 0 Minutes",Oklahoma Gas & Electric Co,SPP RE,Oklahoma:,hour or more.-Severe Weather,,103779
,,,,,,,,,Public appeal to reduce the,,
,,,,,,,,,use of electricity for purposes,,
,,,,,,,,,of maintaining the continuity of,,
,,,,,,,,,the Bulk Electric System.-,,
2019,9,09/04/2019 2:30 PM,09/06/2019 6:00 PM,"51 Hours, 30 Minutes",,ERCOT,TRE,Texas:,Severe Weather,,
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2019,9,09/05/2019 4:15 AM,09/05/2019 3:17 PM,,"11 Hours, 2 Minutes",Dominion Energy South Carolina,SERC,South Carolina:,hour or more.-Severe Weather,,172278
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2019,9,09/05/2019 10:00 PM,09/06/2019 12:00 PM,,"14 Hours, 0 Minutes",North Carolina El Member Corp,SERC,North Carolina:,hour or more.-Severe Weather,3,2000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,North Carolina: South,"than 50,000 customers for 1",,
2019,9,09/05/2019 10:36 PM,09/06/2019 4:00 PM,"17 Hours, 24 Minutes",,Duke Energy Progress,SERC,Carolina:,hour or more.-Severe Weather,,116000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2019,9,09/06/2019 8:20 AM,.,.,". Hours, . Minutes",Dominion Energy VA,SERC,North Carolina:,hour or more.-Severe Weather,,77000
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2019,9,09/10/2019 9:22 PM,09/10/2019 9:23 PM,,"0 Hours, 1 Minutes",Pacificorp,WECC,Wyoming: Sweetwater County;,Interruption,885,0
,,,,,,,,"Michigan: Ionia County, Kent",,,
,,,,,,,,"County, Barry County,",,,
,,,,,,,,"Montcalm County, Allegan",Loss of electric service to more,,
,,,,,,,,"County, Ottawa County,","than 50,000 customers for 1",,
2019,9,09/11/2019 10:35 PM,09/11/2019 11:59 PM,,"1 Hours, 24 Minutes",Consumers Energy Co,RF,Newaygo County;,hour or more.-Severe Weather,,54000
,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,could impact electric power,,
,,,,,,,,,system adequacy or reliability.-,,
2019,9,09/19/2019 5:55 AM,09/19/2019 2:30 PM,,"8 Hours, 35 Minutes",Tucson Electric Power,WECC,Arizona: Pima County;,Fuel Supply Deficiency,0,0
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,,
,,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,"California: Napa County,",,,,
,,,,,,,,"Nevada County, Placer",,,,
,,,,,,,,"County, Plumas County,",Loss of electric service to more,,,
,,,,,,,,"Sonoma County, Butte","than 50,000 customers for 1",,,
2019,9,09/25/2019 3:47 AM,09/25/2019 3:40 PM,"11 Hours, 53 Minutes",,Pacific Gas & Electric Co,WECC,"County, Yuba County;",hour or more.-Severe Weather,,25,69524
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more.-Distribution,,,
2019,9,09/29/2019 7:38 AM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California: Alameda County;,,Interruption,,50072
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability.-,,,
2019,10,10/04/2019 5:15 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,,0,0
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability.-,,,
2019,10,10/06/2019 5:15 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,"Texas: Hidalgo County,",reclosing).-Transmission,,,
2019,10,10/06/2019 2:50 PM,10/06/2019 3:00 PM,,"0 Hours, 10 Minutes",American Electric Power - Texas,TRE,Cameron County;,,Interruption,,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more.-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,10,10/09/2019 12:27 AM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California:,,Interruption,2400,737808
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,10,10/12/2019 3:00 PM,10/12/2019 4:21 PM,,"1 Hours, 21 Minutes",American Electric Power - Texas,TRE,Texas:,,Interruption,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,10,10/15/2019 3:19 AM,10/15/2019 6:38 AM,,"3 Hours, 19 Minutes",FirstEnergy Corp,RF,Ohio:,,Interruption,0,0
,,,,,,,,Connecticut: Rhode Island:,Loss of electric service to more,,,
,,,,,,,,Massachusetts: Vermont: New,"than 50,000 customers for 1",,,
2019,10,10/17/2019 12:45 AM,10/19/2019 9:30 AM,"56 Hours, 45 Minutes",,ISO New England,NPCC,Hampshire: Maine:,hour or more.-Severe Weather,,,101683
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,South Dakota: Codington,successful automatic,,,
,,,,,,Western Area Power Administration - Upper Great,,County; Nebraska: Scotts,reclosing).-Transmission,,,
2019,10,10/19/2019 5:57 AM,10/19/2019 1:58 PM,,"8 Hours, 1 Minutes",Plains Region,MRO,Bluff County;,,Interruption,0,0
,,,,,,,,"Texas: Cass County,",,,,
,,,,,,,,"Cameron County, Collin",,,,
,,,,,,,,"County, Dallas County, Ellis",,,,
,,,,,,,,"County, Erath County, Hunt",,,,
,,,,,,,,"County, Kaufman County,",,,,
,,,,,,,,"Lamar County, Panola",,,,
,,,,,,,,"County, Rains County,",,,,
,,,,,,,,"Rockwall County, Rusk",Loss of electric service to more,,,
,,,,,,,,"County, Tarrant County, Van","than 50,000 customers for 1",,,
2019,10,10/20/2019 10:15 PM,10/25/2019 2:00 AM,"99 Hours, 45 Minutes",,Oncor Electric Delivery Company LLC,TRE,"Zandt County, Wood County;",hour or more.-Severe Weather,,,400000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more.-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,10,10/23/2019 2:36 PM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California:,,Interruption,,50000
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability.-,,,
2019,10,10/24/2019 5:15 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,,0,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,10,10/24/2019 5:02 PM,10/24/2019 5:09 PM,,"0 Hours, 7 Minutes",FirstEnergy Corp,RF,Ohio: Lorain County;,,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,10,10/26/2019 5:15 AM,10/26/2019 5:31 PM,"12 Hours, 16 Minutes",,Entergy Corp,SERC,Louisiana:,hour or more.-Severe Weather,,,82124
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,10,10/26/2019 6:00 PM,.,.,". Hours, . Minutes",Tennessee Valley Authority,SERC,Tennessee:,hour or more.-Severe Weather,,,70000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more.-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,10,10/26/2019 6:20 PM,10/31/2019 1:27 AM,"103 Hours, 7 Minutes",,Pacific Gas & Electric Co,WECC,California:,,Interruption,3190,972000
,,,,,,,,California: Los Angeles,Loss of electric service to more,,,
,,,,,,,,"County, Orange County,","than 50,000 customers for 1",,,
,,,,,,,,"Riverside County, San",hour or more.-Severe,,,
,,,,,,,,"Bernardino County, Ventura",Weather/Distribution,,,
2019,10,10/30/2019 6:32 AM,11/01/2019 1:29 PM,"54 Hours, 57 Minutes",,Southern California Edison Co,WECC,"County, Kern County;",,Interruption,285,114402
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more.-Severe,,,
,,,,,,,,,Weather/Distribution,,,
2019,10,10/31/2019 10:00 PM,.,.,". Hours, . Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,,Interruption,,53943
,,,,,,,,,Loss of electric service to more,,,
,,,,,,Niagara Mohawk Power Corporation (dba National,,,"than 50,000 customers for 1",,,
2019,11,11/01/2019 1:00 AM,11/03/2019 1:00 PM,,"60 Hours, 0 Minutes",Grid),NPCC,New York:,hour or more.-Severe Weather,,,8000
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,Connecticut: Maine:,Loss of electric service to more,,
,,,,,,,,Massachusetts: Rhode Island:,"than 50,000 customers for 1",,
2019,11,11/01/2019 1:15 AM,11/02/2019 9:30 PM,"44 Hours, 15 Minutes",,ISO New England,NPCC,New Hampshire: Vermont:,hour or more.-Severe Weather,,80066
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2019,11,11/01/2019 2:41 AM,.,.,". Hours, . Minutes",New York State Electric & Gas,NPCC,New York: Broome County;,hour or more.-Severe Weather,,66325
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2019,11,11/03/2019 10:17 PM,11/04/2019 11:10 AM,"12 Hours, 53 Minutes",,Northern States Power Co,MRO,Minnesota: Sherburne County;,Interruption,0,0
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2019,11,11/05/2019 8:56 AM,11/05/2019 11:51 AM,,"2 Hours, 55 Minutes",JEA,FRCC,Florida: Duval County;,Interruption,1500,
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blocked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,Utah: California: Oregon:,electrical system.-System,,
2019,11,11/08/2019 5:50 AM,11/08/2019 6:10 AM,,"0 Hours, 20 Minutes",Pacificorp,WECC,Wyoming:,Operations,72,
,,,,,,,,"California: Colusa County,",,,
,,,,,,,,"Lake County, Mendocino",Loss of electric service to more,,
,,,,,,,,"County, Napa County, Solano","than 50,000 customers for 1",,
,,,,,,,,"County, Sonoma County, Yolo",hour or more.-Severe,,
,,,,,,,,"County, Shasta County,",Weather/Transmission,,
2019,11,11/20/2019 9:49 AM,11/20/2019 3:20 PM,,"5 Hours, 31 Minutes",Pacific Gas & Electric Co,WECC,Tehama County;,Interruption,178,54000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2019,11,11/26/2019 6:07 PM,11/27/2019 12:27 PM,"18 Hours, 20 Minutes",,Pacific Gas & Electric Co,WECC,California:,hour or more.-Severe Weather,300,93000
,,,,,,,,"Michigan: Tuscola County,",,,
