Year,Month,Event date and time,Restoration date and time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2018,3,03/07/2018 5:15 PM,.,.,". Hours, . Minutes",Public Service Electric & Gas,RF,New Jersey:,hour or more-Severe Weather,,50,58000
,,,,,,,,Connecticut: Massachusetts:,Loss of electric service to more,,,
,,,,,,,,Maine: New Hampshire: Rhode,"than 50,000 customers for 1",,,
2018,3,03/07/2018 7:37 PM,03/10/2018 4:35 PM,"68 Hours, 58 Minutes",,ISO New England,NPCC,Island: Vermont:,hour or more-Severe Weather,,Unknown,102000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/13/2018 8:50 AM,03/14/2018 11:22 PM,"38 Hours, 32 Minutes",,ISO New England,NPCC,Massachusetts: Rhode Island:,hour or more-Severe Weather,,Unknown,123629
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/19/2018 11:29 PM,03/20/2018 3:37 AM,,"4 Hours, 8 Minutes",Southern Company,SERC,Alabama: Georgia:,hour or more-Severe Weather,,261,78220
,,,,,,,,"New Jersey: Atlantic County,",,,,
,,,,,,,,"Camden County, Cape May",,,,
,,,,,,,,"County, Gloucester County,",Loss of electric service to more,,,
,,,,,,,,"Salem County, Cumberland","than 50,000 customers for 1",,,
2018,3,03/20/2018 7:00 PM,03/25/2018 6:30 AM,"107 Hours, 30 Minutes",,Atlantic City Electric Co,RF,"County, Burlington County;",hour or more-Severe Weather,,80,124000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,American Electric Power - (RFC Reliability Region),,,"than 50,000 customers for 1",,,
2018,3,03/24/2018 10:30 PM,03/26/2018 8:00 PM,"45 Hours, 30 Minutes",,"(8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Virginia: West Virginia:,hour or more-Severe Weather,,Unknown,81227
,,,,,,,,,Loss of electric service to more,,,
,,,,,,Niagara Mohawk Power Corporation (dba National,,,"than 50,000 customers for 1",,,
2018,4,04/04/2018 4:42 PM,04/07/2018 6:22 AM,"61 Hours, 40 Minutes",,Grid),NPCC,New York:,hour or more-Severe Weather,,Unknown,72896
,,,,,,,,Connecticut: Maine:,,,,
,,,,,,,,Massachusetts: New,Loss of electric service to more,,,
,,,,,,,,Hampshire: Rhode Island:,"than 50,000 customers for 1",,,
2018,4,04/05/2018 12:50 AM,04/05/2018 4:00 PM,"15 Hours, 10 Minutes",,ISO New England,NPCC,Vermont:,hour or more-Severe Weather,,Unknown,65932
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,minutes from a single incident-,,,
2018,4,04/09/2018 11:16 AM,.,.,". Hours, . Minutes",Peak Reliability,WECC,Utah:,Transmission Interruption,,300,250000
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,minutes from a single incident-,,,
2018,4,04/09/2018 12:16 PM,04/09/2018 1:52 PM,,"1 Hours, 36 Minutes",Pacificorp,WECC,Utah: Salt Lake County;,Transmission Interruption,,806,57000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Louisiana: Arkansas:,"than 50,000 customers for 1",,,
2018,4,04/14/2018 9:30 AM,04/14/2018 10:00 AM,,"0 Hours, 30 Minutes",Entergy Corp,SERC,Mississippi: Texas:,hour or more-Severe Weather,,Unknown,56350
