,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
35,2018,3,03/13/2018 8:50 AM,03/14/2018 11:22 PM,"38 Hours, 32 Minutes",ISO New England,NPCC,Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,123629
36,2018,3,03/19/2018 11:29 PM,03/20/2018 3:37 AM,"nan4 Hours, 8 Minutes",Southern Company,SERC,Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,261,78220
37,2018,3,03/20/2018 7:00 PM,03/25/2018 6:30 AM,"107 Hours, 30 Minutes",Atlantic City Electric Co,RF,"New Jersey: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,80,124000
38,2018,3,03/24/2018 10:30 PM,03/26/2018 8:00 PM,"45 Hours, 30 Minutes","(8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Virginia: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,81227
39,2018,4,04/04/2018 4:42 PM,04/07/2018 6:22 AM,"61 Hours, 40 Minutes",Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,72896
40,2018,4,04/05/2018 12:50 AM,04/05/2018 4:00 PM,"15 Hours, 10 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,65932
41,2018,4,04/09/2018 11:16 AM,.,".. Hours, . Minutes",Peak Reliability,WECC,Utah:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- Transmission Interruption,,300,250000
42,2018,4,04/09/2018 12:16 PM,04/09/2018 1:52 PM,"nan1 Hours, 36 Minutes",Pacificorp,WECC,Utah: Salt Lake County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- Transmission Interruption,,806,57000
43,2018,4,04/14/2018 9:30 AM,04/14/2018 10:00 AM,"nan0 Hours, 30 Minutes",Entergy Corp,SERC,Louisiana: Arkansas: Mississippi: Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,56350
44,2018,4,04/15/2018 7:30 AM,04/18/2018 7:30 AM,"nan72 Hours, 0 Minutes",DTE Energy,RF,Michigan:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,389591
