,Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Delivery Company,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
40,2022,17828,City of Springfield - (IL),,M,Municipal,,X,,,X,X,X,,X,X,X,X,X,X,X
41,2022,17860,City of St Charles - (IL),,M,Municipal,,X,,,X,,,,X,X,X,X,X,X,X
42,2022,18277,City of Sullivan - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
43,2022,18955,"Tri-County Electric Coop, Inc (IL)",,C,Cooperative,,X,,,X,,,,X,X,X,X,X,X,X
44,2022,20180,City of Waterloo - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
45,2022,20824,Village of Winnetka - (IL),Y,M,Municipal,,,,,,X,,,,,,,,X,
46,2022,29296,Western Illinois Elec Coop,Y,C,Cooperative,,X,,,,,,,,X,,,,X,
47,2022,40367,Village of Ladd - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
48,2022,56697,Ameren Illinois Company,,I,Investor Owned,X,X,,,X,X,X,,X,X,X,X,X,X,X
49,2022,57488,"XOOM Energy Illinois, LLC",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
50,2022,58314,"Palmco Power IL, LLC",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
51,2022,59958,"Mega Energy of Illinois, LLC",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
52,2022,61092,"Stream Energy Illinois, LLC",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
53,2022,62094,"SFE Energy Illinois, Inc.",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,
54,2022,63029,Josco Energy IL LLC,,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
55,2022,64543,StateWise Energy Illinois LLC,,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,
