,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Installations.Residential|,|Photovoltaic.Installations.Commercial|,|Photovoltaic.Installations.Industrial|,|Photovoltaic.Installations.Transportation|,|Photovoltaic.Installations.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Installations.Residential|,|Photovoltaic.Storage Installations.Commercial|,|Photovoltaic.Storage Installations.Industrial|,|Photovoltaic.Storage Installations.Transportation|,|Photovoltaic.Storage Installations.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Installations.Residential|,|Wind.Installations.Commercial|,|Wind.Installations.Industrial|,|Wind.Installations.Transportation|,|Wind.Installations.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Installations.Residential|,|Other.Installations.Commercial|,|Other.Installations.Industrial|,|Other.Installations.Transportation|,|Other.Installations.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Installations.Residential|,|All Technologies.Installations.Commercial|,|All Technologies.Installations.Industrial|,|All Technologies.Installations.Transportation|,|All Technologies.Installations.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
13,2022,IL,16196.0,Rock Energy Cooperative,MISO,AC,0.189,0.490,.,.,0.679,24,2,.,.,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.189,0.490,0.000,0.000,0.679,24,2,0,0,26,0.000,0.000,0.000,0.000,0.000
14,2022,IL,16740.0,Scenic Rivers Energy Coop,MISO,AC,0.019,.,.,.,0.019,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.040,.,.,.,10.040,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.019,0.000,0.000,0.000,0.019,1,0,0,0,1,10.040,0.000,0.000,0.000,10.040
15,2022,IL,17040.0,"Shelby Electric Coop, Inc",MISO,DC,1.242,.,.,.,1.242,121,.,.,.,121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.013,.,.,.,0.013,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.255,0.000,0.000,0.000,1.255,123,0,0,0,123,0.000,0.000,0.000,0.000,0.000
16,2022,IL,17585.0,"Southeastern IL Elec Coop, Inc",MISO,AC,2.206,0.102,.,.,2.308,195,8,.,.,203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.206,0.102,0.000,0.000,2.308,195,8,0,0,203,0.000,0.000,0.000,0.000,0.000
17,2022,IL,17828.0,City of Springfield - (IL),MISO,AC,2.347,1.973,.,.,4.320,258,58,.,.,316,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.347,1.973,0.000,0.000,4.320,258,58,0,0,316,0.000,0.000,0.000,0.000,0.000
18,2022,IL,17860.0,City of St Charles - (IL),PJM,AC,0.135,0.128,0.632,0.000,0.895,20,2,1,0,23,0.054,0.000,0.000,0.000,0.054,1,0,0,0,1,.,.,.,.,0.000,.,.,.,.,0,62.200,9.080,14.026,.,85.306,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.135,0.128,0.632,0.000,0.895,20,2,1,0,23,62.200,9.080,14.026,0.000,85.306
19,2022,IL,18955.0,"Tri-County Electric Coop, Inc (IL)",MISO,AC,0.848,.,.,.,0.848,97,.,.,.,97,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.848,0.000,0.000,0.000,0.848,97,0,0,0,97,0.000,0.000,0.000,0.000,0.000
20,2022,IL,20222.0,Wayne-White Counties Elec Coop,MISO,AC,0.969,.,.,.,0.969,72,.,.,.,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,704.000,.,.,.,704.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.969,0.000,0.000,0.000,0.969,72,0,0,0,72,704.000,0.000,0.000,0.000,704.000
21,2022,IL,56697.0,Ameren Illinois Company,MISO,DC,81.914,126.915,.,.,208.829,"8,594","1,514",.,.,"10,108",.,.,.,.,0.000,.,.,.,.,0,35.160,26.833,.,.,61.993,"6,320",686,.,.,"7,006",.,.,.,.,0.000,0.345,0.126,.,.,0.471,72,20,.,.,92,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,117.419,153.874,0.000,0.000,271.293,"14,986","2,220",0,0,"17,206",0.000,0.000,0.000,0.000,0.000
22,2022,IL,99999.0,Adjustment 2022,MISO,,-15.244,-22.281,.,.,-37.525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-6.249,-4.680,.,.,-10.928,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-21.492,-26.961,.,.,-48.453,.,.,.,.,.,.,.,.,.,.
