,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
173,03/27/2021,Marion,1.0,75.0,75.0,56.00
174,07/10/2021,Marion,623.0,870.0,78480.0,61.00
175,10/24/2021,Marion,25.0,630.0,5550.0,52.00
176,06/20/2021,McDonough,99.0,1305.0,101250.0,52.00
177,12/15/2021,McDonough,3.0,15.0,45.0,59.00
178,02/14/2021,McHenry,268.0,195.0,13935.0, 
179,05/01/2021,McHenry,1487.0,270.0,115320.0,52.00
180,07/15/2021,McHenry,466.0,1065.0,36195.0,55.00
181,07/29/2021,McHenry,5402.0,1035.0,1801380.0,50.00
182,08/09/2021,McHenry,619.0,720.0,69060.0, 
183,08/10/2021,McHenry,181.0,1005.0,61080.0,60.00
184,08/11/2021,McHenry,30959.0,1440.0,31259340.0,60.00
185,09/07/2021,McHenry,4481.0,315.0,698760.0,50.00
186,10/25/2021,McHenry,1685.0,1215.0,634755.0,50.00
187,12/11/2021,McHenry,600.0,1380.0,167475.0,56.00
188,12/15/2021,McHenry,3667.0,990.0,81930.0,50.00
189,12/16/2021,McHenry,2508.0,1290.0,1458735.0,53.00
190,02/14/2021,McLean,614.0,795.0,89160.0, 
191,06/25/2021,McLean,124.0,450.0,14205.0, 
192,09/07/2021,McLean,311.0,840.0,30195.0,52.00
193,10/11/2021,McLean,2316.0,825.0,174075.0,61.00
194,10/24/2021,McLean,1326.0,570.0,59790.0,52.00
195,05/03/2021,Menard,269.0,225.0,60525.0,61.00
196,08/12/2021,Menard,36.0,30.0,570.0,52.00
197,10/24/2021,Menard,18.0,60.0,840.0,52.00
198,04/07/2021,Mercer,7.0,735.0,1275.0,65.00
199,06/18/2021,Mercer,1.0,585.0,585.0,56.00
200,08/10/2021,Mercer,109.0,510.0,15120.0,65.00
201,08/11/2021,Mercer,783.0,1200.0,221760.0,61.00
202,06/28/2021,Montgomery,64.0,2145.0,7020.0,56.00
203,08/12/2021,Montgomery,248.0,240.0,34545.0,61.00
204,08/26/2021,Montgomery,81.0,690.0,7230.0,65.00
205,05/09/2021,Morgan,6.0,240.0,1440.0,52.00
206,05/27/2021,Morgan,14.0,1020.0,1545.0,52.00
207,07/10/2021,Morgan,57.0,300.0,3675.0, 
208,08/08/2021,Morgan,14.0,210.0,2925.0,52.00
209,10/11/2021,Morgan,2.0,15.0,30.0, 
210,10/24/2021,Morgan,1691.0,240.0,48180.0,70.00
211,12/10/2021,Morgan,226.0,195.0,6255.0,61.00
212,06/11/2021,Ogle,169.0,180.0,20280.0,65.00
213,08/09/2021,Ogle,129.0,735.0,15045.0, 
214,08/10/2021,Ogle,471.0,480.0,13215.0,60.00
215,08/24/2021,Ogle,3347.0,660.0,101310.0,55.00
216,01/20/2021,Peoria,110.0,1035.0,20115.0, 
217,08/08/2021,Peoria,1331.0,1185.0,72555.0,52.00
218,08/25/2021,Peoria,3591.0,1245.0,1063530.0,52.00
219,02/16/2021,Perry,1391.0,555.0,147660.0, 
220,03/10/2021,Perry,15.0,390.0,4710.0,39.00
221,08/12/2021,Perry,3.0,390.0,585.0,55.00
222,08/21/2021,Perry,468.0,495.0,21525.0,52.00
223,06/25/2021,Piatt,1.0,3555.0,3555.0, 
224,03/23/2021,Pike,1.0,45.0,45.0, 
225,06/24/2021,Pike,121.0,120.0,12750.0,61.00
226,10/24/2021,Pike,1130.0,330.0,207945.0,56.00
227,02/16/2021,Pope,48.0,17100.0,22470.0, 
228,10/11/2021,Putnam,2.0,120.0,240.0, 
229,05/27/2021,Randolph,55.0,135.0,6660.0,56.00
230,07/10/2021,Randolph,3.0,90.0,240.0,61.00
231,10/24/2021,Randolph,2.0,390.0,420.0, 
232,05/06/2021,Richland,31.0,75.0,2325.0, 
233,10/11/2021,Richland,708.0,285.0,121185.0,61.00
234,01/18/2021,Rock Island,4.0,225.0,405.0, 
235,02/14/2021,Saline,8.0,825.0,1350.0, 
236,02/16/2021,Saline,12.0,600.0,765.0, 
237,03/25/2021,Saline,3.0,30.0,60.0,35.00
238,04/07/2021,Sangamon,9.0,315.0,1530.0,52.00
239,05/03/2021,Sangamon,196.0,135.0,15960.0, 
240,05/27/2021,Sangamon,567.0,870.0,86280.0,52.00
241,06/19/2021,Sangamon,1069.0,1080.0,291720.0,52.00
242,06/24/2021,Sangamon,30.0,255.0,2070.0,52.00
243,06/26/2021,Sangamon,2086.0,945.0,491850.0,52.00
244,07/09/2021,Sangamon,17.0,225.0,3180.0,52.00
245,08/12/2021,Sangamon,12454.0,495.0,2407650.0,61.00
246,10/24/2021,Sangamon,68.0,840.0,4905.0,52.00
247,12/10/2021,Sangamon,143.0,645.0,14880.0,52.00
248,02/14/2021,Schuyler,3.0,90.0,120.0, 
249,08/12/2021,Shelby,2102.0,270.0,244950.0,61.00
