"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM","EQD"
"99725599999","2022-10-30T02:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","110,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0119,1","+0105,1","10221,1",,"5,99,0021,1,999","SYN068CMTI2 46/// /1103 10119 20105 40221 90230 333 91204 555 11003 22003=",
"99725599999","2022-10-30T03:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0113,1","+0105,1","10219,1","7,1,012,1,+999,9","5,99,0005,1,999","SYN074CMTI2 46/// /0000 10113 20105 40219 57012 90300 333 91201 555 11001 22001=",
"99725599999","2022-10-30T04:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","050,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0109,1","+0105,1","10215,1",,"5,99,0010,1,999","SYN068CMTI2 46/// /0501 10109 20105 40215 90336 333 91202 555 11001 22001=",
"99725599999","2022-10-30T05:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0109,1","+0109,1","10211,1",,"5,99,0005,1,999","SYN068CMTI2 46/// /0000 10109 20109 40211 90436 333 91201 555 11000 22000=",
"99725599999","2022-10-30T06:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","100,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0128,1","+0077,1","10204,1","7,1,015,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /1004 10128 20077 40204 57015 90600 333 91206 555 11004 22004=",
"99725599999","2022-10-30T07:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","110,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0134,1","+0068,1","10200,1","6,1,014,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /1106 10134 20068 40200 56014 90700 333 91208 555 11006 22006=",
"99725599999","2022-10-30T08:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","180,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0112,1","+0045,1","10194,1","8,1,015,1,+999,9","5,99,0010,1,999","SYN074CMTI2 46/// /1802 10112 20045 40194 58015 90800 333 91202 555 11002 22002=",
"99725599999","2022-10-30T09:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","290,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0091,1","+0037,1","10187,1","8,1,017,1,+999,9","5,99,0010,1,999","SYN074CMTI2 46/// /2901 10091 20037 40187 58017 90900 333 91202 555 11001 22002=",
"99725599999","2022-10-30T10:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0086,1","+0049,1","10183,1","6,1,017,1,+999,9","5,99,0005,1,999","SYN074CMTI2 46/// /2001 10086 20049 40183 56017 91000 333 91201 555 11001 22001=",
"99725599999","2022-10-30T11:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0084,1","+0060,1","10180,1","6,1,014,1,+999,9","5,99,0005,1,999","SYN074CMTI2 46/// /2001 10084 20060 40180 56014 91100 333 91201 555 11001 22001=",
