,fips_code,county,state,customers_out,run_start_time,run_end_time
92,17003,Alexander,Illinois,7.0,2014-11-19 17:30:00,2014-11-19 17:45:00
93,17003,Alexander,Illinois,1.0,2014-12-03 18:00:00,2014-12-03 18:15:00
94,17003,Alexander,Illinois,20.0,2014-12-05 10:45:00,2014-12-05 11:15:00
95,17003,Alexander,Illinois,1.0,2014-11-18 11:00:00,2014-12-03 18:30:00
96,17003,Alexander,Illinois,20.0,2014-12-05 11:15:00,2014-12-05 11:30:00
97,17003,Alexander,Illinois,1.0,2014-12-03 18:30:00,2014-12-05 10:30:00
98,17005,Bond,Illinois,1.0,2014-11-10 21:00:00,2014-11-10 21:15:00
99,17005,Bond,Illinois,4.0,2014-12-06 00:00:00,2014-12-06 00:15:00
100,17005,Bond,Illinois,1.0,2014-12-09 03:30:00,2014-11-10 21:30:00
101,17005,Bond,Illinois,7.0,2014-11-19 13:15:00,2014-11-19 13:30:00
102,17005,Bond,Illinois,8.0,2014-11-19 13:30:00,2014-11-19 13:45:00
103,17005,Bond,Illinois,7.0,2014-11-19 13:00:00,2014-11-19 13:15:00
104,17005,Bond,Illinois,8.0,2014-11-14 12:45:00,2014-11-14 12:60:00
105,17005,Bond,Illinois,1.0,2014-12-08 16:45:00,2014-12-08 16:60:00
106,17005,Bond,Illinois,7.0,2014-12-06 05:00:00,2014-12-06 05:15:00
107,17005,Bond,Illinois,1.0,2014-12-08 16:15:00,2014-11-10 20:60:00
108,17005,Bond,Illinois,4.0,2014-12-06 00:45:00,2014-12-05 23:45:00
109,17005,Bond,Illinois,1.0,2014-11-12 15:45:00,2014-11-12 15:60:00
110,17005,Bond,Illinois,4.0,2014-12-05 23:00:00,2014-12-05 23:15:00
111,17005,Bond,Illinois,8.0,2014-11-14 12:30:00,2014-11-14 11:15:00
112,17005,Bond,Illinois,1.0,2014-11-03 15:45:00,2014-11-12 16:15:00
113,17005,Bond,Illinois,2.0,2014-12-05 22:15:00,2014-12-05 22:30:00
114,17005,Bond,Illinois,4.0,2014-12-05 22:45:00,2014-12-05 23:30:00
115,17005,Bond,Illinois,1.0,2014-11-28 03:15:00,2014-11-28 03:30:00
116,17005,Bond,Illinois,4.0,2014-12-05 23:45:00,2014-12-05 23:60:00
117,17005,Bond,Illinois,1.0,2014-11-10 13:30:00,2014-12-03 14:15:00
118,17005,Bond,Illinois,7.0,2014-12-06 04:30:00,2014-12-06 04:45:00
119,17005,Bond,Illinois,1.0,2014-11-10 12:30:00,2014-11-10 12:30:00
120,17005,Bond,Illinois,7.0,2014-12-06 04:45:00,2014-12-06 04:60:00
121,17005,Bond,Illinois,1.0,2014-11-27 12:15:00,2014-11-27 12:60:00
122,17007,Boone,Illinois,15.0,2014-11-24 22:45:00,2014-11-24 22:60:00
123,17007,Boone,Illinois,20.0,2014-11-22 16:00:00,2014-11-22 16:15:00
124,17007,Boone,Illinois,2.0,2014-11-22 15:30:00,2014-11-22 15:45:00
125,17007,Boone,Illinois,49.0,2014-11-25 01:45:00,2014-11-25 01:60:00
126,17007,Boone,Illinois,1.0,2014-11-01 15:00:00,2014-11-01 15:30:00
127,17007,Boone,Illinois,17.0,2014-11-22 19:15:00,2014-11-22 19:30:00
128,17007,Boone,Illinois,15.0,2014-11-25 00:15:00,2014-11-25 00:30:00
129,17007,Boone,Illinois,17.0,2014-11-22 19:45:00,2014-11-22 20:30:00
130,17007,Boone,Illinois,1.0,2014-11-17 18:15:00,2014-11-25 02:30:00
131,17007,Boone,Illinois,17.0,2014-11-22 20:30:00,2014-11-22 20:45:00
132,17007,Boone,Illinois,15.0,2014-11-25 00:00:00,2014-11-25 00:15:00
133,17007,Boone,Illinois,17.0,2014-11-22 17:45:00,2014-11-22 17:30:00
134,17007,Boone,Illinois,41.0,2014-11-22 16:45:00,2014-11-22 16:60:00
135,17007,Boone,Illinois,17.0,2014-11-22 18:30:00,2014-11-22 18:45:00
136,17007,Boone,Illinois,41.0,2014-11-22 16:30:00,2014-11-22 16:45:00
137,17007,Boone,Illinois,17.0,2014-11-22 19:00:00,2014-11-22 19:15:00
138,17007,Boone,Illinois,20.0,2014-11-22 16:15:00,2014-11-22 16:30:00
139,17007,Boone,Illinois,1.0,2014-11-25 02:00:00,2014-11-25 02:15:00
140,17007,Boone,Illinois,17.0,2014-11-22 20:45:00,2014-11-22 20:60:00
141,17007,Boone,Illinois,15.0,2014-11-24 22:30:00,2014-11-24 22:45:00
142,17007,Boone,Illinois,17.0,2014-11-22 21:15:00,2014-11-22 21:30:00
143,17007,Boone,Illinois,4.0,2014-11-23 00:45:00,2014-11-23 00:60:00
144,17007,Boone,Illinois,1.0,2014-11-01 14:30:00,2014-11-01 14:45:00
145,17007,Boone,Illinois,4.0,2014-11-23 00:15:00,2014-11-23 00:30:00
146,17007,Boone,Illinois,17.0,2014-11-22 22:15:00,2014-11-22 22:30:00
147,17007,Boone,Illinois,4.0,2014-11-23 00:00:00,2014-11-23 00:15:00
148,17007,Boone,Illinois,1.0,2014-11-25 01:00:00,2014-11-25 01:15:00
149,17007,Boone,Illinois,17.0,2014-11-22 23:30:00,2014-11-22 23:45:00
150,17007,Boone,Illinois,15.0,2014-11-24 21:45:00,2014-11-24 21:60:00
151,17007,Boone,Illinois,17.0,2014-11-22 22:45:00,2014-11-22 22:60:00
152,17007,Boone,Illinois,16.0,2014-11-25 00:45:00,2014-11-25 00:60:00
153,17007,Boone,Illinois,17.0,2014-11-22 23:15:00,2014-11-22 23:30:00
154,17007,Boone,Illinois,16.0,2014-11-24 20:30:00,2014-11-24 20:45:00
155,17007,Boone,Illinois,17.0,2014-11-22 21:00:00,2014-11-22 21:15:00
156,17007,Boone,Illinois,4.0,2014-11-23 01:30:00,2014-11-23 01:45:00
157,17007,Boone,Illinois,17.0,2014-11-22 21:45:00,2014-11-22 22:15:00
158,17007,Boone,Illinois,1.0,2014-11-19 22:15:00,2014-11-19 22:30:00
159,17007,Boone,Illinois,16.0,2014-11-25 00:30:00,2014-11-25 00:45:00
160,17007,Boone,Illinois,1.0,2014-11-19 22:00:00,2014-11-19 22:15:00
161,17007,Boone,Illinois,49.0,2014-11-24 19:15:00,2014-11-25 01:45:00
162,17007,Boone,Illinois,1.0,2014-11-01 14:45:00,2014-11-01 14:60:00
163,17007,Boone,Illinois,3.0,2014-11-01 17:45:00,2014-11-01 17:60:00
164,17007,Boone,Illinois,1.0,2014-11-25 01:15:00,2014-11-25 01:30:00
165,17007,Boone,Illinois,15.0,2014-11-24 22:15:00,2014-11-24 22:30:00
166,17007,Boone,Illinois,4.0,2014-11-23 01:45:00,2014-11-23 01:60:00
167,17007,Boone,Illinois,15.0,2014-11-24 22:00:00,2014-11-24 22:15:00
168,17007,Boone,Illinois,3.0,2014-11-01 16:45:00,2014-11-01 16:60:00
169,17007,Boone,Illinois,1.0,2014-11-17 17:30:00,2014-11-17 17:45:00
