,fips_code,county,state,customers_out,run_start_time
191,17001,Adams,Illinois,18.0,2014-11-28 19:30:00
192,17001,Adams,Illinois,1.0,2014-11-17 10:15:00
193,17001,Adams,Illinois,18.0,2014-11-28 19:15:00
194,17001,Adams,Illinois,18.0,2014-11-28 19:00:00
195,17001,Adams,Illinois,1.0,2014-11-17 10:30:00
196,17001,Adams,Illinois,18.0,2014-11-28 18:45:00
197,17001,Adams,Illinois,18.0,2014-11-28 18:30:00
198,17001,Adams,Illinois,1.0,2014-11-17 10:45:00
199,17001,Adams,Illinois,1.0,2014-11-17 11:00:00
200,17001,Adams,Illinois,1.0,2014-11-17 11:15:00
201,17001,Adams,Illinois,41.0,2014-11-11 01:45:00
202,17001,Adams,Illinois,41.0,2014-11-11 01:30:00
203,17001,Adams,Illinois,1.0,2014-11-17 11:30:00
204,17001,Adams,Illinois,41.0,2014-11-11 01:15:00
205,17001,Adams,Illinois,41.0,2014-11-11 01:00:00
206,17001,Adams,Illinois,1.0,2014-11-17 11:45:00
207,17001,Adams,Illinois,1.0,2014-11-17 12:00:00
208,17001,Adams,Illinois,1.0,2014-11-17 12:15:00
209,17001,Adams,Illinois,1.0,2014-11-17 12:30:00
210,17001,Adams,Illinois,1.0,2014-11-17 12:45:00
211,17001,Adams,Illinois,1.0,2014-11-17 13:00:00
212,17001,Adams,Illinois,1.0,2014-11-17 13:15:00
213,17001,Adams,Illinois,1.0,2014-12-01 21:15:00
214,17001,Adams,Illinois,1.0,2014-11-17 13:30:00
215,17001,Adams,Illinois,1.0,2014-12-01 21:30:00
216,17001,Adams,Illinois,1.0,2014-11-17 09:45:00
217,17001,Adams,Illinois,1.0,2014-11-02 16:00:00
218,17001,Adams,Illinois,1.0,2014-11-17 09:30:00
219,17001,Adams,Illinois,1.0,2014-11-02 15:45:00
220,17001,Adams,Illinois,1.0,2014-11-29 01:30:00
221,17001,Adams,Illinois,1.0,2014-11-29 01:15:00
222,17001,Adams,Illinois,1.0,2014-11-29 01:00:00
223,17001,Adams,Illinois,1.0,2014-11-29 00:45:00
224,17001,Adams,Illinois,1.0,2014-11-17 08:15:00
225,17001,Adams,Illinois,1.0,2014-11-29 00:30:00
226,17001,Adams,Illinois,1.0,2014-11-12 20:45:00
227,17001,Adams,Illinois,1.0,2014-11-29 00:15:00
228,17001,Adams,Illinois,1.0,2014-11-02 15:00:00
229,17001,Adams,Illinois,1.0,2014-11-12 20:30:00
230,17001,Adams,Illinois,1.0,2014-11-29 00:00:00
231,17001,Adams,Illinois,1.0,2014-11-28 23:45:00
232,17001,Adams,Illinois,1.0,2014-11-28 23:30:00
233,17001,Adams,Illinois,1.0,2014-11-17 08:00:00
234,17001,Adams,Illinois,1.0,2014-11-28 23:15:00
235,17001,Adams,Illinois,1.0,2014-11-12 17:00:00
236,17001,Adams,Illinois,1.0,2014-11-12 16:45:00
237,17001,Adams,Illinois,1.0,2014-11-02 15:15:00
238,17001,Adams,Illinois,1.0,2014-11-12 16:30:00
239,17001,Adams,Illinois,1.0,2014-11-02 15:30:00
240,17001,Adams,Illinois,1.0,2014-11-28 22:45:00
241,17001,Adams,Illinois,1.0,2014-11-17 08:30:00
242,17001,Adams,Illinois,1.0,2014-11-17 08:45:00
243,17001,Adams,Illinois,1.0,2014-11-17 09:00:00
244,17001,Adams,Illinois,1.0,2014-11-17 09:15:00
245,17001,Adams,Illinois,1.0,2014-11-12 03:15:00
246,17001,Adams,Illinois,1.0,2014-11-12 03:00:00
247,17001,Adams,Illinois,1.0,2014-11-12 02:45:00
248,17001,Adams,Illinois,1.0,2014-11-28 23:00:00
249,17001,Adams,Illinois,1.0,2014-11-07 23:00:00
250,17001,Adams,Illinois,2.0,2014-11-29 18:45:00
251,17001,Adams,Illinois,1.0,2014-11-07 22:30:00
252,17001,Adams,Illinois,1.0,2014-12-08 18:00:00
253,17001,Adams,Illinois,380.0,2014-11-21 17:45:00
254,17001,Adams,Illinois,380.0,2014-11-21 18:00:00
255,17001,Adams,Illinois,380.0,2014-11-21 18:15:00
256,17001,Adams,Illinois,380.0,2014-11-21 18:30:00
257,17001,Adams,Illinois,380.0,2014-11-21 18:45:00
258,17001,Adams,Illinois,380.0,2014-11-21 19:00:00
259,17001,Adams,Illinois,1.0,2014-12-09 17:30:00
260,17001,Adams,Illinois,380.0,2014-11-21 19:15:00
261,17001,Adams,Illinois,1.0,2014-12-08 17:45:00
262,17001,Adams,Illinois,380.0,2014-11-21 19:30:00
263,17001,Adams,Illinois,380.0,2014-11-21 20:00:00
264,17001,Adams,Illinois,1.0,2014-12-10 15:15:00
