Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2018,12990,Consolidated Electric Coop Inc,OH,PJM,.,2,1,.,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
2018,13027,"Mountain Electric Coop, Inc",TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13036,Village of Mt. Horeb - (WI),WI,MISO,24,8,0,0,32,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13050,"Mountain Parks Electric, Inc",CO,WACM,432,25,11,.,468,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,13119,City of Murfreesboro,TN,TVA,0,2,2,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13138,City of Murray - (KY),KY,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13144,City of Muscle Shoals,AL,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13145,Village of Muscoda - (WI),WI,MISO,0,7,3,0,10,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13216,Nashville Electric Service,TN,TVA,0,18,23,0,41,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13318,"Navopache Electric Coop, Inc",AZ,PNM,"6,522",140,.,.,"6,662",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13337,Nebraska Public Power District,NE,SWPP,.,36,20,.,56,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13407,Nevada Power Co,NV,NEVP,"4,826","2,855","1,540",0,"9,221",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13412,City of New Albany - (MS),MS,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13437,City of Newbern,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13438,Village of New Glarus - (WI),WI,MISO,0,3,0,0,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13441,New Hampshire Elec Coop Inc,NH,ISNE,20,.,.,.,20,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13448,City of New Holstein - (WI),WI,MISO,23,17,0,0,40,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13467,New London Electric&Water Util,WI,MISO,0,14,4,0,18,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13481,City of New Richmond,WI,MISO,36,23,0,0,59,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13511,New York State Elec & Gas Corp,NY,NYIS,"132,507","5,147",462,.,"138,116",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13550,City of Newport,TN,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13561,City of Newton - (NC),NC,DUK,.,4,3,.,7,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13573,Niagara Mohawk Power Corp.,NY,NYIS,0,111,269,0,380,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13640,Northern Virginia Elec Coop,VA,PJM,0,14,1,.,15,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13669,North Alabama Electric Coop,AL,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13676,"North Arkansas Elec Coop, Inc",AR,MISO,.,28,.,.,28,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
2018,13684,Nobles Cooperative Electric,MN,MISO,5,.,.,.,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13693,"North Central Elec Coop, Inc",OH,PJM,"8,417","1,220",19,.,"9,656",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13697,North Central Power Co Inc,WI,MISO,94,3,5,0,102,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13698,North Central Public Pwr Dist,NE,SWPP,.,32,.,.,32,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,13716,North Georgia Elec Member Corp,GA,TVA,0,42,34,0,76,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13718,City of North Little Rock - (AR),AR,MISO,.,34,2,.,36,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13730,City of North St Paul - (MN),MN,MISO,.,1,.,.,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13735,Northcentral Mississippi E P A,MS,TVA,3,0,3,0,6,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13739,Northeast Power,NE,SWPP,33,.,668,.,701,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,13762,"Northern Neck Elec Coop, Inc",VA,PJM,2,12,.,.,14,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13780,Northern States Power Co,MI,MISO,138,26,2,.,166,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13780,Northern States Power Co,WI,MISO,"6,660","9,875",11,.,"16,546",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13781,Northern States Power Co - Minnesota,MN,MISO,"1,021","15,647",26,1,"16,695",Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13781,Northern States Power Co - Minnesota,ND,MISO,35,831,.,.,866,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13781,Northern States Power Co - Minnesota,SD,MISO,9,675,0,.,684,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13805,Northwest Rural Pub Pwr Dist,NE,WACM,"2,102",.,.,.,"2,102",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13815,Northwestern Wisconsin Elec Co,WI,MISO,428,51,24,.,503,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13933,City of Oak Ridge,TN,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13936,Oakdale Electric Coop,WI,MISO,779,202,43,.,"1,024",N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,13963,Oconomowoc Utilities,WI,MISO,59,81,5,0,145,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,13965,Oconto Falls Water & Light Comm,WI,MISO,0,6,0,0,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14006,Ohio Power Co,OH,PJM,"713,054",545,13,0,"713,612",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,14062,Oklahoma Electric Coop Inc,OK,SWPP,"51,200","3,995",37,.,"55,232",Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,14063,Oklahoma Gas & Electric Co,AR,SWPP,"5,705",511,48,0,"6,264",Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N
2018,14063,Oklahoma Gas & Electric Co,OK,SWPP,"99,197","9,712","1,086",.,"109,995",Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N
2018,14078,City of Okolona,MS,TVA,0,150,0,0,150,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14127,Omaha Public Power District,NE,SWPP,0,98,5,0,103,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14146,City of Opelika - (AL),AL,SOCO,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14160,Orange County Rural E M C,IN,MISO,496,.,.,.,496,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14164,City of Orangeburg - (SC),SC,SCEG,.,.,16,.,16,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14170,Orcas Power & Light Coop,WA,BPAT,55,0,.,.,55,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14175,"Tri-County Electric Coop, Inc",SC,SC,.,222,.,.,222,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14232,Otter Tail Power Co,MN,MISO,"18,321","2,047",11,0,"20,379",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,14232,Otter Tail Power Co,ND,MISO,"16,300","2,221",0,0,"18,521",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,14232,Otter Tail Power Co,SD,MISO,"3,706",364,0,0,"4,070",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,14246,City of Owatonna - (MN),MN,MISO,.,55,37,.,92,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14289,Ozarks Electric Coop Corp - (AR),AR,SWPP,.,12,3,.,15,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,14328,Pacific Gas & Electric Co.,CA,CISO,"392,990","548,543","1,261",0,"942,794",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,14354,PacifiCorp,CA,PACW,0,8,23,0,31,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14354,PacifiCorp,ID,PACE,"11,265",3,0,0,"11,268",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14354,PacifiCorp,OR,PACW,"1,022",258,197,0,"1,477",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14354,PacifiCorp,UT,PACE,629,946,541,1,"2,117",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14354,PacifiCorp,WA,PACW,0,30,18,0,48,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14354,PacifiCorp,WY,PACE,0,13,62,0,75,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14398,Palmetto Electric Coop Inc,SC,SC,1,204,6,0,211,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,14401,City of Palo Alto - (CA),CA,CISO,96,1,.,.,97,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14455,City of Paris - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14468,People's Cooperative Services,MN,MISO,279,3,0,0,282,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14471,Parke County Rural E M C,IN,MISO,24,1,.,.,25,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14534,City of Pasadena - (CA),CA,CISO,47,205,.,.,252,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14557,"Pee Dee Electric Coop, Inc",SC,SC,2,0,15,0,17,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,14563,Pearl River Valley El Pwr Assn,MS,MISO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14602,Pea River Electric Coop,AL,AEC,.,17,.,.,17,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14605,City of Peabody - (MA),MA,ISNE,.,8,3,.,11,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14606,"Peace River Electric Coop, Inc",FL,SEC,0,16,8,.,24,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14610,Orlando Utilities Comm,FL,FMPP,.,370,.,.,370,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14626,"Pedernales Electric Coop, Inc",TX,ERCO,105,798,2,0,905,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14711,Pennsylvania Electric Co,PA,PJM,70,.,88,.,158,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14715,PPL Electric Utilities Corp,PA,PJM,.,196,32,.,228,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14716,Pennsylvania Power Co,PA,PJM,0,0,41,0,41,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14717,Pee Dee Electric Member Corp,NC,CPLE,3,.,.,.,3,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14724,Pennyrile Rural Electric Coop,KY,TVA,0,1,14,0,15,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14864,Petit Jean Electric Coop Corp,AR,MISO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,14940,PECO Energy Co,PA,PJM,.,318,87,.,405,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15023,Piedmont Electric Member Corp,NC,DUK,854,177,1,.,"1,032",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,15086,Pioneer Power and Light Co,WI,MISO,4,0,0,0,4,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15159,City of Plymouth - (WI),WI,MISO,18,37,8,0,63,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15211,Pontotoc Electric Power Assn,MS,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15248,Portland General Electric Co,OR,PGE,"2,717",319,.,.,"3,036",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15263,The Potomac Edison Company,MD,PJM,0,57,57,0,114,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15270,Potomac Electric Power Co,DC,PJM,0,"3,688",.,.,"3,688",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2018,15270,Potomac Electric Power Co,MD,PJM,"515,600","18,357",8,1,"533,966",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2018,15312,Village of Prairie Du Sac - (WI),WI,MISO,0,8,1,0,9,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15340,Presque Isle Elec & Gas Coop,MI,MISO,.,8,6,.,14,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15466,Public Service Co of Colorado,CO,PSCO,"5,911",126,0,.,"6,037",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,15470,"Duke Energy Indiana, LLC",IN,MISO,.,27,82,.,109,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N
2018,15472,Public Service Co of NH,NH,ISNE,39,88,72,.,199,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15473,Public Service Co of NM,NM,PNM,116,"4,977",61,.,"5,154",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15474,Public Service Co of Oklahoma,OK,SWPP,"478,631","60,327","6,200",0,"545,158",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,15507,City of Pulaski - (TN),TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15671,Randolph Electric Member Corp,NC,CPLE,55,44,1,.,100,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15748,Town of Reading - (MA),MA,ISNE,487,90,0,0,577,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15804,Reedsburg Utility Comm,WI,MISO,1,23,8,0,32,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15938,Rice Lake Utilities,WI,MISO,31,7,34,.,72,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15978,City of Richland Center - (WI),WI,MISO,52,8,5,0,65,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,15989,City of Richmond - (IN),IN,PJM,.,.,60,.,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,16057,"Rio Grande Electric Coop, Inc",TX,ERCO,"8,486","4,198",525,.,"13,209",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16060,Riverland Energy Cooperative,WI,MISO,358,77,.,.,435,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16082,City of River Falls,WI,MISO,16,20,2,0,38,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16088,City of Riverside - (CA),CA,CISO,86,.,504,.,590,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16101,Roanoke Electric Member Corp,NC,PJM,0,1,2,.,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16179,Rochelle Municipal Utilities,IL,PJM,.,.,34,.,34,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16181,Rochester Public Utilities,MN,MISO,0,53,0,.,53,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16183,Rochester Gas & Electric Corp,NY,NYIS,"3,530",505,192,.,"4,227",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16223,City of Rockwood - (TN),TN,TVA,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16295,City of Roseville - (CA),CA,BANC,0,0,30,0,30,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16511,Sac-Osage Electric Coop Inc,MO,AECI,.,5,.,.,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16534,Sacramento Municipal Util Dist,CA,BANC,"28,001","64,288",160,1,"92,450",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16558,City of Salem - (VA),VA,PJM,.,9,7,.,16,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16572,Salt River Project,AZ,SRP,"315,369","11,845",3,.,"327,217",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16603,"San Luis Valley R E C, Inc",CO,WACM,"1,190",68,52,.,"1,310",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16604,City of San Antonio - (TX),TX,ERCO,.,65,.,.,65,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16609,San Diego Gas & Electric Co,CA,CISO,"155,509","141,825",244,0,"297,578",Y,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N
2018,16616,"San Isabel Electric Assn, Inc",CO,WACM,897,510,4,.,"1,411",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16629,Sand Mountain Electric Coop,AL,TVA,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16674,Satilla Rural Elec Member Corporation,GA,SOCO,0,788,22,0,810,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,16679,City of Sauk Centre - (MN),MN,MISO,36,4,8,.,48,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
2018,16829,City of Scottsboro,AL,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16865,Sawnee Electric Membership Corporation,GA,SOCO,203,28,.,.,231,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16868,City of Seattle - (WA),WA,SCL,1,107,26,2,136,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16920,Sedgwick County El Coop Assn Inc,KS,SWPP,.,.,8,.,8,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16930,Sequachee Valley Electric Coop,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16949,Sevier County Electric System,TN,TVA,0,1,3,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,16971,Shakopee Public Utilities Comm,MN,MISO,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17011,Shawano Municipal Utilities,WI,MISO,21,2,31,0,54,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17033,Sheffield Utilities,AL,TVA,0,0,8,0,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17037,City of Shelby - (NC),NC,DUK,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17047,City of Shelbyville - (TN),TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17066,Shenandoah Valley Elec Coop,VA,PJM,.,11,5,.,16,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,17166,Sierra Pacific Power Co,NV,NEVP,"1,120","1,075",103,.,"2,298",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17252,Singing River Elec Cooperative,MS,MISO,.,48,14,.,62,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17324,Slinger Utilities,WI,MISO,1,12,0,0,13,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17452,City of Smithville - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17492,"Socorro Electric Coop, Inc",NM,PNM,151,12,.,.,163,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17539,"Dominion Energy South Carolina, Inc",SC,SCEG,80,"1,314",23,.,"1,417",Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17543,South Carolina Public Service Authority,SC,SC,2,30,21,.,53,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N
2018,17548,South Central Public Pwr Dist,NE,SWPP,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,CT,ISNE,0,4,0,0,4,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,MA,ISNE,0,15,0,0,15,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,ME,ISNE,0,6,0,0,6,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,NH,ISNE,0,29,0,0,29,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,NJ,PJM,0,5,0,0,5,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,PA,PJM,0,2,0,0,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17549,South Jersey Energy Company,RI,ISNE,0,5,0,0,5,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17572,South River Elec Member Corp,NC,CPLE,6,117,.,.,123,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17577,City of South Sioux City,NE,SWPP,.,1,.,.,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17592,Southeast Colorado Power Assn,CO,WACM,32,.,.,.,32,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17599,Southeastern Indiana R E M C,IN,MISO,49,.,.,.,49,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,17603,Southeastern Electric Coop Inc - (OK),OK,SWPP,.,.,9,.,9,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
2018,17609,Southern California Edison Co,CA,CISO,"373,950","629,464","16,900",.,"1,020,314",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,17612,Bear Valley Electric Service,CA,CISO,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17643,"Southern Iowa Elec Coop, Inc",IA,AECI,"4,554",167,0,.,"4,721",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17646,"Southern Pine Elec Coop, Inc",AL,AEC,.,2,.,.,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,17683,Southwest Mississippi E P A,MS,MISO,.,3,1,.,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,17684,Southwest Louisiana E M C,LA,MISO,.,6,.,.,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
