Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2018,3916,Cobb Electric Membership Corp,GA,SOCO,189,"1,766",.,.,"1,955",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,3989,City of Colorado Springs - (CO),CO,WACM,28,"1,768",169,0,"1,965",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4003,City of Colton - (CA),CA,CISO,0,0,86,.,86,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4045,City of Columbia - (MO),MO,MISO,.,1,8,.,9,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4073,City of Columbus - (WI),WI,MISO,4,11,2,0,17,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4110,Commonwealth Edison Co,IL,PJM,"295,064","8,936",126,0,"304,126",N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
2018,4147,Town of Concord - (MA),MA,ISNE,45,.,.,.,45,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4176,Connecticut Light & Power Co,CT,ISNE,426,"2,382",659,2,"3,469",Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
2018,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"45,000","1,541",.,.,"46,541",Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4254,Consumers Energy Co,MI,MISO,"24,417",255,494,0,"25,166",Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
2018,4294,City of Cookeville - (TN),TN,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4327,Coosa Valley Electric Coop Inc,AL,AEC,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4430,"Covington Electric Coop, Inc",AL,AEC,.,6,.,.,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4432,Coweta-Fayette El Member Corp,GA,SOCO,34,3,.,.,37,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4433,City of Covington - (GA),GA,SOCO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4437,City of Covington - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4471,Craig-Botetourt Electric Coop,VA,PJM,1,.,.,.,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4538,Crisp County Power Comm,GA,SOCO,15,.,2,.,17,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4577,Crow Wing Cooperative Power & Light Comp,MN,MISO,.,3,.,.,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4604,City of Crystal Falls,MI,MISO,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4607,City of Cuba City,WI,MISO,0,6,0,0,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4618,"Cullman Electric Coop, Inc",AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4622,"Cumberland Valley Electric, Inc.",KY,PJM,12,.,.,.,12,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4624,Cumberland Elec Member Corp,TN,TVA,0,0,12,0,12,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4675,Cuivre River Electric Coop Inc,MO,AECI,.,24,.,.,24,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,4704,"DS&O Electric Cooperative, Inc.",KS,SWPP,"7,149",127,4,.,"7,280",N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,4848,Daviess Martin County R E M C,IN,MISO,35,.,.,.,35,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4920,City of Dayton - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4958,Decatur Utilities,AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,4960,Decatur County Rural E M C,IN,MISO,1,.,.,.,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5027,Delmarva Power,DE,PJM,"262,100","14,300",.,.,"276,400",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N
2018,5027,Delmarva Power,MD,PJM,"175,400",.,.,.,"175,400",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2018,5063,City of Denton - (TX),TX,ERCO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5070,Delaware Electric Cooperative,DE,PJM,.,45,.,.,45,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5078,"Denton County Elec Coop, Inc",TX,ERCO,"1,417",163,74,.,"1,654",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
