Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2018,1273,"Bartlett Electric Coop, Inc",TX,ERCO,16,.,.,.,16,0.0,.,.,.,0.0,222,.,.,.,222,0.0,.,.,.,0.0,3,.,.,.,3,1,.,.,.,1,8,.,.,.,8,1,.,.,.,1,15.160,.,.,.,www.bartlettec.coop
2018,1366,City of Bay City - (MI),MI,MISO,948,"1,871",.,.,"2,819",0.2,0.0,.,.,0.2,"9,927","27,013",.,.,"36,940",0.2,0.0,.,.,0.2,152,139,.,.,291,95,123,.,.,218,152,139,.,.,291,95,123,.,.,218,10.470,14.440,.,.,www.baycityenergysmart.org/annual-reports
2018,1367,"Bayfield Electric Coop, Inc",WI,MISO,61,103,.,.,164,0.0,0.0,.,.,0.0,817,"1,497",.,.,"2,314",0.0,0.0,.,.,0.0,8,2,.,.,10,41,0,.,.,41,8,2,.,.,10,41,0,.,.,41,13.000,13.000,.,.,
2018,1529,"Beltrami Electric Coop, Inc",MN,MISO,2,1,.,.,4,0.1,0.2,.,.,0.3,"24,217","17,213",.,.,"41,430",0.1,0.2,.,.,0.3,134,181,.,.,315,100,1,.,.,101,134,181,.,.,315,100,1,.,.,101,13.980,11.860,.,.,www.beltramielectric.com
2018,1573,City of Benson - (MN),MN,MISO,19,24,54,.,97,0.0,0.0,0.0,.,0.0,308,326,725,.,"1,358",0.0,0.0,0.0,.,0.0,3,2,5,.,10,1,1,2,.,4,3,2,5,.,10,1,1,2,.,4,16.300,13.400,13.400,.,
2018,1579,PUD No 1 of Benton County,WA,BPAT,"2,994","2,058","2,793",.,"7,845",0.6,0.6,0.7,.,1.9,"35,928","24,696","33,516",.,"94,140",0.6,0.6,0.7,.,1.9,815,389,426,.,"1,630",.,.,.,.,.,815,389,426,.,"1,630",.,.,.,.,.,12.000,12.000,12.000,.,
2018,1601,City of Beresford,SD,SWPP,7,75,192,.,274,0.0,0.0,0.0,.,0.0,122,"1,019","2,621",.,"3,762",0.0,0.0,0.0,.,0.0,1,2,6,.,8,0,1,2,.,3,1,2,6,.,8,0,1,2,.,3,17.100,13.600,13.600,.,
2018,1613,Berkeley Electric Coop Inc,SC,SC,212,499,.,.,711,0.1,0.1,.,.,0.2,"4,592","1,996",.,.,"6,588",0.1,0.1,.,.,0.2,9,14,.,.,23,29,2,.,.,31,9,14,.,.,23,29,2,.,.,31,15.000,5.000,.,.,
2018,1692,Big Rivers Electric Corp,KY,MISO,"1,625","7,163",.,.,"8,788",0.3,1.9,.,.,2.2,"60,425","43,363",.,.,"103,788",0.3,1.9,.,.,2.2,195,647,.,.,842,36,8,.,.,44,195,647,.,.,842,36,8,.,.,44,12.800,10.300,.,.,
2018,1723,"Big Bend Electric Coop, Inc",WA,BPAT,162,156,"1,636",0,"1,955",0.0,0.1,0.5,0.0,0.6,"2,453","1,961","9,962",0,"14,375",0.0,0.0,0.3,0.0,0.3,44,32,211,0,286,38,4,94,0,136,44,32,211,0,286,38,4,94,0,136,15.100,12.160,14.760,0.000,Included in BPA's compiled report for the region.  www.bpa.gov
2018,1736,Blachly-Lane County Coop El Assn,OR,BPAT,225,45,4,0,273,0.1,0.0,0.0,0.0,0.1,"3,496",625,42,0,"4,163",0.1,0.0,0.0,0.0,0.1,51,12,2,0,65,16,3,0,0,20,51,12,2,0,65,16,3,0,0,20,15.533,14.000,12.000,0.000,www.blachlylane.coop
2018,1818,City of Blaine - (WA),WA,PSEI,11,540,.,.,551,0.0,0.1,.,.,0.1,83,"13,134",.,.,"13,217",0.0,0.1,.,.,0.1,1,29,.,.,30,.,.,.,.,.,1,29,.,.,30,.,.,.,.,.,7.450,24.340,.,.,
2018,1869,City of Bloomfield - (IA),IA,AECI,0,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0,307,0,0,307,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,.,10.000,.,.,
2018,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,92,.,.,.,92,1.0,.,.,.,1.0,644,.,.,.,644,1.0,.,.,.,1.0,13,.,.,.,13,0,.,.,.,0,38,.,.,.,38,0,.,.,.,0,7.000,.,.,.,
2018,2008,City of Boulder City - (NV),NV,WALC,312,.,.,.,312,0.1,.,.,.,0.1,"3,124",.,.,.,"3,124",0.1,.,.,.,0.1,47,.,.,.,47,18,.,.,.,18,47,.,.,.,47,18,.,.,.,18,15.000,.,.,.,
2018,2089,Bozrah Light & Power Company,CT,ISNE,19,9,0,0,28,0.0,0.0,0.0,0.0,0.0,234,126,0,0,360,0.0,0.0,0.0,0.0,0.0,17,2,0,0,19,22,3,0,0,26,17,2,0,0,19,22,3,0,0,26,12.400,14.200,0.000,0.000,
2018,2182,City of Breckenridge- (MN),MN,MISO,102,146,165,0,412,0.0,0.0,0.0,0.0,0.1,"1,332","1,784","2,012",0,"5,129",0.0,0.0,0.0,0.0,0.1,10,10,12,0,31,4,4,4,0,12,10,10,12,0,31,4,4,4,0,12,13.100,12.200,12.200,0.000,
2018,2212,"Broad River Electric Coop, Inc",NC,DUK,.,.,.,.,.,0.0,.,.,.,0.0,.,.,.,.,.,0.0,.,.,.,0.0,.,.,.,.,.,"7,350",.,.,.,"7,350",.,.,.,.,.,"7,350",.,.,.,"7,350",.,.,.,.,
2018,2285,City of Brookings - (SD),SD,WACM,120,"1,127","3,380",0,"4,627",0.0,0.2,0.6,0.0,0.9,"2,017","13,792","41,375",0,"57,183",0.0,0.2,0.6,0.0,0.9,23,67,201,0,291,9,25,74,0,108,23,67,201,0,291,9,25,74,0,108,16.800,12.200,12.200,0.000,
2018,2442,City of Bryan - (TX),TX,ERCO,319,"1,555",.,.,"1,874",0.1,0.4,.,.,0.5,"3,194","15,549",.,.,"18,743",0.1,0.4,.,.,0.5,58,139,.,.,197,53,24,.,.,76,58,139,.,.,197,53,24,.,.,76,10.000,10.000,.,.,
2018,2507,City of Burbank Water and Power,CA,LDWP,"5,135","8,432",.,.,"13,567",1.4,3.3,.,.,4.7,"24,433","84,720",.,.,"109,153",1.4,3.3,.,.,4.7,"1,452",788,.,.,"2,240",363,844,.,.,"1,207","1,452",788,.,.,"2,240",363,844,.,.,"1,207",4.760,10.050,.,.,
2018,2548,City of Burlington Electric - (VT),VT,ISNE,"2,396","2,985",0,0,"5,381",0.2,0.5,0.0,0.0,0.7,"35,221","34,029",0,0,"69,250",0.3,0.5,0.0,0.0,0.8,422,951,0,0,"1,373",387,743,0,0,"1,130",422,951,0,0,"1,373",387,743,0,0,"1,130",14.900,11.400,0.000,0.000,www.burlingtonelectric.com
2018,2599,Burt County Public Power Dist,NE,SWPP,9,130,1,.,140,0.0,.,.,.,0.0,185,"1,343",6,.,"1,534",0.0,.,.,.,0.0,1,5,0,.,6,1,3,1,.,5,1,5,0,.,6,1,3,1,.,5,20.000,10.290,11.000,.,
2018,2643,Butler Public Power District - (NE),NE,SWPP,65,228,0,0,293,0.0,0.0,0.0,0.0,0.1,"1,187","2,507",0,0,"3,694",0.0,0.0,0.0,0.0,0.1,10,11,0,0,22,2,5,2,0,9,10,11,0,0,22,2,5,2,0,9,18.335,10.997,0.000,0.000,
2018,2655,"Butte Electric Coop, Inc",SD,WACM,1,.,.,.,1,0.3,.,.,.,0.3,13,.,.,.,13,0.3,.,.,.,0.3,3,.,.,.,3,1,.,.,.,1,36,.,.,.,36,23,.,.,.,23,10.000,.,.,.,
2018,2955,Canby Utility Board,OR,PGE,107,90,407,0,604,0.0,0.0,0.1,0.0,0.1,"2,401","1,055","4,616",0,"8,072",0.0,0.0,0.1,0.0,0.1,28,18,60,0,106,5,4,18,0,26,28,18,60,0,106,5,4,18,0,26,22.809,11.714,8.000,.,
2018,3046,Duke Energy Progress - (NC),NC,CPLE,"217,062","132,011",.,.,"349,073",41.2,22.4,.,.,63.5,"832,831","1,466,373",.,.,"2,299,204",41.2,22.4,.,.,63.5,"23,367","15,531",.,.,"38,898","14,949","5,638",.,.,"20,587","23,367","15,531",.,.,"38,898","14,949","5,638",.,.,"20,587",3.837,11.108,.,.,
2018,3046,Duke Energy Progress - (NC),SC,CPLE,"37,855","23,022",.,.,"60,878",7.2,3.9,.,.,11.1,"145,244","255,733",.,.,"400,977",7.2,3.9,.,.,11.1,"4,075","2,709",.,.,"6,784","2,607",983,.,.,"3,590","4,075","2,709",.,.,"6,784","2,607",983,.,.,"3,590",3.837,11.108,.,.,
2018,3107,Carteret-Craven El Member Corp,NC,CPLE,194,1,.,.,195,8.1,0.1,.,.,8.1,283,"5,745",.,.,"6,028",9.3,0.1,.,.,9.3,1,0,.,.,1,6,.,.,.,6,1,0,.,.,1,6,.,.,.,6,4.940,17.000,.,.,Commercial Energy Savings from LED lighting program/no cost to customer.
2018,3203,Cedar Falls Utilities,IA,MISO,"1,390","1,465",303,.,"3,158",0.7,0.6,0.1,.,1.4,"14,925","15,065","2,972",.,"32,963",0.7,0.6,0.1,.,1.4,316,327,49,.,693,146,24,41,.,211,316,327,49,.,693,146,24,41,.,211,10.740,10.280,9.800,.,
2018,3205,Cedar-Knox Public Power Dist,NE,SWPP,39,295,0,0,334,0.0,0.0,.,.,0.0,549,"3,241",0,0,"3,790",0.0,0.0,.,.,0.0,5,12,0,0,18,4,9,0,0,13,5,12,0,0,18,4,9,0,0,13,14.200,11.000,.,.,
2018,3240,Central Electric Coop Inc - (OR),OR,BPAT,"1,460","1,183",334,.,"2,977",0.1,0.2,0.0,.,0.3,"79,342","27,498","9,773",.,"116,613",0.1,0.2,0.0,.,0.3,506,151,52,.,709,.,.,.,.,.,"1,649",390,131,.,"2,170",.,.,.,.,.,11.000,11.000,11.000,.,
2018,3245,"Central Florida Elec Coop, Inc",FL,SEC,294,0,0,.,294,0.1,0.0,0.0,.,0.1,"2,379",0,0,.,"2,379",0.1,0.0,0.0,.,0.1,51,0,0,.,51,7,0,0,.,7,51,0,0,.,51,7,0,0,.,7,8.098,0.000,0.000,.,
2018,3248,Central Georgia El Member Corp,GA,SOCO,200,.,.,.,200,0.0,.,.,.,0.0,"2,352",.,.,.,"2,352",0.0,.,.,.,0.0,19,.,.,.,19,15,.,.,.,15,19,.,.,.,19,15,.,.,.,15,11.200,.,.,.,
2018,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"48,164","33,800",.,.,"81,964",2.5,6.9,.,.,9.3,"1,003,587","919,810",.,.,"1,923,397",2.2,4.3,.,.,6.5,"1,617","4,657",.,.,"6,274",167,386,.,.,553,"4,763","9,339",.,.,"14,101","5,351",983,.,.,"6,335",8.000,15.000,.,.,www.cenhud.com
2018,3258,Central Iowa Power Cooperative,IA,MISO,"3,418","2,940",390,0,"6,748",0.8,0.3,0.0,0.0,1.1,"27,486","44,265","5,313",0,"77,064",0.8,0.3,0.0,0.0,1.1,"1,037",670,14,0,"1,721",535,345,7,0,887,"1,037",670,14,0,"1,721",535,345,7,0,887,8.041,15.057,13.611,0.000,Integrated Resource Plan found at http://cipco.net
2018,3264,Central Lincoln People's Ut Dt,OR,BPAT,"6,675","2,484",96,.,"9,256",1.6,0.5,0.5,.,2.6,"109,287","36,448",727,.,"146,462",1.6,0.5,0.5,.,2.6,"1,536",446,5,.,"1,986",75,28,1,.,104,"1,536",446,5,.,"1,986",75,28,1,.,104,16.269,14.671,7.600,.,
2018,3278,AEP Texas Central Company,TX,ERCO,"21,910","39,916",0,0,"61,826",11.4,32.4,0.0,0.0,43.8,"335,270","579,200",0,0,"914,470",11.4,32.4,0.0,0.0,43.8,"6,717","5,516",0,0,"12,233",793,631,0,0,"1,424","6,717","5,516",0,0,"12,233",793,631,0,0,"1,424",15.300,14.500,0.000,0.000,
2018,3287,"Central Valley Elec Coop, Inc",NM,SWPP,82,122,384,.,588,0.0,0.0,0.1,.,0.1,441,855,"2,685",.,"3,981",0.0,0.0,0.1,.,0.1,19,8,65,.,92,65,.,.,.,65,19,8,65,.,92,65,.,.,.,65,5.380,7.000,7.000,.,
2018,3295,City of Centralia - (WA),WA,BPAT,110,785,87,.,982,0.0,0.1,0.0,.,0.1,"3,288","12,096","2,050",.,"17,434",0.0,0.1,0.0,.,0.1,37,69,14,.,121,5,5,5,.,14,37,69,14,.,121,5,5,5,.,14,29.890,15.410,23.500,.,
