Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2016,221,"Alaska Village Elec Coop, Inc",C,Cooperative,,X,,X,,,X,,X,X,,X,X,X
2016,228,City of Albany - (MO),M,Municipal,X,,,,,,,,,,,,X,
2016,229,City of Albany - (IL),M,Municipal,X,,,,,,,,,,,,X,
2016,230,Albany Water Gas & Light Comm,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,232,City of Albemarle - (NC),M,Municipal,,X,,X,,,,,X,X,X,X,X,X
2016,240,Albemarle Electric Member Corp,C,Cooperative,,X,,X,X,,,X,X,X,X,X,X,X
2016,241,Albertville Municipal Utilities Board,M,Municipal,,X,,X,X,,,,X,X,X,X,X,X
2016,244,City of Albion - (ID),M,Municipal,X,,,,,,,,,,,,X,
2016,261,AGC Division of APG Inc,I,Investor Owned,,X,,X,,,,,,X,,X,X,X
2016,266,City of Alpha - (MN),M,Municipal,X,X,,,,,,,,,,,X,
2016,276,Alcorn County Elec Power Assn,C,Cooperative,,X,,X,X,,,,X,X,X,X,X,X
2016,282,Village of Arcadia - (OH),M,Municipal,X,X,,,,,,,,,,,X,
2016,287,"Alder Mutual Light Co, Inc",C,Cooperative,X,,,,,,,,,,,,X,
2016,289,City of Alexander City,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,295,City of Alexandria - (MN),M,Municipal,,X,X,X,,X,,,,X,X,X,X,X
2016,296,"Alfalfa Electric Coop, Inc",C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,298,City of Alexandria - (LA),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,305,Alger-Delta Coop Electric Assn,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,307,Algoma Utility Comm,M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2016,308,City of Acworth - (GA),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,309,City of Algona - (IA),M,Municipal,,X,,X,,X,,,,X,,X,X,X
2016,329,"Allamakee-Clayton El Coop, Inc",C,Cooperative,,X,X,X,,X,,X,,X,X,X,X,X
2016,332,Allegheny Electric Coop Inc,C,Cooperative,,,,,,,,,,X,,,,X
2016,343,AEP Generating Company,I,Investor Owned,,,,,,,,,,X,,,,X
2016,366,City of Allendale- (IL),M,Municipal,X,,,,,,,,,,,,X,
2016,367,City of Alliance- (NE),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,385,City of Alma - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,392,Alpena Power Co,I,Investor Owned,,X,,X,,,,X,X,X,X,X,X,X
2016,405,City of Alta - (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,406,City of Altamont - (IL),M,Municipal,X,X,,,,,,,,,,,X,
2016,407,Altamaha Electric Member Corp,C,Cooperative,,X,X,X,X,,,X,,X,X,X,X,X
2016,408,City of Altamont - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,416,City of Altus - (OK),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,432,City of Alta Vista- (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,471,Amana Society Service Co,I,Investor Owned,,X,,X,,,,,,X,,X,X,X
2016,482,City of Alvarado - (MN),M,Municipal,X,,,,,,,,,,,,X,
2016,540,BP Energy Company,R,Retail Power Marketer,,,,,,,,,,X,,X,,X
2016,554,City of Ames - (IA),M,Municipal,,X,,X,,X,,X,,X,X,X,X,X
2016,560,City of Amherst- (OH),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,562,Amicalola Electric Member Corp,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,571,City of Amory,M,Municipal,,X,,X,X,,,,,X,,X,X,X
2016,577,City of Alcoa Utilities,M,Municipal,,X,,X,,,,,X,X,,X,X,X
2016,588,Anadarko Public Works Authority,M,Municipal,X,,,,,,,,,,,,X,
2016,590,City of Anaheim - (CA),M,Municipal,,X,X,X,X,X,,X,,X,X,X,X,X
2016,599,Anchorage Municipal Light and Power,M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2016,604,City of Andalusia,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,636,City of Anderson - (IN),M,Municipal,,X,,X,X,,,X,,X,X,X,X,X
2016,659,American Transmission Co,T,Transmission,,,,,,,,,,X,,,,X
2016,661,Village of Andover - (NY),M,Municipal,X,,,,,,,,,,,,X,
2016,669,Village of Angelica - (NY),M,Municipal,X,,,,,,,,,,,,X,
2016,682,City of Anita - (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,689,Connexus Energy,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,690,City of Bardstown - (KY),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,691,City of Anoka,M,Municipal,,X,,X,X,X,,X,,X,X,X,X,X
2016,694,Anza Electric Coop Inc,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,695,City of Ansley - (NE),M,Municipal,X,,,,,,,,,,,,X,
2016,700,City of Anthon - (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,701,City of Anthony - (KS),M,Municipal,X,X,,,,,,,,,,,X,
2016,712,Arkansas River Power Authority,P,Political Subdivision,,,,,,,,,,X,,,,X
2016,719,Town of Apex- (NC),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,723,City of Aplington,M,Municipal,X,,,,,,,,,,,,X,
2016,727,Appalachian Electric Coop,C,Cooperative,,X,,X,X,,,,X,X,X,X,X,X
2016,733,Appalachian Power Co,I,Investor Owned,,X,X,X,X,X,,X,X,X,X,X,X,X
2016,737,Aguila Irrigation District,P,Political Subdivision,X,,,,,,,,,,,,,
2016,750,Arab Electric Coop Inc,C,Cooperative,,X,,X,,,,,X,X,,X,X,X
2016,752,City of Arapahoe - (NE),M,Municipal,X,X,,,,,,,,,,,X,
2016,764,City of Arcadia - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,765,City of Arcadia - (WI),M,Municipal,X,,,,,,,,,,,,X,
2016,768,City of Arcanum - (OH),M,Municipal,X,X,,,,,,,,,,,X,
2016,789,Town of Argos,M,Municipal,X,X,,,,,,,,,,,X,
2016,792,City of Argyle - (WI),M,Municipal,X,X,,,,,,,,,,,X,
2016,796,Arizona Electric Pwr Coop Inc,C,Cooperative,,,,,,,X,,,X,,,,X
2016,798,Arizona Power Authority,S,State,,,,,,,,,,X,,,,X
2016,803,Arizona Public Service Co,I,Investor Owned,,X,X,X,X,X,,X,,X,X,X,X,X
2016,807,Arkansas Electric Coop Corp,C,Cooperative,,,X,,,,,,,X,,,,X
2016,814,Entergy Arkansas Inc,I,Investor Owned,,X,X,X,X,X,,X,,X,X,X,X,X
2016,817,Arkansas Valley Elec Coop Corp,C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2016,828,City of Arlington - (MN),M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2016,831,City of Arlington - (SD),M,Municipal,X,X,,,,,,,,,,,X,
2016,832,City of Arma - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,871,Village of Arnold - (NE),M,Municipal,X,,,,,,,,,,,,X,
2016,878,Atmautluak Tribal Utilities,M,Municipal,X,,,,,,,,,,,,X,
2016,887,"Arrowhead Electric Coop, Inc",C,Cooperative,,X,,X,X,,,X,,X,,X,X,X
2016,902,Town of Ashburnham - (MA),M,Municipal,X,X,,,,,,,,,,,X,
2016,906,Town of Ashland,M,Municipal,X,,,,,,,,,,,,X,
2016,907,City of Ashland - (OR),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,911,City of Ashland - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,918,City of Aspen- (CO),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,924,"Associated Electric Coop, Inc",T,Transmission,,,,,,X,,,,X,,,,X
2016,925,"Ashley Chicot Elec Coop, Inc",C,Cooperative,X,,,,,,,,,,,,X,
2016,942,Atchison-Holt Electric Coop,C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2016,944,City of Athens - (AL),M,Municipal,,X,,,X,,,,X,X,,X,X,X
2016,947,Athens Utility Board,M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2016,963,Atlantic City Electric Co,I,Investor Owned,,X,X,X,,X,X,X,,X,X,X,X,X
2016,965,Atlantic Municipal Utilities,M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2016,970,Homefield Energy,R,Retail Power Marketer,,,,,,,,,,X,,X,,X
2016,989,City of Attica - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,993,Auburn Board of Public Works,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,994,City of Auburn - (IN),M,Municipal,,X,,X,X,,,,,X,,X,X,X
2016,995,City of Auburn - (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,998,City of Augusta - (KS),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1000,City of Augusta - (AR),M,Municipal,X,,,,,,,,,,,,X,
2016,1002,City of Aurelia - (IA),M,Municipal,X,X,,,,,,,,,,,X,
2016,1004,City of Aurora - (SD),M,Municipal,X,,,,,,,,,,,,X,
2016,1009,City of Austin - (MN),M,Municipal,,X,X,X,X,X,,X,,X,X,X,X,X
2016,1015,Austin Energy,M,Municipal,,X,X,X,X,X,,X,X,X,X,X,X,X
2016,1024,City of Ava - (MO),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1028,Town of Avilla - (IN),M,Municipal,X,X,,,,,,,,,,,X,
2016,1033,City of Axtell - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,1036,Town of Ayden - (NC),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1046,City of Aztec - (NM),M,Municipal,X,X,,,,,,,,,,,X,
2016,1050,City of Azusa,M,Municipal,,X,,X,X,X,,X,,X,X,X,X,X
2016,1062,BARC Electric Coop Inc,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,1080,City of Badger - (SD),M,Municipal,X,,,,,,,,,,,,X,
2016,1101,Bagley Public Utilities Comm,M,Municipal,,X,,X,,X,,,X,X,,X,X,X
2016,1119,Town of Bainbridge - (IN),M,Municipal,X,,,,,,,,,,,,X,
2016,1148,City of Baldwin City- (KS),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,1149,Baldwin County El Member Corp,C,Cooperative,,X,,X,,,,,,X,X,X,X,X
2016,1167,Baltimore Gas & Electric Co,I,Investor Owned,,X,X,X,X,X,,X,,X,X,X,X,X
2016,1169,Bailey County Elec Coop Assn,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,1170,Bamberg Board of Public Works,M,Municipal,X,X,,,,,,,,,,,X,
2016,1172,Bancroft Municipal Utilities,M,Municipal,X,X,,,,,,,,,,,X,
2016,1175,"Bandera Electric Coop, Inc",C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2016,1176,City of Bandon - (OR),M,Municipal,,X,,X,,X,,,,X,,X,X,X
2016,1179,Emera Maine,I,Investor Owned,,X,,X,,,,X,,X,X,X,X,X
2016,1181,Village of Bangor - (WI),M,Municipal,,X,,X,X,,,X,,X,X,X,X,X
2016,1192,City of Banning - (CA),M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2016,1196,Village of Baraga - (MI),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,1201,Barbourville Utility Comm,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1205,City of Bardwell - (KY),M,Municipal,X,,,,,,,,,,,,X,
2016,1208,Town of Bargersville - (IN),M,Municipal,X,X,,,,,,,,,,,X,
2016,1232,City of Barnesville - (GA),M,Municipal,X,,,,,,,,,,,,X,
2016,1233,City of Barnesville - (MN),M,Municipal,,X,X,X,,X,,,,X,X,X,X,X
2016,1251,Barron Electric Coop,C,Cooperative,,X,X,X,,X,,X,,X,X,X,X,X
2016,1273,"Bartlett Electric Coop, Inc",C,Cooperative,,X,,X,,X,,X,,X,X,X,X,X
2016,1276,"Barrow Utils & Elec Coop, Inc",C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,1278,City of Barron - (WI),M,Municipal,X,X,,,,,,,,,,,X,
2016,1279,Barry Electric Coop,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,1283,Bartholomew County Rural E M C,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2016,1287,City of Bartlett - (TX),M,Municipal,X,,,,,,,,,,,,X,
2016,1299,"Barton Village, Inc",M,Municipal,X,,,,,,,,,,,,X,
2016,1300,City of Bartow - (FL),M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2016,1301,"Barton County Elec Coop, Inc",C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2016,1307,Basin Electric Power Coop,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,1324,City of Bastrop - (TX),M,Municipal,X,X,,,,,,,,,,,X,
2016,1325,City of Batavia - (IL),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1326,Village of Bartley - (NE),M,Municipal,X,X,,,,,,,,,,,X,
2016,1343,Bath Electric Gas & Water,M,Municipal,X,X,,,,,,,,,,,X,
2016,1346,City of Battle Creek- (NE),M,Municipal,X,,,,,,,,,,,,X,
2016,1353,City of Baudette - (MN),M,Municipal,X,,,,,,,,,,,,X,
2016,1366,City of Bay City - (MI),M,Municipal,,X,,X,X,X,,,,X,X,X,X,X
2016,1367,"Bayfield Electric Coop, Inc",C,Cooperative,,X,X,X,,X,,X,,X,,X,X,X
2016,1374,City of Bayard - (NE),M,Municipal,X,,,,,,,,,,,,X,
2016,1386,Village of Beach City - (OH),M,Municipal,X,,,,,,,,,,,,X,
2016,1387,City of Benham,M,Municipal,X,,,,,,,,,,,,X,
2016,1417,"Beartooth Electric Coop, Inc",C,Cooperative,,X,,X,,,,X,,X,,X,X,X
2016,1427,City of Beatrice - (NE),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1434,Beaver City Corporation,M,Municipal,X,,,,,,,,,,,,X,
2016,1435,City of Beaver City - (NE),M,Municipal,X,,,,,,,,,,,,X,
2016,1456,Town of Bedford - (VA),M,Municipal,,X,,X,,,,,,X,X,X,X,X
2016,1458,"Beauregard Electric Coop, Inc",C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,1494,Town of Belhaven - (NC),M,Municipal,X,X,,,,,,,,,,,X,
2016,1512,City of Belleville - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,1515,City of Bellevue - (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,1519,City of Bellville - (TX),M,Municipal,X,,,,,,,,,,,,X,
2016,1522,Village of Belmont - (WI),M,Municipal,X,,,,,,,,,,,,X,
2016,1523,Town of Belmont - (MA),M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2016,1525,City of Beloit - (KS),M,Municipal,,X,,X,,,,,X,X,,X,X,X
2016,1529,"Beltrami Electric Coop, Inc",C,Cooperative,,X,X,X,X,X,,X,,X,X,X,X,X
2016,1554,City of Benkelman - (NE),M,Municipal,X,X,,,,,,,,,,,X,
2016,1566,City of Bennettsville - (SC),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1571,Town of Benson - (NC),M,Municipal,X,X,,,,,,,,,,,X,
2016,1572,Badger Power Marketing Authority,W,Wholesale Power Marketer,,,,X,,,,,,X,,,X,X
2016,1573,City of Benson - (MN),M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2016,1578,Benton County,M,Municipal,,X,,X,X,,,,X,X,,X,X,X
2016,1579,PUD No 1 of Benton County,P,Political Subdivision,,X,,X,,X,,X,,X,X,X,X,X
2016,1581,City of Benton - (AR),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1582,City of Benton - (KY),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1585,Village of Benton - (WI),M,Municipal,X,,,,,,,,,,,,X,
2016,1586,City of Bentonville - (AR),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,1591,"Big Country Electric Coop, Inc",C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2016,1601,City of Beresford,M,Municipal,,X,,X,,X,,,,X,,X,X,X
2016,1604,Village of Bergen - (NY),M,Municipal,X,X,,,,,,,,,,,X,
2016,1611,"Linde Energy Services, Inc.",R,Retail Power Marketer,,,,,,,,,,X,,X,,X
2016,1613,Berkeley Electric Coop Inc,C,Cooperative,,X,X,X,X,X,,X,,X,X,X,X,X
2016,1615,Town of Berlin - (MD),M,Municipal,X,X,,,,,,,,,,,X,
2016,1618,Borough of Berlin - (PA),M,Municipal,X,X,,,,,,,,,,,X,
2016,1625,Benton Rural Electric Assn,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,1640,City of Bessemer Utilities,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1647,City of Bethany - (MO),M,Municipal,X,X,,,,,,,,,,,X,
2016,1648,Village of Bethany - (IL),M,Municipal,X,,,,,,,,,,,,X,
2016,1650,Village of Bethel - (OH),M,Municipal,X,,,,,,,,,,,,X,
2016,1671,Big Flat Electric Coop Inc,C,Cooperative,X,X,,,,,,,,,,,X,
2016,1675,Big Horn Rural Electric Co,C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2016,1677,Village of Bloomdale - (OH),M,Municipal,X,,,,,,,,,,,,X,
2016,1683,"Big Horn County Elec Coop, Inc",C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,1692,Big Rivers Electric Corp,C,Cooperative,,,,,,X,,,,X,,,,X
2016,1698,City of Big Stone City - (SD),M,Municipal,X,,,,,,,,,,,,X,
2016,1702,City of Biggs - (CA),M,Municipal,X,X,,,,,,,,,,,X,
2016,1708,Big Sandy Rural Elec Coop Corp,C,Cooperative,,X,,X,,,,,,X,X,X,X,X
2016,1723,"Big Bend Electric Coop, Inc",C,Cooperative,,X,,X,,X,,X,,X,X,X,X,X
2016,1726,City of Blue Mound - (KS),M,Municipal,X,,,,,,,,,,,,X,
2016,1736,Blachly-Lane County Coop El Assn,C,Cooperative,,X,,X,,X,,X,,X,,X,X,X
2016,1738,Bonneville Power Administration,F,Federal,,X,,,,,,,,X,,X,,X
2016,1747,Birch Creek Village Elec Util - (AK),M,Municipal,X,,,,,,,,,,,,X,
2016,1753,City of Biwabik - (MN),M,Municipal,X,X,,,,,,,,,,,X,
2016,1763,"Black River Electric Coop, Inc - (SC)",C,Cooperative,,X,,X,,X,,X,,X,X,X,X,X
2016,1764,Black Diamond Power Co,I,Investor Owned,,X,,X,,,,,,X,,X,X,X
2016,1765,Village of Black Earth - (WI),M,Municipal,X,,,,,,,,,,,,X,
2016,1769,"Black Hills Electric Coop, Inc",C,Cooperative,,X,X,X,X,,,X,,X,X,X,X,X
2016,1775,Black River Electric Coop - (MO),C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,1776,City of Black River Falls,M,Municipal,,X,,X,X,,,X,X,X,,X,X,X
2016,1779,Town of Basin - (WY),M,Municipal,X,X,,,,,,,,,,,X,
2016,1780,Black Warrior Elec Member Corp,C,Cooperative,,X,,X,,,,,,X,,X,X,X
2016,1795,Town of Blackstone - (VA),M,Municipal,X,,,,,,,,,,,,X,
2016,1800,City of Blackwell - (OK),M,Municipal,X,,,,,,,,,,,,X,
2016,1818,City of Blaine - (WA),M,Municipal,,,,X,,,,,,X,,X,X,X
2016,1823,Borough of Blakely - (PA),M,Municipal,X,,,,,,,,,,,,X,
2016,1824,City of Bigelow - (MN),M,Municipal,X,,,,,,,,,,,,X,
2016,1826,City of Blakely - (GA),M,Municipal,X,X,,,,,,,,,,,X,
2016,1832,Village of Blanchester - (OH),M,Municipal,X,,,,,,,,,,,,X,
2016,1839,City of Blanding - (UT),M,Municipal,X,X,,,,,,,,,,,X,
2016,1857,Block Island Power Co,I,Investor Owned,,X,,X,,,,X,,X,,X,X,X
2016,1866,Bloomer Electric & Water Co,M,Municipal,X,,,,,,,,,,,,X,
2016,1869,City of Bloomfield - (IA),M,Municipal,,X,,X,,X,,X,,X,,X,X,X
2016,1871,City of Blooming Prairie - (MN),M,Municipal,X,,,,,,,,,,,,X,
2016,1876,City of Blountstown - (FL),M,Municipal,X,,,,,,,,,,,,X,
2016,1883,Blue Earth Light & Water,M,Municipal,,X,X,X,,,,,,X,X,X,X,X
2016,1884,BENCO Electric Cooperative,C,Cooperative,,X,,X,X,,,X,,X,,X,X,X
2016,1886,Blue Grass Energy Coop Corp,C,Cooperative,,X,,X,,,,,X,X,X,X,X,X
2016,1889,Blue Ridge Elec Member Corp - (NC),C,Cooperative,,X,,X,X,X,,X,X,X,X,X,X,X
2016,1890,Blue Ridge Electric Coop Inc - (SC),C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,1891,Blue Ridge Mountain EMC - (GA),C,Cooperative,,X,,X,,,,,X,X,,X,X,X
2016,1892,"Bluebonnet Electric Coop, Inc",C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,1896,City of Bluffton - (IN),M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1898,"Bon Homme Yankton El Assn, Inc",C,Cooperative,,X,,X,,,,,,X,X,X,X,X
2016,1913,City of Boerne,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,1936,Bolivar Energy Authority,M,Municipal,,X,,X,,,,,X,X,X,X,X,X
2016,1955,City of Bridgeport Utilities - (NE),M,Municipal,X,X,,,,,,,,,,,X,
2016,1956,City of Bonners Ferry,M,Municipal,X,X,,,,,,,,,,,X,
2016,1968,Boone Valley Electric Coop,C,Cooperative,X,,,,,,,,,,,,X,
2016,1970,Village of Boonville - (NY),M,Municipal,X,X,,,,,,,,,,,X,
2016,1987,Town of Bostic - (NC),M,Municipal,X,X,,,,,,,,,,,X,
2016,1997,City of Boscobel - (WI),M,Municipal,,X,,X,X,,,X,,X,,X,X,X
2016,2001,Boone Electric Coop,C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,2008,City of Boulder City - (NV),M,Municipal,,X,,X,X,X,,X,,X,,X,X,X
2016,2010,City of Bountiful,M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,2049,"Bowie-Cass Electric Coop, Inc",C,Cooperative,,X,,X,,,,X,X,X,X,X,X,X
2016,2050,City of Bowie - (TX),M,Municipal,X,X,,,,,,,,,,,X,
2016,2054,City of Bowling Green - (OH),M,Municipal,,X,,X,,,,,,X,X,X,X,X
2016,2056,City of Bowling Green - (KY),M,Municipal,,X,,X,X,,,,X,X,X,X,X,X
2016,2064,Town of Boyce,M,Municipal,X,,,,,,,,,,,,X,
2016,2086,Town of Boylston - (MA),M,Municipal,X,X,,,,,,,,,,,X,
2016,2089,Bozrah Light & Power Company,M,Municipal,,X,,X,,X,,,,X,X,X,X,X
2016,2120,Village of Brainard - (NE),M,Municipal,X,,,,,,,,,,,,X,
2016,2128,Village of Bradner - (OH),M,Municipal,X,,,,,,,,,,,,X,
2016,2135,City of Brady - (TX),M,Municipal,X,X,,,,,,,,,,,X,
2016,2138,Brainerd Public Utilities,M,Municipal,,X,,X,,,,,,X,,X,X,X
2016,2144,Town of Braintree - (MA),M,Municipal,,X,,X,,,,X,,X,X,X,X,X
2016,2152,Powerex Corporation,W,Wholesale Power Marketer,,,,,,,,,,X,,,,X
2016,2172,Brazos Electric Power Coop Inc,C,Cooperative,,,,,,,,,,X,,,,X
2016,2182,City of Breckenridge- (MN),M,Municipal,,X,X,X,,X,,,,X,,X,X,X
2016,2183,City of Breda - (IA),M,Municipal,X,,,,,,,,,,,,X,
2016,2188,City of Breese - (IL),M,Municipal,X,X,,,,,,,,,,,X,
2016,2192,Bremen Electric Light & Power Co,M,Municipal,,X,X,X,X,,,,,X,,X,X,X
2016,2194,City of Brenham - (TX),M,Municipal,,X,,X,,,,X,,X,,X,X,X
2016,2205,Village of Brewster - (OH),M,Municipal,X,X,,,,,,,,,,,X,
2016,2206,City of Brewster - (MN),M,Municipal,,X,,,,,,,,X,,X,X,X
2016,2210,City of Bridgeport - (TX),M,Municipal,X,X,,,,,,,,,,,X,
2016,2212,"Broad River Electric Coop, Inc",C,Cooperative,,X,,X,X,,,X,,X,X,X,X,X
2016,2215,"Bridger Valley Elec Assn, Inc",C,Cooperative,,X,,X,,,,X,,X,X,X,X,X
2016,2220,Brigham City Corporation,M,Municipal,,X,,X,,,,X,X,X,,X,X,X
2016,2236,Town of Brinson - (GA),M,Municipal,X,,,,,,,,,,,,X,
2016,2247,City of Bristol - (TN),M,Municipal,,X,,X,X,,,,X,X,X,X,X,X
2016,2248,Bristol Virginia Utilities,M,Municipal,,X,,X,X,,,,X,X,X,X,X,X
2016,2268,Town of Braman - (OK),M,Municipal,X,,,,,,,,,,,,,
2016,2270,City of Bronson,M,Municipal,X,X,,,,,,,,,,,X,
