Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2022,1009,City of Austin - (MN),A,Bundled,O,MN,Municipal,MISO,"10,928.0","79,141","10,643","13,335.0","118,846","1,210","10,743.0","130,098",1,.,.,.,"35,006.0","328,085","11,854"
2022,1015,Austin Energy,A,Bundled,O,TX,Municipal,ERCO,"612,163.9","5,166,372","479,353","601,273.7","5,783,508","53,951","228,733.9","3,336,336",123,.,.,.,"1,442,171.5","14,286,216","533,427"
2022,1050,City of Azusa,A,Bundled,O,CA,Municipal,CISO,"15,417.0","90,894","14,986","13,497.0","80,633","1,953","9,657.0","65,817",28,.,.,.,"38,571.0","237,344","16,967"
2022,1149,Baldwin County El Member Corp,A,Bundled,O,AL,Cooperative,SOCO,"132,914.0","1,043,914","77,977","52,827.0","506,104","7,826",0.0,.,.,0.0,.,.,"185,741.0","1,550,018","85,803"
2022,1167,Baltimore Gas & Electric Co,A,Bundled,O,MD,Investor Owned,PJM,"1,423,637.1","10,474,761","965,223","505,787.3","3,012,620","74,283","22,568.2","137,506","3,638",0.0,0,0,"1,951,992.6","13,624,887","1,043,144"
2022,1167,Baltimore Gas & Electric Co,C,Delivery,O,MD,Investor Owned,PJM,"137,485.7","2,549,008","235,279","360,227.3","11,681,141","48,213","27,700.1","1,174,442","2,399","1,362.2","189,423",3,"526,775.3","15,594,014","285,894"
2022,1169,Bailey County Elec Coop Assn,A,Bundled,O,TX,Cooperative,SWPP,"4,025.0","26,442","3,346","9,204.0","77,219",855,"29,947.0","249,401","4,819",.,.,.,"43,176.0","353,062","9,020"
2022,1175,"Bandera Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"57,431.0","533,938","33,706","17,913.0","184,758","6,109","1,856.0","23,398",62,.,.,.,"77,200.0","742,094","39,877"
2022,1179,Versant Power,A,Bundled,O,ME,Investor Owned,NBSO,"40,693.5","205,301","28,887","24,898.0","134,484","7,164","1,609.4","28,706",10,0.0,0,0,"67,200.9","368,491","36,061"
2022,1179,Versant Power,A,Bundled,O,ME,Investor Owned,ISNE,"154,682.5","632,271","100,546","52,649.0","353,642","16,422","4,245.2","34,817",29,0.0,0,0,"211,576.7","1,020,730","116,997"
