Utility Characteristics,,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,Short Form,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2019,295,City of Alexandria - (MN),,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,Y,,Y,Y,,
2019,296,"Alfalfa Electric Coop, Inc",,OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2019,298,City of Alexandria - (LA),,LA,Municipal,SERC,,,,,,Y,Y,,,,,,N,Y,,,Y,Y,,Y,,,,Y,Y,Y
2019,305,Alger-Delta Coop Electric Assn,,MI,Cooperative,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2019,307,Algoma Utility Comm,,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2019,308,City of Acworth - (GA),,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,309,City of Algona - (IA),,IA,Municipal,MRO,,,N,,,,Y,,,,,,Y,,,N,Y,Y,Y,Y,,Y,,Y,,
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2019,332,Allegheny Electric Coop Inc,,PA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,,,,,,,
2019,343,AEP Generating Company,,OH,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,Y,Y
2019,366,City of Allendale- (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2019,367,City of Alliance- (NE),,NE,Municipal,MRO,,,Y,,,,,,,,,,Y,,,,Y,,Y,Y,,,,,N,
2019,385,City of Alma - (KS),Y,KS,Municipal,SSP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,N,
2019,392,Alpena Power Co,,MI,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2019,405,City of Alta - (IA),Y,IA,Municipal,MRO,,,Y,,,,Y,,,,,,Y,,,,Y,,Y,Y,,,,Y,,
2019,406,City of Altamont - (IL),Y,IL,Municipal,RFC,,,,,N,Y,,,,,,,,,,,Y,Y,Y,Y,,,,,,
2019,407,Altamaha Electric Member Corp,,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,Y
2019,408,City of Altamont - (KS),Y,KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2019,416,City of Altus - (OK),,OK,Municipal,MRO,,,Y,,,,N,,,,,,Y,,,,,N,,Y,,,N,N,,
2019,432,City of Alta Vista- (IA),Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,N,
2019,471,Amana Society Service Co,,IA,Investor Owned,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2019,482,City of Alvarado - (MN),Y,MN,Municipal,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,N,,
2019,540,BP Energy Company,,TX,Retail Power Marketer,TRE,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,
2019,554,City of Ames - (IA),,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,N,,,Y,Y
2019,560,City of Amherst- (OH),,OH,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,N,Y,Y,,,,,,
2019,562,Amicalola Electric Member Corp,,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,571,City of Amory,,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,577,City of Alcoa Utilities,,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,588,Anadarko Public Works Authority,Y,OK,Municipal,SPP,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2019,590,City of Anaheim - (CA),,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2019,599,Anchorage Municipal Light and Power,,AK,Municipal,AK,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,N,N
2019,604,City of Andalusia,,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2019,636,City of Anderson - (IN),,IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,N,,
2019,659,American Transmission Co,,WI,Transmission,,,,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,N,
2019,661,Village of Andover - (NY),Y,NY,Municipal,NPCC,,,,Y,,,,,,,,Y,,,,,,Y,Y,Y,,,,,,
2019,669,Village of Angelica - (NY),Y,NY,Municipal,NPCC,,,,Y,,,,,,,,Y,,,,,,Y,Y,Y,,,,,,
2019,682,City of Anita - (IA),Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,,,,Y,,
2019,689,Connexus Energy,,MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2019,690,City of Bardstown - (KY),,KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,N,,,,
2019,691,City of Anoka,,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,N,,,,Y,,,,,Y,Y
2019,694,Anza Electric Coop Inc,,CA,Cooperative,WECC,,,,,,,,Y,Y,,,,,,,N,,,,Y,,,N,,,
2019,695,City of Ansley - (NE),Y,NE,Municipal,MRO,,,N,,,,Y,,,,,,Y,N,,,Y,,,Y,,,,,,
2019,700,City of Anthon - (IA),Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,N,
2019,701,City of Anthony - (KS),Y,KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,,
2019,712,Arkansas River Power Authority,,CO,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,
2019,719,Town of Apex- (NC),,NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2019,723,City of Aplington,Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2019,727,Appalachian Electric Coop,,TN,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,733,Appalachian Power Co,,OH,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,Y,N,Y,,,Y,Y
2019,737,Aguila Irrigation District,Y,AZ,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,,,,Y,,Y,,,,,
2019,750,Arab Electric Coop Inc,,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,752,City of Arapahoe - (NE),Y,NE,Municipal,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,N,
2019,765,City of Arcadia - (WI),Y,WI,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,,N,
2019,768,City of Arcanum - (OH),Y,OH,Municipal,RFC,,,,,Y,,,,,,,,,,,,N,,Y,Y,,,,,,
2019,789,Town of Argos,Y,IN,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,Y,Y,Y,,,,,,
2019,792,City of Argyle - (WI),Y,WI,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2019,796,Arizona Electric Pwr Coop Inc,,AZ,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,,,Y,,,N,N
2019,798,Arizona Power Authority,,AZ,State,WECC,,,,,,,,Y,,,,,,,,Y,,,N,,,Y,,,,
2019,803,Arizona Public Service Co,,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,Y,Y,,Y,Y,Y,,,Y,Y
2019,807,Arkansas Electric Coop Corp,,AR,Cooperative,SPP,,,,,,,Y,,,,,,Y,Y,,,Y,Y,Y,,,Y,,,,
2019,814,Entergy Arkansas LLC,,AR,Investor Owned,SERC,,,,,,Y,,,,,,,,Y,,,Y,Y,Y,Y,Y,,,,Y,Y
2019,817,Arkansas Valley Elec Coop Corp,,AR,Cooperative,SERC,,,,,N,N,Y,,,,,,N,N,,Y,,,,Y,,,,,N,
2019,828,City of Arlington - (MN),,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,N,
2019,831,City of Arlington - (SD),Y,SD,Municipal,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
2019,832,City of Arma - (KS),Y,KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2019,871,Village of Arnold - (NE),Y,NE,Municipal,MRO,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,,,
2019,887,"Arrowhead Electric Coop, Inc",,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,N,,,,,
2019,902,Town of Ashburnham - (MA),Y,MA,Municipal,NPCC,Y,,,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,,
2019,906,Town of Ashland,Y,NH,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,,Y,Y,,N,,,
2019,907,City of Ashland - (OR),,OR,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,N,,N,,,,Y,Y,Y
2019,911,City of Ashland - (KS),Y,KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2019,918,City of Aspen- (CO),,CO,Municipal,WECC,,,,,,,,Y,,,,,,,,,N,,Y,Y,Y,,Y,Y,Y,Y
2019,924,"Associated Electric Coop, Inc",,MO,Transmission,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,
2019,925,"Ashley Chicot Elec Coop, Inc",Y,AR,Cooperative,SERC,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2019,942,Atchison-Holt Electric Coop,,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2019,944,City of Athens - (AL),,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,947,Athens Utility Board,,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,963,Atlantic City Electric Co,,NJ,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,Y,Y,N,Y,N,N,Y,Y
2019,965,Atlantic Municipal Utilities,,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,,,Y,,
2019,970,Homefield Energy,,TX,Retail Power Marketer,RFC,,,,,Y,,,,,,Y,,,Y,,,,,,,,Y,Y,,,
2019,989,City of Attica - (KS),,KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,N,,,Y,,,,,,
2019,993,Auburn Board of Public Works,,NE,Municipal,MRO,,,N,,,,Y,,,,,,,,,,Y,N,Y,Y,,,,Y,,
2019,994,City of Auburn - (IN),,IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,,
2019,995,City of Auburn - (IA),Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,,,Y,Y,,N
2019,998,City of Augusta - (KS),,KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,,Y,Y,,,,Y,,
2019,1000,City of Augusta - (AR),Y,AR,Municipal,SERC,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2019,1002,City of Aurelia - (IA),Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,N,
2019,1004,City of Aurora - (SD),Y,SD,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,,
2019,1009,City of Austin - (MN),,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,N,N,,Y,N,,Y,Y,,
2019,1015,Austin Energy,,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,N,Y,,Y,Y,,Y,Y
2019,1024,City of Ava - (MO),,MO,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,1028,Town of Avilla - (IN),Y,IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,Y,,
2019,1033,City of Axtell - (KS),Y,KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2019,1036,Town of Ayden - (NC),,NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,Y,N,Y,,,,Y,,
2019,1046,City of Aztec - (NM),Y,NM,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,Y,Y,,,,Y,N,
2019,1050,City of Azusa,,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,Y,N,Y,Y,Y
2019,1062,BARC Electric Coop Inc,,VA,Cooperative,SERC,,,,,,Y,,,,,Y,,,,,,Y,,,Y,,,,,,
2019,1080,City of Badger - (SD),Y,SD,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,N,,N,
2019,1101,Bagley Public Utilities Comm,,MN,Municipal,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2019,1119,Town of Bainbridge - (IN),Y,IN,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2019,1148,City of Baldwin City- (KS),,KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,N,Y,Y,,N,,,,
2019,1149,Baldwin County El Member Corp,,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2019,1167,Baltimore Gas & Electric Co,,MD,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,Y,Y
2019,1169,Bailey County Elec Coop Assn,,TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2019,1170,Bamberg Board of Public Works,Y,SC,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,,
2019,1172,Bancroft Municipal Utilities,Y,IA,Municipal,MRO,,,Y,,,,,,,,,,Y,,,,Y,,,Y,,,,,,
2019,1175,"Bandera Electric Coop, Inc",,TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,,Y,,,,,Y,Y
2019,1176,City of Bandon - (OR),,OR,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2019,1179,Versant Power,,ME,Investor Owned,NPCC,,,,Y,,,,,,,,,,,Y,,N,Y,,Y,,,,,Y,Y
2019,1181,Village of Bangor - (WI),,WI,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,N,Y,,,,Y,,
2019,1192,City of Banning - (CA),,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,N,Y,,Y,N,,Y,Y
2019,1196,Village of Baraga - (MI),,MI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2019,1201,Barbourville Utility Comm,,KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,N,
2019,1205,City of Bardwell - (KY),Y,KY,Municipal,RFC,,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,,
2019,1208,Town of Bargersville - (IN),Y,IN,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2019,1232,City of Barnesville - (GA),Y,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2019,1233,City of Barnesville - (MN),,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,,,,,,
2019,1251,Barron Electric Coop,,WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2019,1273,"Bartlett Electric Coop, Inc",,TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2019,1276,"Barrow Utils & Elec Coop, Inc",,AK,Cooperative,AK,,,,,,,,,,,,,,,,,Y,N,,Y,,,,Y,Y,Y
2019,1278,City of Barron - (WI),Y,WI,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,,,,,,,
2019,1279,Barry Electric Coop,,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,N,,,,Y,,,,,N,
2019,1283,Bartholomew County Rural E M C,,IN,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,N,
2019,1299,"Barton Village, Inc",Y,VT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,,,,,
2019,1300,City of Bartow - (FL),,FL,Municipal,FRCC,N,Y,,,,,,,,,,,,,,,,,,Y,,,,,,
2019,1301,"Barton County Elec Coop, Inc",,MO,Cooperative,SERC,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,
2019,1307,Basin Electric Power Coop,,ND,Cooperative,SPP,,,Y,,,,Y,Y,,,,,Y,Y,,,Y,Y,Y,Y,,Y,,N,Y,Y
2019,1324,City of Bastrop - (TX),Y,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2019,1325,City of Batavia - (IL),,IL,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,N,,Y,,,,,,
2019,1326,Village of Bartley - (NE),Y,NE,Municipal,MRO,,,Y,,,,,,,,,,Y,,,,,N,,Y,,,,,,
2019,1343,Bath Electric Gas & Water,Y,NY,Municipal,NPCC,N,,,Y,,,,,,,,Y,,,,,,,Y,Y,,,,,,
2019,1346,City of Battle Creek- (NE),Y,NE,Municipal,SPP,,,N,,,,Y,,,,,,Y,,,,,,,Y,,,,Y,,
2019,1353,City of Baudette - (MN),Y,MN,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2019,1366,City of Bay City - (MI),,MI,Municipal,RFC,,,,,Y,,,,,,N,,,Y,,,Y,,Y,Y,,N,,,,
2019,1367,"Bayfield Electric Coop, Inc",,WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2019,1374,City of Bayard - (NE),Y,NE,Municipal,MRO,,,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,
2019,1386,Village of Beach City - (OH),Y,OH,Municipal,RFC,,,,,Y,,,,,,Y,,,N,,,,,Y,Y,,,,,,
2019,1387,City of Benham,Y,KY,Municipal,RFC,,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,,
2019,1417,"Beartooth Electric Coop, Inc",,MT,Cooperative,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
2019,1427,City of Beatrice - (NE),,NE,Municipal,SPP,,,N,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2019,1434,Beaver City Corporation,Y,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,,,,,,Y,,,
2019,1435,City of Beaver City - (NE),Y,NE,Municipal,MRO,,,Y,,,,,,,,,,,,,,N,,,Y,,,,,,
2019,1456,Town of Bedford - (VA),,VA,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,Y,,Y,Y,,,,,,
2019,1458,"Beauregard Electric Coop, Inc",,LA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,N,,N,
2019,1494,Town of Belhaven - (NC),Y,NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2019,1512,City of Belleville - (KS),Y,KS,Municipal,MRO,,,Y,,,,N,,,,,,Y,,,,,,Y,Y,,,,,,
2019,1515,City of Bellevue - (IA),Y,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,,N,
2019,1519,City of Bellville - (TX),Y,TX,Municipal,TRE ERCOT,Y,,,,,,,,,,,,,,,,,,,Y,,,,,N,
2019,1522,Village of Belmont - (WI),Y,WI,Municipal,,,,,,Y,,,,,,,,,,,N,,,,Y,,,,,N,
2019,1523,Town of Belmont - (MA),,MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,Y
2019,1525,City of Beloit - (KS),,KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,,
2019,1529,"Beltrami Electric Coop, Inc",,MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,Y,Y
2019,1554,City of Benkelman - (NE),Y,NE,Municipal,MRO,,,Y,,,,,N,,,,,,,,,N,,N,Y,N,N,N,N,,
2019,1566,City of Bennettsville - (SC),,SC,Municipal,SERC,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2019,1571,Town of Benson - (NC),Y,NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,N
2019,1572,Badger Power Marketing Authority,,WI,Wholesale Power Marketer,RFC,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2019,1573,City of Benson - (MN),,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,
2019,1578,Benton County,,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,1579,PUD No 1 of Benton County,,WA,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
2019,1581,City of Benton - (AR),,AR,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2019,1582,City of Benton - (KY),,KY,Municipal,SERC,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
