Utility Characteristics,,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2019,19876,Virginia Electric & Power Co,,VA,PJM,"75,717","61,376",0,0,"137,093",7.1,11.8,0.0,0.0,18.9,"1,227,205","609,706",0,0,"1,836,911",7.1,11.8,0.0,0.0,18.9,"6,197","10,930",0,0,"17,127","3,590","5,086",0,0,"8,676","6,197","10,930",0,0,"17,127","3,590","5,086",0,0,"8,676",16.208,9.934,0.000,0.000,
2019,19883,City of Virginia - (MN),,MN,MISO,196,"1,165",0,0,"1,361",0.0,0.2,0.0,0.0,0.2,"1,961","11,653",0,0,"13,614",0.0,0.2,0.0,0.0,0.2,9,46,0,0,56,27,30,0,0,56,9,46,0,0,56,27,30,0,0,56,10.000,10.000,10.000,10.000,www.vpuc.com
2019,19947,City of Wadena - (MN),,MN,MISO,7,58,284,0,349,0.0,0.0,0.0,0.0,0.1,97,713,"3,479",0,"4,288",0.0,0.0,0.0,0.0,0.1,1,3,14,0,18,0,1,6,0,7,1,3,14,0,18,0,1,6,0,7,14.000,12.300,12.300,0.000,
2019,19975,City of Wakefield - (MI),Y,MI,MISO,2,160,0,0,162,0.0,0.0,0.0,0.0,0.0,"7,845","7,750",0,0,"15,595",0.0,0.0,0.0,0.0,0.0,2,7,0,0,9,1,1,0,0,2,2,7,0,0,9,1,1,0,0,2,11.130,13.380,0.000,0.000,  
2019,19981,Wake Electric Membership Corp,,NC,CPLE,"1,882",0,0,0,"1,882",1.0,0.0,0.0,0.0,1.0,"1,927",0,0,0,"1,927",1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.020,0.000,0.000,0.000,
2019,20025,City of Wall Lake - (IA),Y,IA,MISO,0,11,0,0,11,0.0,0.0,0.0,0.0,0.0,0,216,0,0,216,0.0,0.0,0.0,0.0,0.0,0,3,0,0,3,0,1,0,0,1,0,3,0,0,3,0,1,0,0,1,0.000,20.000,0.000,0.000,
2019,20038,Town of Wallingford - (CT),,CT,ISNE,660,"1,975",367,0,"3,002",0.2,0.2,0.1,0.0,0.4,"6,768","26,065","4,771",0,"37,604",0.2,0.2,0.1,0.0,0.4,493,523,93,0,"1,109",47,62,9,0,118,493,523,93,0,"1,109",47,62,9,0,118,10.250,13.200,13.000,0.000,
2019,20136,City of Waseca - (MN),,MN,MISO,332,442,0,0,774,0.0,0.1,0.0,0.0,0.1,"2,560","5,304",0,0,"7,864",0.0,0.1,0.0,0.0,0.1,34,42,0,0,76,37,23,0,0,60,34,42,0,0,76,37,23,0,0,60,7.700,12.000,0.000,0.000,www.MNCIPdata.com
2019,20169,Avista Corp,,ID,AVA,"8,494","7,388","8,986",0,"24,868",149.2,129.8,157.8,0.0,436.7,"57,432","211,635","50,370",0,"319,437",149.2,129.8,157.8,0.0,436.7,"1,421","1,504",825,0,"3,750","2,146","1,957","1,074",0,"5,176","1,421","1,504",825,0,"3,750","2,146","1,957","1,074",0,"5,176",21.966,13.608,14.246,0.000,
2019,20169,Avista Corp,,WA,AVA,"16,836","23,772","1,457",0,"42,065",295.7,417.5,25.6,0.0,738.8,"201,388","406,597","6,092",0,"614,077",295.7,417.5,25.6,0.0,738.8,"5,669","4,640",268,0,"10,577","1,427",707,41,0,"2,175","5,669","4,943",268,0,"10,880","1,427",450,41,0,"1,918",21.381,12.478,13.244,0.000,
