Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,Short Form,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2019,AL,6491,Foley Board of Utilities,,SOCO,AC,0.010,0.100,0.000,0.000,0.110,9,5,0,0,14,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.010,0.100,0.000,0.000,0.110,9,5,0,0,14,0.000,0.000,0.000,0.000,0.000
2019,AL,17646,"Southern Pine Elec Coop, Inc",,AEC,AC,0.001,0.000,0.000,0.000,0.001,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.002,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2019,AL,30517,"Pioneer Electric Coop, Inc - (AL)",,AEC,AC,0.006,0.000,0.000,0.000,0.006,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.756,0.000,0.000,0.000,0.756,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.006,1,0,0,0,1,0.756,0.000,0.000,0.000,0.756
2019,AL,99999,Adjustment 2019,,AEC,,-0.013,0.000,0.000,0.000,-0.013,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,-0.013,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2019,AR,814,Entergy Arkansas LLC,,MISO,DC,3.452,2.926,1.673,0.000,8.051,475,62,11,0,548,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.007,0.002,0.006,0.000,0.015,1,1,2,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,3.459,2.928,1.679,0.000,8.066,476,63,13,0,552,0.000,0.000,0.000,0.000,0.000
2019,AR,817,Arkansas Valley Elec Coop Corp,,SWPP,AC,0.908,0.293,0.000,0.000,1.201,117,3,0,0,120,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,57.597,28.140,0.000,0.000,85.737,0.007,0.000,0.000,0.000,0.007,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.915,0.293,0.000,0.000,1.208,119,3,0,0,122,57.597,28.140,0.000,0.000,85.737
2019,AR,1586,City of Bentonville - (AR),,SWPP,AC,1.830,2.100,0.000,0.000,3.930,73,7,0,0,80,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.830,2.100,0.000,0.000,3.930,73,7,0,0,80,0.000,0.000,0.000,0.000,0.000
2019,AR,2678,C & L Electric Coop Corp,,MISO,DC,0.157,0.134,0.000,0.000,0.291,18,1,0,0,19,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.157,0.134,0.000,0.000,0.291,18,1,0,0,19,0.000,0.000,0.000,0.000,0.000
2019,AR,3093,Carroll Electric Coop Corp - (AR),,SWPP,DC,3.600,0.000,0.000,0.000,3.600,485,0,0,0,485,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.019,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,3.619,0.000,0.000,0.000,3.619,488,0,0,0,488,0.000,0.000,0.000,0.000,0.000
2019,AR,3712,Clay County Electric Coop Corp,,MISO,AC,0.014,0.000,0.000,0.000,0.014,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.014,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
