Utility Characteristics,,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2019,14557,"Pee Dee Electric Coop, Inc",,SC,SC,0,0,4,0,4,0,0,0,0,0,0.0,0.0,8.5,0.0,8.5,0.0,0.0,7.3,0.0,7.3,0,0,0,0,0,0,0,0,0,0,55
2019,14715,PPL Electric Utilities Corp,,PA,PJM,0,43,21,0,64,0,0,0,0,0,0.0,7.0,124.9,0.0,132.0,0.0,7.6,96.7,0.0,104.3,0,69,"1,114",0,"1,183",0,57,740,0,797,0
2019,14716,Pennsylvania Power Co,,PA,PJM,"29,150",0,9,0,"29,159",0,0,0,0,0,1.8,0.0,33.4,0.0,35.2,1.8,0.0,33.4,0.0,35.2,0,0,451,0,451,126,0,327,0,453,0
2019,14717,Pee Dee Electric Member Corp,,NC,CPLE,0,102,0,0,102,0,0,0,0,0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,14940,PECO Energy Co,,PA,PJM,"58,970","1,510",210,0,"60,690","159,219","3,247",140,0,"162,606",40.0,2.0,160.0,0.0,202.0,30.0,2.0,145.0,0.0,177.0,"2,359",60,0,0,"2,419",1,45,"4,400",0,"4,446",0
2019,15023,Piedmont Electric Member Corp,,NC,DUK,"6,413",73,0,0,"6,486",0,0,0,0,0,6.1,0.1,0.0,0.0,6.1,6.1,0.1,0.0,0.0,6.1,131,10,0,0,141,0,0,0,0,0,0
2019,15034,Pierce-Pepin Coop Services,,WI,MISO,"6,202",326,0,0,"6,528",0,0,0,0,0,14.9,1.8,0.0,0.0,16.7,3.2,0.4,0.0,0.0,3.6,0,0,0,0,0,109,3,0,0,112,23
2019,15188,Polk County Rural Pub Pwr Dist,,NE,SWPP,0,0,903,0,903,0,0,0,0,0,0.0,0.0,53.8,0.0,53.8,0.0,0.0,7.5,0.0,7.5,0,0,"1,125",0,"1,125",0,0,21,0,21,0
2019,15248,Portland General Electric Co,,OR,PGE,"112,431","8,119",0,0,"120,550",0,0,0,0,0,39.3,23.5,0.0,0.0,62.8,21.4,20.4,0.0,0.0,41.8,671,833,0,0,"1,504","4,811","5,284",0,0,"10,095",0
2019,15263,The Potomac Edison Company,,WV,PJM,0,0,1,0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,15270,Potomac Electric Power Co,,DC,PJM,"25,268",0,0,0,"25,268",272,0,0,0,272,20.7,0.0,0.0,0.0,20.7,20.7,0.0,0.0,0.0,20.7,927,0,0,0,927,619,0,0,0,619,0
2019,15270,Potomac Electric Power Co,,MD,PJM,"333,182","3,835",0,0,"337,017","31,125",579,0,0,"31,704",88.3,12.5,0.0,0.0,100.8,88.3,12.5,0.0,0.0,100.8,"17,962",455,0,0,"18,417","11,674",566,0,0,"12,240",0
2019,15344,Polk-Burnett Electric Coop,,WI,MISO,"7,029",84,0,0,"7,113",0,0,0,0,0,27.6,0.7,0.0,0.0,28.3,6.8,0.2,0.0,0.0,7.0,0,0,0,0,0,25,0,0,0,25,49
2019,15348,Preston Public Utilities Comm,Y,MN,MISO,304,35,0,0,339,6,1,0,0,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3,2,0,0,5,0,0,0,0,0,0
2019,15356,Price Electric Coop Inc,,WI,MISO,"1,771",18,0,0,"1,789",0,0,0,0,0,5.2,1.6,0.0,0.0,6.8,1.7,0.5,0.0,0.0,2.2,384,4,0,0,388,22,0,0,0,22,0
2019,15387,Princeton Public Utils Comm,,MN,MISO,543,8,0,0,551,7,0,0,0,8,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,8,0,0,0,8,7,0,0,0,7,0
2019,15466,Public Service Co of Colorado,,CO,PSCO,"198,657",91,0,0,"198,748",109,4,0,0,113,208.0,204.0,0.0,0.0,412.0,197.0,35.2,0.0,0.0,232.2,"7,762","24,825",0,0,"32,587","3,286","1,139",0,0,"4,425",0
2019,15470,"Duke Energy Indiana, LLC",,IN,MISO,0,104,0,0,104,0,0,0,0,0,0.0,506.8,0.0,0.0,506.8,0.0,202.6,0.0,0.0,202.6,0,186,0,0,186,0,0,0,0,0,0
2019,15472,Public Service Co of NH,,NH,ISNE,0,40,0,0,40,0,5,0,0,5,0.0,3.9,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0,238,0,0,238,0,94,0,0,94,0
2019,15473,Public Service Co of NM,,NM,PNM,"41,208","3,112",92,0,"44,412",105,8,191,0,304,30.0,5.0,25.0,0.0,60.0,22.0,3.0,16.2,0.0,41.2,"1,112",84,"1,000",0,"2,196","3,209",242,"1,407",0,"4,858",0
2019,15474,Public Service Co of Oklahoma,,OK,SWPP,"15,143","1,427",0,0,"16,570",46,1,0,0,47,2.4,54.3,0.0,0.0,56.7,2.4,45.7,0.0,0.0,48.1,0,0,0,0,0,0,0,0,0,0,0
