Utility Characteristics,,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Short Form,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2019,7024,Gascosage Electric Coop,A,Bundled,O,MO,Cooperative,AECI,,"14,082.0","145,157","8,918","1,820.0","17,833",936,"3,189.0","46,190",2,.,.,.,"19,091.0","209,180","9,856"
2019,7027,City of Gastonia - (NC),A,Bundled,O,NC,Municipal,DUK,,"33,639.0","272,728","24,660","36,152.0","334,167","3,494","8,469.0","112,124",66,.,.,.,"78,260.0","719,019","28,220"
2019,7048,City of Geary - (OK),A,Bundled,O,OK,Municipal,SWPP,Y,576.0,"4,468",604,259.0,"1,828",75,68.0,491,9,.,.,.,903.0,"6,787",688
2019,7084,City of Declo - (ID),A,Bundled,O,ID,Municipal,BPAT,Y,129.0,"1,570",106,66.0,860,13,41.0,370,3,.,.,.,236.0,"2,800",122
2019,7090,GreyStone Power Corporation,A,Bundled,O,GA,Cooperative,SOCO,,"184,431.0","1,828,915","123,383","64,555.0","614,635","12,128","28,540.0","422,453",79,.,.,.,"277,526.0","2,866,003","135,590"
2019,7095,City of Geneseo - (IL),A,Bundled,O,IL,Municipal,MISO,Y,"3,205.0","28,020","3,181","3,283.0","32,502",579,260.0,"2,361",9,0.0,0,0,"6,748.0","62,883","3,769"
2019,7096,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,,"9,173.0","78,068","8,562","12,960.0","132,890","1,539","13,581.0","163,873",62,.,.,.,"35,714.0","374,831","10,163"
2019,7100,Village of Genoa - (OH),A,Bundled,O,OH,Municipal,PJM,Y,"1,363.0","8,583","1,057",633.0,"3,862",58,208.0,"1,552",4,.,.,.,"2,204.0","13,997","1,119"
2019,7128,City of Georgetown - (SC),A,Bundled,O,SC,Municipal,SC,,"4,640.0","51,121","3,854","6,657.0","79,155","1,151",.,.,.,.,.,.,"11,297.0","130,276","5,005"
2019,7129,City of Georgetown - (TX),A,Bundled,O,TX,Municipal,ERCO,,"37,335.4","265,355","23,885","32,046.4","274,141","2,941","10,874.2","106,015",16,.,.,.,"80,256.0","645,511","26,842"
2019,7130,Town of Georgetown - (MA),A,Bundled,O,MA,Municipal,ISNE,Y,"5,221.0","29,124","3,063",791.0,"3,492",337,"2,436.0","13,640",68,.,.,.,"8,448.0","46,256","3,468"
2019,7131,Village of Georgetown - (OH),A,Bundled,O,OH,Municipal,PJM,Y,"2,498.0","25,769","1,848","1,921.0","19,120",281,0.0,0,0,0.0,0,0,"4,419.0","44,889","2,129"
2019,7140,Georgia Power Co,A,Bundled,O,GA,Investor Owned,SOCO,,"3,411,530.9","28,201,080","2,238,149","3,200,990.5","33,172,027","323,860","1,363,312.8","23,162,795","10,614","9,607.5","164,292",1,"7,985,441.7","84,700,194","2,572,624"
2019,7149,City of Gering - (NE),A,Bundled,O,NE,Municipal,WACM,,"4,957.0","31,022","4,062","2,102.0","14,560",578,"2,249.0","16,304",42,.,.,.,"9,308.0","61,886","4,682"
2019,7174,Gibson Electric Members Corp,A,Bundled,O,KY,Cooperative,TVA,,"4,442.0","37,223","2,572","2,574.0","22,208",842,786.0,"11,397",1,0.0,0,0,"7,802.0","70,828","3,415"
2019,7174,Gibson Electric Members Corp,A,Bundled,O,TN,Cooperative,TVA,,"54,194.0","467,047","28,885","21,283.0","182,925","5,940","9,917.0","165,905",7,0.0,0,0,"85,394.0","815,877","34,832"
2019,7184,City of Giddings - (TX),A,Bundled,O,TX,Municipal,ERCO,Y,"3,032.0","31,372","2,051","2,207.0","21,351",651,.,.,.,.,.,.,"5,239.0","52,723","2,702"
2019,7194,City of Gilbert,A,Bundled,O,MN,Municipal,MISO,Y,533.1,"5,907",842,522.3,"5,264",124,.,.,.,.,.,.,"1,055.4","11,171",966
2019,7222,City of Gillette - (WY),A,Bundled,O,WY,Municipal,WAUW,,"15,649.0","138,764","13,207","16,183.0","186,714","2,580",0.0,0,0,0.0,0,0,"31,832.0","325,478","15,787"
2019,7249,City of Giltner - (NE),A,Bundled,O,NE,Municipal,SWPP,Y,370.0,"2,281",188,254.0,"1,920",34,68.0,921,7,.,.,.,692.0,"5,122",229
2019,7256,Borough of Girard - (PA),A,Bundled,O,PA,Municipal,PJM,Y,"1,511.0","12,459","1,357",523.0,"2,289",137,"1,435.0","12,330",91,.,.,.,"3,469.0","27,078","1,585"
2019,7257,City of Girard - (KS),A,Bundled,O,KS,Municipal,SWPP,,"1,867.0","13,597","1,316",584.0,"4,567",193,"1,144.0","11,652",68,.,.,.,"3,595.0","29,816","1,577"
2019,7262,"Glacier Electric Coop, Inc",A,Bundled,O,MT,Cooperative,NWMT,,"7,385.7","73,649","5,962","6,771.6","79,930","1,791","1,617.1","21,232",5,.,.,.,"15,774.4","174,811","7,758"
2019,7264,"Glades Electric Coop, Inc",A,Bundled,O,FL,Cooperative,SEC,,"23,631.0","162,254","12,673","3,548.0","20,361","2,235","18,077.0","146,798","1,632",.,.,.,"45,256.0","329,413","16,540"
2019,7265,City of Gladstone,A,Bundled,O,MI,Municipal,MISO,,"2,173.0","16,286","2,726","1,746.0","15,125",442,0.0,0,0,0.0,0,0,"3,919.0","31,411","3,168"
2019,7269,City of Glasco - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,307.0,"2,338",320,102.0,961,58,.,.,.,.,.,.,409.0,"3,299",378
2019,7270,City of Glasgow - (KY),A,Bundled,O,KY,Municipal,TVA,,"8,241.0","63,147","5,592","16,256.0","148,852","1,877","3,797.0","51,198",5,0.0,0,0,"28,294.0","263,197","7,474"
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,CT,Retail Power Marketer,ISNE,,0.0,0,0,"23,873.4","267,591",541,.,.,.,.,.,.,"23,873.4","267,591",541
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,DC,Retail Power Marketer,PJM,,126.8,"1,359",111,"5,331.5","65,766",79,.,.,.,.,.,.,"5,458.3","67,125",190
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,DE,Retail Power Marketer,PJM,,490.1,"4,244",367,"10,957.6","182,283",107,.,.,.,.,.,.,"11,447.7","186,527",474
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,,0.0,0,0,"6,869.4","123,373",393,.,.,.,.,.,.,"6,869.4","123,373",393
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,MA,Retail Power Marketer,ISNE,,"70,166.9","664,688","71,186","52,405.6","521,608","4,700",.,.,.,.,.,.,"122,572.5","1,186,296","75,886"
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,,75.8,871,66,"24,608.2","356,936",806,.,.,.,.,.,.,"24,684.0","357,807",872
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,ME,Retail Power Marketer,ISNE,,0.0,0,0,"19,132.7","371,899",159,.,.,.,.,.,.,"19,132.7","371,899",159
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,NH,Retail Power Marketer,ISNE,,0.0,0,0,"20,813.5","256,519",869,.,.,.,.,.,.,"20,813.5","256,519",869
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,,680.1,"5,701",500,"18,846.6","212,736",449,.,.,.,.,.,.,"19,526.7","218,437",949
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,,0.0,0,0,"14,166.9","233,400",176,.,.,.,.,.,.,"14,166.9","233,400",176
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,,0.0,0,0,"22,485.7","461,219",173,.,.,.,.,.,.,"22,485.7","461,219",173
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,,"16,402.0","173,200","16,824","75,427.9","1,322,787","1,156",.,.,.,.,.,.,"91,829.9","1,495,987","17,980"
2019,7279,"NextEra Energy Services, LLC",B,Energy,O,RI,Retail Power Marketer,ISNE,,0.0,0,0,"8,229.4","89,780",130,.,.,.,.,.,.,"8,229.4","89,780",130
2019,7279,"NextEra Energy Services, LLC",D,Bundled,O,TX,Retail Power Marketer,ERCO,,"321,916.5","2,492,016","215,333","506,370.2","6,961,895","71,227",.,.,.,.,.,.,"828,286.7","9,453,911","286,560"
2019,7287,City of Glen Elder - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,271.3,"2,117",289,188.0,"1,806",74,0.0,0,0,0.0,0,0,459.3,"3,923",363
2019,7292,Glencoe Light & Power Comm,A,Bundled,O,MN,Municipal,MISO,,"2,254.9","20,457","2,476","2,239.4","23,357",358,"2,880.6","33,865",4,.,.,.,"7,374.9","77,679","2,838"
2019,7294,City of Glendale - (CA),A,Bundled,O,CA,Municipal,LDWP,,"71,762.6","357,805","76,256","110,464.0","620,156","13,285","2,943.4","18,075",23,.,.,.,"185,170.0","996,036","89,564"
2019,7295,City of Glidden - (IA),A,Bundled,O,IA,Municipal,MISO,Y,604.0,"5,571",597,228.0,"1,876",107,71.0,"1,239",5,0.0,0,0,903.0,"8,686",709
2019,7300,City of Glenwood Springs - (CO),A,Bundled,O,CO,Municipal,PSCO,,"4,336.0","39,758","4,867","9,835.0","91,573","1,506",.,.,.,.,.,.,"14,171.0","131,331","6,373"
2019,7303,Raccoon Valley Electric Cooperative,A,Bundled,O,IA,Cooperative,MISO,,"6,764.4","48,606","2,277","8,200.8","89,945",461,.,.,.,.,.,.,"14,965.2","138,551","2,738"
2019,7311,Village of Glouster - (OH),A,Bundled,O,OH,Municipal,PJM,Y,917.0,"7,754",861,380.0,"1,369",132,.,.,.,.,.,.,"1,297.0","9,123",993
2019,7318,"Goldenwest Electric Coop, Inc",A,Bundled,O,MT,Cooperative,SWPP,Y,836.0,"6,979",801,"1,961.0","20,261",16,.,.,.,.,.,.,"2,797.0","27,240",817
2019,7318,"Goldenwest Electric Coop, Inc",A,Bundled,O,ND,Cooperative,SWPP,Y,836.0,"7,220",692,"2,520.2","23,639",82,.,.,.,.,.,.,"3,356.2","30,859",774
2019,7353,Golden Valley Elec Assn Inc,A,Bundled,O,AK,Cooperative,NA,,"70,309.0","267,590","39,511","29,895.8","121,016","6,665","137,350.9","761,187",527,0.0,0,.,"237,555.7","1,149,793","46,703"
2019,7359,Borough of Goldsboro - (PA),A,Bundled,O,PA,Municipal,PJM,Y,561.0,"4,975",370,40.0,331,16,0.0,0,0,0.0,0,0,601.0,"5,306",386
2019,7368,City of Goldthwaite - (TX),A,Bundled,O,TX,Municipal,ERCO,Y,"1,196.0","9,827",923,572.0,"4,237",34,736.0,"5,762",279,.,.,.,"2,504.0","19,826","1,236"
2019,7370,City of Gonzales - (TX),A,Bundled,O,TX,Municipal,ERCO,Y,"4,230.2","34,458","2,394","3,299.5","32,799",586,"1,382.0","18,433",1,.,.,.,"8,911.7","85,690","2,981"
2019,7374,City of Goodland - (KS),A,Bundled,O,KS,Municipal,SWPP,,"2,563.0","17,117","2,156",955.0,"7,448",439,"2,649.0","22,207",65,.,.,.,"6,167.0","46,772","2,660"
2019,7411,City of Gothenburg - (NE),A,Bundled,O,NE,Municipal,SWPP,,"1,843.0","20,585","1,496","1,247.0","13,985",370,"2,071.7","20,915",17,.,.,.,"5,161.7","55,485","1,883"
2019,7419,City of Goldsmith - (TX),A,Bundled,O,TX,Municipal,ERCO,Y,451.0,"3,887",233,316.0,"2,513",36,.,.,.,.,.,.,767.0,"6,400",269
2019,7424,Gowrie Municipal Utilities,A,Bundled,O,IA,Municipal,MISO,Y,463.0,"3,692",470,381.0,"3,387",131,.,.,.,.,.,.,844.0,"7,079",601
2019,7441,Goltry Public Works Authority,A,Bundled,O,OK,Municipal,SWPP,Y,203.0,"1,477",145,37.0,527,17,.,.,.,.,.,.,240.0,"2,004",162
2019,7442,Grafton Electric - (IA),A,Bundled,O,IA,Municipal,MISO,Y,127.7,"1,263",134,38.9,396,15,.,.,.,.,.,.,166.6,"1,659",149
2019,7443,City of Graettinger - (IA),A,Bundled,O,IA,Municipal,MISO,,465.2,"5,056",415,111.4,"1,361",84,231.1,"3,073",18,.,.,.,807.7,"9,490",517
2019,7444,City of Grafton - (ND),A,Bundled,O,ND,Municipal,MISO,Y,"3,026.4","20,188","1,973","1,180.0","8,300",272,"2,131.0","22,003",38,0.0,0,0,"6,337.4","50,491","2,283"
2019,7445,Village of Grafton - (OH),A,Bundled,O,OH,Municipal,PJM,Y,"1,243.0","11,405","1,139","2,459.7","12,537",203,143.0,"1,406",4,.,.,.,"3,845.7","25,348","1,346"
2019,7450,Grady Electric Membership Corp,A,Bundled,O,GA,Cooperative,SOCO,,"32,520.0","255,354","18,681","2,102.0","16,445",940,"4,338.0","43,783",244,.,.,.,"38,960.0","315,582","19,865"
2019,7456,Graham County Electric Coop Inc,A,Bundled,O,AZ,Cooperative,WALC,,"8,304.1","64,807","6,609","1,912.9","15,392",708,"4,725.2","41,553",425,.,.,.,"14,942.2","121,752","7,742"
2019,7460,Goodhue County Coop Elec Assn,A,Bundled,O,MN,Cooperative,MISO,,"11,706.4","89,362","4,856","1,024.4","7,618",309,0.0,0,0,.,.,.,"12,730.8","96,980","5,165"
2019,7478,Town of Granada - (CO),A,Bundled,O,CO,Municipal,WACM,Y,260.0,"1,522",219,167.0,476,31,.,.,.,.,.,.,427.0,"1,998",250
2019,7480,City of Granbury - (TX),A,Bundled,O,TX,Municipal,ERCO,Y,"3,530.0","28,651","2,580","7,094.0","61,914",784,0.0,0,0,0.0,0,0,"10,624.0","90,565","3,364"
2019,7483,City of Grand Haven - (MI),A,Bundled,O,MI,Municipal,MISO,,"11,837.7","83,613","12,638","11,578.4","89,016","1,636","13,541.3","122,153",129,.,.,.,"36,957.4","294,782","14,403"
2019,7484,"Grand Electric Coop, Inc",A,Bundled,O,MT,Cooperative,SWPP,,15.5,124,13,.,.,.,.,.,.,.,.,.,15.5,124,13
2019,7484,"Grand Electric Coop, Inc",A,Bundled,O,SD,Cooperative,SWPP,,"6,514.0","52,141","4,571","5,286.4","31,801",595,.,.,.,.,.,.,"11,800.4","83,942","5,166"
2019,7485,City of Grant - (NE),A,Bundled,O,NE,Municipal,SWPP,Y,900.5,"7,096",594,868.8,"6,946",192,362.4,"3,286",14,.,.,.,"2,131.7","17,328",800
2019,7486,City of Grand Junction - (IA),A,Bundled,O,IA,Municipal,MISO,Y,449.2,"3,154",384,146.8,"1,148",79,0.0,0,0,0.0,0,0,596.0,"4,302",463
2019,7487,City of Grand Marais - (MN),A,Bundled,O,MN,Municipal,MISO,Y,"1,177.0","9,454",998,"1,512.0","13,914",269,.,.,.,.,.,.,"2,689.0","23,368","1,267"
2019,7489,Grand Rapids Public Util Comm,A,Bundled,O,MN,Municipal,MISO,,"5,108.0","46,886","6,062","8,064.0","86,731","1,430","1,337.0","15,945",11,.,.,.,"14,509.0","149,562","7,503"
2019,7490,Grand River Dam Authority,A,Bundled,O,OK,State,SWPP,,.,.,.,302.0,"3,450",49,"112,850.0","2,512,308",33,.,.,.,"113,152.0","2,515,758",82
2019,7494,City of Granite Falls - (MN),A,Bundled,O,MN,Municipal,MISO,Y,"1,964.9","13,241","1,324",678.5,"5,478",270,"1,306.4","11,165",10,.,.,.,"3,949.8","29,884","1,604"
2019,7496,Town of Granite Falls - (NC),A,Bundled,O,NC,Municipal,DUK,Y,"3,148.8","25,533","2,069","2,866.9","28,209",464,362.9,"3,784",6,.,.,.,"6,378.6","57,526","2,539"
2019,7501,City of Granite - (OK),A,Bundled,O,OK,Municipal,SWPP,Y,740.7,"5,599",635,0.0,0,0,.,.,.,.,.,.,740.7,"5,599",635
2019,7515,City of Grantville - (GA),A,Bundled,O,GA,Municipal,SOCO,Y,"1,152.7","9,112",923,195.4,"1,398",78,108.1,816,5,.,.,.,"1,456.2","11,326","1,006"
2019,7548,PUD No 1 of Grays Harbor County,A,Bundled,O,WA,Political Subdivision,BPAT,,"59,547.0","476,285","37,662","34,044.0","333,723","5,616","9,819.0","141,178",18,.,.,.,"103,410.0","951,186","43,296"
2019,7554,Green Mountain Energy Company,B,Energy,O,IL,Retail Power Marketer,PJM,,"15,028.6","112,561","16,757",0.0,0,0,0.0,0,0,0.0,0,0,"15,028.6","112,561","16,757"
2019,7554,Green Mountain Energy Company,B,Energy,O,MA,Retail Power Marketer,ISNE,,"2,493.6","14,942","2,588",0.0,0,0,0.0,0,0,0.0,0,0,"2,493.6","14,942","2,588"
2019,7554,Green Mountain Energy Company,B,Energy,O,MD,Retail Power Marketer,PJM,,"8,432.5","62,590","5,987",0.0,0,0,0.0,0,0,0.0,0,0,"8,432.5","62,590","5,987"
2019,7554,Green Mountain Energy Company,B,Energy,O,NJ,Retail Power Marketer,PJM,,"1,348.7","8,684","1,308",538.6,"6,473",90,0.0,0,0,0.0,0,0,"1,887.3","15,157","1,398"
2019,7554,Green Mountain Energy Company,B,Energy,O,NY,Retail Power Marketer,NYIS,,"50,196.3","353,760","82,136","4,430.4","55,749",275,0.0,0,0,0.0,0,0,"54,626.7","409,509","82,411"
2019,7554,Green Mountain Energy Company,B,Energy,O,PA,Retail Power Marketer,PJM,,"75,012.5","670,444","68,660",284.6,"4,448",34,0.0,0,0,0.0,0,0,"75,297.1","674,892","68,694"
2019,7554,Green Mountain Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,,"503,594.0","3,717,689","329,797","236,025.1","2,733,032","45,982",0.0,0,0,0.0,0,0,"739,619.1","6,450,721","375,779"
2019,7558,Grayson Rural Electric Coop Corp,A,Bundled,O,KY,Cooperative,PJM,,"23,340.0","170,095","14,121","5,194.0","46,544","1,197","1,809.0","29,820",2,.,.,.,"30,343.0","246,459","15,320"
2019,7559,"Grayson-Collin Elec Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,,"107,468.0","877,933","54,463","26,327.0","190,475","3,352",.,.,.,.,.,.,"133,795.0","1,068,408","57,815"
2019,7561,"Greenbelt Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,,"4,014.0","26,412","3,696","2,398.0","20,353",882,"13,263.0","167,675",840,0.0,0,0,"19,675.0","214,440","5,418"
2019,7563,Grand Valley Power,A,Bundled,O,CO,Cooperative,PSCO,,"21,545.8","158,190","15,737","8,897.9","75,589","1,943","1,026.3","10,942",132,.,.,.,"31,470.0","244,721","17,812"
2019,7593,City of Green Cove Springs,A,Bundled,O,FL,Municipal,FMPP,,"5,616.0","53,464","3,518","6,540.0","58,836",772,0.0,0,0,.,.,.,"12,156.0","112,300","4,290"
2019,7600,Village of Green Island - (NY),A,Bundled,O,NY,Municipal,NYIS,Y,"1,269.0","11,644","1,491","1,676.0","16,295",150,.,.,.,.,.,.,"2,945.0","27,939","1,641"
2019,7601,Green Mountain Power Corp,A,Bundled,O,VT,Investor Owned,ISNE,,"265,161.0","1,501,956","222,599","240,671.0","1,478,366","44,060","123,030.0","1,148,104",72,.,.,.,"628,862.0","4,128,426","266,731"
2019,7624,Village of Greene - (NY),A,Bundled,O,NY,Municipal,NYIS,Y,947.0,"17,265","1,110",158.0,"2,211",109,"1,087.0","24,645",46,0.0,0,0,"2,192.0","44,121","1,265"
2019,7625,City of Greeneville - (TN),A,Bundled,O,TN,Municipal,TVA,,"47,999.0","462,426","31,068","34,247.0","313,658","7,406","21,789.0","393,016",18,0.0,0,0,"104,035.0","1,169,100","38,492"
2019,7626,City of Greenfield - (IA),A,Bundled,O,IA,Municipal,MISO,,"1,011.5","9,658",993,"1,051.6","11,646",237,"2,035.4","24,576",1,0.0,0,0,"4,098.5","45,880","1,231"
2019,7627,City of Greenfield - (IN),A,Bundled,O,IN,Municipal,MISO,,"10,920.0","100,846","10,091","8,051.0","81,722",975,"13,444.0","163,466",15,.,.,.,"32,415.0","346,034","11,081"
2019,7631,City of Greensburg - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,462.0,"3,855",503,983.0,"9,184",157,.,.,.,.,.,.,"1,445.0","13,039",660
2019,7633,Village of Greenup - (IL),A,Bundled,O,IL,Municipal,MISO,Y,824.4,"6,304",758,755.3,"6,019",148,671.7,"5,524",5,.,.,.,"2,251.4","17,847",911
2019,7634,City of Greenville - (TX),A,Bundled,O,TX,Municipal,ERCO,,"19,727.0","164,334","12,880","33,145.0","359,422","2,158",.,.,.,.,.,.,"52,872.0","523,756","15,038"
2019,7639,Greenville Utilities Comm,A,Bundled,O,NC,Municipal,CPLE,,"85,892.7","756,447","60,689","66,559.0","702,506","7,592","21,167.1","317,225",534,.,.,.,"173,618.8","1,776,178","68,815"
2019,7643,Village of Greenwich - (OH),A,Bundled,O,OH,Municipal,PJM,Y,762.0,"6,832",668,122.0,"1,179",56,437.0,"4,927",7,0.0,0,0,"1,321.0","12,938",731
2019,7646,Greenwood CPW,A,Bundled,O,SC,Municipal,DUK,,"9,859.0","117,126","11,183","12,888.0","186,658","2,945",0.0,0,0,.,.,.,"22,747.0","303,784","14,128"
2019,7650,Village of Greenwood - (NE),A,Bundled,O,NE,Municipal,SWPP,Y,325.0,"3,020",287,58.0,392,27,86.0,776,9,.,.,.,469.0,"4,188",323
2019,7651,Greenwood Utilities Comm,A,Bundled,O,MS,Municipal,MISO,,"9,827.0","98,704","7,547","11,387.0","126,995","1,648","3,233.0","46,514",3,.,.,.,"24,447.0","272,213","9,198"
2019,7654,Greer Commission of Public Wks,A,Bundled,O,SC,Municipal,DUK,,"25,688.0","202,743","17,534","21,203.0","186,288","10,442",.,.,.,.,.,.,"46,891.0","389,031","27,976"
2019,7665,Village of Gresham - (WI),A,Bundled,O,WI,Municipal,MISO,Y,"1,054.0","7,865",991,"1,429.0","15,496",185,206.0,"1,679",10,.,.,.,"2,689.0","25,040","1,186"
2019,7677,City of Gridley - (CA),A,Bundled,O,CA,Municipal,CISO,Y,"3,169.0","14,809","2,451","3,001.0","15,270",480,26.0,116,8,.,.,.,"6,196.0","30,195","2,939"
2019,7679,City of Griffin - (GA),A,Bundled,O,GA,Municipal,SOCO,,"19,624.0","159,189","13,075","21,734.0","171,514","2,303","7,257.0","86,968",16,.,.,.,"48,615.0","417,671","15,394"
2019,7712,City of Groton - (SD),A,Bundled,O,SD,Municipal,SWPP,Y,"1,191.3","11,380",497,577.6,"5,502",80,.,.,.,.,.,.,"1,768.9","16,882",577
2019,7713,Village of Groton - (NY),A,Bundled,O,NY,Municipal,NYIS,Y,844.0,"16,083",977,263.0,"4,092",171,382.0,"7,386",10,0.0,0,0,"1,489.0","27,561","1,158"
2019,7715,Town of Groton - (MA),A,Bundled,O,MA,Municipal,ISNE,Y,"5,783.2","44,131","4,414","3,953.6","26,138",441,.,.,.,.,.,.,"9,736.8","70,269","4,855"
2019,7716,Groton Dept of Utilities - (CT),A,Bundled,O,CT,Municipal,ISNE,,"16,033.8","100,547","12,186","14,680.2","103,223","1,334","23,563.4","240,927",12,0.0,0,0,"54,277.4","444,697","13,532"
2019,7719,Borough of Grove City - (PA),A,Bundled,O,PA,Municipal,PJM,Y,"2,881.7","19,654","2,538","2,075.6","15,417",440,"2,580.6","23,843",8,0.0,0,0,"7,537.9","58,914","2,986"
2019,7720,"Grundy Electric Coop, Inc",A,Bundled,O,IA,Cooperative,AECI,,362.6,"2,899",217,65.6,511,10,.,.,.,.,.,.,428.2,"3,410",227
2019,7720,"Grundy Electric Coop, Inc",A,Bundled,O,MO,Cooperative,AECI,,"9,121.0","71,238","5,720","3,601.1","35,799",760,"1,365.2","14,166",5,.,.,.,"14,087.3","121,203","6,485"
2019,7723,Town of Groveland - (MA),A,Bundled,O,MA,Municipal,ISNE,Y,"3,698.0","22,120","2,593",446.0,"2,597",274,"1,470.0","9,309",45,.,.,.,"5,614.0","34,026","2,912"
2019,7732,City of Grove City,A,Bundled,O,MN,Municipal,MISO,Y,536.7,"3,787",370,153.6,"1,117",42,324.2,"2,637",7,.,.,.,"1,014.5","7,541",419
2019,7743,Grundy Center Mun Light & Power,A,Bundled,O,IA,Municipal,MISO,,"1,303.0","12,455","1,264","1,152.0","12,850",304,0.0,0,0,0.0,0,0,"2,455.0","25,305","1,568"
2019,7750,Guthrie County Rural E C A,A,Bundled,O,IA,Cooperative,MISO,,"7,580.0","72,327","4,631","1,007.7","12,325",103,"4,960.8","85,021",7,.,.,.,"13,548.5","169,673","4,741"
2019,7752,Guadalupe Valley Elec Coop Inc,A,Bundled,O,TX,Cooperative,ERCO,,"120,666.3","1,183,722","77,921","26,602.8","294,544","7,370","58,990.8","1,187,986","1,102",.,.,.,"206,259.9","2,666,252","86,393"
2019,7759,Town of Guernsey - (WY),A,Bundled,O,WY,Municipal,WACM,Y,"1,140.0","4,764",641,"1,026.0","6,813",87,272.0,866,13,.,.,.,"2,438.0","12,443",741
2019,7760,Town of Gueydan,A,Bundled,O,LA,Municipal,MISO,Y,854.0,"8,135",796,366.0,"2,889",114,257.0,"2,010",26,.,.,.,"1,477.0","13,034",936
2019,7785,"Gulf Coast Electric Coop, Inc",A,Bundled,O,FL,Cooperative,AEC,,"35,238.7","274,962","18,900","8,196.7","70,992","1,416",.,.,.,.,.,.,"43,435.4","345,954","20,316"
2019,7787,Gunnison County Elec Assn.,A,Bundled,O,CO,Cooperative,WACM,,"13,419.0","77,950","9,566","5,106.0","37,898","1,489",957.0,"8,547",7,.,.,.,"19,482.0","124,395","11,062"
2019,7801,Gulf Power Co,A,Bundled,O,FL,Investor Owned,SOCO,,"731,604.2","5,519,757","407,435","394,348.0","3,802,957","57,197","133,274.9","1,756,154",250,0.0,0,0,"1,259,227.1","11,078,868","464,882"
2019,7826,City of Gunnison - (CO),A,Bundled,O,CO,Municipal,WACM,,"2,930.0","27,674","3,534","3,758.0","42,443",864,.,.,.,.,.,.,"6,688.0","70,117","4,398"
2019,7827,Guntersville Electric Board,A,Bundled,O,AL,Municipal,TVA,,"7,713.0","71,959","4,743","10,071.0","91,968","1,747","5,940.0","81,908",4,0.0,0,0,"23,724.0","245,835","6,494"
2019,7837,City of Guttenberg,A,Bundled,O,IA,Municipal,MISO,Y,985.0,"7,788","1,070",584.0,"4,618",316,733.0,"5,794",16,.,.,.,"2,302.0","18,200","1,402"
2019,7864,Grundy County Rural Elec Coop,A,Bundled,O,IA,Cooperative,MISO,,"3,952.0","28,333","1,675","2,344.0","18,653",587,958.0,"16,618",3,.,.,.,"7,254.0","63,604","2,265"
2019,7870,H-D Electric Coop Inc,A,Bundled,O,MN,Cooperative,SWPP,,15.0,106,8,.,.,.,2.0,5,3,.,.,.,17.0,111,11
2019,7870,H-D Electric Coop Inc,A,Bundled,O,SD,Cooperative,SWPP,,"7,430.0","66,985","2,829","3,284.0","34,495",284,601.0,"4,185",507,.,.,.,"11,315.0","105,665","3,620"
2019,7887,Habersham Electric Membership Corp,A,Bundled,O,GA,Cooperative,SOCO,,"53,163.0","406,101","32,498","12,053.0","102,578","2,569",.,.,.,.,.,.,"65,216.0","508,679","35,067"
2019,7891,Guernsey-Muskingum El Coop Inc,A,Bundled,O,OH,Cooperative,PJM,,"24,672.5","173,403","14,851","6,051.1","45,639","1,992","3,655.2","32,065",8,.,.,.,"34,378.8","251,107","16,851"
2019,7907,City of Hagerstown - (IN),A,Bundled,O,IN,Municipal,MISO,Y,"1,188.0","11,358",961,548.0,"5,127",212,321.0,"3,966",4,.,.,.,"2,057.0","20,451","1,177"
