,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/13/2020 12:45 AM,04/13/2020 3:00 AM,"2 Hours, 15 Minutes",,Tennessee Valley Authority,SERC,Tennessee: Hamilton County;,Weather,Unknown,120000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,North Carolina: South,for 1 hour or more.-Severe,,
2020,4,04/13/2020 3:30 AM,04/14/2020 6:18 PM,"38 Hours, 48 Minutes",,Duke Energy Carolinas,SERC,Carolina:,Weather,Unknown,216400
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,North Carolina: South,for 1 hour or more.-Severe,,
2020,4,04/13/2020 7:31 AM,04/13/2020 2:00 PM,"6 Hours, 29 Minutes",,Duke Energy Progress,SERC,Carolina:,Weather,Unknown,Unknown
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/13/2020 8:08 AM,.,.,". Hours, . Minutes",Dominion Energy South Carolina,SERC,South Carolina:,Weather,Unknown,72233
"Table B.2 Major Disturbances and Unusual Occurrences, 2020",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/13/2020 10:25 AM,04/13/2020 6:55 PM,"8 Hours, 30 Minutes",,Dominion Energy VA,SERC,North Carolina:,Weather,Unknown,95000
,,,,,,,,Connecticut: Maine:,Loss of electric service to,,
,,,,,,,,Massachusetts: New,"more than 50,000 customers",,
,,,,,,,,Hampshire: Rhode Island:,for 1 hour or more.-Severe,,
2020,4,04/13/2020 1:05 PM,04/14/2020 4:00 PM,"26 Hours, 55 Minutes",,ISO New England,NPCC,Vermont:,Weather,Unknown,68476
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,Alabama: Mississippi:,for 1 hour or more.-Severe,,
2020,4,04/20/2020 12:59 AM,04/20/2020 8:40 AM,"7 Hours, 41 Minutes",,Southern Company,SERC,Georgia: Florida:,Weather,552,77341
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,Mississippi: Arkansas:,for 1 hour or more.-Severe,,
2020,4,04/23/2020 4:30 AM,04/23/2020 7:00 AM,"2 Hours, 30 Minutes",,Entergy Corp,SERC,Louisiana:,Weather,Unknown,55184
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,Alabama: Georgia:,for 1 hour or more.-Severe,,
2020,4,04/23/2020 8:00 AM,04/23/2020 11:40 PM,"15 Hours, 40 Minutes",,Southern Company,SERC,Mississippi: Florida:,Weather,375,52163
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blacked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,"California: Placer County,",electrical system.-System,,
2020,4,04/24/2020 9:00 PM,04/24/2020 9:33 PM,"0 Hours, 33 Minutes",,Pacific Gas & Electric Co,WECC,Nevada County;,Operations,5,945
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
