"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"99849799999","2019-03-13T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","190,1,N,0165,1","99999,9,9,N","999999,9,9,9","+0078,1","+9999,9","99999,9","SYN046FSTI2 46/// /1932 10078 90500 555 11033 22036="
"99849799999","2019-03-13T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","220,1,N,0149,1","99999,9,9,N","999999,9,9,9","+0070,1","+9999,9","99999,9","SYN046FSTI2 46/// /2229 10070 90600 555 11029 22032="
"99849799999","2019-03-13T07:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","190,1,N,0134,1","99999,9,9,N","999999,9,9,9","+0055,1","+9999,9","99999,9","SYN046FSTI2 46/// /1926 10055 90700 555 11027 22029="
"99849799999","2019-03-13T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","140,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0089,1","+9999,9","99999,9","SYN046FSTI2 46/// /1418 10089 92100 555 11018 22020="
"99849799999","2019-03-13T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","140,1,N,0124,1","99999,9,9,N","999999,9,9,9","+0097,1","+9999,9","99999,9","SYN046FSTI2 46/// /1424 10097 92200 555 11024 22026="
"99849799999","2019-03-13T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","140,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0075,1","+9999,9","99999,9","SYN046FSTI2 46/// /1413 10075 92300 555 11013 22014="
"99849799999","2019-03-14T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","130,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0077,1","+9999,9","99999,9","SYN046FSTI2 46/// /1313 10077 90100 555 11013 22014="
"99849799999","2019-03-14T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","160,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0108,1","+9999,9","99999,9","SYN046FSTI2 46/// /1619 10108 90200 555 11019 22021="
"99849799999","2019-03-14T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0087,1","+9999,9","99999,9","SYN046FSTI2 46/// /1520 10087 90300 555 11020 22022="
"99849799999","2019-03-14T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0055,1","+9999,9","99999,9","SYN046FSTI2 46/// /1522 10055 90400 555 11023 22025="
"99849799999","2019-03-14T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","160,1,N,0129,1","99999,9,9,N","999999,9,9,9","+0060,1","+9999,9","99999,9","SYN046FSTI2 46/// /1625 10060 90500 555 11025 22027="
"99849799999","2019-03-14T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0206,1","99999,9,9,N","999999,9,9,9","+0095,1","+9999,9","99999,9","SYN046FSTI2 46/// /1540 10095 90600 555 11041 22044="
"99849799999","2019-03-14T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","160,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0150,1","+9999,9","99999,9","SYN046FSTI2 46/// /1614 10150 91000 555 11014 22015="
"99849799999","2019-03-14T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","170,1,N,0129,1","99999,9,9,N","999999,9,9,9","+0149,1","+9999,9","99999,9","SYN046FSTI2 46/// /1725 10149 91100 555 11026 22028="
