Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2017,659,American Transmission Co,WI,Transmission,,,,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,N,
2017,689,Connexus Energy,MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2017,690,City of Bardstown - (KY),KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,N,,,,
2017,691,City of Anoka,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,N,,,,Y,,,,,Y,Y
2017,694,Anza Electric Coop Inc,CA,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,N,,,
2017,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,
2017,719,Town of Apex- (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2017,727,Appalachian Electric Coop,TN,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,733,Appalachian Power Co,OH,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,Y,N,Y,,,Y,Y
2017,750,Arab Electric Coop Inc,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,,,Y,,,N,N
2017,798,Arizona Power Authority,AZ,State,WECC,,,,,,,,Y,,,,,,,,Y,,,Y,,,,,,,
2017,803,Arizona Public Service Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,Y,Y,,Y,Y,Y,,,Y,Y
2017,807,Arkansas Electric Coop Corp,AR,Cooperative,SPP,,,,,,,Y,,,,,,Y,Y,,,Y,Y,Y,,,Y,,,,
2017,814,Entergy Arkansas Inc,AR,Investor Owned,SERC,,,,,,Y,,,,,,,,Y,,,Y,Y,Y,Y,Y,,,,Y,Y
2017,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,SERC,,,,,N,N,Y,,,,,,,N,,Y,,,,Y,,,,,N,
2017,828,City of Arlington - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,N,
2017,887,"Arrowhead Electric Coop, Inc",MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,N,,,,,
2017,907,City of Ashland - (OR),OR,Municipal,WECC,,,,,,,,Y,,,,,,,,,Y,N,,N,,,,Y,Y,Y
2017,918,City of Aspen- (CO),CO,Municipal,WECC,,,,,,,,Y,,,,,,,,,N,,Y,Y,Y,,Y,Y,Y,Y
2017,924,"Associated Electric Coop, Inc",MO,Transmission,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,
2017,942,Atchison-Holt Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2017,944,City of Athens - (AL),AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,947,Athens Utility Board,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,963,Atlantic City Electric Co,NJ,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,Y,Y,N,Y,N,N,Y,Y
2017,965,Atlantic Municipal Utilities,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,,,Y,,
2017,970,Homefield Energy,IL,Retail Power Marketer,RFC,,,,,Y,,,,,,Y,,,Y,,,,,,,,Y,Y,,,
2017,993,Auburn Board of Public Works,NE,Municipal,MRO,,,N,,,,Y,,,,,,,,,,Y,N,Y,Y,,,,Y,,
