|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2022,1167,Baltimore Gas & Electric Co,MD,Investor Owned,305.861,1.163,262.993,83.430,0.823,101.373,305.634,1.152,265.307,"1,323,883",34.0,Y,.,.,.,.,.,.,.,,,.,
2022,1175,"Bandera Electric Coop, Inc",TX,Cooperative,143.100,2.260,63.319,59.170,0.610,97.000,137.240,2.020,67.941,"40,311",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,1179,Versant Power,ME,Investor Owned,"1,285.000",3.309,388.335,326.000,2.461,132.466,"1,170.000",2.476,472.536,"181,068",35.0,Y,.,.,.,.,.,.,.,,,.,
2022,1251,Barron Electric Coop,WI,Cooperative,"1,141.971",2.801,407.701,245.797,1.768,139.025,"1,126.956",2.528,445.790,"19,612",12.5,Y,.,.,.,.,.,.,.,,,.,
2022,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,262.700,1.330,197.519,113.270,1.150,98.496,245.920,1.010,243.485,"13,571",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,1283,Bartholomew County Rural E M C,IN,Cooperative,203.980,1.240,164.500,52.520,0.600,87.533,153.520,0.950,161.600,"11,925",12.5,Y,.,.,.,.,.,.,.,,,.,
2022,1300,City of Bartow - (FL),FL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,68.600,0.150,457.333,68.600,0.150,457.333,"12,562",N,L,35.0,N
2022,1366,City of Bay City - (MI),MI,Municipal,189.632,0.599,316.581,55.969,0.379,147.675,189.632,0.599,316.581,"21,000",13.8,N,.,.,.,.,.,.,.,,,.,
2022,1456,Town of Bedford - (VA),VA,Municipal,742.730,3.130,237.294,226.260,1.400,161.614,742.730,3.130,237.294,"6,786",12.0,Y,.,.,.,.,.,.,.,,,.,
2022,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,924.000,5.610,164.706,912.000,5.090,179.175,"43,980",N,F,24.9,Y
2022,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,.,.,.,140.775,1.436,98.033,.,.,.,"21,759",12.5,Y,.,.,.,.,.,.,.,,,.,
2022,1579,PUD No 1 of Benton County,WA,Political Subdivision,134.100,1.060,126.509,58.400,0.350,166.857,0.000,0.000,.,"56,224",34.5,Y,.,.,.,.,.,.,.,,,.,
2022,1591,"Big Country Electric Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,56.000,.,.,.,.,.,"13,380",N,L,69.0,Y
2022,1613,Berkeley Electric Coop Inc,SC,Cooperative,321.400,2.048,156.934,120.900,1.340,90.224,317.200,1.980,160.202,"119,028",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,1625,Benton Rural Electric Assn,WA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,178.080,1.492,119.357,.,.,.,"15,843",N,L,34.5,N
2022,1708,Big Sandy Rural Elec Coop Corp,KY,Cooperative,"1,273.100",5.245,242.726,634.800,4.282,148.248,12.360,4.810,2.570,"12,567",13.2,Y,.,.,.,.,.,.,.,,,.,
2022,1723,"Big Bend Electric Coop, Inc",WA,Cooperative,353.919,1.638,216.068,353.919,1.638,216.068,0.000,0.000,.,"9,789",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,1763,"Black River Electric Coop, Inc - (SC)",SC,Cooperative,293.000,1.998,146.647,68.000,0.918,74.074,289.000,1.818,158.966,"33,671",7.2,Y,.,.,.,.,.,.,.,,,.,
2022,1769,"Black Hills Electric Coop, Inc",SD,Cooperative,131.700,0.700,188.143,80.000,0.610,131.148,128.500,0.620,207.258,"10,882",7.2,Y,.,.,.,.,.,.,.,,,.,
2022,1775,Black River Electric Coop - (MO),MO,Cooperative,462.440,.,.,356.920,.,.,.,.,.,"25,203",14.4,Y,.,.,.,.,.,.,.,,,.,
2022,1884,BENCO Electric Cooperative,MN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,106.600,0.927,114.995,80.860,0.769,105.150,"19,684",N,L,14.7,Y
2022,1886,Blue Grass Energy Coop Corp,KY,Cooperative,260.055,1.927,134.953,192.100,1.684,114.074,245.720,1.610,152.621,"61,352",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,121.490,1.460,83.212,79.360,1.080,73.481,121.490,1.460,83.212,"77,995",15.0,Y,.,.,.,.,.,.,.,,,.,
2022,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,407.200,.,.,145.580,.,.,25.200,.,.,"70,160",7.2,N,.,.,.,.,.,.,.,,,.,
2022,1891,Blue Ridge Mountain EMC - (GA),GA,Cooperative,507.680,5.460,92.982,362.370,3.230,112.189,505.630,5.310,95.222,"56,237",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,142.618,1.272,112.121,101.878,1.064,95.750,127.342,1.116,114.106,"119,195",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,1936,Bolivar Energy Authority,TN,Municipal,462.467,4.372,105.779,98.557,1.658,59.443,397.022,2.379,166.886,"11,311",12.0,N,.,.,.,.,.,.,.,,,.,
2022,2001,Boone Electric Coop,MO,Cooperative,61.390,0.750,81.853,44.380,0.490,90.571,52.430,0.550,95.327,"34,266",13.2,Y,.,.,.,.,.,.,.,,,.,
2022,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,997.400,.,.,362.200,.,.,"38,286",N,O,12.5,Y
2022,2054,City of Bowling Green - (OH),OH,Municipal,25.027,0.373,67.097,9.016,0.107,84.262,.,.,.,"14,806",12.5,N,.,.,.,.,.,.,.,,,.,
2022,2056,City of Bowling Green - (KY),KY,Municipal,51.558,0.856,60.231,51.558,0.856,60.231,51.558,0.856,60.231,"31,353",13.0,Y,.,.,.,.,.,.,.,,,.,
2022,2089,Bozrah Light & Power Company,CT,Municipal,140.090,0.650,215.523,137.070,0.620,221.081,140.090,0.650,215.523,"2,806",13.8,Y,.,.,.,.,.,.,.,,,.,
2022,2144,Town of Braintree - (MA),MA,Municipal,1.910,0.030,63.667,1.910,0.030,63.667,1.910,0.030,63.667,"16,738",13.8,N,.,.,.,.,.,.,.,,,.,
2022,2212,"Broad River Electric Coop, Inc",SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,208.500,.,.,86.900,.,.,"23,797",N,F,12.5,Y
2022,2247,City of Bristol - (TN),TN,Municipal,111.390,1.670,66.701,111.390,1.670,66.701,.,.,.,"34,117",13.0,N,.,.,.,.,.,.,.,,,.,
2022,2248,Bristol Virginia Utilities,VA,Municipal,42.470,0.473,89.789,42.470,0.473,89.789,42.470,0.473,89.789,"15,989",13.0,Y,.,.,.,.,.,.,.,,,.,
2022,2285,City of Brookings - (SD),SD,Municipal,"1,760.486",1.081,"1,628.572","1,760.486",1.081,"1,628.572",4.700,0.084,55.952,"11,693",12.5,N,.,.,.,.,.,.,.,,,.,
2022,2409,Brownsville Public Utilities Board,TX,Municipal,105.287,1.902,55.356,63.256,1.334,47.418,105.287,1.902,55.356,"55,884",12.5,N,.,.,.,.,.,.,.,,,.,
2022,2442,City of Bryan - (TX),TX,Municipal,.,.,.,.,.,.,.,.,.,.,.,,26.309,0.289,91.035,.,.,.,"63,503",N,F,12.5,Y
2022,2502,"Buckeye Rural Elec Coop, Inc",OH,Cooperative,"1,792.500",4.200,426.786,729.900,3.310,220.514,.,.,.,"18,781",12.5,Y,.,.,.,.,.,.,.,,,.,
2022,2507,City of Burbank Water and Power,CA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,4.540,0.223,20.359,4.540,0.223,20.359,"52,500",N,L,34.5,N
2022,2548,City of Burlington Electric - (VT),VT,Municipal,.,.,.,.,.,.,.,.,.,.,.,,.,1.060,.,.,.,.,"21,560",N,F,13.8,N
2022,2651,Butler Rural Electric Coop Inc - (OH),OH,Cooperative,226.310,2.234,101.303,99.860,1.207,82.734,151.340,1.370,110.467,"11,689",12.0,Y,.,.,.,.,.,.,.,,,.,
2022,2652,Butler County Rural Elec Coop - (IA),IA,Cooperative,75.930,1.043,72.800,75.930,1.043,72.800,46.512,0.640,72.675,"5,303",12.5,N,.,.,.,.,.,.,.,,,.,
2022,2812,City of Calhoun - (GA),GA,Municipal,49.740,0.620,80.226,49.740,0.620,80.226,49.740,0.620,80.226,"5,645",7.2,N,.,.,.,.,.,.,.,,,.,
2022,2849,Central Electric Power Assn - (MS),MS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,404.798,5.712,70.868,333.558,5.373,62.080,"38,271",N,F,24.0,N
2022,2911,"Canadian Valley Elec Coop, Inc",OK,Cooperative,540.276,1.663,324.880,203.406,1.201,169.364,526.012,1.583,332.288,"27,546",24.9,N,.,.,.,.,.,.,.,,,.,
2022,2960,"Caney Fork Electric Coop, Inc",TN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,335.000,0.000,.,96.000,0.000,.,"34,545",N,L,26.0,N
2022,2985,"Capital Electric Coop, Inc",ND,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,58.000,0.637,91.052,57.400,0.634,90.536,"21,870",N,F,7.2,Y
2022,3046,Duke Energy Progress - (NC),NC,Investor Owned,689.520,2.294,300.575,142.150,1.278,111.228,514.640,2.021,254.646,"1,497,086",34.5,Y,.,.,.,.,.,.,.,,,.,
2022,3046,Duke Energy Progress - (NC),SC,Investor Owned,482.240,2.408,200.266,124.680,1.247,99.984,433.040,2.220,195.063,"171,847",23.0,Y,.,.,.,.,.,.,.,,,.,
2022,3081,Carroll Electric Member Corp - (GA),GA,Cooperative,125.580,1.290,97.349,125.580,1.290,97.349,125.074,1.287,97.183,"54,547",25.9,Y,.,.,.,.,.,.,.,,,.,
2022,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,102.140,1.480,69.014,90.380,1.410,64.099,90.380,1.410,64.099,"100,357",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,3093,Carroll Electric Coop Corp - (AR),MO,Cooperative,78.580,1.440,54.569,78.580,1.440,54.569,78.580,1.440,54.569,"11,445",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,3113,City of Carthage - (MO),MO,Municipal,113.796,2.340,48.631,23.190,0.860,26.965,.,.,.,"8,054",13.2,Y,.,.,.,.,.,.,.,,,.,
2022,3203,Cedar Falls Utilities,IA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,11.670,0.137,85.182,.,.,.,"19,341",N,L,12.5,N
2022,3208,Cedarburg Light & Water Comm,WI,Municipal,.,.,.,.,.,.,.,.,.,.,.,,19.025,0.383,49.674,0.000,0.000,.,"6,840",N,5,24.9,N
2022,3222,Central Alabama Electric Coop,AL,Cooperative,202.820,.,.,180.110,.,.,197.930,.,.,"44,367",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,3226,"Central Rural Electric Cooperative, Inc",OK,Cooperative,256.853,2.010,127.788,151.073,1.459,103.546,231.733,1.406,164.817,"23,256",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,3245,"Central Florida Elec Coop, Inc",FL,Cooperative,321.486,3.175,101.255,205.173,3.175,64.621,318.270,3.143,101.263,"35,668",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,3248,Central Georgia El Member Corp,GA,Cooperative,157.540,1.779,88.555,91.510,1.241,73.739,157.540,1.779,88.555,"62,411",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,3249,Central Hudson Gas & Elec Corp,NY,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,704.500,1.900,370.789,172.200,1.300,132.462,"313,732",,F,34.5,N
2022,3250,Central Electric Membership Corp. - (NC),NC,Cooperative,722.653,.,.,155.841,.,.,722.653,.,.,"23,965",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,3264,Central Lincoln People's Ut Dt,OR,Political Subdivision,491.442,1.649,298.024,.,.,.,.,.,.,"40,680",12.0,Y,.,.,.,.,.,.,.,,,.,
2022,3265,Cleco Power LLC,LA,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,187.200,2.090,89.569,165.600,1.930,85.803,"291,668",N,F,34.5,Y
2022,3266,Central Maine Power Co,ME,Investor Owned,856.400,2.770,309.170,172.490,1.710,100.871,856.200,2.760,310.217,"664,869",34.5,N,.,.,.,.,.,.,.,,,.,
2022,3268,Central Missouri Elec Coop Inc,MO,Cooperative,120.000,1.595,75.235,120.000,1.595,75.235,115.200,1.042,110.557,"11,224",25.0,N,.,.,.,.,.,.,.,,,.,
2022,3273,"Central New Mexico El Coop, Inc",NM,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,673.000,3.744,179.754,367.000,1.700,215.882,"18,764",N,F,25.0,Y
2022,3278,AEP Texas Central Company,TX,Investor Owned,208.900,2.113,98.864,166.200,1.485,111.919,203.200,2.062,98.545,"894,484",35.0,Y,.,.,.,.,.,.,.,,,.,
2022,3282,"Central Texas Elec Coop, Inc",TX,Cooperative,237.500,2.210,107.466,218.000,2.040,106.863,165.300,1.460,113.219,"45,931",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,3287,"Central Valley Elec Coop, Inc",NM,Cooperative,406.200,2.274,178.628,236.795,1.768,133.934,403.281,2.240,180.036,"15,072",25.0,Y,.,.,.,.,.,.,.,,,.,
2022,3291,Central Virginia Electric Coop,VA,Cooperative,"2,738.000",5.380,508.922,362.000,3.060,118.301,"2,704.000",5.040,536.508,"38,464",24.9,Y,.,.,.,.,.,.,.,,,.,
2022,3295,City of Centralia - (WA),WA,Municipal,256.199,2.006,127.716,68.476,0.461,148.538,256.199,2.006,127.716,"10,745",12.5,N,.,.,.,.,.,.,.,,,.,
2022,3329,Borough of Chambersburg,PA,Municipal,7.190,0.070,102.714,7.190,0.070,102.714,7.190,0.070,102.714,"11,187",12.5,N,.,.,.,.,.,.,.,,,.,
2022,3400,City of Chaska - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,16.465,0.217,75.876,.,.,.,"11,000",Y,F,8.0,N
