Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2022,4295,Comanche County Elec Coop Assn,TX,56,.
2022,4296,"Cookson Hills Elec Coop, Inc",OK,45,.
2022,4317,"Coos-Curry Electric Coop, Inc",OR,42,.
2022,4327,Coosa Valley Electric Coop Inc,AL,36,.
2022,4356,Colorado River Comm of Nevada,NV,38,0
2022,4362,Corn Belt Energy Corporation,IL,144,81
2022,4373,Cornhusker Public Power Dist,NE,115,0
2022,4390,City of Corona - (CA),CA,12,0
2022,4401,"Cotton Electric Coop, Inc",OK,79,0
2022,4430,"Covington Electric Coop, Inc",AL,57,0
2022,4432,Coweta-Fayette El Member Corp,GA,87,0
2022,4433,City of Covington - (GA),GA,21,1
2022,4437,City of Covington - (TN),TN,12,0
2022,4442,PUD No 1 of Cowlitz County,WA,114,.
2022,4508,"Crawfordsville Elec, Lgt & Pwr",IN,23,0
2022,4509,Craighead Electric Coop Corp,AR,84,.
2022,4524,"Crawford Electric Coop, Inc",MO,42,0
2022,4538,Crisp County Power Comm,GA,27,27
2022,4577,Crow Wing Cooperative Power & Light Comp,MN,94,0
2022,4604,City of Crystal Falls,MI,7,0
2022,4607,City of Cuba City,WI,8,0
2022,4617,Cullman Power Board,AL,15,0
2022,4618,"Cullman Electric Coop, Inc",AL,77,0
2022,4622,"Cumberland Valley Electric, Inc.",KY,57,.
2022,4622,"Cumberland Valley Electric, Inc.",TN,2,.
2022,4624,Cumberland Elec Member Corp,TN,125,92
2022,4675,Cuivre River Electric Coop Inc,MO,120,70
2022,4683,City of Cuyahoga Falls - (OH),OH,37,2
2022,4715,Dahlberg Light & Power Co,WI,36,.
2022,4717,Dakota Valley Elec Coop Inc,ND,81,0
2022,4720,Dakota Energy Coop Inc,SD,12,0
2022,4743,"Consumers Power, Inc",OR,75,0
2022,4744,Dalton Utilities,GA,78,.
2022,4794,City of Danville - (VA),VA,69,.
2022,4848,Daviess Martin County R E M C,IN,22,12
2022,4911,Dawson Power District,NE,183,0
2022,4920,City of Dayton - (TN),TN,14,0
2022,4922,Dayton Power & Light Co,OH,491,.
2022,4939,"Deaf Smith Electric Coop, Inc",TX,101,15
2022,4958,Decatur Utilities,AL,59,34
2022,4960,Decatur County Rural E M C,IN,27,.
2022,4975,Deep East Texas Elec Coop Inc,TX,111,0
2022,5027,Delmarva Power,DE,272,.
2022,5027,Delmarva Power,MD,193,.
2022,5063,City of Denton - (TX),TX,107,53
2022,5070,Delaware Electric Cooperative,DE,91,0
2022,5078,"Denton County Elec Coop, Inc",TX,178,178
2022,5086,Delta Montrose Electric Assn,CO,51,51
2022,5109,DTE Electric Company,MI,"3,464",6
2022,5148,City of Dickson,TN,44,37
2022,5175,Dixie Electric Power Assn,MS,95,0
2022,5202,Dixie Electric Membership Corp,LA,138,130
2022,5204,Dixie Electric Coop,AL,61,0
2022,5309,City of Dothan - (AL),AL,45,43
2022,5325,City of Douglas,GA,15,.
2022,5326,PUD No 1 of Douglas County,WA,69,.
2022,5335,City of Dover - (DE),DE,52,47
2022,5336,City of Dover - (OH),OH,13,13
2022,5394,Dubois Rural Electric Coop Inc,IN,33,17
2022,5399,Duck River Elec Member Corp,TN,103,71
2022,5416,"Duke Energy Carolinas, LLC",NC,"2,167",0
2022,5416,"Duke Energy Carolinas, LLC",SC,732,0
2022,5417,Dunn County Electric Coop,WI,40,0
2022,5480,Town of Danvers,MA,36,0
2022,5487,Duquesne Light Co,PA,620,0
2022,5509,City of Dyersburg,TN,36,34
2022,5535,Egyptian Electric Coop Assn,IL,68,64
2022,5551,City of Eagle River - (WI),WI,10,5
2022,5574,East Central Energy,MN,110,108
2022,5574,East Central Energy,WI,17,15
2022,5578,East Mississippi Elec Pwr Assn,MS,37,0
2022,5582,City of East Point - (GA),GA,20,.
2022,5585,Eastern Illinois Elec Coop,IL,75,75
2022,5588,East-Central Iowa Rural Elec Coop,IA,72,72
2022,5598,East Central Oklahoma Elec Coop Inc,OK,79,72
2022,5605,Eastern Iowa Light & Power Coop,IA,177,23
2022,5609,Eastern Maine Electric Coop,ME,20,0
2022,5625,Easton Utilities Comm,MD,15,15
2022,5644,"Edisto Electric Coop, Inc",SC,68,0
2022,5656,Edgecombe-Martin County E M C,NC,36,32
2022,5661,City of Edmond - (OK),OK,32,.
2022,5701,El Paso Electric Co,NM,66,61
2022,5701,El Paso Electric Co,TX,302,286
2022,5760,City of Elizabeth City - (NC),NC,25,.
2022,5763,City of Elizabethton - (TN),TN,35,35
2022,5773,City of Elk River,MN,33,0
2022,5780,Elkhorn Rural Public Pwr Dist,NE,86,75
2022,5832,Elmhurst Mutual Power & Light Co,WA,19,19
2022,5860,Empire District Electric Co,AR,10,.
2022,5860,Empire District Electric Co,KS,21,.
2022,5860,Empire District Electric Co,MO,270,.
2022,5860,Empire District Electric Co,OK,13,.
2022,5862,"Empire Electric Assn, Inc",CO,71,63
2022,5862,"Empire Electric Assn, Inc",UT,3,3
