|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA Code|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|w_heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2022,11578,Town of Mannford - (OK),Municipal,OK,SWPP,"4,112.0","37,725","1,150",.,N,N,N
2022,11691,City of Marlow - (OK),Municipal,OK,SWPP,"3,294.7","36,875","2,303",.,N,N,N
2022,12408,City of Miami - (OK),Municipal,OK,SWPP,"17,365.0","175,758","6,524",.,N,N,N
2022,12892,City of Mooreland - (OK),Municipal,OK,SWPP,"1,104.0","8,198",786,.,N,N,N
2022,13530,City of Newkirk - (OK),Municipal,OK,SWPP,"2,275.4","21,192","1,588",.,N,N,N
2022,13838,"Northfork Electric Coop, Inc",Cooperative,OK,SWPP,"24,433.9","177,909","6,556",.,Y,Y,N
2022,13966,City of Olustee,Municipal,OK,SWPP,466.0,"3,483",350,.,N,N,N
2022,14057,Okeene Public Works Authority,Municipal,OK,SWPP,"2,172.0","20,659",623,.,N,N,N
2022,14176,City of Orlando - (OK),Municipal,OK,SWPP,139.0,"1,268",112,.,N,N,N
2022,14582,City of Pawhuska - (OK),Municipal,OK,SWPP,"3,541.0","41,817","2,126",.,N,N,N
2022,14583,City of Pawnee - (OK),Municipal,OK,SWPP,"2,892.0","21,100","1,373",.,N,N,N
2022,14829,City of Perry - (OK),Municipal,OK,SWPP,"7,921.5","69,934","2,982",.,Y,N,N
2022,15311,Prague Public Works Authority,Municipal,OK,SWPP,"2,530.2","20,824","1,282",.,N,N,N
2022,15462,City of Pryor - (OK),Municipal,OK,SWPP,"10,993.3","100,959","4,857",.,N,N,N
2022,15515,City of Purcell - (OK),Municipal,OK,SPA,"7,417.0","65,288","3,006",.,Y,N,N
2022,15811,"Rich Mountain Elec Coop, Inc",Cooperative,OK,MISO,698.0,"6,658",526,.,Y,N,N
2022,15923,City of Pond Creek - (OK),Municipal,OK,SWPP,"1,276.0","7,865",589,.,N,N,N
2022,16487,Town of Ryan - (OK),Municipal,OK,SWPP,692.0,"5,463",397,.,N,N,N
2022,16561,City of Sallisaw - (OK),Municipal,OK,SWPP,"11,283.0","107,807","4,319",.,N,N,N
2022,17286,City of Skiatook - (OK),Municipal,OK,SWPP,"7,894.8","77,276","4,096",.,N,N,N
2022,17553,Town of South Coffeyville - (OK),Municipal,OK,SWPP,796.0,"7,850",501,.,N,N,N
2022,17681,Southwest Rural Elec Assn Inc,Cooperative,OK,SWPP,"12,537.9","88,248","4,346",.,Y,N,N
2022,17802,Town of Spiro - (OK),Municipal,OK,SWPP,"2,026.0","19,135","1,089",.,N,N,N
2022,18126,City of Stilwell - (OK),Municipal,OK,SWPP,"8,585.0","96,505","2,048",.,N,N,N
2022,18224,City of Stroud - (OK),Municipal,OK,SWPP,"4,916.2","41,475","1,504",.,N,N,N
2022,18433,Tahlequah Public Works Authority,Municipal,OK,SWPP,"21,732.5","197,206","11,217",.,N,N,N
2022,18524,Tecumseh Utility Authority,Municipal,OK,SWPP,"4,415.0","34,476","2,282",.,N,N,N
2022,19025,City of Tonkawa - (OK),Municipal,OK,SWPP,"4,390.0","39,829","1,512",.,N,N,N
2022,19719,City of Yale - (OK),Municipal,OK,SWPP,"1,258.4","8,820",671,.,N,N,N
2022,20061,Walters Public Works Authority,Municipal,OK,SWPP,"1,880.0","18,105","1,197",.,N,N,N
2022,20163,Wagoner Public Works Authority,Municipal,OK,SWPP,"9,302.0","76,838","3,869",.,N,N,N
2022,20196,City of Watonga - (OK),Municipal,OK,SWPP,"5,665.4","36,032","1,848",.,N,N,N
2022,20227,City of Waynoka - (OK),Municipal,OK,SWPP,"1,161.3","9,982",729,.,N,N,N
2022,20502,City of Wetumka - (OK),Municipal,OK,SWPP,"1,118.3","10,598",620,.,N,N,N
2022,21066,City of Wynnewood - (OK),Municipal,OK,SWPP,"2,554.0","17,761","1,045",.,Y,N,N
2022,907,City of Ashland - (OR),Municipal,OR,PACW,"17,281.0","165,478","12,224",.,Y,N,N
2022,1176,City of Bandon - (OR),Municipal,OR,BPAT,"6,156.1","71,021","4,811",.,N,Y,N
2022,1736,Blachly-Lane County Coop El Assn,Cooperative,OR,BPAT,"16,385.7","184,845","3,680",.,Y,N,N
2022,2955,Canby Utility Board,Municipal,OR,PGE,"13,609.1","188,441","7,566",.,Y,N,N
2022,3136,City of Cascade Locks - (OR),Municipal,OR,BPAT,"2,769.4","36,741",993,.,Y,Y,N
2022,3739,Clearwater Power Company,Cooperative,OR,BPAT,249.8,"1,908",181,.,Y,N,N
2022,4005,"Columbia Basin Elec Cooperative, Inc",Cooperative,OR,BPAT,"10,813.1","125,970","3,978",.,Y,N,N
2022,4008,Columbia Power Coop Assn Inc,Cooperative,OR,BPAT,"2,758.0","25,279","1,980",.,Y,N,N
